Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,5.22,5.26,5.17,5.26,5.1667,1240420
2025-07-23,5.26,5.3,5.23,5.28,5.1864,1309464
2025-07-24,5.28,5.38,5.24,5.24,5.1471,1262129
2025-07-25,5.25,5.28,5.19,5.25,5.1569,1600976
2025-07-28,5.25,5.27,5.145,5.26,5.1667,2144228
2025-07-29,5.24,5.24,5.15,5.2,5.1078,577054
2025-07-30,5.2,5.28,5.13,5.26,5.1667,1375016
2025-07-31,5.25,5.285,5.24,5.26,5.1667,939783
2025-08-01,5.2,5.3,5.17,5.28,5.1864,1134229
2025-08-04,5.34,5.39,5.3,5.34,5.2453,852444
2025-08-05,5.41,5.5,5.36,5.48,5.3828,1267081
2025-08-06,5.49,5.565,5.49,5.54,5.4418,2347837
2025-08-07,5.57,5.61,5.51,5.55,5.4516,1542620
2025-08-08,5.65,5.65,5.5,5.53,5.4319,506497
2025-08-11,5.53,5.56,5.5,5.55,5.4516,781128
2025-08-12,5.55,5.61,5.55,5.57,5.4712,669004
2025-08-13,5.62,5.7,5.585,5.7,5.5989,1322503
2025-08-14,5.7,5.76,5.66,5.72,5.6186,1303332
2025-08-15,5.72,5.73,5.67,5.71,5.6087,1510682
2025-08-18,5.68,5.72,5.67,5.72,5.6186,737233
2025-08-19,5.72,5.75,5.66,5.75,5.648,489859
2025-08-20,5.75,5.91,5.73,5.89,5.7856,837019
2025-08-21,5.88,5.975,5.85,5.93,5.8248,1258602
2025-08-22,5.93,5.98,5.92,5.92,5.815,1322307
2025-08-25,5.95,6.02,5.945,5.96,5.8543,624626
2025-08-26,6.11,6.22,6.07,6.2,6.0901,1770348
2025-08-27,6.24,6.24,5.92,5.97,5.8641,1177456
2025-08-28,5.82,5.96,5.81,5.93,5.8248,846556
2025-08-29,5.93,6.1,5.855,5.9,5.8387,755742
2025-09-01,5.93,5.94,5.86,5.87,5.809,517959
2025-09-02,5.85,5.88,5.74,5.75,5.6903,812786
2025-09-03,5.71,5.8,5.55,5.57,5.5121,1219514
2025-09-04,5.61,5.64,5.53,5.62,5.5616,991569
2025-09-05,5.66,5.71,5.59,5.63,5.5715,620934
2025-09-08,5.7,5.7,5.62,5.62,5.5616,974622
2025-09-09,5.61,5.85,5.535,5.6,5.5418,855233
2025-09-10,5.64,5.64,5.52,5.52,5.4626,837997
2025-09-11,5.49,5.69,5.49,5.63,5.5715,1132326
2025-09-12,5.65,5.77,5.56,5.65,5.5913,762849
2025-09-15,5.59,5.66,5.59,5.63,5.5715,730250
2025-09-16,5.64,5.66,5.605,5.65,5.5913,887455
2025-09-17,5.62,5.655,5.54,5.54,5.4824,764339
2025-09-18,5.5,5.57,5.46,5.54,5.4824,1187546
2025-09-19,5.56,5.6,5.5,5.53,5.4725,5053227
2025-09-22,5.55,5.59,5.52,5.57,5.5121,669850
2025-09-23,5.58,5.59,5.48,5.57,5.5121,698705
2025-09-24,5.6,5.67,5.49,5.54,5.4824,913751
2025-09-25,5.35,5.52,5.35,5.44,5.3835,965493
2025-09-26,5.42,5.48,5.42,5.47,5.4132,410374
2025-09-29,5.48,5.52,5.425,5.45,5.3934,541688
2025-09-30,5.43,5.48,5.415,5.44,5.3835,1348413
2025-10-01,5.44,5.55,5.44,5.52,5.4626,906763
2025-10-02,5.55,5.64,5.49,5.64,5.5814,1485211
2025-10-03,5.62,5.695,5.57,5.63,5.5715,1034805
2025-10-06,5.66,5.66,5.57,5.58,5.522,365331
2025-10-07,5.58,5.63,5.53,5.56,5.5022,1097827
2025-10-08,5.56,5.58,5.52,5.57,5.5121,486497
2025-10-09,5.59,5.61,5.5,5.56,5.5022,519931
2025-10-10,5.54,5.57,5.5,5.57,5.5121,481971
2025-10-13,5.52,5.57,5.47,5.54,5.4824,577181
2025-10-14,5.42,5.55,5.41,5.52,5.4626,443255
2025-10-15,5.58,5.59,5.49,5.53,5.4725,507891
2025-10-16,5.56,5.61,5.47,5.58,5.522,558441
2025-10-17,5.56,5.65,5.56,5.59,5.5319,347768
2025-10-20,5.6,5.62,5.53,5.62,5.5616,752622
2025-10-21,5.62,5.69,5.58,5.67,5.6111,751110
2025-10-22,5.67,5.72,5.61,5.67,5.6111,875508
2025-10-23,5.55,5.84,5.55,5.83,5.7694,966792
2025-10-24,5.86,5.87,5.8,5.85,5.7892,486917
2025-10-27,5.87,5.87,5.67,5.8,5.7397,513184
2025-10-28,5.81,5.87,5.8,5.83,5.7694,329878
2025-10-29,5.83,5.875,5.75,5.75,5.6903,597839
2025-10-30,5.7,5.72,5.52,5.58,5.522,749380
2025-10-31,5.59,5.675,5.59,5.62,5.5616,698163
2025-11-03,5.62,5.66,5.565,5.62,5.5616,388544
2025-11-04,5.63,5.66,5.55,5.56,5.5022,316316
2025-11-05,5.57,5.65,5.56,5.58,5.522,464524
2025-11-06,5.6,5.65,5.57,5.6,5.5418,486854
2025-11-07,5.61,5.655,5.58,5.6,5.5418,298564
2025-11-10,5.57,5.575,5.51,5.52,5.4626,577166
2025-11-11,5.55,5.565,5.44,5.53,5.4725,549873
2025-11-12,5.53,5.59,5.47,5.56,5.5022,1251179
2025-11-13,5.55,5.635,5.39,5.39,5.334,708538
2025-11-14,5.3,5.4,5.26,5.28,5.2251,932620
2025-11-17,5.3,5.34,5.175,5.29,5.235,1165070
2025-11-18,5.27,5.27,5.1,5.12,5.0668,587681
2025-11-19,5.12,5.18,5.075,5.1,5.047,859929
2025-11-20,5.03,5.21,5.02,5.15,5.0965,765963
2025-11-21,5.09,5.3,5.08,5.12,5.0668,414168
2025-11-24,5.19,5.29,5.19,5.24,5.1856,1187375
2025-11-25,5.26,5.31,5.17,5.21,5.1559,561711
2025-11-26,5.33,5.41,5.23,5.23,5.1757,3156680
2025-11-27,5.45,5.45,5.2,5.23,5.1757,547491
2025-11-28,5.24,5.265,5.16,5.19,5.1361,579021
2025-12-01,5.19,5.265,5.11,5.11,5.0569,596769
2025-12-02,5.08,5.135,5.05,5.08,5.0272,676216
2025-12-03,5.04,5.155,5.03,5.09,5.0371,618504
2025-12-04,5.05,5.07,4.9,4.9,4.8491,823182
2025-12-05,4.9,4.92,4.85,4.87,4.8194,1331621
2025-12-08,4.8,4.91,4.78,4.86,4.8095,1022273
2025-12-09,4.8,4.98,4.8,4.89,4.8392,2108690
2025-12-10,4.92,5.05,4.88,4.95,4.8986,1131655
2025-12-11,4.95,5,4.93,4.96,4.9085,1148146
2025-12-12,5.02,5.19,5.01,5.07,5.0173,772806
2025-12-15,5.07,5.45,4.97,5.03,4.9777,567784
2025-12-16,5.03,5.11,5.03,5.11,5.0569,1662656
