Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,3.45,3.46,3.42,3.45,3.2783,1070038
2025-04-28,3.47,3.47,3.415,3.44,3.2688,1557760
2025-04-29,3.44,3.45,3.39,3.45,3.2783,1343712
2025-04-30,3.44,3.44,3.38,3.43,3.2593,1922065
2025-05-01,3.43,3.5,3.415,3.5,3.3258,1123473
2025-05-02,3.47,3.5,3.43,3.5,3.3258,1098856
2025-05-05,3.5,3.53,3.47,3.49,3.3163,844352
2025-05-06,3.49,3.63,3.39,3.55,3.3733,2224993
2025-05-07,3.6,3.71,3.57,3.71,3.5254,2817123
2025-05-08,3.72,3.79,3.69,3.79,3.6014,3506629
2025-05-09,3.8,3.82,3.75,3.81,3.6204,1474030
2025-05-12,3.82,3.82,3.74,3.78,3.5919,1463078
2025-05-13,3.8,3.81,3.73,3.78,3.5919,1721036
2025-05-14,3.78,3.8,3.75,3.77,3.5824,1199170
2025-05-15,3.79,3.8,3.73,3.79,3.6014,1398873
2025-05-16,3.81,3.89,3.79,3.87,3.6774,1189321
2025-05-19,3.89,3.9,3.84,3.88,3.6869,885366
2025-05-20,3.85,3.88,3.83,3.83,3.6394,755695
2025-05-21,3.85,3.85,3.77,3.81,3.6204,1685658
2025-05-22,3.77,3.8,3.76,3.8,3.6109,1480743
2025-05-23,3.8,3.81,3.76,3.79,3.6014,889453
2025-05-26,3.8,3.805,3.735,3.76,3.5729,1165066
2025-05-27,3.79,3.79,3.76,3.78,3.5919,907506
2025-05-28,3.79,3.815,3.77,3.79,3.6014,1162466
2025-05-29,3.81,3.84,3.77,3.79,3.6014,907041
2025-05-30,3.78,3.8,3.75,3.75,3.5634,1897149
2025-06-02,3.76,3.77,3.74,3.75,3.5634,886005
2025-06-03,3.77,3.8,3.755,3.78,3.5919,1126462
2025-06-04,3.82,3.835,3.77,3.77,3.5824,1614832
2025-06-05,3.78,3.795,3.75,3.77,3.5824,1170930
2025-06-06,3.77,3.77,3.725,3.75,3.5634,685502
2025-06-10,3.74,3.76,3.74,3.76,3.5729,1059530
2025-06-11,3.77,3.855,3.76,3.82,3.6299,927949
2025-06-12,3.85,3.85,3.8,3.85,3.6584,919755
2025-06-13,3.9,3.9,3.815,3.83,3.6394,768583
2025-06-16,3.84,3.84,3.77,3.82,3.6299,926244
2025-06-17,3.82,3.825,3.745,3.77,3.5824,943996
2025-06-18,3.81,3.81,3.74,3.76,3.5729,887638
2025-06-19,3.76,3.76,3.58,3.62,3.4398,1376276
2025-06-20,3.62,3.66,3.6,3.62,3.4398,921384
2025-06-23,3.66,3.66,3.57,3.58,3.4018,726759
2025-06-24,3.66,3.66,3.61,3.62,3.4398,706114
2025-06-25,3.64,3.64,3.57,3.59,3.4113,860329
2025-06-26,3.58,3.59,3.55,3.57,3.3923,586491
2025-06-27,3.59,3.605,3.55,3.55,3.3733,2580981
2025-06-30,3.57,3.57,3.52,3.55,3.3733,1162475
2025-07-01,3.55,3.6,3.54,3.57,3.3923,836296
2025-07-02,3.59,3.615,3.56,3.57,3.3923,1056369
2025-07-03,3.55,3.57,3.49,3.53,3.3543,1167201
2025-07-04,3.6,3.6,3.52,3.54,3.3638,534220
2025-07-07,3.6,3.6,3.51,3.55,3.3733,937328
2025-07-08,3.58,3.59,3.51,3.54,3.3638,893807
2025-07-09,3.54,3.625,3.53,3.57,3.3923,1373147
2025-07-10,3.62,3.62,3.58,3.6,3.4208,694526
2025-07-11,3.62,3.62,3.56,3.58,3.4018,534601
2025-07-14,3.56,3.61,3.56,3.61,3.4303,457217
2025-07-15,3.61,3.65,3.58,3.62,3.4398,1014935
2025-07-16,3.61,3.62,3.58,3.59,3.4113,655821
2025-07-17,3.6,3.63,3.56,3.57,3.3923,1006311
2025-07-18,3.58,3.61,3.555,3.61,3.4303,957469
2025-07-21,3.6,3.6,3.57,3.57,3.3923,1316441
2025-07-22,3.56,3.59,3.49,3.5,3.3258,1289948
2025-07-23,3.52,3.54,3.48,3.51,3.3353,9516024
2025-07-24,3.52,3.545,3.46,3.48,3.3068,1488584
2025-07-25,3.48,3.49,3.43,3.45,3.2783,1120485
2025-07-28,3.46,3.49,3.44,3.46,3.2878,1305764
2025-07-29,3.46,3.48,3.43,3.47,3.2973,777298
2025-07-30,3.46,3.49,3.44,3.48,3.3068,2368216
2025-07-31,3.47,3.48,3.45,3.46,3.2878,728998
2025-08-01,3.44,3.45,3.4,3.42,3.2498,1033961
2025-08-04,3.41,3.43,3.39,3.4,3.2308,868039
2025-08-05,3.4,3.42,3.37,3.39,3.2213,1191676
2025-08-06,3.39,3.41,3.37,3.39,3.2213,1296057
2025-08-07,3.38,3.395,3.365,3.39,3.2213,1267226
2025-08-08,3.38,3.39,3.36,3.38,3.2118,1117099
2025-08-11,3.38,3.38,3.325,3.37,3.2023,2043511
2025-08-12,3.36,3.41,3.36,3.38,3.2118,968421
2025-08-13,3.41,3.45,3.37,3.45,3.2783,1001971
2025-08-14,3.47,3.51,3.45,3.49,3.3163,1224619
2025-08-15,3.49,3.53,3.47,3.53,3.3543,527545
2025-08-18,3.52,3.55,3.5,3.53,3.3543,1562115
2025-08-19,3.52,3.52,3.48,3.5,3.3258,1025222
2025-08-20,3.51,3.55,3.49,3.5,3.3258,1503300
2025-08-21,3.52,3.56,3.5,3.55,3.3733,1086846
2025-08-22,3.14,3.22,2.78,2.83,2.6892,19222965
2025-08-25,2.86,2.88,2.795,2.81,2.6701,8092650
2025-08-26,2.83,2.85,2.75,2.75,2.6131,7266226
2025-08-27,2.76,2.8,2.76,2.77,2.6321,3854645
2025-08-28,2.79,2.8,2.7,2.71,2.5751,3901698
2025-08-29,2.73,2.74,2.71,2.71,2.5751,2161679
2025-09-01,2.73,2.79,2.72,2.76,2.6226,2282245
2025-09-02,2.76,2.78,2.75,2.76,2.6226,2002505
2025-09-03,2.75,2.78,2.68,2.68,2.5466,4314133
2025-09-04,2.66,2.72,2.66,2.69,2.5561,2429591
2025-09-05,2.7,2.73,2.67,2.67,2.5371,3305068
2025-09-08,2.7,2.7,2.65,2.66,2.5276,3021632
2025-09-09,2.67,2.7,2.65,2.65,2.5181,3312818
2025-09-10,2.66,2.67,2.62,2.64,2.5086,2240611
2025-09-11,2.65,2.65,2.62,2.63,2.4991,2297215
2025-09-12,2.62,2.66,2.62,2.64,2.5086,2091906
2025-09-15,2.65,2.65,2.625,2.64,2.5086,1769632
2025-09-16,2.65,2.68,2.64,2.66,2.5276,3116745
2025-09-17,2.56,2.57,2.525,2.54,2.4884,3968544
2025-09-18,2.55,2.575,2.545,2.55,2.4982,2218971
2025-09-19,2.56,2.57,2.52,2.52,2.4688,4729590
2025-09-22,2.53,2.55,2.51,2.53,2.4786,1403486
2025-09-23,2.52,2.54,2.5,2.53,2.4786,2970015
2025-09-24,2.53,2.54,2.51,2.52,2.4688,1573025
2025-09-25,2.51,2.53,2.5,2.52,2.4688,1947691
2025-09-26,2.53,2.55,2.515,2.54,2.4884,2144762
2025-09-29,2.55,2.56,2.52,2.55,2.4982,2533933
2025-09-30,2.54,2.56,2.53,2.53,2.4786,2106760
2025-10-01,2.55,2.55,2.525,2.54,2.4884,1547314
2025-10-02,2.55,2.57,2.53,2.56,2.508,1734883
2025-10-03,2.56,2.585,2.555,2.56,2.508,1751391
2025-10-06,2.57,2.58,2.5,2.51,2.459,2894458
2025-10-07,2.51,2.51,2.48,2.48,2.4296,3913147
2025-10-08,2.49,2.49,2.43,2.47,2.4198,3351135
2025-10-09,2.49,2.52,2.48,2.5,2.4492,2548748
2025-10-10,2.5,2.51,2.48,2.51,2.459,1827421
