Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.13,0.135,0.13,0.135,0.135,2446720
2025-04-28,0.135,0.14,0.132,0.135,0.135,6499129
2025-04-29,0.135,0.14,0.132,0.14,0.14,2718951
2025-04-30,0.135,0.15,0.13,0.145,0.145,4472739
2025-05-01,0.145,0.145,0.135,0.135,0.135,4421840
2025-05-02,0.13,0.135,0.127,0.135,0.135,6156204
2025-05-05,0.13,0.135,0.125,0.13,0.13,2123296
2025-05-06,0.13,0.132,0.127,0.13,0.13,2245735
2025-05-07,0.13,0.135,0.13,0.135,0.135,2064208
2025-05-08,0.13,0.14,0.13,0.13,0.13,5153223
2025-05-09,0.135,0.142,0.13,0.14,0.14,3603797
2025-05-12,0.14,0.145,0.135,0.145,0.145,1446034
2025-05-13,0.145,0.145,0.137,0.14,0.14,5481711
2025-05-14,0.14,0.14,0.135,0.14,0.14,1237777
2025-05-15,0.135,0.14,0.125,0.125,0.125,5083200
2025-05-16,0.13,0.135,0.13,0.135,0.135,1704442
2025-05-19,0.13,0.135,0.125,0.13,0.13,2936192
2025-05-20,0.135,0.135,0.127,0.13,0.13,1853797
2025-05-21,0.13,0.13,0.125,0.125,0.125,1015172
2025-05-22,0.125,0.13,0.12,0.125,0.125,4740538
2025-05-23,0.125,0.13,0.12,0.125,0.125,2073447
2025-05-26,0.125,0.13,0.12,0.125,0.125,877264
2025-05-27,0.125,0.13,0.12,0.125,0.125,2279146
2025-05-28,0.13,0.13,0.125,0.13,0.13,564842
2025-05-29,0.125,0.127,0.12,0.125,0.125,10079620
2025-05-30,0.125,0.125,0.12,0.12,0.12,2173043
2025-06-02,0.125,0.135,0.125,0.125,0.125,8728229
2025-06-03,0.125,0.13,0.115,0.115,0.115,8520439
2025-06-04,0.115,0.122,0.115,0.115,0.115,6905389
2025-06-05,0.12,0.12,0.115,0.12,0.12,2109896
2025-06-06,0.115,0.12,0.115,0.115,0.115,2653107
2025-06-10,0.12,0.125,0.115,0.115,0.115,8842985
2025-06-13,0.1,0.11,0.095,0.11,0.11,17444869
2025-06-16,0.11,0.115,0.105,0.11,0.11,3195278
2025-06-17,0.11,0.11,0.1,0.105,0.105,7635227
2025-06-18,0.1,0.105,0.1,0.1,0.1,3118216
2025-06-19,0.1,0.105,0.096,0.096,0.096,11607740
2025-06-20,0.096,0.098,0.093,0.095,0.095,17320439
2025-06-23,0.095,0.096,0.094,0.095,0.095,12356060
2025-06-24,0.094,0.097,0.092,0.097,0.097,11641520
2025-06-25,0.096,0.099,0.096,0.097,0.097,6426267
2025-06-26,0.098,0.1,0.097,0.097,0.097,5410357
2025-06-27,0.097,0.102,0.096,0.097,0.097,16404381
2025-06-30,0.096,0.099,0.094,0.097,0.097,9468266
2025-07-01,0.097,0.1,0.096,0.098,0.098,5360630
2025-07-02,0.099,0.102,0.097,0.097,0.097,6955023
2025-07-03,0.099,0.105,0.098,0.099,0.099,16893180
2025-07-04,0.099,0.102,0.098,0.099,0.099,10136680
2025-07-07,0.105,0.105,0.097,0.097,0.097,8098252
2025-07-08,0.098,0.102,0.096,0.1,0.1,8468856
2025-07-09,0.1,0.102,0.1,0.1,0.1,1812532
2025-07-10,0.1,0.105,0.1,0.1,0.1,2713833
2025-07-11,0.105,0.11,0.1,0.105,0.105,8790081
2025-07-14,0.105,0.11,0.1,0.11,0.11,4176933
2025-07-15,0.105,0.11,0.1,0.105,0.105,4928002
2025-07-16,0.105,0.11,0.105,0.105,0.105,3135661
2025-07-17,0.11,0.12,0.105,0.12,0.12,10461930
2025-07-18,0.125,0.132,0.12,0.13,0.13,14114110
2025-07-21,0.13,0.135,0.115,0.12,0.12,15954800
2025-07-22,0.125,0.135,0.12,0.135,0.135,7465862
2025-07-23,0.135,0.135,0.125,0.13,0.13,10246920
2025-07-24,0.135,0.135,0.125,0.13,0.13,162050406
2025-07-25,0.125,0.135,0.125,0.125,0.125,7468445
2025-07-28,0.12,0.13,0.115,0.115,0.115,6339056
2025-07-29,0.12,0.12,0.105,0.115,0.115,7726764
2025-07-30,0.11,0.115,0.107,0.115,0.115,3543570
2025-07-31,0.115,0.115,0.11,0.115,0.115,2924372
2025-08-01,0.11,0.125,0.11,0.115,0.115,5335570
2025-08-04,0.115,0.12,0.105,0.11,0.11,6062136
2025-08-05,0.11,0.115,0.105,0.11,0.11,3867003
2025-08-06,0.11,0.115,0.11,0.11,0.11,2435442
2025-08-07,0.115,0.115,0.11,0.115,0.115,3029767
2025-08-08,0.11,0.12,0.11,0.115,0.115,6004054
2025-08-11,0.12,0.14,0.115,0.14,0.14,15598970
2025-08-12,0.135,0.14,0.12,0.125,0.125,12720560
2025-08-13,0.125,0.132,0.125,0.13,0.13,6100542
2025-08-14,0.13,0.13,0.125,0.125,0.125,3112486
2025-08-15,0.125,0.13,0.125,0.125,0.125,4477099
2025-08-18,0.125,0.13,0.125,0.13,0.13,4083733
2025-08-19,0.125,0.13,0.125,0.125,0.125,2470530
2025-08-20,0.125,0.127,0.11,0.115,0.115,10776660
2025-08-21,0.12,0.122,0.115,0.12,0.12,6153596
2025-08-22,0.12,0.122,0.115,0.115,0.115,2916022
2025-08-25,0.12,0.13,0.12,0.12,0.12,3609382
2025-08-26,0.125,0.125,0.117,0.125,0.125,10122110
2025-08-27,0.12,0.125,0.12,0.12,0.12,2442412
2025-08-28,0.12,0.122,0.115,0.115,0.115,2986421
2025-08-29,0.115,0.12,0.115,0.115,0.115,2088427
2025-09-01,0.115,0.12,0.11,0.11,0.11,8663733
2025-09-02,0.11,0.115,0.11,0.115,0.115,2056742
2025-09-03,0.12,0.125,0.115,0.115,0.115,11451910
2025-09-04,0.115,0.13,0.115,0.125,0.125,8857209
2025-09-05,0.13,0.15,0.127,0.145,0.145,17695820
2025-09-08,0.145,0.15,0.135,0.145,0.145,14295870
2025-09-09,0.145,0.15,0.135,0.14,0.14,10580590
2025-09-10,0.14,0.145,0.13,0.14,0.14,10350460
2025-09-11,0.135,0.14,0.125,0.125,0.125,6241843
2025-09-12,0.13,0.13,0.12,0.12,0.12,5188938
2025-09-15,0.125,0.13,0.12,0.125,0.125,6537326
2025-09-16,0.13,0.135,0.125,0.13,0.13,7249922
2025-09-17,0.125,0.14,0.125,0.135,0.135,4931306
2025-09-18,0.135,0.137,0.13,0.135,0.135,3131764
2025-09-19,0.13,0.135,0.125,0.13,0.13,68505445
2025-09-22,0.13,0.14,0.13,0.14,0.14,5152542
2025-09-23,0.14,0.145,0.132,0.135,0.135,4271194
2025-09-24,0.15,0.16,0.145,0.16,0.16,26342359
2025-09-25,0.16,0.165,0.15,0.155,0.155,10297700
2025-09-26,0.17,0.185,0.17,0.18,0.18,19489551
2025-09-29,0.175,0.18,0.16,0.17,0.17,12374510
2025-09-30,0.165,0.17,0.155,0.165,0.165,9917249
2025-10-01,0.155,0.16,0.15,0.155,0.155,7671037
2025-10-02,0.16,0.175,0.157,0.16,0.16,8050297
2025-10-03,0.165,0.17,0.16,0.17,0.17,4165771
2025-10-06,0.17,0.19,0.165,0.18,0.18,12650610
2025-10-07,0.245,0.245,0.207,0.22,0.22,30669391
2025-10-08,0.21,0.22,0.205,0.215,0.215,14014090
2025-10-09,0.24,0.262,0.235,0.255,0.255,29598211
2025-10-10,0.245,0.255,0.237,0.25,0.25,12545250
2025-10-13,0.225,0.25,0.225,0.23,0.23,14893120
2025-10-14,0.275,0.285,0.255,0.26,0.26,24283740
2025-10-15,0.27,0.275,0.26,0.27,0.27,22486109
2025-10-16,0.26,0.26,0.245,0.25,0.25,12776390
2025-10-17,0.235,0.235,0.22,0.23,0.23,16651869
2025-10-20,0.215,0.22,0.205,0.21,0.21,9547609
2025-10-21,0.22,0.23,0.21,0.21,0.21,7319470
2025-10-22,0.205,0.205,0.19,0.195,0.195,16676900
2025-10-23,0.195,0.205,0.195,0.2,0.2,8481684
2025-10-24,0.205,0.205,0.19,0.19,0.19,7003893
2025-10-27,0.195,0.2,0.185,0.19,0.19,4032706
2025-10-28,0.18,0.185,0.17,0.175,0.175,7451396
2025-10-29,0.18,0.195,0.18,0.18,0.18,3729822
2025-10-30,0.18,0.19,0.175,0.18,0.18,4411627
2025-10-31,0.185,0.195,0.185,0.185,0.185,12134570
2025-11-03,0.185,0.19,0.175,0.18,0.18,4761926
2025-11-04,0.17,0.175,0.162,0.165,0.165,8177464
2025-11-05,0.16,0.165,0.152,0.16,0.16,7478355
2025-11-06,0.165,0.165,0.155,0.16,0.16,6544441
2025-11-07,0.155,0.17,0.155,0.16,0.16,4349513
2025-11-10,0.165,0.175,0.165,0.17,0.17,9857937
