Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,4.56,4.56,4.48,4.5,4.0976,660774
2025-04-28,4.53,4.56,4.49,4.5,4.0976,1041384
2025-04-29,4.52,4.61,4.5,4.6,4.1886,945775
2025-04-30,4.59,4.605,4.55,4.57,4.1613,832857
2025-05-01,4.55,4.73,4.55,4.73,4.307,1031304
2025-05-02,4.71,4.71,4.63,4.65,4.2342,980051
2025-05-05,4.66,4.68,4.55,4.57,4.1613,1177662
2025-05-06,4.57,4.57,4.49,4.53,4.1249,1045437
2025-05-07,4.51,4.6,4.48,4.6,4.1886,986320
2025-05-08,4.59,4.655,4.53,4.63,4.2159,1335205
2025-05-09,4.59,4.67,4.535,4.66,4.2433,1445213
2025-05-12,4.68,4.78,4.67,4.68,4.2615,1151465
2025-05-13,4.75,4.87,4.74,4.81,4.3799,1178266
2025-05-14,4.8,4.92,4.78,4.89,4.4527,3321501
2025-05-15,4.9,4.92,4.86,4.88,4.4436,1111624
2025-05-16,4.92,5,4.87,4.94,4.4982,1045891
2025-05-19,4.9,4.935,4.87,4.93,4.4891,929908
2025-05-20,4.94,5.05,4.92,4.95,4.5073,1422344
2025-05-21,4.98,5,4.9,4.93,4.4891,752761
2025-05-22,4.89,4.97,4.87,4.92,4.48,797010
2025-05-23,4.92,4.98,4.91,4.96,4.5164,679460
2025-05-26,4.96,4.97,4.91,4.91,4.4709,553839
2025-05-27,4.92,4.97,4.92,4.96,4.5164,557324
2025-05-28,4.98,5.02,4.93,4.94,4.4982,953585
2025-05-29,4.93,4.97,4.86,4.94,4.4982,1058242
2025-05-30,4.94,4.98,4.9,4.96,4.5164,1176988
2025-06-02,4.92,4.965,4.85,4.87,4.4345,924130
2025-06-03,4.85,4.865,4.7,4.8,4.3707,1072318
2025-06-04,4.8,4.82,4.75,4.79,4.3616,1241894
2025-06-05,4.8,4.845,4.77,4.78,4.3525,982946
2025-06-06,4.78,4.815,4.75,4.79,4.3616,791197
2025-06-10,4.79,4.8,4.77,4.78,4.3525,470490
2025-06-11,4.79,4.82,4.78,4.78,4.3525,299256
2025-06-12,4.78,4.79,4.74,4.76,4.3343,744655
2025-06-13,4.76,4.78,4.66,4.69,4.2706,619078
2025-06-16,4.68,4.73,4.665,4.67,4.2524,489606
2025-06-17,4.67,4.7,4.63,4.65,4.2342,537292
2025-06-18,4.67,4.67,4.53,4.54,4.134,839332
2025-06-19,4.56,4.58,4.49,4.51,4.1067,1294343
2025-06-20,4.51,4.57,4.46,4.57,4.1613,1459502
2025-06-23,4.51,4.55,4.42,4.44,4.0429,787408
2025-06-24,4.46,4.5,4.395,4.42,4.0247,1371109
2025-06-25,4.44,4.45,4.4,4.43,4.0338,3300481
2025-06-26,4.42,4.55,4.42,4.52,4.1158,2233281
2025-06-27,4.57,4.6,4.535,4.55,4.1431,1000656
2025-06-30,4.58,4.635,4.57,4.58,4.1704,1291708
2025-07-01,4.61,4.65,4.58,4.61,4.1977,1028917
2025-07-02,4.67,4.74,4.65,4.66,4.2433,947965
2025-07-03,4.69,4.74,4.66,4.72,4.2979,645827
2025-07-04,4.74,4.8,4.71,4.71,4.2888,646923
2025-07-07,4.78,4.885,4.755,4.85,4.4163,1451617
2025-07-08,4.85,4.87,4.79,4.82,4.389,533641
2025-07-09,4.85,4.95,4.81,4.92,4.48,959016
2025-07-10,4.95,5.04,4.93,5.04,4.5893,812106
2025-07-11,5.04,5.09,5.02,5.08,4.6257,499492
2025-07-14,5.07,5.105,5.04,5.07,4.6166,1019211
2025-07-15,5.09,5.1,5.04,5.08,4.6257,1470120
2025-07-16,5.02,5.05,4.96,5.01,4.562,2150721
2025-07-17,5.04,5.14,5.03,5.11,4.653,1386199
2025-07-18,5.13,5.2,5.11,5.17,4.7077,627234
2025-07-21,5.18,5.2,5.12,5.15,4.6894,534842
2025-07-22,5.14,5.2,5.1,5.18,4.7168,740010
2025-07-23,5.19,5.27,5.18,5.25,4.7805,1046336
2025-07-24,5.28,5.35,5.16,5.16,4.6986,2581225
2025-07-25,5.16,5.26,5.13,5.2,4.735,680240
2025-07-28,5.23,5.27,5.2,5.24,4.7714,682358
2025-07-29,5.2,5.24,5.17,5.23,4.7623,472741
2025-07-30,5.24,5.29,5.19,5.26,4.7896,473995
2025-07-31,5.25,5.29,5.22,5.25,4.7805,643722
2025-08-01,5.23,5.275,5.205,5.25,4.7805,612704
2025-08-04,5.26,5.28,5.2,5.24,4.7714,476263
2025-08-05,5.28,5.29,5.25,5.28,4.8078,563056
2025-08-06,5.25,5.295,5.22,5.29,4.8169,750176
2025-08-07,5.29,5.36,5.28,5.33,4.8533,1218421
2025-08-08,5.37,5.38,5.32,5.38,4.8989,386608
2025-08-11,5.4,5.44,5.37,5.42,4.9353,1001484
2025-08-12,5.41,5.44,5.39,5.42,4.9353,582058
2025-08-13,5.45,5.49,5.42,5.47,4.9808,658517
2025-08-14,5.5,5.55,5.47,5.51,5.0173,685529
2025-08-15,5.54,5.62,5.52,5.6,5.0992,997776
2025-08-18,5.6,5.65,5.59,5.63,5.1265,770707
2025-08-19,5.62,5.625,5.55,5.59,5.0901,1127846
2025-08-20,5.65,5.655,5.52,5.59,5.0901,809910
2025-08-21,5.3,5.31,4.37,4.5,4.0976,13653355
2025-08-22,4.5,4.59,4.44,4.59,4.1795,3764701
2025-08-25,4.64,4.77,4.61,4.74,4.3161,2653928
2025-08-26,4.82,4.83,4.71,4.78,4.3525,2602595
2025-08-27,4.8,4.8,4.7,4.76,4.3343,1965661
2025-08-28,4.61,4.67,4.5,4.56,4.3296,2029464
2025-08-29,4.61,4.66,4.55,4.57,4.3391,1548856
2025-09-01,4.55,4.57,4.45,4.46,4.2346,1120094
2025-09-02,4.47,4.52,4.38,4.38,4.1587,989903
