Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,2.26,2.345,2.25,2.31,2.31,5479043
2025-04-28,2.3,2.36,2.3,2.32,2.32,6416953
2025-04-29,2.34,2.35,2.31,2.32,2.32,2558109
2025-04-30,2.34,2.35,2.26,2.27,2.27,6864114
2025-05-01,2.26,2.33,2.26,2.31,2.31,8397566
2025-05-02,2.31,2.35,2.29,2.33,2.33,3297457
2025-05-05,2.33,2.36,2.32,2.32,2.32,3930564
2025-05-06,2.35,2.36,2.29,2.34,2.34,4542499
2025-05-07,2.31,2.43,2.31,2.43,2.43,7072600
2025-05-08,2.42,2.51,2.405,2.49,2.49,9654752
2025-05-09,2.5,2.59,2.48,2.57,2.57,7461811
2025-05-12,2.57,2.65,2.57,2.62,2.62,9189855
2025-05-13,2.63,2.67,2.6,2.64,2.64,8239832
2025-05-14,2.65,2.7,2.63,2.66,2.66,7755064
2025-05-15,2.67,2.7,2.64,2.7,2.7,12024275
2025-05-16,2.74,2.77,2.7,2.73,2.73,13418946
2025-05-19,2.69,2.71,2.62,2.64,2.64,8140557
2025-05-20,2.67,2.675,2.62,2.66,2.66,4624957
2025-05-21,2.66,2.67,2.61,2.61,2.61,4028785
2025-05-22,2.6,2.63,2.58,2.6,2.6,5096032
2025-05-23,2.6,2.65,2.6,2.62,2.62,4192265
2025-05-26,2.61,2.64,2.6,2.61,2.61,4067135
2025-05-27,2.65,2.65,2.62,2.64,2.64,4924271
2025-05-28,2.67,2.69,2.63,2.68,2.68,6473442
2025-05-29,2.7,2.74,2.67,2.69,2.69,11624504
2025-05-30,2.67,2.73,2.66,2.68,2.68,16452650
2025-06-02,2.68,2.69,2.62,2.64,2.64,4910765
2025-06-03,2.64,2.66,2.62,2.64,2.64,7603887
