Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,5.3,5.3,5.3,5.3,5.3,0
2025-07-23,5.28,5.6,5.28,5.51,5.51,2522393
2025-07-24,5.55,6.33,5.54,6.33,6.33,2875983
2025-07-25,6.15,6.29,5.99,6.29,6.29,1743107
2025-07-28,6.12,6.25,6,6.19,6.19,1195965
2025-07-29,6.15,6.27,5.94,6.25,6.25,1750489
2025-07-30,6.2,6.4,6.045,6.25,6.25,1620727
2025-07-31,6.15,6.15,5.78,5.94,5.94,1434119
2025-08-01,5.99,6.07,5.82,5.83,5.83,1660568
2025-08-04,5.85,6.015,5.63,5.99,5.99,850344
2025-08-05,6.09,6.36,5.99,6.12,6.12,2428110
2025-08-06,6.15,6.15,5.94,5.99,5.99,1318701
2025-08-07,6.16,6.17,5.86,5.96,5.96,1405969
2025-08-08,5.9,5.97,5.67,5.69,5.69,672256
2025-08-11,5.67,6.035,5.67,5.89,5.89,1023624
2025-08-12,5.84,5.98,5.74,5.94,5.94,687905
2025-08-13,5.85,6,5.83,5.92,5.92,664103
2025-08-14,6,6.37,5.91,6.02,6.02,2164986
2025-08-15,6.03,6.425,6.03,6.4,6.4,1179345
2025-08-18,6.44,6.55,6.335,6.39,6.39,895761
2025-08-19,6.48,6.62,6.36,6.37,6.37,1473197
2025-08-20,6.16,6.225,5.76,5.92,5.92,1580103
2025-08-21,6,6.22,5.94,6.19,6.19,1327780
2025-08-22,6.22,6.41,6.16,6.26,6.26,918426
2025-08-25,6.43,6.77,6.39,6.61,6.61,1439650
2025-08-26,6.8,7.01,6.57,7.01,7.01,3066641
2025-08-27,7.08,7.13,6.88,7.13,7.13,1948384
2025-08-28,6.95,6.95,6.35,6.63,6.63,1590399
2025-08-29,6.82,6.9,6.63,6.63,6.63,1278458
2025-09-01,6.78,7.06,6.75,7,7,1642188
2025-09-02,7.42,7.47,6.66,7.09,7.09,2441829
2025-09-03,7.31,7.54,7.195,7.25,7.25,2959071
2025-09-04,7.42,7.56,7.255,7.32,7.32,1698716
2025-09-05,7.33,7.38,7.12,7.28,7.28,1358497
2025-09-08,7.5,7.6,7.27,7.43,7.43,1932855
2025-09-09,7.49,7.49,6.69,6.69,6.69,1628198
2025-09-10,6.64,6.86,6.6,6.71,6.71,1641672
2025-09-11,6.68,6.76,6.44,6.53,6.53,1570183
2025-09-12,6.54,6.835,6.54,6.63,6.63,1154413
2025-09-15,6.57,6.72,6.395,6.64,6.64,1560935
2025-09-16,6.85,6.98,6.6,6.6,6.6,2090350
2025-09-17,6.63,6.73,6.41,6.62,6.62,1809498
2025-09-18,6.49,6.56,6.17,6.44,6.44,2527049
2025-09-19,6.59,6.68,6.42,6.45,6.45,16010661
2025-09-22,6.42,6.72,6.315,6.71,6.71,2043346
2025-09-23,6.75,7.1,6.75,6.98,6.98,2935999
2025-09-24,6.84,7.12,6.755,7.06,7.06,1752942
2025-09-25,7.04,7.31,6.96,7.26,7.26,1563956
2025-09-26,7.38,7.84,7.3,7.7,7.7,5403076
2025-09-29,7.63,8.1,7.53,7.96,7.96,1809660
2025-09-30,7.8,7.9,7.49,7.54,7.54,2082737
2025-10-01,7.52,7.74,7.33,7.7,7.7,1232564
2025-10-02,7.96,8.03,7.73,7.95,7.95,2157470
2025-10-03,8.08,8.38,8.02,8.26,8.26,1724394
2025-10-06,8.35,8.4,8.005,8.23,8.23,1054822
2025-10-07,8.38,8.41,7.9,8.03,8.03,1848886
2025-10-08,8.43,8.5,8.25,8.35,8.35,1613476
2025-10-09,8.48,8.48,8.18,8.25,8.25,1326517
2025-10-10,8.3,8.495,8.145,8.2,8.2,1148329
2025-10-13,8.11,8.31,7.63,7.98,7.98,881692
2025-10-14,8.52,8.73,8.14,8.2,8.2,2342881
2025-10-15,8.78,9.205,8.65,9.1,9.1,2815431
2025-10-16,8.9,9.03,8.385,8.43,8.43,1648771
2025-10-17,8.34,8.35,7.77,7.77,7.77,1478753
2025-10-20,7.8,7.92,7.66,7.77,7.77,941025
2025-10-21,8.2,8.4,8.04,8.3,8.3,1423110
2025-10-22,7.93,8.07,7.62,7.72,7.72,1587853
2025-10-23,7.53,7.57,7.33,7.45,7.45,2534653
2025-10-24,7.46,7.55,7.4,7.47,7.47,1032204
2025-10-27,7.57,7.61,7.16,7.16,7.16,1237834
2025-10-28,7,7.05,6.72,6.93,6.93,1923083
2025-10-29,7,7.05,6.86,6.88,6.88,629356
2025-10-30,6.88,6.99,6.76,6.79,6.79,666203
2025-10-31,6.75,6.97,6.7,6.8,6.8,739478
2025-11-03,6.93,6.93,6.56,6.63,6.63,803573
2025-11-04,6.56,6.565,6.17,6.29,6.29,1778871
2025-11-05,6.15,6.17,5.84,6.01,6.01,1685400
2025-11-06,6.1,6.15,5.75,5.85,5.85,1707100
2025-11-07,5.68,5.69,5.49,5.52,5.52,1426560
2025-11-10,5.88,6.04,5.84,5.93,5.93,1306429
2025-11-11,5.73,5.8,5.57,5.74,5.74,1087100
2025-11-12,5.74,5.83,5.58,5.61,5.61,1731024
2025-11-13,5.61,5.61,5.61,5.61,5.61,0
2025-11-14,5.61,5.61,5.61,5.61,5.61,0
2025-11-17,4.49,5.505,4.24,5.44,5.44,6495978
2025-11-18,5.1,5.32,4.89,4.93,4.93,4216513
2025-11-19,4.8,4.935,4.64,4.77,4.77,1699517
2025-11-20,4.84,5.135,4.8,4.91,4.91,1056920
2025-11-21,4.65,4.65,4.425,4.44,4.44,2165589
2025-11-24,4.58,4.66,4.3,4.41,4.41,1807634
2025-11-25,4.59,4.895,4.59,4.88,4.88,1746381
2025-11-26,5.04,5.12,4.805,4.85,4.85,1183757
2025-11-27,5.12,5.2,5.015,5.09,5.09,1292431
2025-11-28,5.24,5.37,5.08,5.11,5.11,861110
2025-12-01,5.19,5.31,4.99,5,5,770375
