Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,7.58,7.64,7.35,7.42,7.2469,1514229
2025-07-23,7.43,7.82,7.35,7.78,7.5985,1924056
2025-07-24,7.76,7.85,7.64,7.72,7.5399,419973
2025-07-25,7.7,7.83,7.64,7.71,7.5301,420618
2025-07-28,7.77,7.83,7.705,7.72,7.5399,343277
2025-07-29,7.72,7.73,7.59,7.68,7.5008,1393307
2025-07-30,7.69,7.77,7.615,7.71,7.5301,362776
2025-07-31,7.67,8,7.65,7.94,7.7547,712097
2025-08-01,7.95,8.04,7.88,7.96,7.7743,628819
2025-08-04,7.92,7.975,7.8,7.91,7.7254,382844
2025-08-05,7.99,8.09,7.94,7.99,7.8036,791896
2025-08-06,8.01,8.28,7.985,8.28,8.0868,778648
2025-08-07,8.28,8.4,8.27,8.38,8.1845,822869
2025-08-08,9.6,9.69,9.21,9.4,9.1807,5746319
2025-08-11,8.95,8.99,8.32,8.72,8.5165,3167362
2025-08-12,8.44,8.78,8.41,8.61,8.4091,2779058
2025-08-13,8.57,8.81,8.56,8.8,8.5947,2107465
2025-08-14,8.85,9.17,8.81,9.09,8.8779,1614021
2025-08-15,8.99,9.03,8.86,9.03,8.8193,943004
2025-08-18,9.2,9.34,9.09,9.14,8.9267,1225027
2025-08-19,9.19,9.26,8.97,9.11,8.8974,896753
2025-08-20,9.05,9.17,8.87,9.02,8.8095,833845
2025-08-21,8.96,9.11,8.96,9.01,8.7998,981115
2025-08-22,8.9,8.95,8.765,8.92,8.7654,735448
2025-08-25,8.93,8.95,8.74,8.87,8.7163,988909
2025-08-26,8.84,8.84,8.645,8.77,8.618,1504822
2025-08-27,8.71,8.8,8.57,8.69,8.5394,553211
2025-08-28,8.74,8.77,8.66,8.72,8.5689,527496
2025-08-29,8.7,8.78,8.66,8.72,8.5689,803128
2025-09-01,8.7,8.75,8.55,8.55,8.4018,2497111
2025-09-02,8.57,8.695,8.495,8.64,8.4902,411161
2025-09-03,8.51,8.65,8.43,8.46,8.3134,813581
2025-09-04,8.93,9.2,8.8,9.05,8.8931,1909498
2025-09-05,9.1,9.22,9.07,9.13,8.9717,1460763
2025-09-08,9.04,9.1,8.9,9.08,8.9226,735778
2025-09-09,9.06,9.19,8.97,9.02,8.8637,972935
2025-09-10,8.93,9.03,8.88,9.02,8.8637,369679
2025-09-11,9,9.15,8.97,9.15,8.9914,547210
2025-09-12,9.05,9.2,9.05,9.12,8.9619,495449
2025-09-15,9.06,9.145,9.015,9.09,8.9324,304780
2025-09-16,9.14,9.43,9.12,9.41,9.2469,683783
2025-09-17,9.46,9.54,9.36,9.5,9.3353,1438657
2025-09-18,9.55,9.58,9.46,9.54,9.3746,727242
2025-09-19,9.55,9.62,9.28,9.34,9.1781,2717632
2025-09-22,9.37,9.37,9.16,9.16,9.0012,447480
2025-09-23,9.16,9.265,9.04,9.16,9.0012,726406
2025-09-24,9.02,9.08,8.86,9.07,8.9128,788835
2025-09-25,8.97,9.18,8.95,8.96,8.8047,829267
2025-09-26,8.93,8.99,8.87,8.99,8.8342,262815
2025-09-29,8.99,9.035,8.87,8.87,8.7163,639906
2025-09-30,8.87,8.95,8.82,8.82,8.6671,330089
2025-10-01,8.89,8.9,8.77,8.85,8.6966,1497279
2025-10-02,8.83,8.93,8.82,8.82,8.6671,277159
2025-10-03,8.8,8.92,8.79,8.9,8.7457,464589
2025-10-06,9.02,9.02,8.67,8.7,8.5492,557174
2025-10-07,8.73,8.77,8.59,8.65,8.5001,566742
2025-10-08,8.55,8.66,8.5,8.64,8.4902,526201
2025-10-09,8.73,8.775,8.68,8.7,8.5492,558301
2025-10-10,8.59,8.76,8.59,8.75,8.5983,274622
2025-10-13,8.72,8.73,8.58,8.63,8.4804,427829
2025-10-14,8.59,8.65,8.47,8.54,8.392,446847
2025-10-15,8.58,8.6,8.46,8.47,8.3232,323593
2025-10-16,8.42,8.46,8.28,8.4,8.2544,1056534
2025-10-17,8.97,9.01,8.6,8.65,8.5001,988931
2025-10-20,8.65,8.95,8.64,8.72,8.5689,653980
2025-10-21,8.7,8.82,8.59,8.64,8.4902,676603
2025-10-22,8.67,8.73,8.6,8.71,8.559,745011
2025-10-23,8.5,9,8.5,8.96,8.8047,830469
2025-10-24,8.98,8.98,8.735,8.83,8.6769,898056
2025-10-27,8.89,8.93,8.77,8.91,8.7556,403625
2025-10-28,8.91,8.91,8.735,8.75,8.5983,505992
2025-10-29,8.72,8.76,8.6,8.75,8.5983,384548
2025-10-30,8.5,8.705,8.5,8.65,8.5001,359414
2025-10-31,8.79,8.89,8.51,8.86,8.7064,356159
2025-11-03,8.91,8.99,8.805,8.96,8.8047,447198
2025-11-04,8.82,9.06,8.82,9.01,8.8538,1360252
2025-11-05,9.01,9.03,8.76,8.84,8.6868,752662
2025-11-06,8.88,8.89,8.72,8.85,8.6966,511446
2025-11-07,8.86,8.96,8.765,8.77,8.618,929707
2025-11-10,9.16,9.37,9.045,9.35,9.1879,1420982
2025-11-11,9.44,9.78,9.43,9.55,9.3845,959440
2025-11-12,9.56,9.56,9.22,9.26,9.0995,726558
2025-11-13,9.14,9.375,9.09,9.37,9.2076,917801
2025-11-14,9.1,9.34,9.095,9.15,8.9914,904079
2025-11-17,8.94,9.18,8.91,9.18,9.0209,478376
2025-11-18,9.07,9.11,8.91,9.03,8.8735,633065
2025-11-19,8.9,9.08,8.9,8.93,8.7752,1303709
2025-11-20,9.1,9.22,8.94,9.05,8.8931,441999
2025-11-21,8.9,8.995,8.87,8.96,8.8047,380413
2025-11-24,9.12,10.38,9.04,9.68,9.5122,905622
2025-11-25,9.05,9.32,9.02,9.09,8.9324,999068
2025-11-26,9.54,9.54,9.185,9.22,9.0602,682803
2025-11-27,9.27,9.385,9.18,9.29,9.129,475464
2025-11-28,9.38,9.38,9.23,9.3,9.1388,384905
2025-12-01,9.35,9.36,9.14,9.17,9.0111,309191
2025-12-02,9.08,9.17,9.06,9.09,8.9324,539164
2025-12-03,9.05,9.22,9.04,9.18,9.0209,597895
2025-12-04,9.1,9.195,8.98,9.01,8.8538,657375
2025-12-05,9.05,9.095,8.84,8.87,8.7163,564491
2025-12-08,8.82,8.89,8.78,8.84,8.6868,700856
2025-12-09,8.91,9.09,8.79,8.94,8.785,952234
2025-12-10,9,9,8.72,8.76,8.6082,885768
2025-12-11,8.72,8.83,8.62,8.68,8.5295,512242
2025-12-12,8.83,8.835,8.57,8.62,8.4706,495628
2025-12-15,8.62,8.71,8.49,8.62,8.4706,433374
2025-12-16,8.48,8.625,8.48,8.55,8.4018,385235
2025-12-17,8.45,8.57,8.43,8.56,8.4116,500841
2025-12-18,8.5,8.6,8.47,8.58,8.4313,587639
2025-12-19,8.5,8.61,8.5,8.58,8.4313,732696
2025-12-22,8.58,8.62,8.47,8.54,8.392,381124
2025-12-23,8.5,8.6,8.47,8.51,8.3625,569507
2025-12-24,8.5,8.58,8.44,8.47,8.3232,517629
2025-12-29,8.47,8.47,8.34,8.39,8.2446,359578
2025-12-30,8.4,8.49,8.4,8.44,8.2937,226315
2025-12-31,8.5,8.5,8.42,8.49,8.3428,126479
2026-01-02,8.38,8.53,8.38,8.49,8.3428,219286
2026-01-05,8.42,8.54,8.42,8.45,8.3035,301498
2026-01-06,8.48,8.48,8.23,8.25,8.107,471245
2026-01-07,8.27,8.465,8.25,8.37,8.2249,284462
2026-01-08,8.33,8.43,8.33,8.4,8.2544,242017
2026-01-09,8.62,8.62,8.29,8.34,8.1954,186603
2026-01-12,8.31,8.52,8.31,8.35,8.2053,561571
2026-01-13,8.43,8.44,8.26,8.4,8.2544,655338
2026-01-14,8.42,8.48,8.32,8.47,8.3232,284007
2026-01-15,8.45,8.49,8.41,8.49,8.3428,374707
2026-01-16,8.33,8.54,8.33,8.54,8.392,353352
2026-01-19,8.47,8.49,8.38,8.46,8.3134,183270
2026-01-20,8.4,8.46,8.34,8.46,8.3134,724113
2026-01-21,8.38,8.5,8.35,8.48,8.333,384371
2026-01-22,8.53,8.56,8.46,8.46,8.3134,496453
2026-01-23,8.4,8.51,8.4,8.47,8.3232,314293
2026-01-27,8.47,8.66,8.47,8.58,8.4313,469521
2026-01-28,8.65,8.65,8.25,8.42,8.2741,1854394
2026-01-29,8.35,8.39,8.21,8.21,8.0677,2136426
2026-01-30,8.29,8.305,8.11,8.16,8.0186,702564
2026-02-02,8.1,8.21,8.1,8.16,8.0186,342975
2026-02-03,8.38,8.38,8.19,8.21,8.0677,662686
2026-02-04,8.21,8.22,7.75,7.88,7.7434,1719973
2026-02-05,7.96,7.96,7.77,7.81,7.6746,984893
2026-02-06,7.78,7.78,7.38,7.45,7.3209,1297705
2026-02-09,7.46,7.64,7.4,7.59,7.4584,2556128
2026-02-10,7.65,7.76,7.54,7.68,7.5469,1029633
2026-02-11,7.67,7.83,7.52,7.83,7.6943,833922
2026-02-12,7.68,7.89,7.44,7.49,7.3602,890076
2026-02-13,7.5,7.62,6.985,7.02,6.8983,800166
2026-02-16,7.02,7.13,6.95,7.1,6.9769,1440863
2026-02-17,7.06,7.12,6.97,7.06,6.9376,510016
2026-02-18,7.06,7.12,7.03,7.11,6.9868,667051
2026-02-19,7.17,7.42,6.98,7.09,6.9671,802112
2026-02-20,7.01,7.12,6.9,7.05,6.9278,527797
2026-02-23,6.92,7.145,6.92,6.95,6.8295,601400
2026-02-24,6.95,7.015,6.745,6.77,6.6527,822769
2026-02-25,7.58,8.02,7.36,7.42,7.2914,5192428
2026-02-26,7.75,7.95,7.53,7.56,7.429,1683248
2026-02-27,7.63,7.64,7.43,7.46,7.3307,736468
2026-03-02,7.23,7.49,7.23,7.3,7.1735,739146
2026-03-03,7.2,7.44,7.09,7.37,7.2423,1392548
2026-03-04,7.48,7.48,7.19,7.26,7.1342,780715
2026-03-05,7.36,7.46,7.31,7.43,7.3012,779130
2026-03-06,7.28,7.61,7.27,7.55,7.4191,1515678
2026-03-09,7.25,7.535,7.245,7.5,7.37,3040594
2026-03-10,7.15,7.57,7.15,7.46,7.46,1415932
