Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.435,0.44,0.43,0.435,0.4154,74383
2025-04-28,0.44,0.44,0.43,0.435,0.4154,75977
2025-04-29,0.43,0.435,0.41,0.41,0.3916,314390
2025-04-30,0.42,0.42,0.405,0.41,0.3916,309975
2025-05-01,0.41,0.425,0.41,0.425,0.4059,62564
2025-05-02,0.42,0.43,0.42,0.42,0.4011,98957
2025-05-05,0.415,0.46,0.405,0.46,0.4393,785064
2025-05-06,0.46,0.475,0.46,0.46,0.4393,50837
2025-05-07,0.455,0.475,0.45,0.475,0.4537,192669
2025-05-08,0.455,0.48,0.45,0.465,0.4441,151622
2025-05-09,0.45,0.51,0.45,0.51,0.4871,287336
2025-05-12,0.5,0.5,0.46,0.465,0.4441,209555
2025-05-13,0.4675,0.49,0.45,0.49,0.468,92836
2025-05-14,0.495,0.495,0.47,0.47,0.4489,97175
2025-05-15,0.47,0.48,0.46,0.475,0.4537,79384
2025-05-16,0.475,0.475,0.445,0.455,0.4346,143277
2025-05-19,0.465,0.48,0.445,0.455,0.4346,227948
2025-05-20,0.455,0.46,0.45,0.46,0.4393,35386
2025-05-21,0.45,0.46,0.45,0.46,0.4393,47568
2025-05-22,0.45,0.4525,0.44,0.45,0.4298,52351
2025-05-23,0.475,0.475,0.45,0.46,0.4393,92504
2025-05-26,0.46,0.465,0.445,0.46,0.4393,22388
2025-05-27,0.445,0.46,0.445,0.46,0.4393,67033
2025-05-28,0.445,0.46,0.44,0.45,0.4298,247536
2025-05-29,0.45,0.4525,0.44,0.44,0.4202,203136
2025-05-30,0.445,0.445,0.435,0.44,0.4202,283618
2025-06-02,0.435,0.45,0.425,0.45,0.4298,180163
2025-06-03,0.43,0.435,0.42,0.42,0.4011,51020
2025-06-04,0.425,0.44,0.42,0.42,0.4011,122285
2025-06-05,0.43,0.45,0.425,0.45,0.4298,34881
2025-06-06,0.44,0.465,0.44,0.45,0.4298,145646
2025-06-10,0.45,0.45,0.425,0.435,0.4154,147526
2025-06-11,0.43,0.435,0.42,0.425,0.4059,121020
2025-06-12,0.425,0.43,0.42,0.42,0.4011,131703
2025-06-13,0.42,0.42,0.41,0.41,0.3916,212016
2025-06-16,0.41,0.41,0.4,0.405,0.3868,295909
2025-06-17,0.41,0.41,0.4,0.405,0.3868,244305
2025-06-18,0.405,0.41,0.4,0.4,0.382,100932
