Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,1.56,1.565,1.52,1.54,1.54,2016850
2025-07-23,1.535,1.555,1.53,1.545,1.545,3530081
2025-07-24,1.545,1.57,1.54,1.55,1.55,1952286
2025-07-25,1.545,1.55,1.505,1.54,1.54,1896812
2025-07-28,1.53,1.55,1.505,1.515,1.515,5963837
2025-07-29,1.515,1.515,1.475,1.49,1.49,5141724
2025-07-30,1.485,1.52,1.48,1.51,1.51,2743824
2025-07-31,1.5,1.59,1.4975,1.515,1.515,13905943
2025-08-01,1.505,1.565,1.4975,1.555,1.555,4089827
2025-08-04,1.545,1.555,1.495,1.515,1.515,2670498
2025-08-05,1.555,1.585,1.525,1.57,1.57,5089984
2025-08-06,1.57,1.63,1.555,1.605,1.605,3141874
2025-08-07,1.6,1.68,1.6,1.66,1.66,3368343
2025-08-08,1.64,1.6625,1.625,1.63,1.63,2802064
2025-08-11,1.64,1.65,1.615,1.64,1.64,2357153
2025-08-12,1.64,1.6975,1.615,1.69,1.69,2987881
2025-08-13,1.7,1.7225,1.68,1.69,1.69,3009437
2025-08-14,1.715,1.745,1.7,1.71,1.71,2672341
2025-08-15,1.715,1.77,1.69,1.73,1.73,3246967
2025-08-18,1.73,1.7625,1.725,1.75,1.75,9261719
2025-08-19,1.855,1.915,1.71,1.755,1.755,18185208
2025-08-20,1.81,1.82,1.71,1.805,1.805,5929145
2025-08-21,1.8,1.815,1.785,1.815,1.815,4185453
2025-08-22,1.82,1.85,1.79,1.79,1.79,3823283
2025-08-25,1.815,1.82,1.77,1.785,1.785,4203240
2025-08-26,1.775,1.78,1.74,1.76,1.76,7755970
2025-08-27,1.75,1.755,1.72,1.75,1.75,6114801
2025-08-28,1.74,1.76,1.73,1.735,1.735,2712711
2025-08-29,1.745,1.745,1.685,1.705,1.705,4981191
2025-09-01,1.675,1.715,1.645,1.685,1.685,2377578
2025-09-02,1.67,1.7,1.665,1.69,1.69,1378778
2025-09-03,1.68,1.69,1.615,1.635,1.635,8651040
2025-09-04,1.64,1.665,1.63,1.665,1.665,2853342
2025-09-05,1.675,1.69,1.64,1.665,1.665,1785134
2025-09-08,1.645,1.65,1.61,1.645,1.645,2304191
2025-09-09,1.64,1.675,1.625,1.655,1.655,2808420
2025-09-10,1.695,1.735,1.67,1.73,1.73,2532109
2025-09-11,1.73,1.76,1.707,1.75,1.75,1776281
2025-09-12,1.76,1.795,1.76,1.78,1.78,2199525
2025-09-15,1.75,1.8,1.745,1.765,1.765,2065730
2025-09-16,1.785,1.785,1.735,1.75,1.75,2421532
2025-09-17,1.75,1.78,1.745,1.75,1.75,1793873
2025-09-18,1.755,1.76,1.725,1.76,1.76,2034611
2025-09-19,1.76,1.7725,1.72,1.745,1.745,11391716
2025-09-22,1.74,1.745,1.7075,1.735,1.735,1348746
2025-09-23,1.73,1.78,1.715,1.765,1.765,4176848
2025-09-24,1.76,1.77,1.74,1.76,1.76,1558990
2025-09-25,1.73,1.77,1.717,1.75,1.75,3825642
2025-09-26,1.73,1.76,1.7,1.735,1.735,1861643
2025-09-29,1.745,1.77,1.735,1.76,1.76,1280791
2025-09-30,1.75,1.78,1.72,1.755,1.755,16631083
2025-10-01,1.76,1.765,1.7325,1.745,1.745,1852352
2025-10-02,1.765,1.81,1.755,1.775,1.775,3416762
2025-10-03,1.775,1.79,1.75,1.785,1.785,1849756
2025-10-06,1.8,1.8,1.73,1.735,1.735,1211079
2025-10-07,1.745,1.76,1.7275,1.745,1.745,2986809
2025-10-08,1.73,1.73,1.685,1.715,1.715,1975748
2025-10-09,1.725,1.725,1.68,1.695,1.695,1760338
2025-10-10,1.695,1.705,1.68,1.705,1.705,1643866
2025-10-13,1.68,1.68,1.635,1.645,1.645,3599319
2025-10-14,1.65,1.65,1.6075,1.635,1.635,2261482
2025-10-15,1.66,1.6775,1.63,1.64,1.64,6699172
2025-10-16,1.655,1.6725,1.64,1.67,1.67,1800756
2025-10-17,1.67,1.67,1.62,1.63,1.63,2404697
