Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,40.32,40.45,39.62,39.75,39.75,1294306
2025-07-23,41.04,41.93,41.04,41.79,41.79,1732882
2025-07-24,42.1,42.37,41.62,41.91,41.91,3474785
2025-07-25,41.54,41.65,41,41.13,41.13,1038081
2025-07-28,41.13,41.68,41.13,41.35,41.35,948147
2025-07-29,41.29,41.835,41.19,41.53,41.53,1409732
2025-07-30,41.78,42.55,41.55,42.4,42.4,1140076
2025-07-31,41.37,41.5,41.13,41.31,41.31,1367147
2025-08-01,40.55,40.58,40,40.11,40.11,947124
2025-08-04,39.98,40.73,39.935,40.44,40.44,1227992
2025-08-05,40.79,41.37,40.64,41.28,41.28,2246072
2025-08-06,42,43.47,42,43.47,43.47,2220853
2025-08-07,42.72,42.97,42.36,42.78,42.78,1112026
2025-08-08,42.82,43.13,42.63,42.9,42.9,1695944
2025-08-11,43.09,43.82,43.09,43.72,43.72,818829
2025-08-12,43.17,43.4,42.72,43.2,43.2,1521246
2025-08-13,43.95,44.285,43.67,43.93,43.93,2261327
2025-08-14,45,45.78,44.85,45.67,45.67,2337746
2025-08-15,45.49,45.98,45.17,45.6,45.6,1341539
2025-08-18,44.69,45.52,44.4,45.45,45.45,2300432
2025-08-19,44.83,44.83,44.2,44.34,44.34,3655660
2025-08-20,31.33,33.2,31.07,32,32,13428379
2025-08-21,29.61,30.16,28.11,28.98,28.98,9901360
2025-08-22,30.42,30.86,30.16,30.5,30.5,6688633
2025-08-25,31.42,31.88,31.15,31.8,31.8,3889526
2025-08-26,30.56,30.8,29.77,30.55,30.55,5863007
2025-08-27,31.1,31.22,30.235,30.66,30.66,2694164
2025-08-28,30.81,31.38,30.77,31.26,31.26,1480638
2025-08-29,31.26,31.7,31.17,31.17,31.17,2256749
2025-09-01,31,31,30.11,30.4,30.4,977586
2025-09-02,30.42,30.65,29.76,30.13,30.13,2353488
2025-09-03,29.9,30.12,29.74,29.75,29.75,1746987
2025-09-04,29.6,29.75,29.31,29.53,29.53,1683316
2025-09-05,30.01,30.28,29.78,29.93,29.93,1317386
2025-09-08,30.82,31.16,30.82,30.92,30.92,1666874
2025-09-09,30.12,30.4,29.75,30.2,30.2,2150563
2025-09-10,29.66,29.82,29.33,29.5,29.5,1523365
2025-09-11,29.76,29.85,29.51,29.79,29.79,2487059
2025-09-12,30.15,30.86,30.02,30.14,30.14,1406656
2025-09-15,30.1,30.24,29.84,30.21,30.21,1358904
2025-09-16,30.14,30.17,29.71,29.94,29.94,1459733
2025-09-17,29.66,29.74,29.43,29.63,29.63,1320674
2025-09-18,29.12,29.3,28.43,28.84,28.84,2035698
2025-09-19,29.29,29.7,28.81,28.86,28.86,4487251
2025-09-22,29.29,29.69,29.16,29.37,29.37,2538129
2025-09-23,29.55,29.8,29.3,29.56,29.56,1132438
2025-09-24,28.95,29,28.01,28.15,28.15,2109317
2025-09-25,27.9,27.9,27.32,27.32,27.32,2979333
2025-09-26,28.27,28.44,27.9,28.27,28.27,1992114
2025-09-29,28.35,28.705,28.35,28.47,28.47,2087359
2025-09-30,28.24,28.57,28.02,28.08,28.08,1544861
2025-10-01,28.82,29.21,28.68,29.14,29.14,1618837
2025-10-02,29.68,29.72,29.42,29.5,29.5,1032709
2025-10-03,29.8,30.24,29.65,29.96,29.96,2270077
2025-10-06,30.56,31.38,30.56,30.87,30.87,1512458
2025-10-07,30.65,30.65,30.24,30.24,30.24,3069510
2025-10-08,32.5,33.45,32.5,33.24,33.24,4250074
