Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,10.25,10.3,10.1,10.1,9.726,115333
2025-04-28,10.18,10.2,10.07,10.1,9.726,111761
2025-04-29,10.15,10.18,10.05,10.16,9.7837,129018
2025-04-30,10.09,10.18,10.06,10.18,9.803,153210
2025-05-01,10.2,10.37,10.18,10.29,9.9089,161479
2025-05-02,10.37,10.42,10.21,10.21,9.8319,140071
2025-05-05,10.32,10.36,10.01,10.05,9.6778,108246
2025-05-06,10.08,10.24,10.06,10.11,9.7356,66856
2025-05-07,10.2,10.36,10.02,10.29,9.9089,78774
2025-05-08,10.37,10.44,10.25,10.42,10.0341,95738
2025-05-09,10.4,10.4,10.22,10.27,9.8897,197958
2025-05-12,10.32,10.4,10.21,10.24,9.8608,117688
2025-05-13,10.42,10.52,10.24,10.3,9.9186,188495
2025-05-14,10.34,10.34,9.92,10.01,9.6393,279540
2025-05-15,10.01,10.08,9.77,9.8,9.4371,395081
2025-05-16,9.93,10.08,9.81,10.05,9.6778,397699
2025-05-19,9.91,9.97,9.71,9.88,9.5141,295833
2025-05-20,9.88,9.95,9.78,9.92,9.5526,266195
2025-05-21,9.95,10.05,9.55,9.63,9.2734,787190
2025-05-22,9.6,9.89,9.51,9.69,9.3311,288675
2025-05-23,9.69,9.9,9.67,9.82,9.4563,311610
2025-05-26,9.83,9.96,9.72,9.84,9.4756,272643
2025-05-27,9.86,10.31,9.86,10.25,9.8704,485575
2025-05-28,10.32,10.53,9.89,9.9,9.5334,278262
2025-05-29,9.99,10.25,9.99,10.11,9.7356,323493
2025-05-30,10,10.01,9.46,9.8,9.4371,2896802
2025-06-02,9.8,9.95,9.51,9.51,9.1578,325089
2025-06-03,9.6,9.61,9.38,9.45,9.1,379981
2025-06-04,9.58,9.62,9.465,9.58,9.2252,331284
2025-06-05,9.63,9.82,9.48,9.77,9.4082,315862
2025-06-06,9.77,9.9,9.6,9.6,9.2445,260980
2025-06-10,9.65,9.75,9.57,9.67,9.3119,265538
2025-06-11,9.58,9.85,9.52,9.68,9.3215,572154
2025-06-12,9.68,9.76,9.59,9.67,9.3119,372798
2025-06-13,9.66,9.75,9.51,9.65,9.2926,403519
2025-06-16,9.6,9.63,9.5,9.5,9.1482,281347
2025-06-17,9.5,9.74,9.45,9.7,9.3408,423852
2025-06-18,9.69,9.895,9.69,9.78,9.4178,293171
2025-06-19,9.75,9.82,9.59,9.59,9.2348,155279
2025-06-20,9.6,9.8,9.52,9.7,9.3408,239707
2025-06-23,9.7,9.83,9.58,9.62,9.2637,260569
2025-06-24,9.75,9.79,9.61,9.65,9.2926,240538
2025-06-25,9.65,9.79,9.63,9.73,9.3697,195634
2025-06-26,9.69,9.86,9.63,9.8,9.4371,311654
2025-06-27,9.8,9.94,9.73,9.74,9.3793,268181
2025-06-30,9.7,9.82,9.6,9.8,9.4371,225593
2025-07-01,9.81,10.06,9.73,10.01,9.6393,221096
2025-07-02,10.06,10.17,9.97,10.03,9.6586,211956
2025-07-03,10.04,10.07,9.815,10.04,9.6682,168684
2025-07-04,10.06,10.16,9.96,10.07,9.6971,202764
2025-07-07,10.13,10.13,9.85,9.87,9.5045,127438
2025-07-08,10.11,10.19,9.89,10.12,9.7452,234733
2025-07-09,10.1,10.49,10.1,10.39,10.0052,291491
2025-07-10,10.29,10.49,9.7,9.83,9.466,538394
2025-07-11,9.9,9.925,9.66,9.89,9.5237,242299
2025-07-14,9.84,9.89,9.71,9.75,9.3889,133072
2025-07-15,9.77,9.95,9.75,9.95,9.5815,197865
2025-07-16,9.9,10.09,9.86,9.99,9.62,250738
2025-07-17,10.01,10.07,9.9,10.01,9.6393,194038
2025-07-18,10.1,10.24,10.04,10.18,9.803,195479
2025-07-21,10.18,10.19,9.86,9.86,9.4948,281267
2025-07-22,9.95,10.17,9.93,10.11,9.7356,170522
2025-07-23,10.11,10.3,10.065,10.28,9.8993,218778
2025-07-24,10.4,10.46,10.17,10.28,9.8993,159551
