Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.145,0.15,0.145,0.145,0.1376,3211361
2025-04-28,0.145,0.15,0.145,0.15,0.1423,1759528
2025-04-29,0.145,0.15,0.14,0.15,0.1423,5244164
2025-04-30,0.15,0.155,0.145,0.15,0.1423,7091179
2025-05-01,0.15,0.15,0.145,0.145,0.1376,591097
2025-05-02,0.145,0.15,0.145,0.15,0.1423,3084776
2025-05-05,0.145,0.1525,0.145,0.15,0.1423,3505416
2025-05-06,0.15,0.155,0.15,0.15,0.1423,1194524
2025-05-07,0.15,0.1525,0.15,0.15,0.1423,215032
2025-05-08,0.15,0.155,0.145,0.15,0.1423,4000020
2025-05-09,0.15,0.15,0.145,0.15,0.1423,703395
2025-05-12,0.15,0.15,0.145,0.145,0.1376,1431891
2025-05-13,0.145,0.2,0.14,0.2,0.1897,27157947
2025-05-14,0.23,0.235,0.1875,0.19,0.1802,74125727
2025-05-15,0.195,0.195,0.18,0.185,0.1755,12865567
2025-05-16,0.19,0.195,0.18,0.185,0.1755,26634094
2025-05-19,0.185,0.1875,0.18,0.185,0.1755,4032357
2025-05-20,0.185,0.19,0.18,0.185,0.1755,4993966
2025-05-21,0.185,0.1875,0.18,0.185,0.1755,10012786
2025-05-22,0.185,0.19,0.18,0.185,0.1755,8503877
2025-05-23,0.185,0.195,0.185,0.19,0.1802,10102450
2025-05-26,0.195,0.195,0.19,0.195,0.185,4165841
2025-05-27,0.195,0.195,0.19,0.19,0.1802,3890110
2025-05-28,0.195,0.195,0.19,0.19,0.1802,1548017
2025-05-29,0.19,0.21,0.19,0.205,0.1945,9062602
2025-05-30,0.205,0.215,0.2,0.21,0.1992,5655868
2025-06-02,0.215,0.215,0.205,0.215,0.204,10175164
2025-06-03,0.21,0.22,0.205,0.21,0.1992,6389666
2025-06-04,0.205,0.21,0.205,0.21,0.1992,1231534
2025-06-05,0.21,0.21,0.2,0.205,0.1945,2340039
2025-06-06,0.205,0.205,0.195,0.205,0.1945,6076507
2025-06-10,0.2,0.205,0.2,0.205,0.1945,3730938
2025-06-11,0.2,0.2025,0.195,0.195,0.185,1344548
2025-06-12,0.2,0.2,0.195,0.2,0.1897,1528831
2025-06-13,0.2,0.2,0.1925,0.2,0.1897,2252557
