Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,1.97,1.985,1.925,1.935,1.8761,2728627
2025-07-23,1.96,1.985,1.88,1.965,1.9052,5559235
2025-07-24,1.955,1.97,1.89,1.91,1.8519,4607917
2025-07-25,1.875,1.915,1.875,1.9,1.8422,4334657
2025-07-28,1.89,1.91,1.885,1.9,1.8422,4148106
2025-07-29,1.92,1.935,1.89,1.915,1.8567,3362047
2025-07-30,1.945,1.965,1.88,1.89,1.8325,3728150
2025-07-31,1.89,1.905,1.86,1.865,1.8082,2781559
2025-08-01,1.86,1.875,1.8375,1.86,1.8034,2152598
2025-08-04,1.81,1.83,1.805,1.825,1.7695,2298433
2025-08-05,1.82,1.86,1.8125,1.845,1.7888,4169628
2025-08-06,1.85,1.9,1.845,1.895,1.8373,3415415
2025-08-07,1.885,1.9,1.875,1.9,1.8422,2544716
2025-08-08,1.89,1.93,1.87,1.93,1.8713,3528111
2025-08-11,1.92,1.945,1.91,1.93,1.8713,2911304
2025-08-12,1.94,1.96,1.915,1.955,1.8955,4210825
2025-08-13,1.955,1.9575,1.88,1.88,1.8228,1719687
2025-08-14,1.865,1.885,1.815,1.83,1.7743,2795872
2025-08-15,1.82,1.8825,1.82,1.865,1.8082,4099869
2025-08-18,1.845,1.855,1.815,1.84,1.784,1865109
2025-08-19,1.83,1.855,1.82,1.825,1.7695,3873309
2025-08-20,1.825,1.84,1.775,1.805,1.7501,4032313
2025-08-21,1.82,1.825,1.795,1.82,1.7646,1951237
2025-08-22,1.835,1.86,1.8275,1.855,1.7985,2114727
2025-08-25,1.86,1.89,1.8125,1.84,1.784,5016962
2025-08-26,1.83,1.86,1.81,1.855,1.7985,6697342
2025-08-27,1.89,2.02,1.89,1.9,1.8422,9059971
2025-08-28,1.93,1.935,1.765,1.775,1.721,6726916
2025-08-29,1.775,1.785,1.72,1.76,1.7064,3762358
2025-09-01,1.72,1.74,1.7,1.73,1.7005,3540449
2025-09-02,1.72,1.725,1.675,1.7,1.671,3387798
2025-09-03,1.675,1.7,1.66,1.665,1.6366,4519855
2025-09-04,1.615,1.65,1.615,1.635,1.6072,5481933
2025-09-05,1.635,1.675,1.62,1.645,1.617,3748741
2025-09-08,1.62,1.625,1.585,1.625,1.5973,3771995
2025-09-09,1.61,1.65,1.6,1.635,1.6072,4876023
2025-09-10,1.62,1.63,1.6,1.61,1.5826,4790854
2025-09-11,1.645,1.655,1.625,1.64,1.6121,2879249
2025-09-12,1.595,1.62,1.5725,1.595,1.5678,5534399
2025-09-15,1.605,1.63,1.5875,1.62,1.5924,2087868
2025-09-16,1.635,1.66,1.62,1.655,1.6268,1788120
2025-09-17,1.69,1.73,1.6875,1.7,1.671,3745389
2025-09-18,1.65,1.6625,1.62,1.64,1.6121,3952196
2025-09-19,1.64,1.6475,1.595,1.595,1.5678,9856794
2025-09-22,1.595,1.62,1.5725,1.585,1.558,2497203
2025-09-23,1.575,1.605,1.575,1.6,1.5727,2542346
2025-09-24,1.61,1.64,1.61,1.63,1.6022,2755709
2025-09-25,1.655,1.735,1.65,1.73,1.7005,6499539
2025-09-26,1.735,1.755,1.71,1.735,1.7054,4077716
2025-09-29,1.75,1.755,1.7,1.705,1.676,2339312
2025-09-30,1.68,1.68,1.645,1.65,1.6219,2000456
2025-10-01,1.65,1.655,1.62,1.62,1.5924,2709624
2025-10-02,1.625,1.635,1.6025,1.61,1.5826,3085829
2025-10-03,1.6,1.625,1.59,1.595,1.5678,1812576
2025-10-06,1.6,1.64,1.59,1.62,1.5924,2194143
2025-10-07,1.625,1.63,1.56,1.56,1.5334,5508875
2025-10-08,1.56,1.56,1.505,1.515,1.4892,3127196
2025-10-09,1.52,1.555,1.49,1.545,1.5187,6196105
2025-10-10,1.53,1.53,1.485,1.515,1.4892,4451635
2025-10-13,1.49,1.495,1.455,1.49,1.4646,4558578
2025-10-14,1.5,1.52,1.4775,1.505,1.4794,3437102
2025-10-15,1.5,1.5,1.47,1.49,1.4646,4083859
2025-10-16,1.495,1.495,1.46,1.465,1.44,4214392
2025-10-17,1.455,1.455,1.415,1.42,1.3958,3629348
2025-10-20,1.415,1.43,1.4,1.415,1.3909,3876281
2025-10-21,1.42,1.445,1.4,1.42,1.3958,4778365
2025-10-22,1.42,1.44,1.405,1.435,1.4106,3244217
2025-10-23,1.47,1.5825,1.455,1.57,1.5433,8003848
2025-10-24,1.64,1.685,1.6125,1.625,1.5973,11540617
2025-10-27,1.63,1.655,1.585,1.63,1.6022,6343247
2025-10-28,1.65,1.66,1.565,1.57,1.5433,5558486
2025-10-29,1.57,1.59,1.56,1.575,1.5482,2931587
2025-10-30,1.615,1.62,1.565,1.58,1.5531,3935721
2025-10-31,1.565,1.605,1.565,1.605,1.5777,2858939
2025-11-03,1.63,1.6375,1.58,1.585,1.558,3210085
2025-11-04,1.585,1.585,1.54,1.54,1.5138,2404205
2025-11-05,1.54,1.5425,1.515,1.535,1.5089,3172897
2025-11-06,1.53,1.555,1.5275,1.54,1.5138,3028991
2025-11-07,1.535,1.56,1.5225,1.535,1.5089,1730375
2025-11-10,1.545,1.59,1.535,1.57,1.5433,2602502
2025-11-11,1.585,1.595,1.565,1.58,1.5531,3170207
2025-11-12,1.615,1.6675,1.61,1.65,1.6219,3500121
2025-11-13,1.6,1.635,1.59,1.63,1.6022,4800632
2025-11-14,1.6,1.6725,1.595,1.66,1.6317,2916578
2025-11-17,1.675,1.69,1.655,1.68,1.6514,2766957
2025-11-18,1.66,1.685,1.64,1.65,1.6219,8601174
2025-11-19,1.63,1.65,1.58,1.61,1.5826,3648417
2025-11-20,1.59,1.62,1.56,1.6,1.5727,3612849
2025-11-21,1.585,1.585,1.51,1.515,1.4892,2834176
2025-11-24,1.51,1.535,1.49,1.505,1.4794,3262303
2025-11-25,1.515,1.565,1.5025,1.56,1.5334,4331985
2025-11-26,1.57,1.59,1.545,1.58,1.5531,5764345
2025-11-27,1.62,1.65,1.53,1.54,1.5138,4949218
2025-11-28,1.58,1.58,1.5225,1.54,1.5138,7025713
2025-12-01,1.545,1.59,1.52,1.58,1.5531,7250755
2025-12-02,1.595,1.63,1.58,1.61,1.5826,5943679
2025-12-03,1.595,1.615,1.58,1.6,1.5727,2565507
2025-12-04,1.63,1.6425,1.615,1.62,1.5924,3089243
2025-12-05,1.63,1.67,1.6125,1.615,1.5875,2417500
2025-12-08,1.61,1.63,1.6,1.625,1.5973,1962709
2025-12-09,1.61,1.61,1.5825,1.6,1.5727,3502386
2025-12-10,1.61,1.62,1.58,1.595,1.5678,2854480
2025-12-11,1.6,1.63,1.585,1.615,1.5875,3124856
2025-12-12,1.61,1.63,1.59,1.615,1.5875,2364258
2025-12-15,1.615,1.64,1.595,1.635,1.6072,3448396
2025-12-16,1.625,1.635,1.5725,1.585,1.558,5011571
2025-12-17,1.545,1.56,1.5225,1.55,1.5236,5591694
2025-12-18,1.57,1.58,1.495,1.505,1.4794,7607745
2025-12-19,1.505,1.53,1.49,1.495,1.4695,7646429
2025-12-22,1.5,1.55,1.47,1.545,1.5187,3202456
2025-12-23,1.55,1.57,1.5425,1.56,1.5334,3498702
2025-12-24,1.555,1.57,1.55,1.55,1.5236,1485540
2025-12-29,1.55,1.55,1.51,1.525,1.499,2265055
2025-12-30,1.535,1.56,1.525,1.545,1.5187,1459939
2025-12-31,1.54,1.565,1.53,1.54,1.5138,1228115
2026-01-02,1.54,1.565,1.54,1.555,1.5285,1089660
2026-01-05,1.55,1.585,1.505,1.51,1.4843,3137554
2026-01-06,1.53,1.53,1.5,1.51,1.4843,3311978
2026-01-07,1.495,1.495,1.45,1.45,1.4253,4655927
2026-01-08,1.45,1.47,1.445,1.46,1.4351,2320216
2026-01-09,1.51,1.55,1.51,1.535,1.5089,4582030
2026-01-12,1.56,1.59,1.5425,1.555,1.5285,3793834
2026-01-13,1.56,1.575,1.515,1.555,1.5285,3944021
2026-01-14,1.6,1.67,1.585,1.67,1.6416,7296130
2026-01-15,1.68,1.68,1.615,1.635,1.6072,4665299
2026-01-16,1.63,1.635,1.575,1.58,1.5531,3636107
2026-01-19,1.58,1.61,1.5625,1.6,1.5727,2790443
2026-01-20,1.59,1.605,1.55,1.575,1.5482,2748246
2026-01-21,1.58,1.61,1.5775,1.59,1.5629,3574481
2026-01-22,1.645,1.66,1.6,1.635,1.6072,5577100
2026-01-23,1.61,1.64,1.605,1.63,1.6022,2773634
2026-01-27,1.645,1.735,1.6,1.635,1.6072,7593915
2026-01-28,1.675,1.695,1.615,1.68,1.6514,6940723
2026-01-29,1.7,1.74,1.6625,1.705,1.676,5355572
2026-01-30,1.755,1.79,1.68,1.695,1.6661,8170381
2026-02-02,1.69,1.705,1.635,1.67,1.6416,4849291
2026-02-03,1.67,1.67,1.6125,1.635,1.6072,4475498
2026-02-04,1.66,1.68,1.63,1.675,1.6465,6523830
2026-02-05,1.71,1.715,1.6325,1.665,1.6366,5112823
2026-02-06,1.625,1.645,1.59,1.62,1.5924,4791362
2026-02-09,1.63,1.645,1.615,1.63,1.6022,3769209
2026-02-10,1.66,1.695,1.645,1.685,1.6563,5100259
2026-02-11,1.68,1.695,1.63,1.665,1.6366,4111638
2026-02-12,1.66,1.7,1.6025,1.62,1.5924,5050887
2026-02-13,1.565,1.59,1.5075,1.525,1.499,5264023
2026-02-16,1.545,1.555,1.53,1.55,1.5236,2756312
2026-02-17,1.565,1.565,1.5,1.505,1.4794,3003535
2026-02-18,1.475,1.54,1.46,1.535,1.5089,3565271
2026-02-19,1.58,1.685,1.58,1.685,1.6563,6389438
2026-02-20,1.7,1.735,1.675,1.735,1.7054,5743997
2026-02-23,1.735,1.75,1.67,1.685,1.6563,3788475
2026-02-24,1.7,1.7,1.63,1.655,1.6268,3766633
2026-02-25,1.655,1.655,1.625,1.635,1.6072,2785044
2026-02-26,1.625,1.67,1.56,1.585,1.558,10303017
2026-02-27,1.575,1.585,1.5175,1.545,1.5187,6007165
2026-03-02,1.795,1.8875,1.715,1.78,1.7497,19455534
2026-03-03,1.8,1.83,1.72,1.81,1.7792,9498614
2026-03-04,1.86,1.89,1.7875,1.82,1.789,8722120
2026-03-05,1.78,1.82,1.725,1.81,1.81,6060447
2026-03-06,1.86,1.91,1.805,1.815,1.815,11397158
2026-03-09,1.975,2.06,1.88,2,2,25732381
2026-03-10,1.85,1.88,1.785,1.865,1.865,10531070
2026-03-11,1.85,1.92,1.845,1.89,1.89,13669790
2026-03-12,2,2,1.935,1.98,1.98,14521080
2026-03-13,1.9,1.955,1.835,1.84,1.84,12917930
2026-03-16,1.9,1.96,1.895,1.925,1.925,12058414
2026-03-17,1.87,1.955,1.85,1.915,1.915,9454567
2026-03-18,1.92,1.935,1.875,1.905,1.905,6579157
2026-03-19,1.945,2.02,1.93,2.01,2.01,22386251
2026-03-20,2,2.03,1.91,1.97,1.97,14869162
2026-03-23,1.985,2.065,1.97,2.06,2.06,9106576
2026-03-24,1.95,2.07,1.93,2.06,2.06,9614072
2026-03-25,2.06,2.07,1.875,1.91,1.91,14509995
2026-03-26,1.95,1.985,1.925,1.98,1.98,9670591
2026-03-27,2,2.04,1.99,2.02,2.02,6097868
2026-03-30,2.1,2.19,2.09,2.14,2.14,17171350
2026-03-31,2.16,2.185,2.04,2.06,2.06,12969763
2026-04-01,1.98,2.01,1.9,1.99,1.99,12940257
2026-04-02,1.94,2.14,1.895,2.12,2.12,13466847
2026-04-07,2.14,2.2,2.07,2.18,2.18,9147552
2026-04-08,1.94,1.94,1.865,1.895,1.895,20320891
2026-04-09,1.97,1.985,1.945,1.975,1.975,15879583
2026-04-10,1.965,1.99,1.925,1.99,1.99,7579969
2026-04-13,2.13,2.17,2.07,2.09,2.09,8793241
2026-04-14,2.05,2.18,2.04,2.17,2.17,10116978
2026-04-15,2.05,2.175,2.04,2.15,2.15,12376382
2026-04-16,2.15,2.2,2.13,2.2,2.2,5831445
2026-04-17,2.2,2.235,2.12,2.14,2.14,5037441
2026-04-20,2.12,2.13,2,2,2,8441785
2026-04-21,2.03,2.03,1.975,2.01,2.01,6248195
2026-04-22,2.06,2.09,2.02,2.04,2.04,7028671
2026-04-23,2.07,2.2,2.06,2.2,2.2,8845087
2026-04-24,2.2,2.26,2.19,2.24,2.24,5652979
2026-04-27,2.21,2.22,2.16,2.18,2.18,3531056
2026-04-28,2.2,2.23,2.07,2.15,2.15,7639215
2026-04-29,2.18,2.21,2.14,2.14,2.14,5737578
2026-04-30,2.21,2.22,2.145,2.19,2.19,7694242
2026-05-01,2.19,2.2,2.135,2.17,2.17,3213046
2026-05-04,2.14,2.145,2.07,2.08,2.08,4374084
2026-05-05,2.12,2.155,2.115,2.12,2.12,3153572
2026-05-06,2.08,2.1,2.055,2.07,2.07,3495032
2026-05-07,1.985,2,1.945,2,2,6273744
2026-05-08,2.02,2.04,1.95,1.96,1.96,4051667
2026-05-11,1.96,1.995,1.96,1.98,1.98,3302018
2026-05-12,1.995,2.03,1.98,1.995,1.995,3472079
2026-05-13,2.07,2.08,2.02,2.06,2.06,3351562
2026-05-14,2.04,2.07,2.005,2.04,2.04,2207496
2026-05-15,2.08,2.135,2.06,2.09,2.09,3940213
2026-05-18,2.15,2.15,2.06,2.08,2.08,6228803
2026-05-19,2.06,2.09,2.03,2.06,2.06,3293534
2026-05-20,2.1,2.11,2.06,2.08,2.08,5661232
2026-05-21,2,2.085,1.995,2.08,2.08,4649373
2026-05-22,2.05,2.11,2.02,2.11,2.11,4713603
2026-05-25,2.04,2.04,1.97,1.99,1.99,4707567
2026-05-26,2,2.05,1.96,1.975,1.975,4304021
2026-05-27,1.97,1.995,1.94,1.95,1.95,3201656
2026-05-28,1.925,2.03,1.91,2,2,6300245
2026-05-29,1.97,1.97,1.9125,1.955,1.955,5666151
2026-06-01,1.95,2.01,1.9075,1.995,1.995,3067315
2026-06-02,2.03,2.035,1.975,1.975,1.975,4701110
2026-06-03,2.01,2.02,1.975,2.01,2.01,3627568
2026-06-04,2.06,2.07,2.01,2.01,2.01,3198272
2026-06-05,2.02,2.02,1.9325,1.945,1.945,2746701
2026-06-09,1.945,1.975,1.94,1.955,1.955,3570604
2026-06-10,1.92,2,1.91,1.96,1.96,4263105
2026-06-11,2.02,2.075,2.02,2.05,2.05,5405569
2026-06-12,1.97,2.03,1.94,2.03,2.03,3482895
2026-06-15,1.92,1.9475,1.8,1.86,1.86,15706042
2026-06-16,1.88,1.885,1.58,1.645,1.645,20746575
2026-06-17,1.575,1.575,1.425,1.425,1.425,24013448
2026-06-18,1.435,1.465,1.41,1.445,1.445,11639712
2026-06-19,1.42,1.455,1.395,1.44,1.44,17922142
2026-06-22,1.46,1.5,1.38,1.395,1.395,13247474
2026-06-23,1.415,1.425,1.385,1.41,1.41,8046620
2026-06-24,1.41,1.41,1.355,1.37,1.37,8046673
2026-06-25,1.35,1.35,1.285,1.295,1.295,9028418
2026-06-26,1.325,1.3275,1.255,1.26,1.26,7349652
2026-06-29,1.305,1.38,1.28,1.375,1.375,10906009
2026-06-30,1.415,1.455,1.395,1.455,1.455,13290225
2026-07-01,1.45,1.45,1.3925,1.42,1.42,6213214
2026-07-02,1.39,1.395,1.35,1.39,1.39,7494206
2026-07-03,1.4,1.4,1.355,1.395,1.395,4718455
2026-07-06,1.395,1.41,1.355,1.38,1.38,6299679
2026-07-07,1.34,1.36,1.33,1.355,1.355,5370667
2026-07-08,1.415,1.445,1.375,1.445,1.445,10008642
2026-07-09,1.48,1.495,1.445,1.465,1.465,7601636
2026-07-10,1.435,1.455,1.37,1.415,1.415,7013568
2026-07-13,1.46,1.475,1.425,1.445,1.445,6384892
2026-07-14,1.515,1.545,1.5,1.5,1.5,8904704
2026-07-15,1.485,1.515,1.485,1.49,1.49,5302509
2026-07-16,1.49,1.505,1.465,1.495,1.495,6615937
2026-07-17,1.5,1.53,1.485,1.5,1.5,7840072
2026-07-20,1.555,1.5725,1.52,1.53,1.53,5440029
2026-07-21,1.52,1.525,1.485,1.495,1.495,4691515
2026-07-22,1.51,1.57,1.505,1.56,1.56,5092833
2026-07-23,1.56,1.64,1.55,1.615,1.615,10186748
2026-07-24,1.69,1.81,1.69,1.79,1.79,16341255
2026-07-27,1.72,1.725,1.62,1.65,1.65,10524876
2026-07-28,1.59,1.715,1.58,1.71,1.71,7688557
2026-07-29,1.64,1.7675,1.64,1.755,1.755,7709475
2026-07-30,1.805,1.815,1.73,1.76,1.76,8036616
2026-07-31,1.75,1.81,1.72,1.74,1.74,8771961
2026-08-03,1.7,1.75,1.69,1.735,1.735,5101523
2026-08-04,1.72,1.77,1.705,1.745,1.745,6839616
2026-08-05,1.69,1.72,1.675,1.695,1.695,5366731
2026-08-06,1.665,1.685,1.6375,1.68,1.68,4716575
2026-08-07,1.715,1.73,1.655,1.655,1.655,7591315
2026-08-10,1.66,1.665,1.62,1.645,1.645,3961072
2026-08-11,1.7,1.77,1.685,1.75,1.75,6994514
2026-08-12,1.75,1.77,1.72,1.73,1.73,6045299
2026-08-13,1.74,1.745,1.7025,1.725,1.725,3647844
2026-08-14,1.74,1.77,1.725,1.75,1.75,4128624
2026-08-17,1.76,1.77,1.735,1.75,1.75,2370920
2026-08-18,1.76,1.805,1.755,1.795,1.795,4093527
2026-08-19,1.775,1.825,1.7725,1.81,1.81,5034049
2026-08-20,1.815,1.83,1.7825,1.795,1.795,2914575
2026-08-21,1.845,1.875,1.81,1.82,1.82,4773203
2026-08-24,1.82,1.82,1.775,1.79,1.79,3448136
2026-08-25,1.75,1.795,1.745,1.765,1.765,6638678
2026-08-26,1.735,1.75,1.69,1.73,1.73,7529265
