Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.43,2.52,2.43,2.51,2.469,683878
2025-07-23,2.55,2.58,2.51,2.51,2.469,1031946
2025-07-24,2.54,2.545,2.45,2.49,2.4493,440914
2025-07-25,2.47,2.47,2.375,2.4,2.3608,1092323
2025-07-28,2.4,2.455,2.38,2.41,2.3706,549332
2025-07-29,2.39,2.415,2.32,2.37,2.3313,855090
2025-07-30,2.35,2.42,2.35,2.4,2.3608,416949
2025-07-31,2.35,2.35,2.2,2.22,2.1837,1035050
2025-08-01,2.18,2.23,2.13,2.22,2.1837,1735447
2025-08-04,2.31,2.53,2.31,2.5,2.4592,1880087
2025-08-05,2.55,2.68,2.52,2.68,2.6362,1713004
2025-08-06,2.68,2.75,2.665,2.73,2.6854,1493907
2025-08-07,2.73,2.75,2.66,2.73,2.6854,1129671
2025-08-08,2.75,2.79,2.74,2.75,2.7051,937180
2025-08-11,2.8,2.93,2.79,2.9,2.8526,1260953
2025-08-12,2.84,2.85,2.765,2.81,2.7641,1498768
2025-08-13,2.83,2.86,2.8,2.82,2.7739,652447
2025-08-14,2.85,2.88,2.82,2.83,2.7838,868039
2025-08-15,2.85,2.93,2.8,2.91,2.8625,1674913
2025-08-18,2.9,2.93,2.885,2.91,2.8625,460377
2025-08-19,2.86,2.91,2.84,2.91,2.8625,801545
2025-08-20,2.86,2.87,2.78,2.82,2.7739,675834
2025-08-21,2.85,2.99,2.85,2.98,2.9313,1105698
2025-08-22,2.95,2.96,2.89,2.91,2.8625,914499
2025-08-25,2.95,3.04,2.95,3.01,2.9608,1660290
2025-08-26,3.02,3.02,2.87,2.91,2.8625,698139
2025-08-27,2.93,3,2.89,2.93,2.8821,501766
2025-08-28,2.95,2.96,2.77,2.84,2.7936,1208295
2025-08-29,2.83,2.87,2.795,2.86,2.8133,774654
2025-09-01,2.94,3.06,2.92,3.04,2.9903,2609135
2025-09-02,3.15,3.19,3.13,3.15,3.0985,1816051
2025-09-03,3.19,3.25,3.05,3.13,3.0789,2039423
2025-09-04,3.16,3.17,2.97,2.99,2.9411,1345607
2025-09-05,3.06,3.06,2.98,3.01,2.9608,826646
2025-09-08,3.12,3.18,3.04,3.05,3.0002,1156143
2025-09-09,3.12,3.17,3.08,3.16,3.1084,1048179
2025-09-10,3.18,3.18,3.075,3.1,3.0493,1033383
2025-09-11,3.15,3.18,2.85,3.05,3.0002,2127603
2025-09-12,3.08,3.11,2.99,3.04,2.9903,2314494
2025-09-15,3.09,3.09,2.84,2.92,2.8723,1572455
2025-09-16,2.96,3.01,2.87,2.93,2.8821,1499578
2025-09-17,2.92,2.92,2.79,2.86,2.8133,1754160
2025-09-18,2.83,2.88,2.77,2.86,2.8133,1313152
2025-09-19,2.88,3.06,2.83,3.06,3.01,11718702
2025-09-22,3.03,3.27,3.02,3.22,3.1674,2398804
2025-09-23,3.35,3.6,3.35,3.54,3.4822,3788750
2025-09-24,3.53,3.555,3.41,3.51,3.4526,1949977
2025-09-25,3.41,3.48,3.4,3.43,3.374,1305636
2025-09-26,3.57,3.74,3.51,3.74,3.6789,2665520
2025-09-29,3.85,3.98,3.82,3.96,3.8953,2317347
2025-09-30,3.9,3.93,3.8,3.84,3.7773,1456668
2025-10-01,3.81,3.91,3.8,3.83,3.7674,1424073
2025-10-02,3.91,3.92,3.81,3.83,3.7674,976232
2025-10-03,3.83,3.86,3.73,3.77,3.7084,1457699
2025-10-06,3.83,3.87,3.71,3.85,3.7871,1221631
2025-10-07,3.91,4.05,3.85,4.03,3.9642,2760362
2025-10-08,4.02,4.22,4.02,4.14,4.0724,3127785
2025-10-09,4.11,4.11,3.895,4.02,3.9543,1490410
2025-10-10,3.94,4.005,3.85,3.97,3.9051,1179169
2025-10-13,3.89,4.085,3.88,3.97,3.9051,943014
