Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,4.48,4.53,4.45,4.53,4.3589,145773
2025-04-28,4.49,4.6,4.46,4.52,4.3493,161190
2025-04-29,4.54,4.65,4.49,4.64,4.4648,205273
2025-04-30,4.65,4.65,4.48,4.51,4.3397,318351
2025-05-01,4.49,4.67,4.49,4.61,4.4359,268091
2025-05-02,4.6,4.71,4.56,4.67,4.4936,222249
2025-05-05,4.64,4.72,4.52,4.55,4.3782,167267
2025-05-06,4.55,4.62,4.5,4.55,4.3782,191011
2025-05-07,4.54,4.66,4.49,4.65,4.4744,203496
2025-05-08,4.65,4.7,4.65,4.66,4.484,167327
2025-05-09,4.69,4.77,4.66,4.73,4.5514,232049
2025-05-12,4.75,4.88,4.69,4.72,4.5417,316329
2025-05-13,4.8,4.87,4.73,4.75,4.5706,256005
2025-05-14,4.78,4.89,4.76,4.79,4.6091,313588
2025-05-15,4.78,4.8,4.67,4.69,4.5129,240284
2025-05-16,4.69,4.735,4.53,4.53,4.3589,485403
2025-05-19,4.53,4.57,4.48,4.52,4.3493,235981
2025-05-20,4,4.38,3.99,4.12,3.9644,1867135
2025-05-21,4.13,4.19,4,4.02,3.8682,992648
2025-05-22,4,4.06,3.95,4,3.8489,841120
2025-05-23,4.02,4.12,4.005,4.07,3.9163,507418
2025-05-26,4.06,4.1,4.01,4.03,3.8778,565163
2025-05-27,4.07,4.1,4.015,4.06,3.9067,411807
2025-05-28,4.09,4.09,3.93,3.94,3.7912,716840
2025-05-29,3.95,4.015,3.92,3.98,3.8297,360858
2025-05-30,3.98,3.98,3.905,3.91,3.7623,332026
2025-06-02,3.91,3.99,3.86,3.95,3.8008,552163
2025-06-03,3.95,3.965,3.86,3.87,3.7238,809721
2025-06-04,3.9,4.045,3.9,4.01,3.8585,430278
2025-06-05,4.03,4.06,3.98,4.04,3.8874,262502
2025-06-06,4.04,4.1,4.02,4.04,3.8874,274760
2025-06-10,4.05,4.12,4.05,4.06,3.9067,219605
2025-06-11,4.07,4.09,4.01,4.03,3.8778,288943
2025-06-12,4.02,4.02,3.94,3.97,3.8201,459315
2025-06-13,3.94,3.94,3.78,3.83,3.6853,981764
2025-06-16,3.83,3.91,3.81,3.88,3.7335,368668
2025-06-17,3.86,3.97,3.86,3.91,3.7623,404767
2025-06-18,3.91,3.91,3.79,3.79,3.6469,453098
2025-06-19,3.78,3.81,3.73,3.75,3.6084,521527
2025-06-20,3.75,3.75,3.7,3.73,3.5891,367759
2025-06-23,3.71,3.71,3.65,3.67,3.5314,330851
2025-06-24,3.68,3.85,3.68,3.82,3.6757,580033
2025-06-25,3.81,3.85,3.74,3.74,3.5987,638528
2025-06-26,3.72,3.83,3.71,3.78,3.6372,398262
2025-06-27,3.75,3.82,3.73,3.73,3.5891,601119
2025-06-30,3.73,3.795,3.69,3.76,3.618,772125
2025-07-01,3.75,3.89,3.75,3.87,3.7238,602706
2025-07-02,3.89,3.91,3.82,3.87,3.7238,360328
2025-07-03,3.85,3.91,3.84,3.87,3.7238,330240
