Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,3.83,3.83,3.73,3.76,3.6132,365355
2025-07-23,3.77,3.82,3.74,3.75,3.6036,268945
2025-07-24,3.765,3.835,3.74,3.81,3.6613,380016
2025-07-25,3.81,3.86,3.78,3.84,3.6901,201369
2025-07-28,3.84,3.84,3.79,3.81,3.6613,323179
2025-07-29,3.82,3.92,3.79,3.89,3.7382,678737
2025-07-30,3.9,3.9,3.73,3.74,3.594,314394
2025-07-31,3.84,3.84,3.7,3.74,3.594,326283
2025-08-01,3.73,3.73,3.66,3.71,3.5652,257990
2025-08-04,3.69,3.73,3.63,3.67,3.5268,218005
2025-08-05,3.72,3.845,3.72,3.83,3.6805,346969
2025-08-06,3.78,3.83,3.75,3.8,3.6517,299000
2025-08-07,3.8,3.815,3.78,3.81,3.6613,333182
2025-08-08,3.82,3.84,3.78,3.84,3.6901,492357
2025-08-11,3.82,3.87,3.8,3.86,3.7093,282142
2025-08-12,3.85,3.86,3.78,3.82,3.6709,376590
2025-08-13,3.84,3.88,3.79,3.8,3.6517,403515
2025-08-14,3.79,3.85,3.77,3.77,3.6229,248825
2025-08-15,3.83,3.88,3.79,3.88,3.7286,221594
2025-08-18,3.89,3.92,3.84,3.92,3.767,302712
2025-08-19,3.87,3.93,3.87,3.9,3.7478,118742
2025-08-20,3.93,3.93,3.83,3.84,3.6901,233135
2025-08-21,3.83,3.92,3.83,3.91,3.7574,202393
2025-08-22,3.91,3.98,3.89,3.96,3.8054,491920
2025-08-25,3.98,4.09,3.96,4.03,3.8727,676274
2025-08-26,4.4,4.92,4.32,4.76,4.5742,2950351
2025-08-27,4.9,5.11,4.83,5.02,4.8241,1797527
2025-08-28,4.9,5.1,4.77,5.05,4.8529,1277133
2025-08-29,5.05,5.09,4.95,4.98,4.7856,961408
2025-09-01,4.84,4.95,4.84,4.86,4.6703,943030
2025-09-02,4.88,4.95,4.85,4.92,4.728,556788
2025-09-03,4.94,5.04,4.84,5.02,4.8241,1092098
2025-09-04,5.02,5.19,4.95,5.18,4.9778,1090761
2025-09-05,5.2,5.2,4.99,5.02,4.8241,719599
2025-09-08,5.02,5.08,4.97,5.05,4.8529,676409
2025-09-09,5.04,5.04,4.9,4.92,4.728,229053
2025-09-10,4.95,4.99,4.86,4.97,4.776,388612
2025-09-11,4.92,5.055,4.92,5.01,4.8145,453444
2025-09-12,5.05,5.11,4.92,4.97,4.776,888532
2025-09-15,4.93,4.97,4.85,4.95,4.8495,413459
2025-09-16,4.98,5.03,4.96,5,4.8985,959960
2025-09-17,4.99,5.01,4.9,4.95,4.8495,491908
2025-09-18,4.87,4.99,4.87,4.99,4.8887,552738
2025-09-19,4.95,5.02,4.915,5.02,4.9181,2331234
2025-09-22,4.99,5,4.84,4.86,4.7613,416758
2025-09-23,4.86,4.94,4.82,4.91,4.8103,339762
2025-09-24,4.97,4.97,4.82,4.87,4.7711,265424
2025-09-25,4.9,4.91,4.86,4.9,4.8005,225822
2025-09-26,4.88,4.89,4.75,4.83,4.7319,202019
2025-09-29,4.86,4.91,4.825,4.84,4.7417,299401
2025-09-30,4.84,4.94,4.84,4.91,4.8103,946699
2025-10-01,4.81,4.9,4.81,4.9,4.8005,221870
2025-10-02,4.91,4.975,4.86,4.97,4.8691,917159
2025-10-03,4.89,5.07,4.89,5.04,4.9377,280453
2025-10-06,5.05,5.1,5.01,5.01,4.9083,175167
2025-10-07,5.01,5.22,5.01,5.21,5.1042,614396
2025-10-08,5.21,5.21,5.045,5.08,4.9769,436847
2025-10-09,5.09,5.145,5.02,5.04,4.9377,337340
2025-10-10,5.1,5.1,5.005,5.06,4.9573,386264
2025-10-13,4.99,5.02,4.93,4.98,4.8789,381953
2025-10-14,5,5.03,4.965,5,4.8985,248517
2025-10-15,5.05,5.05,4.955,4.96,4.8593,187432
2025-10-16,4.97,5,4.94,4.96,4.8593,218721
2025-10-17,5,5,4.88,4.91,4.8103,267441
2025-10-20,4.91,4.965,4.9,4.93,4.8299,143933
2025-10-21,4.93,5,4.89,4.96,4.8593,451044
2025-10-22,5,5.055,4.92,4.94,4.8397,844342
2025-10-23,4.93,5,4.92,4.97,4.8691,250840
2025-10-24,5,5,4.86,4.88,4.7809,273073
2025-10-27,4.88,4.9,4.82,4.88,4.7809,266364
2025-10-28,4.84,4.9,4.81,4.84,4.7417,1106029
2025-10-29,4.82,4.9,4.81,4.87,4.7711,191210
2025-10-30,4.85,4.885,4.78,4.8,4.7025,240961
2025-10-31,4.76,4.87,4.71,4.87,4.7711,237347
2025-11-03,4.7,4.855,4.7,4.85,4.7515,127657
2025-11-04,4.8,4.86,4.75,4.79,4.6927,190226
2025-11-05,4.71,4.78,4.61,4.72,4.6242,271617
2025-11-06,4.6,4.75,4.6,4.74,4.6438,256098
2025-11-07,4.72,4.78,4.675,4.78,4.6829,295436
2025-11-10,4.74,4.835,4.74,4.79,4.6927,275352
2025-11-11,4.8,4.87,4.785,4.84,4.7417,557764
2025-11-12,4.85,4.85,4.61,4.65,4.5556,528913
2025-11-13,4.65,4.66,4.57,4.62,4.5262,335527
2025-11-14,4.62,4.62,4.48,4.59,4.4968,880487
2025-11-17,4.59,4.63,4.55,4.57,4.4772,567785
2025-11-18,4.56,4.61,4.49,4.49,4.3988,4795793
2025-11-19,4.5,4.54,4.44,4.46,4.3694,411084
2025-11-20,4.5,4.57,4.48,4.55,4.4576,244704
2025-11-21,4.7,4.7,4.35,4.45,4.3596,447008
2025-11-24,4.44,4.69,4.435,4.52,4.4282,723315
2025-11-25,4.6,4.63,4.55,4.59,4.4968,188508
2025-11-26,4.52,4.7,4.52,4.7,4.6046,320971
2025-11-27,4.69,4.72,4.605,4.65,4.5556,630783
2025-11-28,4.68,4.68,4.6,4.62,4.5262,564824
2025-12-01,4.65,4.65,4.47,4.47,4.3792,306970
2025-12-02,4.46,4.53,4.43,4.5,4.4086,508797
2025-12-03,4.49,4.515,4.44,4.44,4.3498,312223
2025-12-04,4.43,4.46,4.39,4.4,4.3107,509305
2025-12-05,4.34,4.43,4.325,4.41,4.3205,343012
2025-12-08,4.4,4.47,4.37,4.47,4.3792,489637
2025-12-09,4.48,4.48,4.37,4.41,4.3205,749841
2025-12-10,4.48,4.48,4.36,4.38,4.2911,410413
2025-12-11,4.43,4.475,4.35,4.35,4.2617,359931
2025-12-12,4.31,4.43,4.24,4.26,4.1735,335405
2025-12-15,4.16,4.32,4.16,4.3,4.2127,321224
2025-12-16,4.37,4.37,4.27,4.3,4.2127,480502
2025-12-17,4.25,4.3,4.23,4.28,4.1931,636004
2025-12-18,4.28,4.3,4.22,4.28,4.1931,364981
2025-12-19,4.25,4.36,4.25,4.34,4.2519,884150
2025-12-22,4.34,4.39,4.29,4.37,4.2813,248089
2025-12-23,4.42,4.42,4.26,4.31,4.2225,584244
2025-12-24,4.3,4.34,4.25,4.34,4.2519,143102
2025-12-29,4.27,4.34,4.27,4.29,4.2029,136465
2025-12-30,4.26,4.3,4.26,4.29,4.2029,200520
2025-12-31,4.29,4.29,4.25,4.25,4.1637,147268
2026-01-02,4.25,4.35,4.25,4.34,4.2519,107658
2026-01-05,4.38,4.39,4.18,4.18,4.0951,203470
2026-01-06,4.18,4.28,4.18,4.27,4.1833,444405
2026-01-07,4.29,4.36,4.275,4.36,4.2715,240397
2026-01-08,4.36,4.38,4.34,4.38,4.2911,238105
2026-01-09,4.31,4.39,4.31,4.34,4.2519,210207
2026-01-12,4.4,4.4,4.31,4.35,4.2617,142106
2026-01-13,4.35,4.37,4.28,4.32,4.2323,444374
2026-01-14,4.38,4.38,4.26,4.29,4.2029,132132
2026-01-15,4.27,4.3,4.22,4.25,4.1637,726225
2026-01-16,4.3,4.3,4.15,4.18,4.0951,273076
2026-01-19,4.16,4.16,4.06,4.09,4.007,961872
