Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,0.62,0.635,0.605,0.63,0.6247,1047597
2025-07-23,0.635,0.635,0.625,0.635,0.6297,2219981
2025-07-24,0.625,0.63,0.62,0.63,0.6247,703635
2025-07-25,0.62,0.63,0.615,0.615,0.6099,636114
2025-07-28,0.62,0.635,0.615,0.63,0.6247,1358308
2025-07-29,0.635,0.665,0.62,0.665,0.6594,4246206
2025-07-30,0.665,0.705,0.657,0.7,0.6941,4163069
2025-07-31,0.705,0.705,0.665,0.665,0.6594,1295265
2025-08-01,0.68,0.685,0.655,0.66,0.6545,918916
2025-08-04,0.66,0.68,0.655,0.67,0.6644,886789
2025-08-05,0.67,0.695,0.67,0.69,0.6842,1024325
2025-08-06,0.69,0.795,0.69,0.79,0.7834,5315736
2025-08-07,0.77,0.775,0.745,0.76,0.7536,2927859
2025-08-08,0.75,0.76,0.72,0.73,0.7239,2202259
2025-08-11,0.725,0.74,0.717,0.73,0.7239,919748
2025-08-12,0.73,0.735,0.715,0.715,0.709,1018629
2025-08-13,0.71,0.725,0.71,0.725,0.7189,713018
2025-08-14,0.72,0.73,0.705,0.72,0.714,3624923
2025-08-15,0.705,0.73,0.705,0.715,0.709,618937
2025-08-18,0.715,0.725,0.702,0.72,0.714,1121484
2025-08-19,0.72,0.73,0.71,0.73,0.7239,491383
2025-08-20,0.725,0.787,0.725,0.785,0.7784,2205329
2025-08-21,0.785,0.825,0.77,0.825,0.8181,3077457
2025-08-22,0.825,0.84,0.785,0.81,0.8032,1827711
2025-08-25,0.81,0.84,0.802,0.815,0.8082,1717879
2025-08-26,0.8,0.84,0.8,0.835,0.828,1853273
2025-08-27,0.82,0.83,0.785,0.81,0.8032,1896191
2025-08-28,0.76,0.805,0.745,0.805,0.7983,2694889
2025-08-29,0.76,0.807,0.76,0.8,0.7933,2662912
2025-09-01,0.8,0.82,0.77,0.78,0.7735,2045920
2025-09-02,0.72,0.75,0.7,0.75,0.7437,2169264
2025-09-03,0.705,0.75,0.685,0.7,0.6941,3497596
2025-09-04,0.695,0.725,0.675,0.685,0.6793,1590235
2025-09-05,0.68,0.695,0.67,0.68,0.6743,1148351
2025-09-08,0.68,0.7,0.66,0.68,0.6743,1236090
2025-09-09,0.685,0.695,0.665,0.67,0.6644,1238837
2025-09-10,0.675,0.7,0.67,0.695,0.6892,1031700
2025-09-11,0.68,0.7,0.68,0.685,0.6793,577817
2025-09-12,0.69,0.7,0.685,0.69,0.6842,660025
2025-09-15,0.69,0.7,0.68,0.69,0.6842,2023035
2025-09-16,0.695,0.72,0.685,0.715,0.709,2308806
2025-09-17,0.715,0.755,0.715,0.74,0.7338,2238269
2025-09-18,0.725,0.745,0.725,0.735,0.7288,2933150
2025-09-19,0.735,0.745,0.717,0.745,0.7388,29474721
2025-09-22,0.745,0.745,0.71,0.73,0.7239,540607
2025-09-23,0.74,0.74,0.705,0.725,0.7189,1419118
2025-09-24,0.73,0.74,0.7,0.71,0.7041,1130052
2025-09-25,0.71,0.725,0.705,0.71,0.7041,1039206
2025-09-26,0.705,0.71,0.685,0.69,0.6842,752522
2025-09-29,0.69,0.7,0.665,0.67,0.6644,1708102
2025-09-30,0.67,0.675,0.66,0.67,0.6644,736020
2025-10-01,0.665,0.68,0.645,0.67,0.6644,1764155
2025-10-02,0.65,0.705,0.65,0.695,0.6892,11572950
2025-10-03,0.71,0.725,0.685,0.69,0.6842,925363
2025-10-06,0.695,0.695,0.645,0.67,0.6644,647098
2025-10-07,0.675,0.695,0.66,0.675,0.6694,1940744
2025-10-08,0.68,0.735,0.68,0.73,0.7239,1664142
2025-10-09,0.735,0.93,0.735,0.895,0.8875,7435384
2025-10-10,0.94,1.0775,0.92,1.04,1.0313,7911334
2025-10-13,1.03,1.145,1.03,1.08,1.071,6209570
2025-10-14,1.08,1.1,1.055,1.09,1.0809,2621857
2025-10-15,1.09,1.105,1.02,1.04,1.0313,2466359
2025-10-16,1.02,1.14,1.02,1.135,1.1255,4961632
2025-10-17,1.1,1.1,1.035,1.035,1.0263,1891115
2025-10-20,1.04,1.05,0.985,1.005,0.9966,3115437
2025-10-21,1.02,1.075,1,1.03,1.0214,4668450
2025-10-22,1.025,1.05,1.01,1.03,1.0214,9035693
2025-10-23,1.015,1.045,1.01,1.04,1.0313,4914541
2025-10-24,1.03,1.06,1.03,1.04,1.0313,2441711
2025-10-27,1.04,1.065,1.035,1.04,1.0313,768024
2025-10-28,1.03,1.065,1.03,1.03,1.0214,883444
2025-10-29,1.03,1.03,1.03,1.03,1.0214,0
2025-10-30,1.02,1.205,1.015,1.15,1.1404,20836117
2025-10-31,1.14,1.14,1.095,1.13,1.1205,4179306
2025-11-03,1.13,1.13,1.085,1.095,1.0858,5002293
2025-11-04,1.085,1.085,1.045,1.07,1.061,4287778
2025-11-05,1.05,1.085,1.03,1.085,1.0759,7158631
2025-11-06,1.095,1.155,1.085,1.09,1.0809,7616277
2025-11-07,1.05,1.0925,1.04,1.05,1.0412,5037706
2025-11-10,1.055,1.075,1.03,1.05,1.0412,6498709
2025-11-11,1.05,1.07,1.04,1.05,1.0412,3257484
2025-11-12,1.05,1.055,1.025,1.045,1.0363,4037738
2025-11-13,1.045,1.07,1.045,1.07,1.061,3902794
2025-11-14,1.05,1.07,1.02,1.05,1.0412,6907881
2025-11-17,1.05,1.07,1.025,1.07,1.061,3608547
2025-11-18,1.06,1.06,0.995,1.01,1.0015,5661095
2025-11-19,1.025,1.025,0.97,0.99,0.9817,3406070
2025-11-20,1.015,1.065,1.015,1.06,1.0511,2467701
