Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,7.33,7.72,7.33,7.63,7.63,188270
2025-04-28,7.21,7.58,7.15,7.17,7.17,426388
2025-04-29,7.21,7.48,7.15,7.4,7.4,643741
2025-04-30,7.5,7.5,7.13,7.16,7.16,382258
2025-05-01,7.11,7.23,6.94,7.22,7.22,420088
2025-05-02,7.14,7.64,7.06,7.54,7.54,402210
2025-05-05,7.5,7.91,7.5,7.82,7.82,265551
2025-05-06,7.8,7.8,7.52,7.7,7.7,170806
2025-05-07,7.62,8.12,7.6,8.07,8.07,440101
2025-05-08,8.06,8.26,7.935,8.18,8.18,346618
2025-05-09,7.89,8.18,7.89,7.99,7.99,127649
2025-05-12,8.16,8.16,7.96,7.98,7.98,123230
2025-05-13,8.07,8.31,7.95,8.01,8.01,175930
2025-05-14,8.06,8.06,7.51,7.69,7.69,491212
2025-05-15,7.73,7.85,7.55,7.65,7.65,164350
2025-05-16,7.77,7.835,7.63,7.77,7.77,176018
2025-05-19,7.71,7.72,7.26,7.33,7.33,239747
2025-05-20,7.36,7.5,7.24,7.47,7.47,167878
2025-05-21,7.55,7.58,7.29,7.37,7.37,285629
2025-05-22,7.24,7.31,7.13,7.23,7.23,234020
2025-05-23,7.23,7.38,7.16,7.36,7.36,160585
2025-05-26,7.32,7.42,7.14,7.21,7.21,280502
2025-05-27,7.24,7.275,7.04,7.21,7.21,186498
2025-05-28,7.4,7.4,7,7.1,7.1,267986
2025-05-29,7.1,7.22,7.01,7.01,7.01,223328
2025-05-30,6.93,6.98,6.75,6.85,6.85,456435
2025-06-02,6.87,7.06,6.73,7,7,249491
2025-06-03,7.03,7.07,6.81,6.85,6.85,383240
2025-06-04,7,7.09,6.87,7.01,7.01,372533
2025-06-05,6.96,7.08,6.84,6.86,6.86,304934
2025-06-06,6.91,6.94,6.56,6.69,6.69,291698
2025-06-10,6.65,6.92,6.57,6.65,6.65,346954
2025-06-11,6.73,7.07,6.64,6.83,6.83,393727
2025-06-12,6.88,7.03,6.81,6.9,6.9,442009
2025-06-13,6.95,6.99,6.77,6.87,6.87,218339
2025-06-16,6.9,6.97,6.77,6.84,6.84,183546
2025-06-17,6.9,6.9,6.63,6.65,6.65,593109
2025-06-18,6.6,6.72,6.47,6.6,6.6,681229
2025-06-19,6.4,6.55,6.05,6.41,6.41,1214441
2025-06-20,6.45,6.69,6.37,6.69,6.69,1264343
2025-06-23,6.65,6.87,6.61,6.77,6.77,442666
2025-06-24,6.85,7.07,6.68,6.74,6.74,290983
2025-06-25,6.75,6.94,6.74,6.87,6.87,349950
2025-06-26,6.82,6.93,6.68,6.74,6.74,376102
2025-06-27,6.95,7.04,6.85,6.93,6.93,367684
2025-06-30,7,7.1,6.94,7,7,360757
2025-07-01,7.1,7.11,7,7.09,7.09,164261
2025-07-02,7.19,7.19,6.905,6.95,6.95,382646
2025-07-03,6.98,7.04,6.82,6.98,6.98,324338
2025-07-04,7,7.13,6.95,7.04,7.04,185110
2025-07-07,7.04,7.04,7.04,7.04,7.04,0
2025-07-08,7.04,7.04,7.04,7.04,7.04,0
2025-07-09,4.12,5.09,4.08,4.42,4.42,6699535
2025-07-10,4.43,4.84,4.31,4.83,4.83,2819599
2025-07-11,4.87,4.96,4.565,4.57,4.57,1309998
2025-07-14,4.66,4.67,4.15,4.15,4.15,1914643
2025-07-15,4.26,4.63,4.16,4.47,4.47,1618309
2025-07-16,4.47,4.78,4.47,4.76,4.76,1312171
2025-07-17,4.74,4.775,4.55,4.57,4.57,776418
2025-07-18,4.64,4.73,4.61,4.65,4.65,542960
2025-07-21,4.7,4.7,4.49,4.64,4.64,683312
2025-07-22,4.64,4.64,4.53,4.57,4.57,391536
2025-07-23,4.62,4.64,4.52,4.6,4.6,1236755
2025-07-24,4.64,4.67,4.56,4.6,4.6,641319
2025-07-25,4.6,4.79,4.54,4.71,4.71,746886
2025-07-28,4.76,4.77,4.58,4.64,4.64,286761
2025-07-29,4.65,4.66,4.44,4.5,4.5,407398
2025-07-30,4.49,4.49,4.35,4.42,4.42,456570
2025-07-31,4.4,4.53,4.37,4.44,4.44,414076
2025-08-01,4.4,4.45,4.305,4.39,4.39,372953
2025-08-04,4.39,4.44,4.31,4.39,4.39,316049
2025-08-05,4.41,4.66,4.34,4.56,4.56,614258
2025-08-06,4.57,4.62,4.5,4.62,4.62,456200
2025-08-07,4.57,4.66,4.57,4.62,4.62,343015
2025-08-08,4.57,4.62,4.51,4.52,4.52,291330
2025-08-11,4.46,4.78,4.46,4.78,4.78,618054
2025-08-12,4.75,4.8,4.605,4.68,4.68,1158354
2025-08-13,4.69,4.78,4.69,4.78,4.78,946724
2025-08-14,4.82,4.98,4.815,4.98,4.98,984923
2025-08-15,4.92,5.055,4.82,5,5,980103
2025-08-18,4.9,5.05,4.9,5.04,5.04,325261
2025-08-19,5,5.06,4.99,5,5,428441
