Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,5.2,5.21,5.13,5.18,4.7808,2007474
2025-07-23,5.19,5.23,5.18,5.23,4.827,1761007
2025-07-24,5.26,5.28,5.22,5.26,4.8546,1764024
2025-07-25,5.26,5.27,5.17,5.19,4.79,1163760
2025-07-28,5.19,5.23,5.17,5.2,4.7993,1194161
2025-07-29,5.2,5.23,5.17,5.2,4.7993,767783
2025-07-30,5.19,5.34,5.19,5.34,4.9285,1559134
2025-07-31,5.3,5.33,5.25,5.27,4.8639,2521757
2025-08-01,5.23,5.29,5.2,5.27,4.8639,1619148
2025-08-04,5.29,5.35,5.25,5.35,4.9377,1860081
2025-08-05,5.4,5.475,5.38,5.47,5.0485,1584275
2025-08-06,5.51,5.56,5.49,5.55,5.1223,1381696
2025-08-07,5.58,5.61,5.52,5.58,5.15,940600
2025-08-08,5.57,5.62,5.54,5.61,5.1777,982009
2025-08-11,5.59,5.69,5.58,5.69,5.2515,733193
2025-08-12,5.63,5.68,5.49,5.5,5.0761,1749476
2025-08-13,5.55,5.55,5.39,5.42,5.0023,2148194
2025-08-14,5.45,5.52,5.42,5.43,5.0115,1562966
2025-08-15,5.45,5.59,5.42,5.55,5.1223,1326476
2025-08-18,5.69,5.95,5.51,5.92,5.4638,3289915
2025-08-19,5.87,5.87,5.54,5.58,5.15,4321231
2025-08-20,5.58,5.68,5.58,5.68,5.2423,3518737
2025-08-21,5.71,5.74,5.68,5.7,5.2607,2402524
2025-08-22,5.6,5.69,5.53,5.54,5.2698,6416885
2025-08-25,5.6,5.61,5.42,5.42,5.1557,2001676
2025-08-26,5.45,5.48,5.29,5.44,5.1747,3069947
2025-08-27,5.48,5.54,5.42,5.52,5.2508,1511018
2025-08-28,5.53,5.545,5.45,5.52,5.2508,1121920
2025-08-29,5.52,5.59,5.5,5.55,5.2793,1967169
2025-09-01,5.55,5.68,5.55,5.66,5.384,1289789
2025-09-02,5.68,5.745,5.64,5.73,5.4506,1769435
2025-09-03,5.63,5.655,5.4,5.43,5.1652,2461396
2025-09-04,5.46,5.55,5.42,5.53,5.2603,1760218
2025-09-05,5.6,5.605,5.51,5.56,5.2889,1695595
2025-09-08,5.57,5.6,5.47,5.52,5.2508,1120303
2025-09-09,5.53,5.53,5.44,5.49,5.2223,916144
2025-09-10,5.47,5.485,5.45,5.45,5.1842,1098220
2025-09-11,5.45,5.47,5.44,5.44,5.1747,1053786
2025-09-12,5.46,5.54,5.43,5.45,5.1842,1477000
2025-09-15,5.43,5.49,5.43,5.45,5.1842,966029
2025-09-16,5.46,5.49,5.41,5.47,5.2032,1441667
2025-09-17,5.45,5.49,5.36,5.38,5.1176,1217451
2025-09-18,5.35,5.41,5.305,5.36,5.0986,856189
2025-09-19,5.35,5.4,5.31,5.32,5.0606,3322280
2025-09-22,5.33,5.42,5.27,5.27,5.013,994694
2025-09-23,5.26,5.31,5.2,5.24,4.9845,1042058
2025-09-24,5.2,5.225,5.16,5.22,4.9654,1668188
2025-09-25,5.2,5.35,5.2,5.29,5.032,1201697
2025-09-26,5.29,5.3,5.225,5.3,5.0415,1168520
2025-09-29,5.31,5.43,5.31,5.41,5.1462,1219200
2025-09-30,5.37,5.52,5.37,5.5,5.2318,1544097
2025-10-01,5.53,5.53,5.405,5.44,5.1747,979573
2025-10-02,5.46,5.51,5.44,5.45,5.1842,667158
2025-10-03,5.44,5.52,5.4,5.48,5.2128,1028779
2025-10-06,5.52,5.52,5.41,5.41,5.1462,676368
2025-10-07,5.4,5.41,5.3,5.33,5.0701,1218612
2025-10-08,5.34,5.34,5.21,5.26,5.0035,1690979
2025-10-09,5.3,5.34,5.26,5.31,5.051,707769
2025-10-10,5.29,5.36,5.27,5.32,5.0606,755305
2025-10-13,5.31,5.36,5.24,5.35,5.0891,1047064
2025-10-14,5.3,5.32,5.24,5.27,5.013,1318244
2025-10-15,5.32,5.35,5.28,5.35,5.0891,1191416
2025-10-16,5.4,5.5,5.29,5.49,5.2223,1005317
2025-10-17,5.38,5.47,5.38,5.45,5.1842,1100710
2025-10-20,5.44,5.51,5.37,5.48,5.2128,850041
2025-10-21,5.48,5.58,5.475,5.56,5.2889,1058804
2025-10-22,5.54,5.64,5.53,5.62,5.3459,1176643
2025-10-23,5.64,5.7,5.61,5.67,5.3935,1409250
2025-10-24,5.68,5.77,5.68,5.76,5.4791,1675555
2025-10-27,5.78,5.85,5.76,5.76,5.4791,1196441
2025-10-28,5.76,5.81,5.73,5.76,5.4791,876103
