Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,148.98,155.47,147.44,147.44,147.44,166478
2025-07-23,149.4,150.79,148.37,150.55,150.55,41621
2025-07-24,149.56,151.74,147.96,150.18,150.18,54740
2025-07-25,148.6,149.01,146.85,147.58,147.58,65430
2025-07-28,149.66,149.84,146.54,149.2,149.2,144455
2025-07-29,150.28,152.76,150.28,152,152,58735
2025-07-30,151.18,151.52,150.11,150.3,150.3,99640
2025-07-31,150.93,152.99,150.5,151.3,151.3,127074
2025-08-01,149.75,150.51,147.58,148.75,148.75,42403
2025-08-04,146.6,147.54,145.02,145.59,145.59,166302
2025-08-05,146.73,146.73,140.01,142.32,142.32,334817
2025-08-06,136.11,137,132.53,136.48,136.48,474091
2025-08-07,136.3,140.85,128.775,133.75,133.75,602722
2025-08-08,122.27,128.2,118.75,118.75,118.75,1121198
2025-08-11,121.67,125.01,121.01,123.04,123.04,746153
2025-08-12,128.25,130.97,128.25,130.43,130.43,731469
2025-08-13,133.05,135.37,132.92,134.3,134.3,568767
2025-08-14,136.99,136.99,134.71,136.65,136.65,286910
2025-08-15,137.57,139.5,136.69,138.02,138.02,186775
2025-08-18,136.96,136.96,134.49,136.15,136.15,173970
2025-08-19,137.39,138,135.88,137.5,137.5,418262
2025-08-20,140.02,142.055,139.29,141.12,141.12,172389
2025-08-21,140.6,142.08,139.28,140.05,140.05,255591
2025-08-22,140.92,143.4,140.06,141.25,141.25,216053
2025-08-25,143.5,144.42,142.11,144.1,144.1,326119
2025-08-26,146,148.1,144.96,147,147,759537
2025-08-27,146.5,146.53,144.34,145.09,145.09,80512
2025-08-28,144.92,144.92,142.26,144.17,144.17,114660
2025-08-29,141.49,142.27,139.21,141.21,141.21,237641
2025-09-01,138,139.4,136.03,137.66,137.66,178988
2025-09-02,136,140.94,135.5,137.76,137.76,201590
2025-09-03,135,135,132.61,133.46,133.46,234757
2025-09-04,131.38,132.93,130.05,131.13,131.13,481653
2025-09-05,135.01,136.34,134.21,135.75,135.75,92581
2025-09-08,136.97,139.2,136.755,137.91,137.91,250129
2025-09-09,136.98,137.14,134.46,135.58,135.58,168025
2025-09-10,135,135,133.01,133.7,133.7,113155
2025-09-11,133.12,134.9,132.5,134,134,464480
2025-09-12,133.2,134.25,132.2,133.66,133.66,142331
2025-09-15,133.5,136.32,133.15,134.5,134.5,123193
2025-09-16,137.08,137.38,134.55,137,137,135861
2025-09-17,134,135,132.96,133.69,133.69,205191
2025-09-18,134.13,134.13,132.33,132.99,132.99,113856
2025-09-19,133,134.225,132.93,133.81,133.81,501031
2025-09-22,133.5,134.41,132.7,133,133,95603
2025-09-23,133.87,135.49,132.72,133,133,203965
2025-09-24,133,133.96,132.455,133.51,133.51,116498
2025-09-25,129.99,130,126.39,129.5,129.5,158694
2025-09-26,129,133.365,128.535,130.74,130.74,194652
2025-09-29,131.12,131.12,128.51,129.55,129.55,96420
2025-09-30,128.87,131,128.87,129.64,129.64,164205
2025-10-01,128,129.035,126.44,127.08,127.08,159159
2025-10-02,128,129.36,127.38,127.76,127.76,196743
2025-10-03,127.53,130.03,127.53,129.6,129.6,89712
2025-10-06,130,130,127.54,128.92,128.92,76653
2025-10-07,126.99,127.88,125.31,126.28,126.28,236423
2025-10-08,122.3,122.99,121.51,122.79,122.79,180164
2025-10-09,124.36,124.48,122.84,123.49,123.49,213795
2025-10-10,122.3,123.42,122.1,123.18,123.18,135756
2025-10-13,122.99,124.49,122.52,124.37,124.37,151658
2025-10-14,124.07,124.15,121.57,123.25,123.25,165359
2025-10-15,124.08,124.57,122.75,123.2,123.2,118009
2025-10-16,121.77,123.04,119.37,121.75,121.75,204552
2025-10-17,118.65,119,116.98,117.06,117.06,221631
2025-10-20,115.08,115.08,110.28,113.1,113.1,426880
2025-10-21,112.5,115,112.5,113.94,113.94,225500
2025-10-22,116.19,117.54,115.3,116.83,116.83,130718
2025-10-23,117.8,119.5,116.83,119.22,119.22,95803
2025-10-24,118.54,119.15,116.41,119,119,220900
2025-10-27,118.5,118.5,116.86,117.24,117.24,213813
2025-10-28,117.14,117.14,115.15,115.15,115.15,147554
2025-10-29,114.95,114.95,113.22,113.47,113.47,276575
2025-10-30,112.55,112.55,110.28,111.5,111.5,298458
2025-10-31,110.6,112.77,109.12,109.47,109.47,367400
2025-11-03,110.5,113.82,109.95,112.03,112.03,254245
2025-11-04,113,116.16,112.94,116,116,465459
2025-11-05,115,116.66,113.23,115.38,115.38,563881
2025-11-06,126.5,129.99,123,124.85,124.85,733051
2025-11-07,124.85,126.44,123.05,124.85,124.85,735176
2025-11-10,124.82,125.27,123.705,125.07,125.07,495198
2025-11-11,135.5,139.67,135.5,138.82,138.82,633559
2025-11-12,138.68,148.42,137.46,140.2,140.2,4673318
2025-11-13,134,139.9,132.64,134.38,134.38,3117294
2025-11-14,132,133.68,131,131.66,131.66,480007
2025-11-17,135,136.53,133.37,136,136,521283
2025-11-18,134.9,137.81,133.01,135.97,135.97,809006
2025-11-19,136.15,142,136.02,142,142,657125
2025-11-20,141.49,142.06,138.85,140.9,140.9,1537892
2025-11-21,139.5,140.66,138.55,139.25,139.25,345962
2025-11-24,142.17,147.02,141.01,145,145,1293202
2025-11-25,145,146.88,143.81,144.96,144.96,444866
2025-11-26,144.89,144.89,140.24,143.56,143.56,700825
2025-11-27,145.8,153.34,145.56,152.06,152.06,548579
2025-11-28,151.08,157,151.08,153,153,345191
2025-12-01,153.5,156,145.6,152.84,152.84,442586
2025-12-02,148.7,153.79,146.1,153.27,153.27,454465
2025-12-03,151.5,153.98,145.6,147.26,147.26,324419
2025-12-04,146.1,149.58,144.55,146.48,146.48,511672
2025-12-05,149,150.98,148.59,149.72,149.72,265972
2025-12-08,148.01,154.4,148.01,150.95,150.95,446538
2025-12-09,151.2,158.43,150.8,150.94,150.94,550324
2025-12-10,150.8,152.5,148.94,152.5,152.5,313482
2025-12-11,152.5,153.25,151,151.58,151.58,253457
2025-12-12,152,153.865,150.57,151.41,151.41,223865
2025-12-15,152.59,152.59,148.83,149.3,149.3,189953
2025-12-16,151.15,151.15,145.15,146.35,146.35,1571236
2025-12-17,140.92,144.97,138.5,144.94,144.94,1241818
2025-12-18,145.49,148.9,141.48,146.45,146.45,766014
2025-12-19,146.15,152.25,144.46,152.25,152.25,6105960
2025-12-22,152.2,159.35,151.02,157,157,366094
2025-12-23,153.99,159,153.84,157.46,157.46,293255
2025-12-24,154.58,158,154.58,158,158,223208
2025-12-29,153.94,155.97,151.2,155.53,155.53,330366
2025-12-30,157,159.25,156.245,157.44,157.44,115843
2025-12-31,156,158.4,155.72,157.57,157.57,85779
2026-01-02,155,157.72,154,156,156,150001
2026-01-05,156.22,157.7,154.44,156.17,156.17,205851
2026-01-06,156.07,156.71,153.5,155.4,155.4,246119
2026-01-07,153.67,157.77,153.67,156.9,156.9,93613
2026-01-08,155.52,159.33,155.01,157.96,157.96,307657
2026-01-09,157.56,158.8,153.83,154.7,154.7,138258
2026-01-12,184.6,193,177.9,182.5,182.5,915951
2026-01-13,179,182.01,178.11,180.31,180.31,351454
2026-01-14,178,181.38,178,180.72,180.72,205487
2026-01-15,179,182.14,178.04,181.01,181.01,594151
2026-01-16,179.21,181,177.4,180.53,180.53,194735
2026-01-19,180.44,182.08,179.13,179.55,179.55,138907
2026-01-20,179.5,180.32,173.5,174.37,174.37,776168
2026-01-21,172.6,172.78,166.83,169.79,169.79,150201
2026-01-22,167.25,170.21,167.03,168.47,168.47,165203
2026-01-23,165.5,166.01,161.83,163,163,296157
2026-01-27,160.4,163.25,158.29,163.25,163.25,418425
2026-01-28,161.5,164.335,161.5,163.19,163.19,148560
2026-01-29,163.51,166.25,162.955,166.25,166.25,224151
2026-01-30,168.14,168.43,164.22,167.06,167.06,383576
2026-02-02,164.95,168.38,164.95,167.41,167.41,313071
2026-02-03,170.67,174.81,169.44,173.49,173.49,435320
2026-02-04,173.5,173.65,170.995,171.32,171.32,376746
2026-02-05,172.91,172.91,166.27,168.49,168.49,215726
2026-02-06,161.08,165.99,157.41,157.8,157.8,204218
2026-02-09,158.01,163.25,158.01,160.5,160.5,696424
2026-02-10,162.01,165.63,161.655,164.07,164.07,114593
2026-02-11,160.35,164.91,159,164.2,164.2,171455
2026-02-12,162.96,162.96,148.705,151.95,151.95,373504
2026-02-13,145,148.14,131.25,138.03,138.03,602733
2026-02-16,139.98,149.94,139.52,143,143,875888
2026-02-17,140.96,143,137.82,140.19,140.19,140507
2026-02-18,141.08,141.08,138.01,140.24,140.24,199922
2026-02-19,141.57,141.9,139.77,140,140,380675
2026-02-20,133.39,137.69,129.59,136.32,136.32,243165
2026-02-23,135.99,136.945,134.475,135.11,135.11,905325
2026-02-24,134.28,140.36,133.03,137.11,137.11,298018
