Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,33.51,33.755,32.01,32.26,31.2708,136276
2025-07-23,32.32,32.46,31.64,31.9,30.9218,186673
2025-07-24,32.15,32.65,31.99,32.58,31.5809,135725
2025-07-25,32.4,32.91,32.21,32.8,31.7942,115308
2025-07-28,32.84,33.48,32.78,33.24,32.2207,122984
2025-07-29,33.4,33.54,32.79,33.27,32.2498,143299
2025-07-30,33.06,33.73,32.84,33.42,32.3952,118911
2025-07-31,33.43,34.14,33.11,34.14,33.0931,219550
2025-08-01,33.5,34.03,33.09,33.81,32.7732,157342
2025-08-04,33.51,34.27,33.41,33.8,32.7635,143290
2025-08-05,34,34.39,33.92,34.08,33.0349,177902
2025-08-06,34.22,34.9,34.2,34.76,33.6941,136582
2025-08-07,34.6,34.98,34.5,34.98,33.9073,124242
2025-08-08,34.98,35.1,34.61,35.06,33.9849,124139
2025-08-11,35.03,35.43,34.76,34.98,33.9073,87774
2025-08-12,34.98,35.67,34.76,35.31,34.2272,184283
2025-08-13,35.48,35.75,34.8,35,33.9267,99068
2025-08-14,35.13,35.17,34.68,35,33.9267,107672
2025-08-15,35.02,35.04,34.23,34.94,33.8686,210341
2025-08-18,34.42,35.15,34.42,34.95,33.8783,194756
2025-08-19,34.93,35.16,34.265,35.03,33.9558,235000
2025-08-20,35.25,35.85,34.82,35.09,34.014,168564
2025-08-21,35.18,36.04,34.85,35.47,34.3823,328238
2025-08-22,35.6,35.6,34.48,35.23,34.1497,223699
2025-08-25,35.58,36.29,35.58,36.24,35.1287,271824
2025-08-26,36.2,36.61,35.28,36.41,35.2935,377524
2025-08-27,38.01,43.18,38.01,41.23,39.9657,852870
2025-08-28,41.95,43.21,41.21,41.83,40.5473,846968
2025-08-29,41.8,43.68,41.65,43.14,41.8171,383194
2025-09-01,43.17,43.17,41.68,42.12,40.8284,291734
2025-09-02,42.67,42.69,41.27,41.54,40.2662,339123
2025-09-03,41.11,41.66,40.77,40.86,39.607,324930
2025-09-04,41.3,42,40.67,40.77,39.5198,214187
2025-09-05,41.48,41.65,40.81,41.54,40.2662,1039377
2025-09-08,41.5,42.22,40.89,41.84,40.557,141515
2025-09-09,42.03,42.57,41.52,41.81,40.5279,145314
2025-09-10,41.66,42.61,41.62,42.11,40.8187,177739
2025-09-11,41.96,42.29,41.04,41.37,40.1014,128844
2025-09-12,41.08,41.21,40.45,40.76,39.5101,141946
2025-09-15,40,40.14,38.26,39.66,38.7002,234763
2025-09-16,39.88,40.02,38.87,39.8,38.8368,265323
2025-09-17,40,40,39.41,39.67,38.7099,217657
2025-09-18,39.83,39.87,39.19,39.48,38.5245,125396
2025-09-19,39.72,39.87,38.87,39.03,38.0854,535704
2025-09-22,39.47,39.59,38.75,39.31,38.3587,155464
2025-09-23,38.81,39.39,38.13,38.72,37.7829,173827
2025-09-24,38.42,38.57,37.95,38.02,37.0999,127706
2025-09-25,37.21,37.86,36.84,37.31,36.4071,255344
2025-09-26,36.93,37.42,36.77,37.41,36.5046,205275
2025-09-29,37.53,37.875,37.23,37.57,36.6608,121656
2025-09-30,37.52,37.81,37.29,37.39,36.4851,184790
2025-10-01,37.5,37.64,36.65,37.14,36.2412,179913
2025-10-02,37.07,38.01,36.6,37.52,36.612,187666
2025-10-03,37.5,37.75,37.115,37.71,36.7974,138608
2025-10-06,38,38,37.13,37.34,36.4363,60301
2025-10-07,37.05,37.65,36.88,37.14,36.2412,362305
2025-10-08,37.2,37.2,36.21,37.06,36.1631,120373
2025-10-09,37.5,38.31,37.2,38.01,37.0901,174188
2025-10-10,37.95,38.68,37.81,38.3,37.3731,159443
2025-10-13,37.53,37.99,37.26,37.71,36.7974,124795
2025-10-14,37.75,38.26,37.175,37.95,37.0316,125150
2025-10-15,38.44,38.94,37.8,38.05,37.1292,244832
2025-10-16,38.52,39.07,38.26,38.78,37.8415,173558
2025-10-17,38.29,38.39,37.07,37.67,36.7584,121085
2025-10-20,38,38.3,37.5,37.77,36.8559,63809
2025-10-21,37.77,38.4,37.715,38.32,37.3926,86754
2025-10-22,38.2,38.28,37.78,38.09,37.1682,119148
2025-10-23,37.52,38.74,37.52,38.64,37.7049,118690
2025-10-24,38.78,39.33,38.5,38.62,37.6854,111351
2025-10-27,38.65,38.89,38.18,38.6,37.6658,101490
2025-10-28,38.6,38.89,37.55,37.73,36.8169,120525
2025-10-29,38,38.53,37.83,38.23,37.3048,87020
2025-10-30,37.83,38.1,37.28,38.05,37.1292,125068
2025-10-31,37.98,37.98,36.025,36.24,35.363,224537
2025-11-03,36.75,36.89,36.22,36.37,35.4898,523643
2025-11-04,36.28,36.49,35.8,36.28,35.402,132593
2025-11-05,37.44,37.63,36.3,37.09,36.1924,112042
2025-11-06,37.37,37.37,36,36.36,35.4801,197441
2025-11-07,36.17,36.5,35.63,35.77,34.9043,189136
2025-11-10,36.16,36.9,36.14,36.62,35.7338,131421
2025-11-11,36.83,36.98,35.88,35.9,35.0312,122434
2025-11-12,36.12,36.12,35.045,35.49,34.6311,184629
2025-11-13,35.49,36.11,35.06,35.59,34.7287,187929
2025-11-14,34.77,35.31,33.89,35.21,34.3579,150286
2025-11-17,34.52,35.4,34.11,35.39,34.5335,120612
2025-11-18,35.71,35.92,34.58,34.89,34.0456,138832
2025-11-19,34.05,34.78,34,34.52,33.6846,227561
2025-11-20,34.72,35.42,34.55,34.82,33.9773,212921
2025-11-21,33.9,33.9,29.5,30.02,29.2935,653402
2025-11-24,31,31.5,30.11,30.68,29.9375,337000
2025-11-25,30.95,31.57,30.68,30.93,30.1815,210147
2025-11-26,30.88,31.715,30.85,31.21,30.4547,304033
2025-11-27,31.66,31.99,31.24,31.93,31.1573,152295
2025-11-28,32.14,32.77,31.99,32.13,31.3524,119520
2025-12-01,31.75,32.33,31.245,31.74,30.9719,172093
2025-12-02,30.78,32.31,30.65,31.61,30.845,114210
2025-12-03,31.51,32.55,31.305,31.58,30.8157,192339
2025-12-04,31.17,31.81,30.95,31.79,31.0207,211280
2025-12-05,32,32.24,31.51,31.75,30.9816,186597
2025-12-08,31.55,32.015,31.04,31.66,30.8938,76954
2025-12-09,31.41,31.63,30.74,31.12,30.3669,150143
2025-12-10,31.19,31.48,30.33,30.59,29.8497,173353
2025-12-11,31.22,31.46,30.53,30.8,30.0546,231658
2025-12-12,30.99,30.99,29.78,29.94,29.2154,156307
2025-12-15,29.86,30.25,29.61,29.91,29.1862,99573
2025-12-16,29.53,29.96,28.92,29.33,28.6202,218762
2025-12-17,29.63,29.88,28.64,28.7,28.0054,243960
2025-12-18,28.51,29.59,28.44,28.85,28.1518,257850
2025-12-19,30.16,30.82,29.8,30.5,29.7619,408717
2025-12-22,30.5,30.67,29.5,29.78,29.0593,175715
2025-12-23,30,30.14,29.61,30,29.274,78186
