Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.99,3.02,2.99,3,2.8645,293684
2025-07-23,3.01,3.05,3,3.03,2.8931,548728
2025-07-24,3.04,3.06,3.03,3.06,2.9218,386116
2025-07-25,3.06,3.11,3.05,3.09,2.9504,387442
2025-07-28,3.1,3.15,3.1,3.13,2.9886,344377
2025-07-29,3.13,3.13,3.08,3.08,2.9408,442874
2025-07-30,3.09,3.13,3.08,3.11,2.9695,331781
2025-07-31,3.13,3.15,3.06,3.07,2.9313,629595
2025-08-01,3.08,3.1,3.06,3.08,2.9408,467662
2025-08-04,3.08,3.095,3.06,3.06,2.9218,512656
2025-08-05,3.085,3.09,3.05,3.05,2.9122,454773
2025-08-06,3.07,3.12,3.06,3.09,2.9504,560213
2025-08-07,3.09,3.09,3.05,3.07,2.9313,532072
2025-08-08,3.08,3.1,3.06,3.08,2.9408,377886
2025-08-11,3.09,3.14,3.09,3.12,2.979,474364
2025-08-12,3.12,3.15,3.09,3.11,2.9695,667197
2025-08-13,3.12,3.14,3.1,3.14,2.9981,602807
2025-08-14,3.14,3.14,3.07,3.09,2.9504,1084430
2025-08-15,3.09,3.12,3.09,3.12,2.979,502393
2025-08-18,3.13,3.14,3.1,3.12,2.979,905882
2025-08-19,3.13,3.17,3.12,3.15,3.0077,1003326
2025-08-20,3.14,3.15,3.115,3.14,2.9981,485612
2025-08-21,3.16,3.18,3.15,3.16,3.0172,455641
2025-08-22,3.17,3.18,3.13,3.13,2.9886,693553
2025-08-25,3.16,3.17,3.11,3.11,2.9695,883305
2025-08-26,3.12,3.17,3.12,3.15,3.0077,453803
2025-08-27,3.14,3.18,3.14,3.17,3.0268,558838
2025-08-28,3.18,3.22,3.17,3.22,3.0745,684874
2025-08-29,3.22,3.22,3.18,3.2,3.0554,408751
2025-09-01,3.19,3.21,3.17,3.17,3.0268,418831
2025-09-02,3.17,3.19,3.17,3.17,3.0268,374661
2025-09-03,3.17,3.17,3.14,3.15,3.0077,307162
2025-09-04,3.17,3.19,3.15,3.18,3.0363,414152
2025-09-05,3.18,3.18,3.14,3.16,3.0172,335401
2025-09-08,3.15,3.185,3.14,3.18,3.0363,506427
2025-09-09,3.18,3.19,3.16,3.17,3.0268,379171
2025-09-10,3.18,3.19,3.17,3.18,3.0363,419613
2025-09-11,3.19,3.21,3.19,3.2,3.0554,318907
2025-09-12,3.2,3.3,3.2,3.29,3.1414,611424
2025-09-15,3.25,3.3,3.24,3.27,3.1852,599495
2025-09-16,3.27,3.3,3.25,3.29,3.2047,643346
2025-09-17,3.29,3.32,3.27,3.32,3.2339,372101
2025-09-18,3.28,3.35,3.28,3.34,3.2534,412420
2025-09-19,3.35,3.38,3.34,3.34,3.2534,398861
2025-09-22,3.38,3.38,3.34,3.38,3.2923,340441
2025-09-23,3.36,3.39,3.31,3.38,3.2923,780800
2025-09-24,3.36,3.38,3.33,3.34,3.2534,222677
2025-09-25,3.35,3.39,3.34,3.36,3.2729,335956
2025-09-26,3.36,3.36,3.33,3.34,3.2534,209480
2025-09-29,3.34,3.36,3.315,3.34,3.2534,412358
2025-09-30,3.36,3.41,3.35,3.39,3.3021,578986
2025-10-01,3.41,3.45,3.39,3.41,3.3216,651731
2025-10-02,3.42,3.48,3.42,3.46,3.3703,710830
2025-10-03,3.45,3.49,3.44,3.49,3.3995,501445
2025-10-06,3.48,3.55,3.46,3.5,3.4092,311256
2025-10-07,3.51,3.53,3.46,3.51,3.419,294085
2025-10-08,3.54,3.58,3.52,3.54,3.4482,524899
2025-10-09,3.56,3.62,3.52,3.52,3.4287,614017
2025-10-10,3.53,3.65,3.52,3.58,3.4872,1035685
2025-10-13,3.51,3.55,3.42,3.43,3.341,657758
2025-10-14,3.46,3.55,3.46,3.54,3.4482,364995
2025-10-15,3.54,3.62,3.51,3.62,3.5261,302670
2025-10-16,3.63,3.63,3.58,3.6,3.5066,258013
2025-10-17,3.58,3.58,3.51,3.54,3.4482,416956
2025-10-20,3.53,3.55,3.46,3.48,3.3897,483892
2025-10-21,3.51,3.58,3.49,3.56,3.4677,304937
2025-10-22,3.5,3.5,3.41,3.41,3.3216,591143
2025-10-23,3.43,3.49,3.43,3.46,3.3703,454610
2025-10-24,3.45,3.45,3.35,3.39,3.3021,429885
2025-10-27,3.4,3.46,3.4,3.43,3.341,463689
2025-10-28,3.43,3.5,3.43,3.46,3.3703,480347
2025-10-29,3.49,3.49,3.44,3.46,3.3703,354357
2025-10-30,3.45,3.46,3.42,3.44,3.3508,242853
2025-10-31,3.45,3.54,3.45,3.54,3.4482,400076
2025-11-03,3.53,3.53,3.45,3.52,3.4287,444773
2025-11-04,3.52,3.56,3.51,3.54,3.4482,245086
2025-11-05,3.52,3.52,3.46,3.49,3.3995,255873
2025-11-06,3.52,3.56,3.48,3.54,3.4482,308089
2025-11-07,3.51,3.55,3.47,3.5,3.4092,419336
2025-11-10,3.5,3.54,3.49,3.5,3.4092,443428
2025-11-11,3.51,3.585,3.51,3.58,3.4872,518228
2025-11-12,3.57,3.64,3.56,3.6,3.5066,404317
2025-11-13,3.63,3.63,3.56,3.57,3.4774,412604
2025-11-14,3.55,3.655,3.53,3.58,3.4872,329602
2025-11-17,3.64,3.78,3.6,3.63,3.5708,537440
2025-11-18,3.63,3.63,3.47,3.47,3.4134,590125
2025-11-19,3.51,3.57,3.51,3.55,3.4921,408211
2025-11-20,3.55,3.67,3.55,3.67,3.6101,441126
2025-11-21,3.61,3.62,3.55,3.57,3.5117,519944
2025-11-24,3.58,3.74,3.58,3.69,3.6298,586442
2025-11-25,3.71,3.72,3.64,3.64,3.5806,473804
2025-11-26,3.64,3.69,3.64,3.66,3.6003,475985
2025-11-27,3.69,3.75,3.66,3.66,3.6003,713938
2025-11-28,3.68,3.72,3.66,3.66,3.6003,456603
2025-12-01,3.68,3.75,3.66,3.66,3.6003,317568
2025-12-02,3.66,3.7,3.66,3.66,3.6003,326866
2025-12-03,3.69,3.75,3.67,3.67,3.6101,601853
2025-12-04,3.67,3.73,3.66,3.68,3.6199,498415
2025-12-05,3.69,3.74,3.66,3.74,3.679,383869
2025-12-08,3.74,3.81,3.74,3.77,3.7085,508373
2025-12-09,3.79,3.8,3.72,3.72,3.6593,504808
2025-12-10,3.73,3.74,3.7,3.7,3.6396,387427
2025-12-11,3.7,3.74,3.69,3.69,3.6298,538548
2025-12-12,3.72,3.75,3.68,3.75,3.6888,558662
2025-12-15,3.75,3.75,3.7,3.71,3.6495,440924
2025-12-16,3.71,3.78,3.71,3.76,3.6986,390909
2025-12-17,3.76,3.9,3.75,3.85,3.7872,524279
2025-12-18,3.83,3.84,3.755,3.8,3.738,542580
2025-12-19,3.82,3.89,3.81,3.87,3.8068,363280
2025-12-22,3.87,3.95,3.85,3.95,3.8855,540265
2025-12-23,3.95,4.03,3.92,3.95,3.8855,600591
2025-12-24,4,4.01,3.93,4,3.9347,305991
2025-12-29,4,4.04,3.96,4,3.9347,353225
2025-12-30,3.99,4,3.94,3.96,3.8954,284078
2025-12-31,3.97,4,3.95,3.99,3.9249,187153
2026-01-02,4,4.02,3.96,3.96,3.8954,204822
2026-01-05,3.98,3.99,3.95,3.97,3.9052,450169
2026-01-06,3.99,4,3.95,4,3.9347,316592
2026-01-07,4,4.04,3.97,4.01,3.9446,454672
2026-01-08,4.03,4.1,4.01,4.05,3.9839,507059
2026-01-09,4.06,4.16,4.04,4.14,4.0724,415612
2026-01-12,4.2,4.5,4.17,4.22,4.1511,535662
2026-01-13,4.23,4.25,4.18,4.22,4.1511,385398
2026-01-14,4.26,4.26,4.2,4.22,4.1511,550720
2026-01-15,4.26,4.285,4.18,4.18,4.1118,446052
2026-01-16,4.22,4.26,4.14,4.14,4.0724,646157
2026-01-19,4.17,4.23,4.12,4.14,4.0724,369999
2026-01-20,4.15,4.25,4.14,4.2,4.1315,652156
2026-01-21,4.15,4.26,4.15,4.25,4.1806,784666
2026-01-22,4.26,4.35,4.24,4.25,4.1806,610092
2026-01-23,4.29,4.4,4.27,4.4,4.3282,628004
2026-01-27,4.42,4.45,4.31,4.43,4.3577,720438
2026-01-28,4.45,4.45,4.34,4.35,4.279,549948
2026-01-29,4.42,4.45,4.305,4.35,4.279,574475
2026-01-30,4.39,4.41,4.22,4.22,4.1511,790776
2026-02-02,4.25,4.25,3.91,3.96,3.8954,1652568
2026-02-03,4.06,4.21,4.06,4.19,4.1216,601839
2026-02-04,4.21,4.3,4.19,4.23,4.161,432041
2026-02-05,4.26,4.28,4.21,4.22,4.1511,575525
2026-02-06,4.21,4.21,3.98,4.06,3.9937,1081167
2026-02-09,4.15,4.28,4.12,4.2,4.1315,284649
2026-02-10,4.23,4.34,4.23,4.34,4.2692,562121
2026-02-11,4.35,4.43,4.32,4.37,4.2987,542641
2026-02-12,4.47,4.5,4.18,4.24,4.1708,1006683
2026-02-13,4.24,4.34,4.145,4.16,4.0921,519804
2026-02-16,4.2,4.3,4.17,4.29,4.22,536335
2026-02-17,4.32,4.39,4.21,4.22,4.1511,890549
2026-02-18,4.3,4.3,4.22,4.22,4.1511,513218
2026-02-19,4.29,4.29,4.21,4.21,4.1413,674162
2026-02-20,4.25,4.28,4.18,4.27,4.2003,637298
2026-02-23,4.39,4.41,4.29,4.34,4.2692,683244
2026-02-24,4.29,4.43,4.26,4.41,4.338,552619
2026-02-25,4.38,4.43,4.32,4.4,4.3282,439259
2026-02-26,4.42,4.42,4.32,4.33,4.2593,470316
2026-02-27,4.35,4.44,4.35,4.42,4.3479,379910
2026-03-02,4.43,4.45,4.23,4.36,4.3241,585608
2026-03-03,4.39,4.425,4.34,4.35,4.3142,425930
2026-03-04,4.34,4.34,4.21,4.27,4.2348,517167
2026-03-05,4.31,4.45,4.26,4.4,4.3637,773264
2026-03-06,4.32,4.37,4.22,4.26,4.2249,677672
2026-03-09,4.25,4.26,4.08,4.15,4.1158,536180
2026-03-10,4.25,4.28,4.11,4.14,4.1059,571845
2026-03-11,4.15,4.24,4.12,4.12,4.086,452126
