Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,1.03,1.03,0.96,0.965,0.965,26725187
2025-07-23,0.995,1,0.93,0.93,0.93,29564321
2025-07-24,0.925,0.99,0.87,0.96,0.96,26018150
2025-07-25,0.945,0.985,0.925,0.94,0.94,17752330
2025-07-28,0.94,0.945,0.845,0.865,0.865,17856944
2025-07-29,0.815,0.875,0.81,0.83,0.83,13992344
2025-07-30,0.835,0.845,0.795,0.82,0.82,13898338
2025-07-31,0.8,0.805,0.765,0.78,0.78,15105800
2025-08-01,0.78,0.805,0.78,0.8,0.8,7039022
2025-08-04,0.8,0.84,0.79,0.83,0.83,10015546
2025-08-05,0.845,0.86,0.83,0.855,0.855,9373994
2025-08-06,0.86,0.87,0.845,0.845,0.845,6402722
2025-08-07,0.845,0.845,0.845,0.845,0.845,0
2025-08-08,0.77,0.855,0.765,0.845,0.845,34370011
2025-08-11,0.95,1.06,0.94,1,1,60986732
2025-08-12,0.98,0.985,0.89,0.92,0.92,48400302
2025-08-13,0.89,0.91,0.865,0.88,0.88,33814481
2025-08-14,0.89,0.9,0.8,0.8,0.8,39375400
2025-08-15,0.8,0.8525,0.795,0.845,0.845,20904273
2025-08-18,0.845,0.905,0.845,0.9,0.9,18485188
2025-08-19,0.9,0.91,0.875,0.875,0.875,14360041
2025-08-20,0.86,0.8675,0.825,0.86,0.86,21663645
2025-08-21,0.875,0.875,0.85,0.86,0.86,13829299
2025-08-22,0.875,0.895,0.84,0.84,0.84,10361669
2025-08-25,0.875,0.8875,0.865,0.875,0.875,11983929
2025-08-26,0.865,0.87,0.83,0.84,0.84,14452244
2025-08-27,0.855,0.93,0.85,0.92,0.92,26380532
2025-08-28,0.88,0.905,0.87,0.885,0.885,22476477
2025-08-29,0.88,0.95,0.87,0.94,0.94,30762569
2025-09-01,0.94,0.9475,0.895,0.91,0.91,24842967
2025-09-02,0.92,0.94,0.9,0.9,0.9,12747501
2025-09-03,0.885,0.895,0.87,0.88,0.88,11212698
2025-09-04,0.88,0.915,0.88,0.89,0.89,12296462
2025-09-05,0.895,0.93,0.8875,0.93,0.93,10826927
2025-09-08,0.94,0.97,0.925,0.97,0.97,16828695
2025-09-09,0.97,0.9775,0.9425,0.95,0.95,10640996
2025-09-10,0.86,0.87,0.7725,0.775,0.775,53902017
2025-09-11,0.79,0.805,0.76,0.765,0.765,22592476
2025-09-12,0.79,0.8,0.7725,0.795,0.795,12670448
2025-09-15,0.8,0.85,0.79,0.845,0.845,17962237
2025-09-16,0.865,0.885,0.855,0.87,0.87,10531857
2025-09-17,0.87,0.91,0.865,0.9,0.9,15731879
2025-09-18,0.91,0.935,0.895,0.91,0.91,14901862
2025-09-19,0.92,0.96,0.915,0.945,0.945,24008135
2025-09-22,0.955,0.965,0.9,0.915,0.915,13257476
2025-09-23,0.91,0.935,0.895,0.895,0.895,10609706
2025-09-24,0.915,0.935,0.9,0.91,0.91,26943764
2025-09-25,0.885,0.925,0.88,0.905,0.905,27647980
2025-09-26,0.92,1,0.92,0.935,0.935,36979352
2025-09-29,0.935,0.975,0.92,0.96,0.96,22720671
2025-09-30,0.955,1.005,0.945,0.985,0.985,32098960
2025-10-01,0.96,0.97,0.875,0.88,0.88,41691288
2025-10-02,0.895,0.98,0.89,0.965,0.965,35636852
2025-10-03,0.955,0.98,0.945,0.975,0.975,15719154
2025-10-06,0.985,1.02,0.945,0.955,0.955,24846297
2025-10-07,0.985,1.005,0.9625,0.97,0.97,19091021
2025-10-08,0.965,1.035,0.965,1.03,1.03,26488559
2025-10-09,1.05,1.065,1.005,1.045,1.045,25516528
2025-10-10,1.05,1.06,0.9875,1.005,1.005,28621229
2025-10-13,0.965,1.045,0.9625,1.01,1.01,31187728
2025-10-14,1.055,1.115,1.0475,1.08,1.08,39268181
2025-10-15,1.1,1.18,1.0975,1.18,1.18,30798656
2025-10-16,1.19,1.19,1.125,1.135,1.135,14263647
2025-10-17,1.11,1.1125,1.045,1.095,1.095,24409799
2025-10-20,1.075,1.105,1.065,1.1,1.1,14081197
2025-10-21,1.13,1.14,1.0675,1.075,1.075,14613353
2025-10-22,1.05,1.065,1.03,1.06,1.06,15649825
2025-10-23,1.065,1.105,1.04,1.105,1.105,17740286
2025-10-24,1.135,1.225,1.115,1.22,1.22,28546930
2025-10-27,1.25,1.26,1.1975,1.21,1.21,19455354
2025-10-28,1.13,1.135,1.0375,1.055,1.055,32447751
2025-10-29,1.06,1.065,1.025,1.03,1.03,13188100
2025-10-30,1.07,1.16,1.07,1.145,1.145,19778159
2025-10-31,1.15,1.22,1.15,1.175,1.175,21021794
2025-11-03,1.18,1.24,1.1575,1.17,1.17,13523389
2025-11-04,1.15,1.17,1.115,1.13,1.13,13118113
2025-11-05,1.085,1.09,1.025,1.08,1.08,23159213
2025-11-06,1.1,1.105,1.05,1.06,1.06,11042814
2025-11-07,1.045,1.0475,1.01,1.02,1.02,12544516
2025-11-10,1.1175,1.185,1.11,1.15,1.15,29929208
2025-11-11,1.17,1.26,1.16,1.24,1.24,30231898
2025-11-12,1.265,1.33,1.26,1.315,1.315,35230513
2025-11-13,1.35,1.5,1.35,1.45,1.45,36060703
2025-11-14,1.405,1.5,1.39,1.465,1.465,22917219
2025-11-17,1.435,1.485,1.4,1.46,1.46,19624435
2025-11-18,1.475,1.57,1.4425,1.49,1.49,35769119
2025-11-19,1.525,1.55,1.42,1.465,1.465,28919370
2025-11-20,1.53,1.61,1.515,1.605,1.605,30766202
2025-11-21,1.53,1.57,1.45,1.47,1.47,52394886
2025-11-24,1.465,1.48,1.365,1.375,1.375,25428642
2025-11-25,1.41,1.435,1.375,1.43,1.43,14245605
2025-11-26,1.475,1.56,1.4525,1.475,1.475,23689992
2025-11-27,1.49,1.51,1.41,1.455,1.455,16924087
2025-11-28,1.455,1.495,1.435,1.435,1.435,18137957
2025-12-01,1.45,1.47,1.365,1.375,1.375,20394495
2025-12-02,1.365,1.4,1.33,1.34,1.34,23654133
2025-12-03,1.33,1.3925,1.32,1.34,1.34,20799320
2025-12-04,1.34,1.345,1.25,1.26,1.26,23582681
2025-12-05,1.285,1.36,1.25,1.32,1.32,20029402
2025-12-08,1.35,1.52,1.345,1.515,1.515,26611379
2025-12-09,1.52,1.55,1.46,1.48,1.48,17545225
2025-12-10,1.5,1.555,1.495,1.545,1.545,19075372
2025-12-11,1.56,1.575,1.48,1.495,1.495,20962537
2025-12-12,1.53,1.575,1.465,1.48,1.48,25357581
2025-12-15,1.475,1.52,1.365,1.385,1.385,45019749
