Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,10.13,10.14,9.93,10.12,10.12,3900398
2025-07-23,10.14,10.245,10.02,10.14,10.14,6468967
2025-07-24,10.4,10.65,10.13,10.65,10.65,13444810
2025-07-25,10.53,10.85,10.43,10.73,10.73,4837303
2025-07-28,10.78,10.89,10.71,10.81,10.81,6370381
2025-07-29,10.75,10.85,10.65,10.81,10.81,3058833
2025-07-30,10.76,10.88,10.71,10.74,10.74,3000248
2025-07-31,10.5,10.66,10.41,10.47,10.47,5303058
2025-08-01,10.52,10.875,10.365,10.81,10.81,4370286
2025-08-04,10.75,11.33,10.73,11.25,11.25,7979772
2025-08-05,11.75,12.05,11.65,11.84,11.84,12836705
2025-08-06,12,12.11,11.9,11.9,11.9,8685533
2025-08-07,12.05,12.35,11.98,12.16,12.16,4970033
2025-08-08,12,12.63,11.94,12.62,12.62,8451126
2025-08-11,12.74,12.98,12.69,12.96,12.96,6280696
2025-08-12,13.1,13.31,12.965,13.21,13.21,5677328
2025-08-13,13.05,13.77,12.92,13.63,13.63,5334273
2025-08-14,13.58,13.835,13.58,13.77,13.77,6775573
2025-08-15,14.01,14.49,13.97,14.49,14.49,7287512
2025-08-18,14.45,14.91,14.44,14.77,14.77,5693136
2025-08-19,14.69,15.1,14.55,15.09,15.09,7045604
2025-08-20,14.59,14.8,13.78,13.98,13.98,11330001
2025-08-21,14.11,14.61,14.04,14.61,14.61,8030095
2025-08-22,14.51,14.57,14.09,14.31,14.31,7161477
2025-08-25,14.43,14.93,14.39,14.86,14.86,5526184
2025-08-26,14.9,15.25,14.64,14.71,14.71,8355142
2025-08-27,14.8,14.88,14.58,14.73,14.73,5895977
2025-08-29,13.75,14.05,13.4,13.87,13.87,11634990
2025-09-01,13.93,14.51,13.86,14.3,14.3,6613608
2025-09-02,14.28,14.6,14.225,14.35,14.35,9170499
2025-09-03,14.44,14.54,14.24,14.31,14.31,6731015
2025-09-04,14.49,14.84,14.4,14.8,14.8,5672201
2025-09-05,14.64,14.74,14.26,14.35,14.35,4488879
2025-09-08,14.35,14.655,14.33,14.41,14.41,5010064
2025-09-09,14.4,15.02,14.38,14.81,14.81,6901862
2025-09-10,14.69,14.69,14.1,14.27,14.27,4832894
2025-09-11,14.07,14.35,14.05,14.28,14.28,3623259
2025-09-12,14.4,14.68,14.21,14.41,14.41,4358605
2025-09-15,14.35,14.48,14.21,14.3,14.3,3626524
2025-09-16,14.44,14.46,14.185,14.26,14.26,3601137
2025-09-17,14.26,14.6,14.26,14.39,14.39,3254787
2025-09-18,14.01,14.83,13.9,14.61,14.61,4152886
2025-09-19,14.92,14.97,14.63,14.63,14.63,13230583
2025-09-22,14.95,15.39,14.95,15.29,15.29,3696375
2025-09-23,15.64,16.55,15.6,16.52,16.52,6495540
2025-09-24,16.61,16.75,16.04,16.54,16.54,5981828
2025-09-25,16.69,17.11,16.64,16.99,16.99,8158462
2025-09-26,16.99,17.09,16.77,16.9,16.9,5176200
2025-09-29,16.4,17.03,16.38,16.8,16.8,6601442
2025-09-30,16.8,16.94,16.55,16.81,16.81,5904167
2025-10-01,16.9,17,16.585,17,17,3398407
2025-10-02,17.35,17.6,17.16,17.51,17.51,5942436
2025-10-03,17.48,18.19,17.46,18.06,18.06,6493284
2025-10-06,18.3,19.5,18.21,19.36,19.36,6870848
2025-10-07,19.09,19.38,19.05,19.27,19.27,10449053
2025-10-08,19.14,19.55,19.05,19.55,19.55,5307131
2025-10-09,20.06,20.75,19.73,20.59,20.59,7948986
2025-10-10,20.43,20.815,19.74,19.81,19.81,8404663
2025-10-13,21.2,21.5,20.26,20.26,20.26,10590357
2025-10-14,21.9,21.96,20.895,21.27,21.27,10833013
2025-10-15,21.31,21.78,21.07,21.64,21.64,8143750
2025-10-16,21.1,21.19,20.3,20.4,20.4,7845640
2025-10-17,18.81,19.25,18.025,19.24,19.24,11698310
2025-10-20,19.28,20.63,19.25,20.51,20.51,9802554
2025-10-21,21.24,21.48,18.75,18.96,18.96,11750616
2025-10-22,18.61,18.64,17.84,18.33,18.33,12231875
2025-10-23,18.12,19.23,17.84,19.07,19.07,6824263
2025-10-24,19.15,19.28,18.67,18.82,18.82,4414159
2025-10-27,18.42,18.8,18,18.37,18.37,5484693
2025-10-28,17.09,17.15,15.76,15.81,15.81,15557139
2025-10-29,15.86,16.11,15.2,15.28,15.28,12655750
2025-10-30,15.58,15.61,14.65,14.79,14.79,9973909
2025-10-31,15.19,15.515,14.97,15.25,15.25,8795298
2025-11-03,15,15.41,13.87,14.02,14.02,9837218
2025-11-04,13.92,13.95,13.41,13.85,13.85,7591653
2025-11-05,13.35,13.545,12.95,13.4,13.4,8868350
2025-11-06,13.53,13.8,13.04,13.14,13.14,14187037
2025-11-07,13.45,13.75,13.13,13.52,13.52,8114490
2025-11-10,13.65,14.41,13.62,14.17,14.17,9468469
2025-11-11,14.87,14.9,14.06,14.22,14.22,8100497
2025-11-12,14.31,14.41,13.73,13.83,13.83,6362012
2025-11-13,13.9,14.27,13.77,14.26,14.26,9161293
2025-11-14,14.19,14.44,13.88,14.18,14.18,6283871
2025-11-17,14.46,15.03,14.24,14.96,14.96,5765709
2025-11-18,14.71,15.31,14.56,14.62,14.62,6771866
2025-11-19,15.4,15.62,15.025,15.44,15.44,9470981
2025-11-20,15.96,16.64,15.36,15.71,15.71,9783130
