Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,7.29,7.29,7.12,7.16,7.1189,84943
2025-07-23,7.2,7.2,7.01,7.05,7.0096,60498
2025-07-24,7.02,7.17,7,7.11,7.0692,33747
2025-07-25,7.15,7.28,7.03,7.27,7.2283,101814
2025-07-28,7.27,7.35,7.16,7.19,7.1488,76903
2025-07-29,7.19,7.26,7.18,7.25,7.2084,45788
2025-07-30,7.19,7.47,7.16,7.42,7.3774,110563
2025-07-31,7.42,7.56,7.35,7.37,7.3277,163928
2025-08-01,7.65,7.65,7.15,7.15,7.109,123422
2025-08-04,7.11,7.255,7.04,7.09,7.0493,156882
2025-08-05,7.2,7.23,7.13,7.2,7.1587,44583
2025-08-06,7.2,7.59,7.18,7.52,7.4769,103087
2025-08-07,7.6,7.76,7.49,7.75,7.7056,150328
2025-08-08,7.72,7.89,7.63,7.81,7.7652,57879
2025-08-11,7.88,8.005,7.79,7.92,7.8746,136611
2025-08-12,7.85,7.99,7.795,7.85,7.805,121377
2025-08-13,7.85,7.99,7.835,7.9,7.8547,64464
2025-08-14,7.9,7.97,7.86,7.87,7.8249,78274
2025-08-15,7.88,7.96,7.85,7.91,7.8646,78333
2025-08-18,7.92,7.98,7.88,7.97,7.9243,60322
2025-08-19,8.01,8.2,7.97,8.06,8.0138,161536
2025-08-20,8.08,8.18,7.95,7.97,7.9243,90383
2025-08-21,7.99,8.2,7.99,8.16,8.1132,91437
2025-08-22,8.15,8.34,8.14,8.23,8.1828,109290
2025-08-25,8.3,8.51,8.23,8.35,8.3021,152492
2025-08-26,8.01,8.13,7.5,7.97,7.9243,339605
2025-08-27,7.93,8.35,7.92,8.2,8.153,200075
2025-08-28,8.28,8.48,8.08,8.3,8.2524,504984
2025-08-29,8.37,8.58,8.37,8.44,8.3916,103429
2025-09-01,8.4,8.43,8.32,8.32,8.2723,69256
2025-09-02,8.6,8.6,8.3,8.37,8.322,70980
2025-09-03,8.39,8.55,8.31,8.37,8.322,122935
2025-09-04,8.4,8.47,8.34,8.46,8.4115,1073927
2025-09-05,8.4,8.64,8.4,8.43,8.3817,184597
2025-09-08,8.43,8.55,8.34,8.48,8.4314,142179
2025-09-09,8.39,8.68,8.39,8.63,8.5805,181937
2025-09-10,8.61,8.67,8.47,8.5,8.4513,95439
2025-09-11,8.47,8.6,8.43,8.46,8.4115,65517
2025-09-12,8.46,8.63,8.38,8.4,8.3518,3836062
2025-09-15,8.61,8.61,8.31,8.48,8.4314,56494
2025-09-16,8.61,8.61,8.38,8.52,8.4711,97997
2025-09-17,8.52,8.52,8.3,8.37,8.322,77341
2025-09-18,8.1,8.23,7.45,7.94,7.94,193765
2025-09-19,8,8.16,7.95,8.01,8.01,93846
2025-09-22,8.01,8.13,7.95,8.03,8.03,149809
2025-09-23,8.07,8.19,7.965,8.19,8.19,136711
2025-09-24,8.19,8.19,7.9,8.06,8.06,71773
2025-09-25,8.06,8.12,7.945,8.1,8.1,95990
2025-09-26,8.05,8.23,8,8.23,8.23,100554
2025-09-29,8.27,8.33,8.12,8.24,8.24,97114
2025-09-30,8.2,8.35,8.07,8.28,8.28,105510
2025-10-01,8.53,8.53,8.27,8.45,8.45,77544
2025-10-02,8.47,8.605,8.4,8.51,8.51,64254
2025-10-03,8.6,8.66,8.47,8.56,8.56,68184
2025-10-06,8.6,8.64,8.42,8.45,8.45,47776
2025-10-07,8.22,8.4,8.11,8.37,8.37,64859
2025-10-08,8.37,8.4,8.26,8.33,8.33,39722
2025-10-09,8.24,8.35,8.22,8.22,8.22,48649
2025-10-10,8.2,8.45,8.2,8.42,8.42,189595
2025-10-13,8.4,8.54,8.25,8.42,8.42,124304
2025-10-14,8.35,8.385,8.2,8.3,8.3,55212
2025-10-15,8.3,8.43,8.3,8.43,8.43,50813
2025-10-16,8.4,8.51,8.33,8.43,8.43,61330
2025-10-17,8.43,8.52,8.34,8.34,8.34,23997
2025-10-20,8.4,8.94,8.3,8.89,8.89,170895
2025-10-21,8.95,9,8.78,8.92,8.92,140032
2025-10-22,8.95,9.02,8.78,9,9,252686
2025-10-23,9.05,9.22,8.92,9.2,9.2,133577
2025-10-24,9.34,9.63,9.2,9.63,9.63,123743
2025-10-27,9.59,9.61,9.4,9.5,9.5,149834
2025-10-28,9.29,9.29,9.08,9.16,9.16,88975
2025-10-29,9.11,9.375,9.05,9.14,9.14,235679
2025-10-30,9.05,9.13,8.84,8.99,8.99,95479
2025-10-31,8.9,9.06,8.74,8.87,8.87,103621
2025-11-03,8.87,8.91,8.63,8.66,8.66,52755
