Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,7.7,7.88,7.69,7.83,7.5701,103319
2025-07-23,7.83,7.97,7.68,7.96,7.6958,155880
2025-07-24,7.9,7.91,7.7,7.85,7.5894,258982
2025-07-25,7.85,7.93,7.77,7.91,7.6474,121866
2025-07-28,7.93,8.02,7.83,7.89,7.6281,64046
2025-07-29,7.98,8.15,7.82,8.13,7.8601,307321
2025-07-30,8.08,8.14,7.94,8.05,7.7828,161667
2025-07-31,8.07,8.22,8,8.17,7.8988,261152
2025-08-01,8.09,8.09,7.99,8.06,7.7925,72183
2025-08-04,8.03,8.13,7.92,8.02,7.7538,99512
2025-08-05,8.08,8.21,7.73,7.76,7.5024,126662
2025-08-06,7.85,8.1,7.85,7.98,7.7151,162843
2025-08-07,7.93,8.04,7.86,7.99,7.7248,144609
2025-08-08,7.99,7.99,7.82,7.93,7.6668,67702
2025-08-11,7.98,8.2,7.98,8.14,7.8698,135682
2025-08-12,8,8.22,8,8.18,7.9085,103028
2025-08-13,8.19,8.44,8.19,8.4,8.1212,218039
2025-08-14,8.32,8.665,8.32,8.58,8.2952,296993
2025-08-15,8.6,8.75,8.3,8.49,8.2082,331283
2025-08-18,8.5,8.63,8.45,8.56,8.2759,204420
2025-08-19,8.45,8.68,8.45,8.56,8.2759,116304
2025-08-20,8.53,8.53,8.21,8.28,8.0052,142299
2025-08-21,8.39,9.47,8.21,9.42,9.1073,1064677
2025-08-22,9.62,9.62,9.14,9.22,8.914,598119
2025-08-25,9.22,9.25,8.91,9.12,8.8173,591748
2025-08-26,9.1,9.23,9.05,9.15,8.8463,1004563
2025-08-27,9.16,9.51,8.79,9.39,9.0783,635968
2025-08-28,9.45,9.56,9.19,9.51,9.1943,563942
2025-08-29,9.26,9.79,9.26,9.67,9.349,272068
2025-09-01,9.61,9.735,9.45,9.7,9.378,359065
2025-09-02,9.67,9.7,9.35,9.54,9.2807,2069261
2025-09-03,9.45,9.64,9.11,9.19,8.9402,235276
2025-09-04,8.81,9.39,8.81,9.03,8.7846,325477
2025-09-05,8.89,9.23,8.89,9.15,8.9013,285121
2025-09-08,9.02,9.36,9.02,9.33,9.0764,232618
2025-09-09,9.43,9.56,9.23,9.49,9.2321,307548
2025-09-10,9.49,9.68,9.41,9.61,9.3488,389785
2025-09-11,9.54,9.55,9.26,9.42,9.164,217900
2025-09-12,9.5,9.775,9.42,9.52,9.2613,229219
2025-09-15,9.64,9.64,9.25,9.31,9.057,5134135
2025-09-16,9.3,9.45,9.25,9.37,9.1154,262189
2025-09-17,9.31,9.34,9.195,9.23,8.9792,234282
2025-09-18,9.25,9.5,9.185,9.5,9.2418,200483
2025-09-19,9.5,9.6,9.4,9.6,9.3391,1845774
2025-09-22,9.59,9.61,9.16,9.22,8.9694,184353
2025-09-23,9.4,9.56,9.28,9.41,9.1543,297270
2025-09-24,9.44,9.44,9.08,9.3,9.0473,259087
2025-09-25,9.3,9.3,8.92,9.19,8.9402,402227
2025-09-26,9.18,9.25,9.01,9.18,8.9305,201070
2025-09-29,8.9,9.24,8.9,9.1,8.8527,145887
2025-09-30,9.08,9.34,9.05,9.32,9.0667,238297
2025-10-01,9.34,9.34,9.11,9.15,8.9013,284727
2025-10-02,9.4,9.4,9.12,9.15,8.9013,429321
2025-10-03,9.4,9.4,9.05,9.11,8.8624,195046
2025-10-06,9.11,9.24,8.93,9.07,8.8235,158692
2025-10-07,9.02,9.25,8.96,9.1,8.8527,175015
2025-10-08,9.25,9.25,8.93,9,8.7554,193937
2025-10-09,9.03,9.345,9.01,9.27,9.0181,1005438
2025-10-10,9.24,9.335,9.155,9.18,8.9305,150362
2025-10-13,9.26,9.26,8.84,8.84,8.5998,239508
2025-10-14,8.93,9.1,8.83,9.02,8.7749,204234
2025-10-15,9.09,9.19,8.97,9.11,8.8624,116695
2025-10-16,9.13,9.27,8.91,9.19,8.9402,212431
2025-10-17,9.2,9.2,8.83,8.89,8.6484,786164
2025-10-20,8.9,8.98,8.83,8.9,8.6581,346955
2025-10-21,8.9,9.21,8.88,9.2,8.95,508684
2025-10-22,9.1,9.15,8.89,9.01,8.7651,178647
2025-10-23,9.5,10.12,9.5,9.51,9.2516,531709
2025-10-24,9.51,9.64,9.38,9.38,9.1251,439000
2025-10-27,9.46,9.8,9.45,9.79,9.5239,167376
2025-10-28,9.84,10.01,9.68,9.99,9.7185,174117
2025-10-29,10,10.1,9.74,9.78,9.5142,397856
2025-10-30,9.78,9.78,9.4,9.64,9.378,143141
2025-10-31,9.7,9.77,9.58,9.61,9.3488,117627
2025-11-03,9.91,9.91,9.47,9.52,9.2613,82319
