Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,0.29,0.2925,0.285,0.29,0.2794,1762349
2025-07-23,0.29,0.3,0.29,0.29,0.2794,2763790
2025-07-24,0.285,0.3,0.285,0.3,0.2891,2548959
2025-07-25,0.3,0.3,0.295,0.3,0.2891,2214512
2025-07-28,0.3,0.3,0.295,0.3,0.2891,1386083
2025-07-29,0.3,0.3,0.295,0.295,0.2843,687548
2025-07-30,0.3,0.305,0.2975,0.3,0.2891,2433127
2025-07-31,0.3,0.3,0.295,0.3,0.2891,1442248
2025-08-01,0.3,0.31,0.295,0.31,0.2987,635362
2025-08-04,0.31,0.33,0.31,0.325,0.3132,1285640
2025-08-05,0.325,0.325,0.31,0.31,0.2987,1235558
2025-08-06,0.31,0.335,0.31,0.335,0.3228,2034053
2025-08-07,0.335,0.355,0.325,0.355,0.3421,4111378
2025-08-08,0.355,0.365,0.35,0.365,0.3517,1934141
2025-08-11,0.365,0.365,0.355,0.355,0.3421,894200
2025-08-12,0.35,0.365,0.35,0.36,0.3469,485131
2025-08-13,0.355,0.375,0.355,0.37,0.3565,1061915
2025-08-14,0.375,0.375,0.36,0.365,0.3517,651023
2025-08-15,0.36,0.37,0.36,0.37,0.3565,589502
2025-08-18,0.37,0.375,0.355,0.36,0.3469,1650309
2025-08-19,0.385,0.395,0.37,0.395,0.3806,7916783
2025-08-20,0.395,0.42,0.395,0.41,0.3951,6398242
2025-08-21,0.41,0.42,0.4,0.42,0.4047,4961345
2025-08-22,0.415,0.435,0.41,0.43,0.4144,4132937
2025-08-25,0.43,0.445,0.42,0.425,0.4095,4076647
2025-08-26,0.41,0.43,0.41,0.43,0.4144,4472433
2025-08-27,0.435,0.435,0.425,0.43,0.4144,3645851
2025-08-28,0.43,0.445,0.425,0.425,0.4095,5446504
2025-08-29,0.435,0.445,0.425,0.435,0.4192,8909554
2025-09-01,0.435,0.435,0.42,0.43,0.4144,1763270
2025-09-02,0.43,0.44,0.425,0.43,0.4144,2397038
2025-09-03,0.43,0.435,0.425,0.43,0.4144,3909948
2025-09-04,0.42,0.43,0.41,0.42,0.4047,4691699
2025-09-05,0.42,0.435,0.415,0.435,0.4192,2553769
2025-09-08,0.435,0.435,0.425,0.435,0.4192,1663527
2025-09-09,0.43,0.4325,0.42,0.42,0.4047,1002499
2025-09-10,0.425,0.43,0.4075,0.415,0.3999,2611503
2025-09-11,0.415,0.43,0.415,0.42,0.4047,1325643
2025-09-12,0.415,0.43,0.415,0.42,0.4047,1027865
2025-09-15,0.42,0.43,0.4125,0.425,0.4095,1710849
2025-09-16,0.43,0.4325,0.42,0.43,0.4144,2337233
2025-09-17,0.425,0.43,0.4225,0.43,0.4144,2544054
2025-09-18,0.425,0.425,0.415,0.425,0.4188,1208385
2025-09-19,0.42,0.425,0.41,0.41,0.404,2661841
2025-09-22,0.41,0.43,0.405,0.425,0.4188,2530260
2025-09-23,0.425,0.425,0.42,0.425,0.4188,1413521
2025-09-24,0.425,0.43,0.42,0.43,0.4237,1336177
2025-09-25,0.425,0.425,0.42,0.425,0.4188,3135418
2025-09-26,0.425,0.425,0.415,0.415,0.4089,1002810
2025-09-29,0.415,0.42,0.4,0.41,0.404,4069239
2025-09-30,0.41,0.41,0.4,0.4,0.3942,3475361
