Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,68.78,70.09,68.23,68.9,68.9,44338
2025-07-23,68.95,69.43,67.55,68.86,68.86,40944
2025-07-24,69,69.98,68.42,68.83,68.83,27660
2025-07-25,69,69.5,67.99,68.79,68.79,19435
2025-07-28,68.9,69.89,68.59,69.89,69.89,18354
2025-07-29,70.99,70.99,69.21,69.98,69.98,22165
2025-07-30,70.41,70.96,69.06,69.59,69.59,23783
2025-07-31,69.33,70.44,68.61,69.71,69.71,29890
2025-08-01,69.37,69.67,68.11,68.79,68.79,26292
2025-08-04,68.2,68.895,67.05,68.48,68.48,30425
2025-08-05,69.77,69.91,68.9,69.68,69.68,34505
2025-08-06,69.75,71.81,69.5,71.8,71.8,49815
2025-08-07,71.73,71.92,70.69,71.1,71.1,38462
2025-08-08,70.95,70.95,69.105,69.62,69.62,33825
2025-08-11,69.92,70.71,69,70.04,70.04,37916
2025-08-12,69.72,70.42,69.51,70.34,70.34,108451
2025-08-13,71,71.48,69.8,70.62,70.62,31766
2025-08-14,70.87,71.235,68.01,68.01,68.01,74593
2025-08-15,68.4,69.45,68.1,68.29,68.29,30351
2025-08-18,68.5,69.49,68.39,69.48,69.48,34108
2025-08-19,69.39,69.54,67.86,68.73,68.73,49331
2025-08-20,69.95,69.99,67.07,68.13,68.13,96876
2025-08-21,67.96,68.6,67.17,67.99,67.99,41526
2025-08-22,68.25,68.25,65.21,66.11,66.11,56678
2025-08-25,67,67.44,65.24,65.57,65.57,60731
2025-08-26,65.26,66.52,64.77,66.49,66.49,49774
2025-08-27,66,66.69,64.6,65.88,65.88,66512
2025-08-28,59.74,60.97,55,60.5,60.5,307846
2025-08-29,60.46,61.96,60.135,61.1,61.1,163318
2025-09-01,60.72,60.72,59.4,59.6,59.6,73682
2025-09-02,59.68,60.74,59.31,59.82,59.82,42710
2025-09-03,59.42,59.625,57.7,58,58,71863
2025-09-04,58.02,58.56,56.855,58.3,58.3,114209
2025-09-05,58.63,59.8,58.34,59.51,59.51,62201
2025-09-08,59.79,60.12,58.68,59.45,59.45,95579
2025-09-09,58.5,59.695,58.5,59.05,59.05,59124
2025-09-10,59.74,60.38,59.24,59.81,59.81,49148
2025-09-11,59.61,62.85,58.74,62.61,62.61,88179
2025-09-12,62.63,62.74,60.85,61.7,61.7,64458
2025-09-15,60.85,62.5,60.415,62.5,62.5,55874
2025-09-16,63.32,64.91,63.28,64.73,64.73,42224
2025-09-17,65,65.41,63.67,64.2,64.2,99960
2025-09-18,64.39,65.98,64.26,64.94,64.94,150732
