Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,5.63,5.63,5.54,5.57,5.3635,58296
2025-07-23,5.57,5.64,5.56,5.63,5.4213,13005
2025-07-24,5.63,5.63,5.55,5.62,5.4117,13523
2025-07-25,5.62,5.64,5.5,5.64,5.4309,57601
2025-07-28,5.58,5.62,5.535,5.62,5.4117,10984
2025-07-29,5.62,5.65,5.51,5.65,5.4406,24978
2025-07-30,5.64,5.75,5.6,5.75,5.5369,33028
2025-07-31,5.75,5.75,5.66,5.75,5.5369,1890
2025-08-01,5.75,5.75,5.6,5.75,5.5369,1778
2025-08-04,5.75,5.75,5.6,5.75,5.5369,2037
2025-08-05,5.75,5.75,5.55,5.57,5.3635,3257
2025-08-06,5.68,5.73,5.58,5.73,5.5176,3580
2025-08-07,5.72,5.72,5.58,5.68,5.4695,872
2025-08-08,5.69,5.69,5.61,5.69,5.4791,5752
2025-08-11,5.68,5.75,5.64,5.74,5.5272,10085
2025-08-12,5.74,5.75,5.62,5.74,5.5272,4682
2025-08-13,5.74,5.74,5.63,5.63,5.4213,1998
2025-08-14,5.66,5.68,5.62,5.68,5.4695,7477
2025-08-15,5.69,5.71,5.64,5.71,5.4984,3637
2025-08-18,5.71,5.8,5.65,5.69,5.4791,5152
2025-08-19,5.92,6.02,5.75,5.88,5.6621,36762
2025-08-20,5.85,5.97,5.795,5.97,5.7487,1489
2025-08-21,5.94,6.06,5.71,5.96,5.7391,3240
2025-08-22,5.93,6,5.9,6,5.7776,12776
2025-08-25,6,6,5.83,5.87,5.6524,3201
2025-08-26,5.92,5.975,5.75,5.77,5.5561,648
2025-08-27,5.82,5.95,5.79,5.82,5.6043,9732
2025-08-28,5.85,5.92,5.62,5.62,5.4117,1505
2025-08-29,5.62,5.945,5.62,5.92,5.7006,1231
2025-09-01,5.85,6.05,5.84,5.84,5.6235,3940
2025-09-02,5.99,6.03,5.85,5.85,5.6332,7424
2025-09-03,5.86,6.01,5.7,5.71,5.6212,27878
2025-09-04,5.8,6.06,5.79,6.06,5.9657,10216
2025-09-05,6.03,6.03,5.84,6.01,5.9165,227
2025-09-08,6,6.09,5.84,5.88,5.7885,14047
2025-09-09,5.85,6.13,5.81,5.81,5.7196,1425
2025-09-10,6.11,6.2,6.04,6.19,6.0937,22751
2025-09-11,6.2,6.3,6.1,6.28,6.1823,2880
2025-09-12,6.28,6.28,6.01,6.01,5.9165,4052
2025-09-15,6.02,6.28,5.99,6.28,6.1823,9193
2025-09-16,6.28,6.28,5.88,6.27,6.1724,3808
2025-09-17,6.2,6.2,6,6.06,5.9657,17072
2025-09-18,6.06,6.06,5.88,5.88,5.7885,10222
2025-09-19,5.92,5.93,5.69,5.69,5.6015,6061
2025-09-22,5.7,5.93,5.7,5.75,5.6605,1753
2025-09-23,5.8,5.95,5.76,5.87,5.7787,3905
2025-09-24,5.87,5.87,5.75,5.85,5.759,5544
2025-09-25,5.85,5.86,5.75,5.75,5.6605,3323
2025-09-26,5.76,5.84,5.68,5.7,5.6113,1910
2025-09-29,5.7,5.87,5.7,5.7,5.6113,10638
2025-09-30,5.82,5.86,5.72,5.76,5.6704,1942
2025-10-01,5.92,5.94,5.87,5.9,5.8082,8050
2025-10-02,5.95,5.95,5.78,5.79,5.6999,3127
2025-10-03,5.8,5.94,5.79,5.94,5.8476,5520
2025-10-06,5.94,5.97,5.84,5.94,5.8476,7665
2025-10-07,5.9,5.9,5.76,5.77,5.6802,8383
2025-10-08,5.77,5.99,5.77,5.95,5.8574,1613
2025-10-09,5.95,5.95,5.75,5.79,5.6999,4776
2025-10-10,5.8,5.84,5.69,5.75,5.6605,6027
2025-10-13,5.75,5.85,5.6,5.6,5.5129,6874
2025-10-14,5.76,5.8,5.64,5.72,5.631,2402
2025-10-15,5.73,5.74,5.61,5.65,5.5621,13287
2025-10-16,5.68,5.76,5.61,5.61,5.5227,7274
2025-10-17,5.65,5.77,5.65,5.77,5.6802,3859
2025-10-20,5.78,5.95,5.77,5.95,5.8574,2724
2025-10-21,5.75,5.92,5.63,5.92,5.8279,19421
2025-10-22,5.85,5.86,5.8,5.81,5.7196,6818
2025-10-23,5.91,5.91,5.77,5.89,5.7984,1105
2025-10-24,5.89,5.89,5.66,5.7,5.6113,8349
2025-10-27,5.69,5.71,5.69,5.7,5.6113,1176
2025-10-28,5.75,5.75,5.61,5.675,5.5867,17657
2025-10-29,5.73,5.73,5.69,5.69,5.6015,572
2025-10-30,5.74,5.74,5.63,5.63,5.5424,17150
2025-10-31,5.64,5.74,5.64,5.73,5.6408,1789
2025-11-03,5.71,5.71,5.64,5.66,5.5719,2601
2025-11-04,5.67,5.74,5.66,5.66,5.5719,5556
2025-11-05,5.66,5.77,5.66,5.73,5.6408,1403
2025-11-06,5.73,5.73,5.63,5.63,5.5424,6063
2025-11-07,5.65,5.68,5.61,5.62,5.5326,4031
2025-11-10,5.69,5.69,5.6,5.67,5.5818,1677
2025-11-11,5.67,5.68,5.62,5.64,5.5522,5239
2025-11-12,5.64,5.66,5.61,5.63,5.5424,3139
2025-11-13,5.63,5.66,5.63,5.65,5.5621,5204
2025-11-14,5.66,5.66,5.6,5.6,5.5129,1026
2025-11-17,5.61,5.66,5.6,5.66,5.5719,712
2025-11-18,5.61,5.64,5.52,5.57,5.4833,10096
2025-11-19,5.57,5.57,5.47,5.47,5.3849,2161
2025-11-20,5.55,5.6,5.43,5.43,5.3455,2430
2025-11-21,5.55,5.6,5.52,5.52,5.4341,2420
2025-11-24,5.52,5.62,5.505,5.52,5.4341,16820
2025-11-25,5.52,5.66,5.47,5.47,5.3849,4839
2025-11-26,5.47,5.7,5.47,5.66,5.5719,5153
2025-11-27,5.66,5.66,5.48,5.48,5.3947,2160
2025-11-28,5.48,5.53,5.48,5.53,5.444,447
2025-12-01,5.54,5.56,5.46,5.46,5.375,13239
2025-12-02,5.46,5.74,5.4,5.74,5.6507,5528
2025-12-03,5.55,5.68,5.41,5.68,5.5916,11973
2025-12-04,5.68,5.68,5.5,5.59,5.503,2949
2025-12-05,5.55,5.63,5.45,5.63,5.5424,11916
2025-12-08,5.62,5.62,5.43,5.45,5.3652,1521
2025-12-09,5.57,5.57,5.4,5.4,5.316,8078
2025-12-10,5.5,5.5,5.43,5.48,5.3947,9800
2025-12-11,5.48,5.5,5.4,5.42,5.3357,1336
2025-12-12,5.49,5.6,5.4,5.6,5.5129,4887
2025-12-15,5.6,5.6,5.28,5.39,5.3061,4212
2025-12-16,5.39,5.5,5.39,5.46,5.375,10321
2025-12-17,5.46,5.51,5.46,5.48,5.3947,12062
2025-12-18,5.48,5.48,5.32,5.44,5.3554,16598
2025-12-19,5.57,5.6,5.45,5.46,5.375,2485
2025-12-22,5.47,5.59,5.47,5.52,5.4341,852
2025-12-23,5.53,5.57,5.48,5.5,5.4144,3155
2025-12-24,5.51,5.58,5.51,5.58,5.4932,4068
2025-12-29,5.59,5.59,5.46,5.47,5.3849,903
2025-12-30,5.46,5.59,5.46,5.51,5.4243,10944
2025-12-31,5.65,5.65,5.52,5.65,5.5621,900
2026-01-02,5.65,5.65,5.53,5.63,5.5424,1243
2026-01-05,5.64,5.64,5.53,5.53,5.444,1724
2026-01-06,5.53,5.63,5.53,5.56,5.4735,1530
2026-01-07,5.63,5.64,5.535,5.64,5.5522,1078
2026-01-08,5.65,5.67,5.53,5.63,5.5424,7275
2026-01-09,5.65,5.65,5.58,5.61,5.5227,1407
2026-01-12,5.47,5.67,5.47,5.67,5.5818,3421
2026-01-13,5.66,5.66,5.53,5.54,5.4538,3273
2026-01-14,5.55,5.64,5.48,5.64,5.5522,6569
2026-01-15,5.64,5.64,5.49,5.5,5.4144,967
2026-01-16,5.51,5.55,5.49,5.5,5.4144,2109
2026-01-19,5.49,5.61,5.49,5.57,5.4833,6997
2026-01-20,5.55,5.61,5.49,5.49,5.4046,5110
2026-01-21,5.55,5.59,5.47,5.47,5.3849,695
2026-01-22,5.51,5.55,5.51,5.55,5.4636,2883
2026-01-23,5.56,5.56,5.46,5.5,5.4144,834
2026-01-27,5.5,5.51,5.45,5.51,5.4243,2619
2026-01-28,5.53,5.53,5.41,5.47,5.3849,2035
2026-01-29,5.47,5.52,5.41,5.41,5.3258,12103
2026-01-30,5.41,5.5,5.41,5.44,5.3554,4499
2026-02-02,5.5,5.53,5.44,5.44,5.3554,2950
2026-02-03,5.45,5.46,5.41,5.43,5.3455,1631
2026-02-04,5.43,5.55,5.43,5.55,5.4636,1349
2026-02-05,5.54,5.57,5.48,5.51,5.4243,7041
2026-02-06,5.53,5.53,5.51,5.51,5.4243,822
