Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,5.26,5.31,5.21,5.31,5.1263,42810
2025-07-23,5.29,5.31,5.23,5.31,5.1263,25565
2025-07-24,5.27,5.32,5.26,5.32,5.136,4584
2025-07-25,5.31,5.35,5.25,5.27,5.0877,63397
2025-07-28,5.27,5.33,5.27,5.33,5.1456,16789
2025-07-29,5.24,5.26,5.2,5.2,5.0201,57419
2025-07-30,5.28,5.345,5.23,5.24,5.0588,30070
2025-07-31,5.26,5.28,5.15,5.28,5.0974,31110
2025-08-01,5.2,5.28,5.2,5.28,5.0974,1394
2025-08-04,5.28,5.28,5.19,5.19,5.0105,7132
2025-08-05,5.225,5.26,5.19,5.19,5.0105,10696
2025-08-06,5.21,5.23,5.19,5.21,5.0298,9156
2025-08-07,5.22,5.22,5.16,5.22,5.0394,22606
2025-08-08,5.22,5.22,5.115,5.15,4.9719,46922
2025-08-11,5.1,5.215,5.1,5.11,4.9333,23060
2025-08-12,5.2,5.2,5.115,5.12,4.9429,35057
2025-08-13,5.22,5.22,5.065,5.08,4.9043,33374
2025-08-14,5.09,5.14,5.08,5.12,4.9429,12474
2025-08-15,5.11,5.11,5.05,5.06,4.885,18015
2025-08-18,5.07,5.12,5.02,5.08,4.9043,35144
2025-08-19,5.12,5.14,5.06,5.13,4.9526,18863
2025-08-20,5.14,5.14,5.02,5.02,4.8464,25821
2025-08-21,5.09,5.22,5.05,5.22,5.0394,34318
2025-08-22,5.21,5.21,5.08,5.08,4.9043,16545
2025-08-25,5.05,5.12,5.04,5.12,4.9429,13832
2025-08-26,5.06,5.07,4.85,4.91,4.7402,137009
2025-08-27,4.88,4.92,4.85,4.87,4.7016,64730
2025-08-28,4.9,5.04,4.9,5.01,4.8367,27833
2025-08-29,5.01,5.13,5.01,5.01,4.8367,19482
2025-09-01,5.03,5.27,5.03,5.27,5.0877,75409
2025-09-02,5.25,5.27,5.22,5.26,5.0781,32250
2025-09-03,5.28,5.33,5.24,5.3,5.1167,69403
2025-09-04,5.2,5.24,5.11,5.11,5.0549,31305
2025-09-05,5.15,5.18,5.12,5.15,5.0945,23886
2025-09-08,5.15,5.3,5.15,5.3,5.2429,50011
2025-09-09,5.3,5.3,5.09,5.09,5.0351,8386
2025-09-10,5.1,5.28,5.1,5.28,5.2231,20167
2025-09-11,5.15,5.16,5.06,5.06,5.0054,14202
2025-09-12,5.06,5.17,5.06,5.13,5.0747,25031
2025-09-15,5.13,5.13,4.97,5.01,4.956,22025
2025-09-16,5.02,5.19,4.99,5.01,4.956,12008
2025-09-17,5.09,5.1,4.95,5.1,5.045,43105
2025-09-18,5.1,5.1,4.95,5.04,4.9857,17654
