Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,4.45,4.46,4.43,4.45,4.2766,166193
2025-07-23,4.45,4.47,4.43,4.47,4.2958,187745
2025-07-24,4.48,4.48,4.45,4.48,4.3054,326483
2025-07-25,4.46,4.49,4.46,4.48,4.3054,204970
2025-07-28,4.49,4.52,4.48,4.52,4.3438,394681
2025-07-29,4.5,4.55,4.5,4.55,4.3727,369179
2025-07-30,4.55,4.57,4.5,4.52,4.3438,265888
2025-07-31,4.6,4.62,4.57,4.6,4.4207,451391
2025-08-01,4.57,4.57,4.54,4.54,4.363,250938
2025-08-04,4.56,4.56,4.48,4.48,4.3054,359948
2025-08-05,4.53,4.54,4.51,4.53,4.3534,195413
2025-08-06,4.53,4.53,4.48,4.53,4.3534,304219
2025-08-07,4.53,4.53,4.5,4.51,4.3342,294779
2025-08-08,4.5,4.51,4.48,4.48,4.3054,246164
2025-08-11,4.5,4.54,4.5,4.53,4.3534,132822
2025-08-12,4.54,4.56,4.5,4.56,4.3823,438133
2025-08-13,4.6,4.6,4.56,4.59,4.4111,275768
2025-08-14,4.6,4.61,4.54,4.56,4.3823,272980
2025-08-15,4.56,4.61,4.56,4.58,4.4015,244457
2025-08-18,4.58,4.66,4.58,4.66,4.4784,142340
2025-08-19,4.62,4.67,4.61,4.65,4.4688,218090
2025-08-20,4.67,4.67,4.61,4.61,4.4303,362667
2025-08-21,4.64,4.665,4.6,4.66,4.4784,1451386
2025-08-22,4.66,4.66,4.62,4.64,4.4591,163087
2025-08-25,4.66,4.72,4.66,4.71,4.5264,384916
2025-08-26,4.71,4.72,4.68,4.72,4.536,518287
2025-08-27,4.72,4.73,4.69,4.71,4.5264,205817
2025-08-28,4.71,4.73,4.71,4.73,4.5456,422825
2025-08-29,4.74,4.75,4.71,4.72,4.536,751514
2025-09-01,4.74,4.75,4.71,4.74,4.5552,151457
2025-09-02,4.75,4.75,4.72,4.74,4.5552,117733
2025-09-03,4.72,4.75,4.68,4.69,4.5072,185259
2025-09-04,4.67,4.73,4.67,4.7,4.5168,124616
2025-09-05,4.73,4.8,4.73,4.76,4.5745,225455
2025-09-08,4.78,4.82,4.76,4.79,4.6033,281749
2025-09-09,4.79,4.8,4.75,4.8,4.6129,438397
2025-09-10,4.8,4.83,4.78,4.78,4.5937,269759
2025-09-11,4.8,4.8,4.74,4.74,4.5552,215399
2025-09-12,4.77,4.78,4.74,4.75,4.5649,353827
2025-09-15,4.75,4.78,4.75,4.77,4.5841,177821
2025-09-16,4.77,4.8,4.76,4.76,4.5745,291096
