Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,9.85,9.94,9.81,9.92,9.0977,439302
2025-07-23,9.98,10.455,9.91,10.31,9.4553,1475216
2025-07-24,10.4,10.53,10.35,10.47,9.6021,936279
2025-07-25,10.39,10.47,10.295,10.43,9.5654,615323
2025-07-28,10.43,10.98,10.425,10.91,10.0056,1524104
2025-07-29,10.8,10.925,10.73,10.88,9.9781,607890
2025-07-30,10.8,10.84,10.44,10.54,9.6663,901178
2025-07-31,10.55,10.875,10.43,10.69,9.8038,783052
2025-08-01,10.5,10.56,10.34,10.56,9.6846,569285
2025-08-04,10.48,10.53,10.195,10.37,9.5104,594621
2025-08-05,10.41,10.7,10.41,10.6,9.7213,574026
2025-08-06,10.5,10.88,10.46,10.83,9.9322,490674
2025-08-07,10.76,10.84,10.68,10.82,9.9231,232431
2025-08-08,10.77,10.77,10.435,10.53,9.6571,558641
2025-08-11,10.57,10.74,10.55,10.6,9.7213,615848
2025-08-12,10.54,10.6,10.4,10.46,9.5929,775638
2025-08-13,10.53,10.765,10.51,10.66,9.7763,521777
2025-08-14,10.75,10.88,10.71,10.78,9.8864,345775
2025-08-15,10.75,10.94,10.725,10.94,10.0331,380416
2025-08-18,10.8,10.93,10.72,10.79,9.8955,403895
2025-08-19,10.7,10.71,10.55,10.61,9.7305,618680
2025-08-20,10.85,11.8,10.77,10.78,9.8864,1685104
2025-08-21,10.57,10.66,10.24,10.66,9.7763,1417982
2025-08-22,10.8,11.15,10.7,11.05,10.134,1096274
2025-08-25,10.6,10.74,10.43,10.52,10.0756,715607
2025-08-26,10.48,10.56,10.12,10.18,9.7499,781733
2025-08-27,10.24,10.335,10.13,10.33,9.8936,454052
2025-08-28,10.35,10.41,10.21,10.33,9.8936,419586
2025-08-29,10.15,10.28,10.11,10.22,9.7882,363779
2025-09-01,10.22,10.26,9.97,10.13,9.702,421884
2025-09-02,10.15,10.35,10.11,10.35,9.9128,517243
2025-09-03,10.42,10.59,10.27,10.27,9.8361,763619
2025-09-04,10.08,10.41,10.07,10.32,9.884,396646
2025-09-05,10.51,10.55,10.29,10.33,9.8936,295405
2025-09-08,10.2,10.32,10.05,10.27,9.8361,347637
2025-09-09,10.26,10.35,10.07,10.23,9.7978,593335
2025-09-10,10.25,10.31,10.17,10.2,9.7691,525456
2025-09-11,10.09,10.39,10.03,10.33,9.8936,526939
2025-09-12,10.43,10.66,10.39,10.62,10.1713,501054
2025-09-15,10.55,10.55,10.41,10.5,10.0564,713563
2025-09-16,10.63,10.74,10.54,10.74,10.2863,434542
2025-09-17,10.65,10.7,10.48,10.52,10.0756,432407
2025-09-18,10.25,10.25,9.85,10.08,9.6542,1322699
2025-09-19,10.18,10.23,9.75,9.88,9.4626,1536266
2025-09-22,10.01,10.05,9.92,9.95,9.5297,600603
2025-09-23,9.9,9.965,9.82,9.82,9.4051,413447
2025-09-24,9.82,9.825,9.55,9.71,9.2998,503472
2025-09-25,9.67,9.68,9.53,9.57,9.1657,633344
2025-09-26,9.58,9.59,9.41,9.5,9.0987,410713
2025-09-29,9.59,9.655,9.505,9.59,9.1849,267630
2025-09-30,9.59,9.77,9.54,9.61,9.204,570281
2025-10-01,9.6,9.77,9.535,9.77,9.3573,488467
2025-10-02,9.8,10,9.78,9.94,9.5201,417651
2025-10-03,9.94,10.195,9.93,10.06,9.635,513346
2025-10-06,10.1,10.17,9.92,9.98,9.5584,255557
2025-10-07,9.98,10.21,9.98,10.21,9.7787,302994
2025-10-08,10.39,10.71,10.22,10.3,9.8649,756341
2025-10-09,10.45,10.56,10.155,10.42,9.9798,610445
2025-10-10,10.44,10.44,10.265,10.4,9.9606,392612
2025-10-13,10.24,10.24,9.89,10.06,9.635,593144
2025-10-14,10.11,10.35,10.06,10.22,9.7882,527124
2025-10-15,10.19,10.33,10.03,10.08,9.6542,501719
2025-10-16,10.08,10.375,10.01,10.25,9.817,272485
2025-10-17,10.14,10.3,10.06,10.22,9.7882,408962
2025-10-20,10.2,10.45,10.1,10.35,9.9128,388199
2025-10-21,10.5,10.55,10.35,10.51,10.066,311047
2025-10-22,10.55,10.69,10.45,10.69,10.2384,428958
2025-10-23,10.59,10.61,10.28,10.45,10.0085,511043
2025-10-24,10.5,10.51,10.02,10.06,9.635,599054
2025-10-27,10.16,10.21,10.01,10.04,9.6159,522738
2025-10-28,10.05,10.17,9.96,10.08,9.6542,315155
2025-10-29,10,10.145,9.94,9.94,9.5201,437009
2025-10-30,9.86,9.94,9.8,9.91,9.4913,493137
2025-10-31,9.93,9.98,9.58,9.62,9.2136,829083
2025-11-03,9.66,9.76,9.55,9.71,9.2998,613170
2025-11-04,9.71,9.71,9.49,9.57,9.1657,376321
2025-11-05,9.57,9.67,9.34,9.54,9.137,500280
2025-11-06,9.6,9.7,9.51,9.57,9.1657,554758
2025-11-07,9.56,9.56,9.33,9.35,8.955,542191
2025-11-10,9.35,9.69,9.35,9.67,9.2615,404504
2025-11-11,9.78,9.83,9.63,9.67,9.2615,386955
2025-11-12,9.71,9.76,9.62,9.75,9.3381,279626
2025-11-13,9.74,9.74,9.54,9.66,9.2519,502686
2025-11-14,9.4,9.44,9.24,9.27,8.8784,604889
2025-11-17,9.24,9.52,9.21,9.49,9.0891,343400
2025-11-18,9.35,9.385,9.16,9.21,8.8209,535381
2025-11-19,9.33,9.38,9.27,9.27,8.8784,283301
2025-11-20,9.08,9.21,8.67,9.21,8.8209,884529
2025-11-21,9.16,9.305,9.06,9.25,8.8592,662203
2025-11-24,9.32,9.43,9.26,9.41,9.0125,501327
2025-11-25,9.47,9.57,9.26,9.36,8.9646,346776
2025-11-26,9.47,9.63,9.45,9.57,9.1657,314311
2025-11-27,9.57,9.58,9.4,9.44,9.0412,284434
2025-11-28,9.41,9.51,9.36,9.51,9.1082,809178
2025-12-01,9.45,9.69,9.42,9.43,9.0316,621792
2025-12-02,9.42,9.53,9.38,9.5,9.0987,567424
2025-12-03,9.37,9.87,9.37,9.71,9.2998,541576
2025-12-04,9.71,9.72,9.49,9.54,9.137,300014
2025-12-05,9.55,9.6,9.495,9.58,9.1753,315004
2025-12-08,9.58,9.81,9.58,9.71,9.2998,371682
2025-12-09,9.7,9.77,9.645,9.75,9.3381,276135
2025-12-10,9.75,9.77,9.47,9.48,9.0795,397396
2025-12-11,9.56,9.65,9.45,9.5,9.0987,337797
2025-12-12,9.56,9.605,9.48,9.56,9.1561,245689
2025-12-15,9.56,9.6,9.48,9.5,9.0987,309599
2025-12-16,9.5,9.51,9.36,9.46,9.0604,406068
2025-12-17,9.41,9.53,9.36,9.42,9.022,540257
2025-12-18,9.14,9.51,9.14,9.51,9.1082,603249
2025-12-19,9.3,9.56,9.3,9.48,9.0795,696043
2025-12-22,9.5,9.86,9.48,9.85,9.4339,466632
2025-12-23,9.75,9.96,9.75,9.92,9.5009,574760
2025-12-24,9.86,10.05,9.8,10.05,9.6254,469590
2025-12-29,10.05,10.06,9.75,9.76,9.3477,447169
2025-12-30,9.8,9.92,9.72,9.82,9.4051,249786
2025-12-31,9.82,9.98,9.77,9.98,9.5584,339162
2026-01-02,9.98,9.98,9.84,9.91,9.4913,212306
2026-01-05,9.89,9.93,9.31,9.33,8.9358,524047
2026-01-06,9.41,9.49,9.16,9.18,8.7922,450423
2026-01-07,9.1,9.36,9.03,9.3,8.9071,402088
2026-01-08,9,9.255,8.91,9.24,8.8496,539404
2026-01-09,9.24,9.26,9.02,9.04,8.6581,631706
2026-01-12,9.06,9.32,9.06,9.2,8.8113,583245
2026-01-13,9.15,9.16,9.01,9.05,8.6677,654603
2026-01-14,9.03,9.11,9.01,9.11,8.7251,497117
2026-01-15,9.14,9.15,8.99,9.03,8.6485,570614
2026-01-16,9.06,9.225,9.01,9.21,8.8209,420978
2026-01-19,9.2,9.32,9.2,9.28,8.888,380968
2026-01-20,9.19,9.24,9.02,9.07,8.6868,501846
2026-01-21,9.02,9.02,8.86,8.93,8.5527,575529
2026-01-22,8.98,9.15,8.96,9.13,8.7443,404830
