Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.23,2.245,2.21,2.23,2.1208,10602269
2025-07-23,2.24,2.265,2.24,2.25,2.1398,10542119
2025-07-24,2.24,2.25,2.21,2.22,2.1113,6330893
2025-07-25,2.22,2.23,2.2,2.21,2.1017,7670616
2025-07-28,2.23,2.25,2.21,2.23,2.1208,18147773
2025-07-29,2.21,2.225,2.2,2.2,2.0922,11289490
2025-07-30,2.19,2.28,2.19,2.26,2.1493,17965557
2025-07-31,2.24,2.27,2.24,2.25,2.1398,7672639
2025-08-01,2.23,2.24,2.21,2.24,2.1303,7932684
2025-08-04,2.24,2.24,2.22,2.24,2.1303,3823930
2025-08-05,2.26,2.27,2.24,2.26,2.1493,9170284
2025-08-06,2.27,2.29,2.26,2.27,2.1588,8640999
2025-08-07,2.28,2.29,2.26,2.28,2.1683,8694124
2025-08-08,2.28,2.32,2.27,2.3,2.1873,11822676
2025-08-11,2.3,2.32,2.29,2.31,2.1968,5020941
2025-08-12,2.29,2.31,2.265,2.29,2.1778,15511428
2025-08-13,2.3,2.3,2.255,2.27,2.1588,15050567
2025-08-14,2.28,2.34,2.28,2.31,2.1968,19364092
2025-08-15,2.24,2.3,2.23,2.29,2.1778,20748951
2025-08-18,2.31,2.39,2.29,2.37,2.2539,24232773
2025-08-19,2.35,2.35,2.31,2.32,2.2064,10658028
2025-08-20,2.34,2.375,2.33,2.37,2.2539,7919773
2025-08-21,2.37,2.41,2.36,2.4,2.2824,13379652
2025-08-22,2.38,2.42,2.38,2.38,2.2634,15175803
2025-08-25,2.4,2.42,2.39,2.41,2.2919,13860862
2025-08-26,2.41,2.42,2.39,2.39,2.2729,7847605
2025-08-27,2.38,2.4,2.34,2.38,2.2634,7891295
2025-08-28,2.38,2.41,2.35,2.38,2.2634,7820187
2025-08-29,2.38,2.39,2.36,2.36,2.2444,6442792
2025-09-01,2.36,2.39,2.35,2.37,2.2539,6221711
2025-09-02,2.36,2.365,2.325,2.34,2.2254,7602424
2025-09-03,2.33,2.34,2.275,2.28,2.1683,8131976
2025-09-04,2.3,2.3,2.27,2.3,2.1873,15614283
2025-09-05,2.32,2.375,2.31,2.34,2.2254,13402771
2025-09-08,2.34,2.39,2.34,2.37,2.2539,20120946
2025-09-09,2.36,2.37,2.33,2.35,2.2349,6543453
2025-09-10,2.34,2.35,2.32,2.32,2.2064,22859758
2025-09-11,2.31,2.35,2.31,2.33,2.2159,13563156
2025-09-12,2.35,2.38,2.34,2.37,2.2539,13174604
2025-09-15,2.35,2.39,2.34,2.38,2.2634,5799770
2025-09-16,2.39,2.405,2.35,2.37,2.2539,13823183
2025-09-17,2.36,2.37,2.33,2.33,2.2159,9066560
2025-09-18,2.33,2.35,2.3,2.33,2.2159,13418025
2025-09-19,2.31,2.345,2.31,2.33,2.2159,28324377
2025-09-22,2.33,2.34,2.3,2.31,2.1968,3974438
2025-09-23,2.31,2.32,2.285,2.31,2.1968,6049329
2025-09-24,2.3,2.31,2.27,2.27,2.1588,10050350
2025-09-25,2.25,2.295,2.25,2.29,2.1778,9896661
2025-09-26,2.28,2.31,2.26,2.27,2.1588,12669229
2025-09-29,2.27,2.29,2.25,2.27,2.1588,8669534
2025-09-30,2.28,2.3,2.27,2.27,2.1588,11413603
2025-10-01,2.26,2.29,2.25,2.28,2.1683,5567716
2025-10-02,2.28,2.32,2.26,2.29,2.1778,9846171
