Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.31,0.315,0.31,0.31,0.31,227659
2025-04-28,0.31,0.315,0.305,0.31,0.31,124675
2025-04-29,0.31,0.32,0.305,0.32,0.32,1193816
2025-04-30,0.315,0.315,0.31,0.31,0.31,184817
2025-05-01,0.31,0.315,0.3,0.3,0.3,632236
2025-05-02,0.3,0.31,0.3,0.305,0.305,757795
2025-05-05,0.305,0.31,0.3,0.3,0.3,698039
2025-05-06,0.305,0.305,0.3,0.3,0.3,377873
2025-05-07,0.3,0.305,0.3,0.3,0.3,253309
2025-05-08,0.3,0.31,0.3,0.305,0.305,325388
2025-05-09,0.3,0.305,0.3,0.3,0.3,288961
2025-05-12,0.3,0.305,0.3,0.3,0.3,210220
2025-05-13,0.305,0.31,0.305,0.31,0.31,249235
2025-05-14,0.305,0.315,0.305,0.31,0.31,1483773
2025-05-15,0.31,0.315,0.305,0.305,0.305,256959
2025-05-16,0.31,0.32,0.31,0.31,0.31,617440
2025-05-19,0.305,0.31,0.3,0.3,0.3,842692
2025-05-20,0.3,0.3,0.29,0.295,0.295,1921509
2025-05-21,0.3,0.3,0.29,0.295,0.295,448897
2025-05-22,0.295,0.295,0.29,0.29,0.29,462229
2025-05-23,0.295,0.3,0.29,0.295,0.295,389285
2025-05-26,0.295,0.3,0.29,0.3,0.3,1171510
2025-05-27,0.3,0.3,0.295,0.295,0.295,1013568
2025-05-28,0.295,0.3,0.29,0.29,0.29,434671
2025-05-29,0.29,0.295,0.285,0.285,0.285,832863
2025-05-30,0.29,0.2925,0.285,0.29,0.29,608372
2025-06-02,0.29,0.29,0.285,0.285,0.285,343497
2025-06-03,0.285,0.285,0.28,0.28,0.28,840720
2025-06-04,0.28,0.29,0.28,0.28,0.28,536563
2025-06-05,0.28,0.2825,0.275,0.275,0.275,1098111
2025-06-06,0.28,0.28,0.275,0.275,0.275,912472
2025-06-10,0.28,0.28,0.275,0.275,0.275,526253
2025-06-11,0.275,0.28,0.27,0.27,0.27,1167811
2025-06-12,0.27,0.28,0.27,0.275,0.275,1369187
2025-06-13,0.275,0.275,0.27,0.27,0.27,841770
2025-06-16,0.27,0.2725,0.26,0.265,0.265,1539703
2025-06-17,0.265,0.27,0.26,0.265,0.265,1040245
2025-06-18,0.27,0.27,0.2575,0.265,0.265,2952705
2025-06-19,0.265,0.27,0.26,0.26,0.26,1489188
2025-06-20,0.26,0.265,0.255,0.265,0.265,4627094
2025-06-23,0.265,0.265,0.255,0.26,0.26,554058
2025-06-24,0.26,0.265,0.255,0.26,0.26,971832
2025-06-25,0.26,0.265,0.255,0.26,0.26,1469226
2025-06-26,0.2575,0.26,0.255,0.26,0.26,1176672
2025-06-27,0.26,0.28,0.26,0.28,0.28,3445770
2025-06-30,0.28,0.28,0.265,0.27,0.27,2164198
2025-07-01,0.275,0.28,0.2725,0.275,0.275,608369
2025-07-02,0.275,0.275,0.265,0.27,0.27,1612984
2025-07-03,0.27,0.275,0.2675,0.27,0.27,1181625
2025-07-04,0.27,0.2775,0.27,0.275,0.275,824107
2025-07-07,0.28,0.287,0.28,0.28,0.28,1008916
2025-07-08,0.28,0.29,0.28,0.285,0.285,570595
2025-07-09,0.285,0.2925,0.285,0.29,0.29,752254
2025-07-10,0.29,0.2925,0.285,0.285,0.285,344967
2025-07-11,0.29,0.3,0.285,0.285,0.285,1008191
2025-07-14,0.29,0.295,0.285,0.295,0.295,784525
2025-07-15,0.295,0.3,0.29,0.3,0.3,1167504
2025-07-16,0.305,0.3325,0.305,0.33,0.33,9652622
2025-07-17,0.33,0.355,0.325,0.35,0.35,6645875
2025-07-18,0.35,0.35,0.34,0.345,0.345,1745480
2025-07-21,0.35,0.37,0.345,0.365,0.365,3081684
2025-07-22,0.37,0.375,0.365,0.37,0.37,2030200
2025-07-23,0.375,0.385,0.37,0.375,0.375,1541689
2025-07-24,0.37,0.385,0.37,0.38,0.38,2037779
2025-07-25,0.38,0.385,0.375,0.375,0.375,1105327
2025-07-28,0.375,0.385,0.375,0.38,0.38,1004639
2025-07-29,0.375,0.38,0.375,0.38,0.38,436610
2025-07-30,0.38,0.39,0.3775,0.385,0.385,3201577
2025-07-31,0.38,0.39,0.38,0.39,0.39,1408000
2025-08-01,0.385,0.39,0.38,0.39,0.39,1103022
2025-08-04,0.39,0.39,0.38,0.385,0.385,603217
2025-08-05,0.385,0.39,0.375,0.375,0.375,1159694
2025-08-06,0.37,0.385,0.37,0.38,0.38,493131
2025-08-07,0.385,0.39,0.38,0.385,0.385,1836310
2025-08-08,0.39,0.39,0.38,0.385,0.385,728779
2025-08-11,0.385,0.39,0.38,0.39,0.39,321186
2025-08-12,0.385,0.385,0.375,0.38,0.38,1327748
2025-08-13,0.38,0.38,0.37,0.37,0.37,949381
2025-08-14,0.38,0.38,0.37,0.375,0.375,463266
2025-08-15,0.37,0.4,0.37,0.395,0.395,4624985
2025-08-18,0.405,0.4075,0.39,0.4,0.4,1668184
2025-08-19,0.4,0.4,0.385,0.39,0.39,660998
2025-08-20,0.38,0.3825,0.36,0.37,0.37,3243305
2025-08-21,0.365,0.375,0.36,0.375,0.375,865689
2025-08-22,0.375,0.375,0.355,0.355,0.355,852730
2025-08-25,0.36,0.37,0.355,0.36,0.36,1419526
2025-08-26,0.36,0.375,0.36,0.37,0.37,1489470
2025-08-27,0.375,0.38,0.365,0.38,0.38,995458
2025-08-28,0.385,0.385,0.37,0.38,0.38,544911
2025-08-29,0.38,0.3875,0.37,0.385,0.385,1172833
2025-09-01,0.39,0.39,0.38,0.39,0.39,838084
2025-09-02,0.39,0.395,0.385,0.385,0.385,770170
2025-09-03,0.385,0.39,0.37,0.375,0.375,820896
2025-09-04,0.375,0.39,0.375,0.375,0.375,716736
2025-09-05,0.385,0.385,0.365,0.38,0.38,1039648
2025-09-08,0.38,0.38,0.37,0.375,0.375,796520
2025-09-09,0.375,0.38,0.37,0.375,0.375,826096
2025-09-10,0.375,0.385,0.37,0.375,0.375,1370474
2025-09-11,0.375,0.38,0.37,0.375,0.375,1134496
2025-09-12,0.37,0.385,0.37,0.38,0.38,485249
2025-09-15,0.385,0.385,0.375,0.385,0.385,369969
2025-09-16,0.38,0.4,0.38,0.39,0.39,1003099
2025-09-17,0.39,0.395,0.38,0.385,0.385,947255
2025-09-18,0.385,0.395,0.375,0.375,0.375,438044
2025-09-19,0.385,0.385,0.36,0.36,0.36,21282319
2025-09-22,0.37,0.385,0.37,0.38,0.38,1427172
2025-09-23,0.38,0.38,0.3625,0.37,0.37,2842491
2025-09-24,0.37,0.37,0.36,0.37,0.37,1090854
2025-09-25,0.365,0.38,0.36,0.375,0.375,2317927
2025-09-26,0.375,0.375,0.37,0.375,0.375,472385
2025-09-29,0.37,0.38,0.37,0.375,0.375,714775
2025-09-30,0.375,0.385,0.375,0.385,0.385,4098261
2025-10-01,0.38,0.395,0.38,0.395,0.395,1747374
2025-10-02,0.39,0.4,0.39,0.39,0.39,1599225
2025-10-03,0.395,0.425,0.3925,0.415,0.415,3406112
2025-10-06,0.42,0.445,0.42,0.435,0.435,3019913
2025-10-07,0.44,0.44,0.42,0.425,0.425,2359732
2025-10-08,0.43,0.435,0.425,0.43,0.43,804728
2025-10-09,0.435,0.45,0.435,0.44,0.44,1749483
2025-10-10,0.445,0.445,0.42,0.435,0.435,1102351
