Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,29.91,30.93,29.66,30.93,30.93,3238943
2025-07-23,31.27,32.32,30.23,30.66,30.66,3496699
2025-07-24,30.6,32.46,30.18,32.1,32.1,3496996
2025-07-25,31.41,32.98,31.28,32.32,32.32,3306936
2025-07-28,31.77,31.96,29.73,30.24,30.24,3769906
2025-07-29,29.71,30.26,29.01,30.1,30.1,2702548
2025-07-30,31.08,31.79,29.46,30.78,30.78,4918187
2025-07-31,29.03,29.19,27.65,28.59,28.59,5211921
2025-08-01,28.72,30.12,28.5,29.86,29.86,3086868
2025-08-04,29.7,30.76,29.38,30.76,30.76,2277413
2025-08-05,31.52,33,31.38,32.94,32.94,3170682
2025-08-06,32.98,33.675,32.68,33.15,33.15,2235847
2025-08-07,32.75,34,32.515,33.26,33.26,2650839
2025-08-08,33.27,34.35,33.02,33.98,33.98,2815683
2025-08-11,36.22,38.62,36.05,38.12,38.12,5342518
2025-08-12,37.46,38.6,36.67,37.5,37.5,3798509
2025-08-13,37.2,37.3,35.465,35.76,35.76,3127635
2025-08-14,36.42,37.37,35.82,36.01,36.01,2079850
2025-08-15,36.11,36.82,35.99,36.64,36.64,1236240
2025-08-18,36.46,37.445,36.46,37.12,37.12,1360853
2025-08-19,37,37.71,36.53,37.21,37.21,4981625
2025-08-20,36.78,36.99,35.01,35.29,35.29,2554655
2025-08-21,35.8,37.23,35.62,36.87,36.87,2351358
2025-08-22,36.85,37.13,35.31,35.69,35.69,2183487
2025-08-25,36.99,37.72,36.81,37.01,37.01,2256007
2025-08-26,36.75,36.92,34.81,35.08,35.08,3186007
2025-08-27,36.31,37.5,35.89,37.45,37.45,3616240
2025-08-28,35.5,37.1,35.15,36.87,36.87,3503600
2025-08-29,36.49,37.4,36.09,37.4,37.4,3319514
2025-09-01,36.75,37.03,36.12,36.86,36.86,1759204
2025-09-02,36.61,37.16,36.55,36.79,36.79,1372411
2025-09-03,36.51,36.8,35.93,36.32,36.32,1677963
2025-09-04,36.9,37.56,36.33,36.79,36.79,1902697
2025-09-05,36.7,37.55,36.37,37.1,37.1,2332523
2025-09-08,37.4,38.27,37.33,37.8,37.8,1520924
2025-09-09,37.4,38.15,36.96,38.15,38.15,1631779
2025-09-10,36,36.225,34.12,35.73,35.73,3888303
2025-09-11,36.19,36.69,35.8,35.91,35.91,2099500
2025-09-12,36.5,37.49,36.2,37.45,37.45,1516922
2025-09-15,37.4,38.66,37.01,38.66,38.66,1706500
2025-09-16,39.39,40.44,39.01,39.08,39.08,2227921
2025-09-17,38.92,39.08,37.66,38.43,38.43,1670881
2025-09-18,38.01,39.24,37.87,38.51,38.51,1441890
2025-09-19,38.36,39.2,37.15,38.86,38.86,4292157
2025-09-22,39.01,39.66,38.44,39.04,39.04,1629337
2025-09-23,39.6,40.42,38.73,38.82,38.82,1977671
2025-09-24,39.39,40.57,39.01,40.57,40.57,2080709
2025-09-25,40.03,41.65,39.59,41.62,41.62,2236834
2025-09-26,41.54,42.46,41.085,41.29,41.29,2352724
2025-09-29,41.55,42.04,40.85,40.96,40.96,3035775
2025-09-30,41.05,42.05,39.97,41.14,41.14,3148194
2025-10-01,39.88,40.065,38.57,39.58,39.58,2616094
2025-10-02,40.61,41.31,39.9,41.24,41.24,2284939
2025-10-03,41.3,41.63,40.21,40.6,40.6,1932778
2025-10-06,40.5,41.27,40.43,40.96,40.96,1201615
2025-10-07,41.25,42.4,41.12,42.3,42.3,1626948
2025-10-08,42.37,43.63,42.34,43.63,43.63,2053236
2025-10-09,44.82,45.05,43.59,44.67,44.67,2541155
2025-10-10,44.28,46.89,44.08,44.14,44.14,2916997
2025-10-13,42.25,43.85,42.12,42.58,42.58,1886630
2025-10-14,44.21,45.16,42.72,43.51,43.51,2426868
2025-10-15,43.95,44.54,42.94,43.13,43.13,2314890
2025-10-16,43.05,43.28,42.1,42.49,42.49,1668603
2025-10-17,41.81,42.42,41,41.77,41.77,1953407
2025-10-20,41.18,41.7,40.96,41.4,41.4,1043073
2025-10-21,42.38,43.37,41.99,42.17,42.17,1211775
2025-10-22,41.4,41.84,40.64,41.02,41.02,1549770
2025-10-23,41.24,42.2,40.5,42.2,42.2,1293901
2025-10-24,42.8,45.39,42.64,44.94,44.94,2979128
2025-10-27,45.29,46.09,44.7,44.93,44.93,1325327
2025-10-28,43.8,44.38,41.83,42.15,42.15,1757601
2025-10-29,42.49,43.13,41.95,42.38,42.38,1145590
2025-10-30,44.84,48.62,44.84,48.2,48.2,4869919
2025-10-31,48.2,49.5,47.18,48.4,48.4,2955152
2025-11-03,48.75,49.99,46.7,47.12,47.12,2331183
