Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,0.65,0.66,0.645,0.65,0.65,2038821
2025-07-23,0.655,0.67,0.64,0.645,0.645,3027118
2025-07-24,0.645,0.665,0.635,0.655,0.655,3420515
2025-07-25,0.66,0.66,0.61,0.625,0.625,3628102
2025-07-28,0.625,0.635,0.605,0.61,0.61,1994190
2025-07-29,0.61,0.64,0.6025,0.625,0.625,3234753
2025-07-30,0.62,0.6275,0.59,0.595,0.595,2944366
2025-07-31,0.6,0.6,0.5725,0.58,0.58,2008516
2025-08-01,0.575,0.5825,0.57,0.57,0.57,1396991
2025-08-04,0.57,0.59,0.57,0.585,0.585,1433201
2025-08-05,0.585,0.6,0.575,0.59,0.59,2733084
2025-08-06,0.6,0.61,0.59,0.6,0.6,1845531
2025-08-07,0.6,0.61,0.5975,0.605,0.605,1771602
2025-08-08,0.605,0.61,0.59,0.595,0.595,983759
2025-08-11,0.6,0.61,0.59,0.59,0.59,813817
2025-08-12,0.59,0.605,0.59,0.595,0.595,1337327
2025-08-13,0.6,0.6075,0.59,0.595,0.595,1177734
2025-08-14,0.595,0.6,0.58,0.585,0.585,2212965
2025-08-15,0.58,0.5825,0.57,0.57,0.57,1774181
2025-08-18,0.56,0.57,0.55,0.565,0.565,4591862
2025-08-19,0.57,0.595,0.5675,0.585,0.585,4892467
2025-08-20,0.6,0.6,0.57,0.575,0.575,3119785
2025-08-21,0.58,0.59,0.58,0.58,0.58,822447
2025-08-22,0.585,0.585,0.565,0.565,0.565,975400
2025-08-25,0.575,0.605,0.575,0.6,0.6,3867854
2025-08-26,0.6,0.63,0.585,0.625,0.625,8040862
2025-08-27,0.635,0.645,0.615,0.62,0.62,3194255
2025-08-28,0.615,0.62,0.6,0.6,0.6,3693654
2025-08-29,0.61,0.6475,0.61,0.64,0.64,6009102
2025-09-01,0.635,0.6475,0.625,0.64,0.64,3156216
2025-09-02,0.645,0.6475,0.6325,0.64,0.64,2739659
2025-09-03,0.635,0.64,0.6225,0.625,0.625,1716482
2025-09-04,0.63,0.635,0.6175,0.625,0.625,1644564
2025-09-05,0.62,0.65,0.6125,0.64,0.64,3781299
2025-09-08,0.635,0.6425,0.625,0.635,0.635,1655739
2025-09-09,0.63,0.635,0.615,0.62,0.62,3535980
2025-09-10,0.615,0.615,0.6,0.605,0.605,2337202
2025-09-11,0.615,0.635,0.615,0.62,0.62,2301947
2025-09-12,0.625,0.65,0.625,0.645,0.645,4428059
2025-09-15,0.65,0.65,0.63,0.645,0.645,2311670
2025-09-16,0.645,0.66,0.635,0.655,0.655,4176308
2025-09-17,0.655,0.67,0.655,0.67,0.67,3861698
2025-09-18,0.66,0.6675,0.65,0.665,0.665,2088735
2025-09-19,0.665,0.665,0.645,0.66,0.66,2426072
2025-09-22,0.665,0.68,0.655,0.67,0.67,1921089
2025-09-23,0.675,0.7,0.675,0.695,0.695,2708424
2025-09-24,0.69,0.735,0.675,0.735,0.735,4229719
2025-09-25,0.74,0.755,0.73,0.75,0.75,2905215
2025-09-26,0.75,0.76,0.725,0.74,0.74,4001110
2025-09-29,0.76,0.78,0.7425,0.77,0.77,3812330
2025-09-30,0.775,0.79,0.77,0.785,0.785,2959381
2025-10-01,0.785,0.795,0.775,0.785,0.785,3270004
2025-10-02,0.795,0.805,0.77,0.795,0.795,4640464
2025-10-03,0.795,0.815,0.785,0.815,0.815,2327458
2025-10-06,0.84,0.845,0.81,0.84,0.84,6111044
2025-10-07,0.84,0.86,0.825,0.835,0.835,4480740
2025-10-08,0.83,0.83,0.805,0.815,0.815,4752147
2025-10-09,0.84,0.92,0.84,0.9,0.9,8663237
2025-10-10,0.9,0.91,0.865,0.87,0.87,5585620
2025-10-13,0.85,0.91,0.83,0.89,0.89,6735346
2025-10-14,0.925,0.94,0.9025,0.91,0.91,5099680
2025-10-15,0.915,0.915,0.8825,0.89,0.89,1840304
2025-10-16,0.875,0.89,0.865,0.875,0.875,1817185
2025-10-17,0.87,0.875,0.8425,0.86,0.86,2105361
2025-10-20,0.825,0.855,0.825,0.84,0.84,3268227
