Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,17.31,17.45,17.28,17.32,15.9431,94684
2025-07-23,17.37,17.745,17.36,17.61,16.21,127813
2025-07-24,17.69,17.76,17.41,17.49,16.0995,109218
2025-07-25,17.42,17.625,17.4,17.53,16.1364,145384
2025-07-28,17.5,17.68,17.4,17.63,16.2284,197561
2025-07-29,17.58,17.87,17.58,17.75,16.3389,189918
2025-07-30,17.73,17.86,17.68,17.85,16.4309,168863
2025-07-31,17.8,17.88,17.71,17.84,16.4217,152339
2025-08-01,17.7,18.09,17.7,17.9,16.477,195508
2025-08-04,17.66,17.885,17.61,17.82,16.4033,148308
2025-08-05,17.85,17.95,17.74,17.94,16.5138,143193
2025-08-06,17.98,18.03,17.86,18.02,16.5874,131381
2025-08-07,17.98,18.02,17.8,17.8,16.3849,167786
2025-08-08,17.81,18.16,17.8,18.13,16.6887,263624
2025-08-11,18.1,18.415,18.1,18.37,16.9096,200056
2025-08-12,18.38,18.44,18.24,18.28,16.8267,141893
2025-08-13,18.31,18.4,18.24,18.4,16.9372,142824
2025-08-14,18.4,18.53,18.1,18.14,16.6979,126333
2025-08-15,18.2,18.39,18.14,18.35,16.8912,74223
2025-08-18,18.2,18.45,18.2,18.23,16.7807,141490
2025-08-19,18.19,18.32,18.16,18.29,16.8359,77582
2025-08-20,18.29,18.69,18,18.15,16.7071,337046
2025-08-21,18.37,18.51,18.05,18.46,16.9924,217710
2025-08-22,18.47,18.51,18.1,18.1,16.6611,181833
2025-08-25,18.25,18.39,17.99,18,16.569,176579
2025-08-26,18.09,18.31,17.92,17.96,16.5322,263910
2025-08-27,18.02,18.15,17.85,18.08,16.6426,151922
2025-08-28,18.11,18.27,17.8,17.92,16.4954,176036
2025-08-29,18.48,19.865,18.35,19.59,18.0326,687320
2025-09-01,19.73,20.1,19.53,19.63,18.0694,408341
2025-09-02,19.68,19.9,19.64,19.79,18.2167,340782
2025-09-03,19.65,19.72,19.21,19.25,17.7196,343570
2025-09-04,19.32,19.39,19.11,19.24,17.7104,282838
