Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,18.42,18.73,18.42,18.68,18.051,147073
2025-07-23,18.73,19.27,18.73,19.19,18.5438,271980
2025-07-24,19.19,19.36,18.94,19.02,18.3795,264634
2025-07-25,18.95,19.14,18.87,19.01,18.3699,141888
2025-07-28,19.06,19.36,19.06,19.18,18.5341,267336
2025-07-29,19.2,19.35,18.73,19,18.3602,361917
2025-07-30,19.28,19.62,19.05,19.53,18.8724,339101
2025-07-31,19.41,19.55,19.255,19.49,18.8337,260685
2025-08-01,19.23,19.55,19.21,19.41,18.7564,171869
2025-08-04,19.36,19.42,19.195,19.39,18.7371,193097
2025-08-05,19.65,19.82,19.46,19.79,19.1236,209995
2025-08-06,19.83,19.97,19.81,19.97,19.2975,224526
2025-08-07,19.86,20.4,19.86,20.39,19.7034,263978
2025-08-08,19.98,19.98,19.52,19.72,19.056,279036
2025-08-11,19.5,19.81,19.41,19.74,19.0753,277356
2025-08-12,19.62,19.91,19.58,19.85,19.1816,209742
2025-08-13,19.89,19.94,19.67,19.93,19.2589,207845
2025-08-14,20.25,20.37,20.04,20.15,19.4715,159277
2025-08-15,20.15,20.22,19.97,20.22,19.5391,163989
2025-08-18,20.05,20.32,20,20.26,19.5778,165534
2025-08-19,21.02,21.94,20.75,21.01,20.3025,391334
2025-08-20,21.39,22.27,20.99,21.19,20.4765,813661
2025-08-21,21.02,21.11,20.62,20.78,20.0803,310658
2025-08-22,20.92,21.31,20.9,21.08,20.3702,317599
2025-08-25,21.14,21.45,21.02,21.07,20.3605,292404
2025-08-26,21.3,21.4,21.06,21.19,20.4765,450398
2025-08-27,21.3,21.42,21.13,21.4,20.6794,264548
2025-08-28,21.4,21.47,21.18,21.29,20.5731,188581
2025-08-29,21.35,21.57,21.2,21.47,20.747,239456
2025-09-01,21.41,21.55,21.1,21.17,20.4571,141675
2025-09-02,21.09,21.23,20.97,21.09,20.3798,143112
2025-09-03,20.31,20.94,20.11,20.46,20.1435,280117
2025-09-04,20.64,20.82,20.43,20.73,20.4094,221851
2025-09-05,20.88,21.26,20.86,21.1,20.7736,139741
2025-09-08,21.1,21.23,20.86,21.07,20.7441,168184
2025-09-09,21.13,21.69,21.09,21.61,21.2758,284108
2025-09-10,21.59,21.72,21.21,21.26,20.9312,298852
2025-09-11,21.18,21.65,21.18,21.48,21.1478,177801
2025-09-12,21.61,21.93,21.38,21.48,21.1478,196493
2025-09-15,21.46,21.5,21.28,21.48,21.1478,160922
2025-09-16,21.49,21.78,21.39,21.78,21.4431,159468
2025-09-17,21.62,21.66,21.39,21.43,21.0985,288657
2025-09-18,21.42,21.65,21.15,21.53,21.197,333849
2025-09-19,21.6,22.01,21.405,21.86,21.5219,839786
2025-09-22,21.96,22.145,21.89,22.1,21.7582,134902
2025-09-23,22.2,22.3,21.93,22.22,21.8763,200917
2025-09-24,21.94,22.19,21.85,22.19,21.8468,200468
2025-09-25,22.13,22.345,21.89,22.17,21.8271,172799
2025-09-26,22.1,22.49,22.07,22.45,22.1028,214549
2025-09-29,22.46,22.65,22.44,22.57,22.2209,182570
