Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,5.01,5.04,4.97,4.99,4.7958,3508104
2025-07-23,4.99,5.02,4.91,4.92,4.7285,9181082
2025-07-24,4.93,4.98,4.92,4.97,4.7766,8224669
2025-07-25,4.98,4.98,4.935,4.94,4.7478,7525833
2025-07-28,4.95,5.02,4.95,5.01,4.815,4102894
2025-07-29,5,5.05,4.98,5.04,4.8439,4250823
2025-07-30,5.03,5.09,5.02,5.09,4.8919,4642515
2025-07-31,5.09,5.11,5.05,5.1,4.9015,7438640
2025-08-01,5.08,5.08,5,5.04,4.8439,4844144
2025-08-04,5.04,5.06,5,5.04,4.8439,4011219
2025-08-05,5.1,5.15,5.08,5.12,4.9208,4696274
2025-08-06,5.14,5.14,5.07,5.1,4.9015,5781192
2025-08-07,5.11,5.15,5.1,5.15,4.9496,3328071
2025-08-08,5.15,5.15,5.03,5.04,4.8439,4815593
2025-08-11,5.01,5.025,4.98,5,4.8054,4579401
2025-08-12,5.01,5.08,5,5.07,4.8727,3294811
2025-08-13,5.11,5.11,5.06,5.07,4.8727,2407754
2025-08-14,5.1,5.13,5.07,5.12,4.9208,3255597
2025-08-15,5.12,5.18,5.12,5.17,4.9688,3378106
2025-08-18,5.15,5.19,5.15,5.18,4.9784,3672610
2025-08-19,5.2,5.2,5.15,5.18,4.9784,3313195
2025-08-20,5.24,5.27,5.205,5.23,5.0265,6997187
2025-08-21,5.27,5.28,5.22,5.26,5.0553,4028983
2025-08-22,5.24,5.27,5.22,5.22,5.0169,4267455
2025-08-25,5.23,5.24,5.15,5.15,4.9496,4400698
2025-08-26,5.15,5.21,5.1,5.1,4.9015,9612509
2025-08-27,5.09,5.15,5.06,5.15,4.9496,5643600
2025-08-28,5.19,5.19,4.83,5.02,4.8246,12394648
2025-08-29,5.05,5.14,5.04,5.1,4.9015,7007272
2025-09-01,5.09,5.1,4.94,4.99,4.7958,5063959
2025-09-02,5,5.03,4.98,5.02,4.8246,4512295
2025-09-03,4.98,5.02,4.93,4.96,4.767,6493485
2025-09-04,5,5.04,4.98,5.02,4.8246,3982983
2025-09-05,5.08,5.11,5.02,5.08,4.8823,5258065
2025-09-08,5.05,5.07,4.99,4.99,4.7958,4979793
2025-09-09,4.97,5,4.93,4.96,4.767,5861450
