Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,225.06,225.48,221.36,224.66,217.6944,467011
2025-07-23,225.18,226.78,223.1,225.29,218.3049,489698
2025-07-24,219,220.11,213.84,213.84,207.2099,1512389
2025-07-25,214.4,215.13,212.81,214.15,207.5103,773668
2025-07-28,213.36,217.73,213.36,216.23,209.5258,684026
2025-07-29,215.13,216.28,213.52,215.37,208.6925,435750
2025-07-30,214.02,217.39,212.98,217.16,210.427,465975
2025-07-31,215.77,217.38,215.39,217.38,210.6401,510162
2025-08-01,213.89,215.57,212.71,213.78,207.1518,648537
2025-08-04,212.6,213.14,210.82,213.14,206.5316,487295
2025-08-05,214.38,215.8,213.86,215.09,208.4211,517215
2025-08-06,213.55,216.23,213.55,216.23,209.5258,608522
2025-08-07,214.41,215.94,213.58,214.48,207.83,600182
2025-08-08,213,214.2,211.05,214.2,207.5587,469844
2025-08-11,214,215.21,212.4,213.48,206.8611,442894
2025-08-12,212,214.62,211.33,214.17,207.5297,645385
2025-08-13,214.54,215.3,212.63,213.1,206.4928,547705
2025-08-14,213.62,216.99,213.49,216.62,209.9037,559335
2025-08-15,215.11,217.825,215,217.41,210.6692,451801
2025-08-18,217.39,217.95,216.49,217.22,210.4851,353948
2025-08-19,218,218.98,217.13,218.77,211.987,593261
2025-08-20,219.51,220.99,217.02,219.5,212.6944,484866
2025-08-21,220.98,225.72,220.21,223.51,216.5801,831003
2025-08-22,224,224.68,222.78,223.78,216.8417,1116090
2025-08-25,227.95,231.83,225.14,225.14,218.1595,930090
2025-08-26,226.5,226.8,223.7,224.6,217.6363,624773
2025-08-27,225,225.73,222.48,225.45,218.4599,329506
2025-08-28,226.27,226.29,224.17,224.55,217.5878,501553
2025-08-29,223.66,226.23,223.21,225.16,218.1789,711228
2025-09-01,223.73,224.24,221.55,223.58,216.6479,350889
2025-09-02,221.75,224.695,221.75,222.5,215.6014,478157
2025-09-03,221.2,222,215.04,216.82,210.0975,801951
2025-09-04,217.55,221.79,217.26,221.2,214.3417,559262
2025-09-05,223.91,225,221.7,221.79,214.9134,460830
2025-09-08,220.5,221.17,219.12,221.15,214.2932,389375
2025-09-09,220.2,220.595,217.53,218.83,212.0452,521644
2025-09-10,219.15,221.91,218.79,220.79,213.9444,427046
