Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.32,2.39,2.24,2.28,2.28,5680507
2025-07-23,2.31,2.43,2.3,2.39,2.39,6360861
2025-07-24,2.41,2.59,2.41,2.58,2.58,7086744
2025-07-25,2.58,2.61,2.5,2.52,2.52,4955491
2025-07-28,2.5,2.56,2.45,2.49,2.49,3485902
2025-07-29,2.53,2.55,2.48,2.49,2.49,3853327
2025-07-30,2.47,2.47,2.34,2.45,2.45,3975941
2025-07-31,2.45,2.48,2.35,2.38,2.38,3711697
2025-08-01,2.36,2.4,2.35,2.35,2.35,2875160
2025-08-04,2.35,2.39,2.27,2.37,2.37,3174421
2025-08-05,2.42,2.44,2.33,2.41,2.41,4009396
2025-08-06,2.4,2.44,2.39,2.43,2.43,2416875
2025-08-07,2.4,2.42,2.335,2.36,2.36,3518224
2025-08-08,2.35,2.36,2.3,2.31,2.31,2732974
2025-08-11,2.31,2.34,2.255,2.29,2.29,2512638
2025-08-12,2.26,2.31,2.25,2.29,2.29,1965758
2025-08-13,2.31,2.33,2.29,2.32,2.32,2332541
2025-08-14,2.34,2.43,2.32,2.43,2.43,3241108
2025-08-15,2.46,2.58,2.44,2.51,2.51,4062683
2025-08-18,2.5,2.555,2.45,2.47,2.47,3345788
2025-08-19,2.47,2.47,2.38,2.38,2.38,2602019
2025-08-20,2.34,2.4,2.3,2.32,2.32,3111024
2025-08-21,2.34,2.37,2.3,2.37,2.37,2206174
2025-08-22,2.39,2.395,2.34,2.38,2.38,1761217
2025-08-25,2.44,2.49,2.41,2.45,2.45,2683501
2025-08-26,2.43,2.47,2.39,2.46,2.46,3626392
2025-08-27,2.49,2.52,2.44,2.49,2.49,3754563
2025-08-28,2.5,2.5,2.405,2.42,2.42,2465632
2025-08-29,2.36,2.37,2.11,2.18,2.18,12569254
2025-09-01,2.12,2.12,2.01,2.02,2.02,6378636
2025-09-02,2,2.06,1.975,2.02,2.02,3990784
2025-09-03,1.99,2.01,1.94,1.94,1.94,4520586
2025-09-04,1.92,2.05,1.92,1.99,1.99,6352553
2025-09-05,2.02,2.13,2.02,2.12,2.12,5286662
2025-09-08,2.16,2.22,2.15,2.21,2.21,5284045
2025-09-09,2.25,2.26,2.11,2.24,2.24,9365935
2025-09-10,2.26,2.36,2.26,2.31,2.31,5001970
2025-09-11,2.36,2.38,2.25,2.32,2.32,6767523
2025-09-12,2.32,2.32,2.2,2.21,2.21,3620688
2025-09-15,2.24,2.34,2.215,2.32,2.32,3401785
2025-09-16,2.34,2.38,2.3,2.34,2.34,2738120
2025-09-17,2.32,2.36,2.3,2.3,2.3,2848094
2025-09-18,2.29,2.39,2.27,2.35,2.35,3986412
2025-09-19,2.41,2.49,2.4,2.41,2.41,10570228
2025-09-22,2.48,2.54,2.47,2.5,2.5,4799297
2025-09-23,2.5,2.55,2.42,2.47,2.47,4842380
2025-09-24,2.43,2.47,2.39,2.45,2.45,3721140
2025-09-25,2.41,2.53,2.41,2.49,2.49,2932238
2025-09-26,2.43,2.45,2.36,2.4,2.4,5564150
2025-09-29,2.4,2.495,2.4,2.42,2.42,5542642
2025-09-30,2.41,2.42,2.35,2.37,2.37,3723820
2025-10-01,2.4,2.43,2.36,2.4,2.4,2893175
2025-10-02,2.44,2.54,2.43,2.54,2.54,7177088
2025-10-03,2.55,2.97,2.55,2.76,2.76,15071768
2025-10-06,2.8,2.8,2.58,2.59,2.59,7007795
2025-10-07,2.85,2.92,2.62,2.67,2.67,13305340
2025-10-08,2.75,3.05,2.74,2.92,2.92,14066995
2025-10-09,3.02,3.07,2.95,2.95,2.95,8651618
2025-10-10,2.97,2.98,2.85,2.89,2.89,5357968
2025-10-13,2.77,2.86,2.74,2.82,2.82,4557230
2025-10-14,2.79,2.81,2.71,2.76,2.76,5187755
2025-10-15,2.76,2.79,2.68,2.73,2.73,3987680
2025-10-16,2.76,2.825,2.73,2.8,2.8,4151513
2025-10-17,2.72,2.73,2.62,2.62,2.62,5963745
2025-10-20,2.63,2.69,2.59,2.66,2.66,5076195
2025-10-21,2.7,2.93,2.7,2.91,2.91,7802488
2025-10-22,2.88,2.88,2.7,2.7,2.7,5156590
2025-10-23,2.66,2.665,2.59,2.6,2.6,6307481
2025-10-24,2.62,2.63,2.555,2.57,2.57,4140711
2025-10-27,2.61,2.62,2.54,2.56,2.56,3152542
2025-10-28,2.59,2.59,2.49,2.56,2.56,2819009
2025-10-29,2.58,2.58,2.51,2.51,2.51,1892532
2025-10-30,2.51,2.53,2.48,2.51,2.51,2143750
2025-10-31,2.51,2.54,2.48,2.51,2.51,2557002
2025-11-03,2.54,2.55,2.45,2.48,2.48,2779964
2025-11-04,2.46,2.46,2.395,2.41,2.41,2399319
2025-11-05,2.41,2.465,2.37,2.41,2.41,3170460
2025-11-06,2.42,2.43,2.27,2.29,2.29,4303880
2025-11-07,2.27,2.29,2.205,2.22,2.22,3448144
2025-11-10,2.28,2.32,2.27,2.29,2.29,2608483
2025-11-11,2.32,2.35,2.29,2.31,2.31,1728917
2025-11-12,2.34,2.43,2.325,2.34,2.34,4292792
2025-11-13,2.37,2.38,2.29,2.31,2.31,2847409
2025-11-14,2.21,2.25,2.21,2.22,2.22,3556666
2025-11-17,2.25,2.33,2.23,2.33,2.33,3065704
2025-11-18,2.29,2.325,2.25,2.28,2.28,7013483
2025-11-19,2.28,2.33,2.26,2.26,2.26,3117762
2025-11-20,2.28,2.355,2.28,2.3,2.3,3196123
2025-11-21,2.26,2.325,2.24,2.31,2.31,2440091
2025-11-24,2.38,2.41,2.29,2.33,2.33,5737633
2025-11-25,2.45,2.49,2.29,2.38,2.38,10762865
2025-11-26,2.5,2.745,2.485,2.72,2.72,9288703
2025-11-27,2.7,2.73,2.6,2.69,2.69,5147252
2025-11-28,2.66,2.765,2.64,2.71,2.71,3006165
2025-12-01,2.67,2.7,2.61,2.67,2.67,3382575
2025-12-02,2.64,2.69,2.55,2.58,2.58,3338222
2025-12-03,2.55,2.59,2.505,2.52,2.52,2505455
2025-12-04,2.58,2.64,2.54,2.54,2.54,3976219
2025-12-05,2.61,2.68,2.59,2.66,2.66,3575298
2025-12-08,2.67,2.76,2.67,2.73,2.73,2477568
2025-12-09,2.71,2.85,2.71,2.82,2.82,4110680
2025-12-10,2.88,3.04,2.84,2.87,2.87,8463430
2025-12-11,2.85,2.88,2.73,2.74,2.74,4069418
2025-12-12,2.77,2.82,2.745,2.77,2.77,3069789
2025-12-15,2.74,2.77,2.71,2.72,2.72,2288786
2025-12-16,2.72,2.79,2.68,2.77,2.77,3363394
2025-12-17,2.79,2.86,2.775,2.8,2.8,4278860
2025-12-18,2.83,2.85,2.745,2.8,2.8,6160610
2025-12-19,2.82,2.96,2.81,2.91,2.91,6901537
2025-12-22,2.94,2.99,2.9,2.9,2.9,3520720
2025-12-23,2.87,2.93,2.85,2.88,2.88,1906563
2025-12-24,2.84,2.92,2.82,2.9,2.9,1877045
2025-12-29,2.9,2.9,2.81,2.81,2.81,2177623
2025-12-30,2.82,2.92,2.8,2.8,2.8,3063563
2025-12-31,2.77,2.79,2.715,2.72,2.72,2125472
2026-01-02,2.73,2.84,2.73,2.77,2.77,1928904
2026-01-05,2.75,2.81,2.73,2.76,2.76,2021224
2026-01-06,2.77,2.79,2.68,2.74,2.74,2895975
2026-01-07,2.74,2.79,2.72,2.73,2.73,2267300
2026-01-08,2.8,2.97,2.79,2.95,2.95,6444636
2026-01-09,3.13,3.31,3.05,3.07,3.07,15948174
2026-01-12,3.11,3.14,2.83,2.85,2.85,7866332
2026-01-13,2.8,2.8,2.71,2.73,2.73,6082680
2026-01-14,2.7,2.735,2.65,2.67,2.67,4476881
2026-01-15,2.66,2.75,2.66,2.7,2.7,3958682
2026-01-16,2.7,2.76,2.61,2.64,2.64,5080236
2026-01-19,2.64,2.67,2.53,2.54,2.54,4689755
2026-01-20,2.55,2.59,2.49,2.54,2.54,4841904
2026-01-21,2.49,2.54,2.47,2.5,2.5,4259176
2026-01-22,2.57,2.68,2.56,2.67,2.67,4741989
2026-01-23,2.69,2.72,2.6,2.68,2.68,3856940
2026-01-27,2.67,2.73,2.6,2.69,2.69,4227971
2026-01-28,2.72,2.75,2.67,2.7,2.7,2727582
2026-01-29,2.66,2.68,2.56,2.58,2.58,4193345
2026-01-30,2.59,2.62,2.52,2.53,2.53,3729832
2026-02-02,2.49,2.52,2.43,2.47,2.47,3908371
2026-02-03,2.48,2.53,2.47,2.49,2.49,2282122
2026-02-04,2.47,2.5,2.43,2.47,2.47,1961886
2026-02-05,2.45,2.48,2.38,2.39,2.39,3293130
2026-02-06,2.28,2.3,2.185,2.23,2.23,9934392
2026-02-09,2.31,2.4,2.295,2.37,2.37,3585646
2026-02-10,2.4,2.54,2.38,2.5,2.5,3194875
2026-02-11,2.52,2.58,2.49,2.57,2.57,2476257
