Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,3.9,3.91,3.86,3.89,3.6746,3794436
2025-07-23,3.9,3.9,3.775,3.82,3.6085,7376054
2025-07-24,3.84,3.845,3.795,3.82,3.6085,2226171
2025-07-25,3.82,3.83,3.795,3.83,3.618,1944216
2025-07-28,3.83,3.875,3.82,3.86,3.6463,2589747
2025-07-29,3.88,3.91,3.84,3.9,3.6841,2798997
2025-07-30,3.92,3.93,3.895,3.92,3.703,3875693
2025-07-31,3.93,3.93,3.88,3.9,3.6841,2306001
2025-08-01,3.89,3.89,3.85,3.89,3.6746,2094416
2025-08-04,3.89,3.95,3.89,3.92,3.703,2399723
2025-08-05,3.94,3.985,3.9,3.97,3.7502,2617691
2025-08-06,3.96,3.99,3.96,3.98,3.7597,2873093
2025-08-07,3.99,4.02,3.98,4,3.7786,3462035
2025-08-08,3.99,4.02,3.98,4.01,3.788,1463758
2025-08-11,4.01,4.055,3.98,4.01,3.788,3712932
2025-08-12,4.01,4.08,4.01,4.06,3.8352,2189972
2025-08-13,4.07,4.09,4.05,4.07,3.8447,4717672
2025-08-14,4.07,4.16,4.07,4.1,3.873,5167985
2025-08-15,4.12,4.17,4.11,4.16,3.9297,3437763
2025-08-18,4.15,4.215,4.14,4.2,3.9675,6498599
2025-08-19,4.18,4.2,4.15,4.16,3.9297,2947725
2025-08-20,4.2,4.2,4.11,4.14,3.9108,2466463
2025-08-21,4.18,4.19,4.12,4.19,3.958,1752287
2025-08-22,4.17,4.18,4.125,4.17,3.9391,2874898
2025-08-25,4.18,4.19,4.14,4.16,3.9297,2170989
2025-08-26,4.15,4.2,4.15,4.18,3.9486,2505113
2025-08-27,4.18,4.22,4.13,4.16,3.9297,3278816
2025-08-28,4.16,4.225,4.15,4.21,3.9769,2720528
2025-08-29,4.2,4.245,4.2,4.2,3.9675,5371298
2025-09-01,4.2,4.23,4.175,4.23,3.9958,2289602
2025-09-02,4.23,4.26,4.18,4.2,3.9675,3912316
2025-09-03,4.2,4.21,4.09,4.12,3.8919,5047944
2025-09-04,4.12,4.13,4.075,4.11,3.8825,3655781
2025-09-05,4.14,4.15,4.095,4.13,3.9014,2553398
2025-09-08,4.11,4.11,4.04,4.05,3.8258,2269697
2025-09-09,4.04,4.04,3.99,4.03,3.8069,2760816
2025-09-10,4.03,4.06,4,4.03,3.8069,3324854
2025-09-11,3.97,3.99,3.82,3.92,3.703,7252164
2025-09-12,3.93,3.98,3.89,3.93,3.7124,4516402
2025-09-15,3.91,3.94,3.885,3.93,3.7124,5145612
2025-09-16,3.93,3.97,3.93,3.94,3.7219,1984779
2025-09-17,3.93,3.97,3.9,3.91,3.6935,2361030
2025-09-18,3.92,3.93,3.89,3.91,3.6935,2062045
2025-09-19,3.92,3.95,3.9,3.9,3.6841,5485233
2025-09-22,3.9,3.93,3.86,3.91,3.6935,1766999
2025-09-23,3.91,3.93,3.87,3.91,3.6935,2050313
