Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.76,0.795,0.76,0.79,0.776,3230527
2025-04-28,0.81,0.85,0.8025,0.805,0.7907,3455627
2025-04-29,0.81,0.8375,0.8,0.83,0.8152,2832566
2025-04-30,0.835,0.85,0.82,0.84,0.8251,1414479
2025-05-01,0.845,0.86,0.8325,0.835,0.8202,1959997
2025-05-02,0.84,0.865,0.8325,0.855,0.8398,1744586
2025-05-05,0.86,0.87,0.835,0.835,0.8202,1396102
2025-05-06,0.835,0.855,0.815,0.825,0.8103,1512398
2025-05-07,0.82,0.83,0.79,0.81,0.7956,2658025
2025-05-08,0.82,0.83,0.805,0.82,0.8054,685491
2025-05-09,0.825,0.845,0.815,0.835,0.8202,1616830
2025-05-12,0.835,0.865,0.83,0.845,0.83,1841801
2025-05-13,0.86,0.89,0.85,0.88,0.8644,1235498
2025-05-14,0.89,0.89,0.865,0.875,0.8594,749011
2025-05-15,0.885,0.885,0.8575,0.875,0.8594,925080
2025-05-16,0.88,0.88,0.845,0.85,0.8349,2691673
2025-05-19,0.85,0.86,0.84,0.85,0.8349,719984
2025-05-20,0.75,0.79,0.71,0.745,0.7318,6959265
2025-05-21,0.75,0.775,0.73,0.77,0.7563,5569108
2025-05-22,0.77,0.81,0.765,0.785,0.771,3608213
2025-05-23,0.795,0.81,0.785,0.8,0.7858,2732079
2025-05-26,0.8,0.8125,0.775,0.78,0.7661,1989650
2025-05-27,0.785,0.785,0.755,0.765,0.7514,2846416
2025-05-28,0.77,0.78,0.76,0.76,0.7465,1515136
2025-05-29,0.76,0.78,0.755,0.77,0.7563,1603923
2025-05-30,0.765,0.78,0.765,0.765,0.7514,997118
2025-06-02,0.775,0.785,0.765,0.775,0.7612,1442421
2025-06-03,0.78,0.7875,0.77,0.78,0.7661,938933
2025-06-04,0.775,0.785,0.765,0.77,0.7563,2837031
2025-06-05,0.77,0.775,0.755,0.755,0.7416,1590047
2025-06-06,0.76,0.765,0.745,0.745,0.7318,1437698
2025-06-10,0.665,0.665,0.5375,0.545,0.5353,67862665
2025-06-11,0.595,0.64,0.585,0.605,0.5942,23860151
2025-06-12,0.64,0.665,0.62,0.66,0.6483,14089663
2025-06-13,0.675,0.685,0.66,0.665,0.6532,8003533
2025-06-16,0.65,0.655,0.63,0.645,0.6335,6797394
2025-06-17,0.65,0.655,0.62,0.63,0.6188,5908658
2025-06-18,0.635,0.645,0.62,0.625,0.6139,3013625
2025-06-19,0.625,0.63,0.6,0.6,0.5893,5910439
2025-06-20,0.61,0.625,0.6,0.625,0.6139,4958665
2025-06-23,0.62,0.6275,0.61,0.625,0.6139,2470440
2025-06-24,0.625,0.635,0.615,0.625,0.6139,2686949
2025-06-25,0.63,0.665,0.625,0.66,0.6483,5087324
2025-06-26,0.66,0.68,0.645,0.67,0.6581,2785117
2025-06-27,0.675,0.7,0.665,0.685,0.6728,4520546
2025-06-30,0.7,0.71,0.6925,0.705,0.6925,3633520
2025-07-01,0.71,0.73,0.705,0.72,0.7072,4791229
2025-07-02,0.73,0.745,0.72,0.73,0.717,4477449
2025-07-03,0.735,0.74,0.71,0.735,0.7219,3240769
2025-07-04,0.76,0.78,0.75,0.775,0.7612,4197955
2025-07-07,0.78,0.785,0.745,0.745,0.7318,4151805
2025-07-08,0.75,0.75,0.72,0.74,0.7268,5969431
2025-07-09,0.74,0.745,0.73,0.74,0.7268,1399591
2025-07-10,0.735,0.745,0.73,0.745,0.7318,3500308
2025-07-11,0.74,0.7475,0.73,0.74,0.7268,1227578
2025-07-14,0.74,0.765,0.735,0.75,0.7367,1953679
2025-07-15,0.76,0.76,0.735,0.745,0.7318,2911947
2025-07-16,0.735,0.755,0.7275,0.755,0.7416,1926506
2025-07-17,0.76,0.765,0.75,0.75,0.7367,1105327
2025-07-18,0.755,0.765,0.75,0.76,0.7465,1919420
2025-07-21,0.76,0.765,0.75,0.75,0.7367,1911872
2025-07-22,0.755,0.765,0.75,0.76,0.7465,1339334
2025-07-23,0.76,0.78,0.76,0.77,0.7563,2564443
2025-07-24,0.775,0.8,0.77,0.8,0.7858,3319324
2025-07-25,0.8,0.82,0.8,0.805,0.7907,2719871
2025-07-28,0.82,0.83,0.7975,0.805,0.7907,2201607
2025-07-29,0.805,0.815,0.79,0.795,0.7809,1539755
2025-07-30,0.795,0.8,0.785,0.79,0.776,1382655
2025-07-31,0.79,0.8025,0.775,0.8,0.7858,2801698
2025-08-01,0.805,0.805,0.785,0.795,0.7809,2187941
2025-08-04,0.795,0.8,0.785,0.79,0.776,921275
2025-08-05,0.805,0.8125,0.79,0.805,0.7907,2258857
2025-08-06,0.81,0.81,0.8,0.81,0.7956,991797
2025-08-07,0.805,0.82,0.8025,0.81,0.7956,1484025
2025-08-08,0.805,0.81,0.79,0.795,0.7809,1081604
2025-08-11,0.81,0.825,0.805,0.81,0.7956,3175295
2025-08-12,0.81,0.815,0.8,0.81,0.7956,1310722
2025-08-13,0.81,0.82,0.8025,0.805,0.7907,1480409
2025-08-14,0.815,0.8225,0.805,0.815,0.8005,2055691
2025-08-15,0.82,0.84,0.8175,0.835,0.8202,1931676
2025-08-18,0.84,0.84,0.81,0.82,0.8054,1946588
2025-08-19,0.82,0.825,0.805,0.81,0.7956,1057116
2025-08-20,0.825,0.835,0.81,0.82,0.8054,2134129
2025-08-21,0.83,0.83,0.795,0.805,0.7907,3165105
2025-08-22,0.74,0.74,0.66,0.695,0.6826,18670198
2025-08-25,0.695,0.725,0.675,0.69,0.6777,8734954
2025-08-26,0.695,0.695,0.665,0.67,0.6581,5519684
2025-08-27,0.68,0.685,0.66,0.68,0.6679,5499006
2025-08-28,0.69,0.71,0.68,0.7,0.6876,3268884
2025-08-29,0.705,0.72,0.705,0.705,0.6925,2621509
2025-09-01,0.71,0.725,0.7,0.705,0.6925,3672524
2025-09-02,0.705,0.715,0.695,0.705,0.6925,2155591
2025-09-03,0.715,0.715,0.7,0.7,0.6876,2234413
2025-09-04,0.71,0.715,0.7,0.7,0.6876,1895909
2025-09-05,0.71,0.71,0.69,0.695,0.6826,1907070
2025-09-08,0.69,0.705,0.6875,0.705,0.6925,1535639
2025-09-09,0.7,0.71,0.695,0.695,0.6826,1856770
2025-09-10,0.695,0.695,0.68,0.68,0.6679,1943455
2025-09-11,0.68,0.68,0.665,0.675,0.663,1387262
2025-09-12,0.67,0.68,0.66,0.67,0.6581,3416447
2025-09-15,0.67,0.68,0.66,0.675,0.663,1595081
2025-09-16,0.68,0.685,0.67,0.675,0.663,1885083
2025-09-17,0.67,0.685,0.67,0.68,0.6679,1278215
2025-09-18,0.685,0.685,0.67,0.675,0.663,1003511
2025-09-19,0.67,0.68,0.665,0.68,0.6679,18532445
2025-09-22,0.675,0.68,0.665,0.67,0.6581,1440966
2025-09-23,0.67,0.68,0.665,0.675,0.663,1589395
2025-09-24,0.67,0.675,0.66,0.67,0.6581,1577208
2025-09-25,0.67,0.67,0.645,0.655,0.6434,2343498
2025-09-26,0.66,0.67,0.65,0.66,0.6483,2258698
2025-09-29,0.66,0.68,0.65,0.67,0.6581,1600214
2025-09-30,0.67,0.68,0.665,0.67,0.6581,1201973
2025-10-01,0.67,0.71,0.67,0.695,0.6826,2666874
2025-10-02,0.7,0.7,0.68,0.685,0.6728,1683168
2025-10-03,0.69,0.705,0.685,0.7,0.6876,910876
2025-10-06,0.7,0.705,0.69,0.695,0.6826,762354
2025-10-07,0.7,0.705,0.69,0.7,0.6876,1289928
2025-10-08,0.7,0.71,0.7,0.705,0.6925,1032587
2025-10-09,0.71,0.725,0.7075,0.715,0.7023,1760226
2025-10-10,0.715,0.74,0.715,0.74,0.7268,1813543
2025-10-13,0.74,0.74,0.715,0.725,0.7121,1352410
2025-10-14,0.73,0.74,0.72,0.73,0.717,1045375
2025-10-15,0.74,0.74,0.72,0.735,0.7219,1044786
2025-10-16,0.735,0.745,0.735,0.735,0.7219,1997935
2025-10-17,0.735,0.735,0.715,0.715,0.7023,1645883
2025-10-20,0.715,0.735,0.715,0.735,0.7219,956685
2025-10-21,0.73,0.74,0.725,0.735,0.7219,1509326
2025-10-22,0.735,0.735,0.71,0.71,0.6974,2415519
2025-10-23,0.72,0.725,0.7025,0.705,0.6925,1303038
2025-10-24,0.71,0.72,0.705,0.72,0.7072,1457394
2025-10-27,0.72,0.725,0.705,0.705,0.6925,887182
2025-10-28,0.705,0.71,0.685,0.695,0.6826,1433892
2025-10-29,0.69,0.7,0.685,0.695,0.6826,962475
2025-10-30,0.7,0.71,0.6875,0.695,0.6826,1517004
2025-10-31,0.705,0.705,0.685,0.69,0.6777,860053
2025-11-03,0.685,0.6925,0.685,0.69,0.6777,444799
2025-11-04,0.685,0.6925,0.68,0.69,0.6777,1209806
2025-11-05,0.685,0.69,0.66,0.67,0.6581,1963012
2025-11-06,0.67,0.68,0.665,0.675,0.663,1117005
2025-11-07,0.675,0.68,0.665,0.67,0.6581,1173080
2025-11-10,0.67,0.675,0.665,0.67,0.6581,1157277
2025-11-11,0.67,0.68,0.655,0.66,0.6483,1999893
2025-11-12,0.665,0.665,0.64,0.64,0.6286,3423688
2025-11-13,0.645,0.645,0.6,0.605,0.5942,5046413
2025-11-14,0.59,0.61,0.575,0.61,0.5992,2739835
2025-11-17,0.61,0.61,0.59,0.6,0.5893,1915536
2025-11-18,0.6,0.6,0.585,0.59,0.5795,1722082
2025-11-19,0.585,0.615,0.585,0.59,0.5795,4634748
2025-11-20,0.595,0.63,0.59,0.62,0.609,4947423
2025-11-21,0.615,0.63,0.605,0.61,0.5992,1374181
2025-11-24,0.805,0.88,0.805,0.88,0.8644,31822060
2025-11-25,0.86,0.895,0.845,0.855,0.8398,22573119
2025-11-26,0.84,0.87,0.84,0.87,0.8545,3410496
2025-11-27,0.85,0.86,0.84,0.85,0.8349,2418962
2025-11-28,0.85,0.855,0.84,0.85,0.8349,1599685
2025-12-01,0.85,0.87,0.845,0.87,0.8545,1418041
2025-12-02,0.86,0.87,0.855,0.855,0.8398,1028857
2025-12-03,0.855,0.86,0.845,0.855,0.8398,1946941
2025-12-04,0.855,0.865,0.85,0.865,0.8496,1571227
2025-12-05,0.85,0.8575,0.83,0.835,0.8202,2332998
2025-12-08,0.84,0.86,0.835,0.85,0.8349,940297
2025-12-09,0.805,0.845,0.8,0.835,0.8202,2296723
2025-12-10,0.835,0.835,0.81,0.815,0.8005,2801284
2025-12-11,0.815,0.83,0.81,0.83,0.8152,1138689
