Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,0.72,0.72,0.695,0.705,0.6685,8834825
2025-04-28,0.715,0.715,0.695,0.7,0.6638,1762264
2025-04-29,0.7,0.705,0.685,0.705,0.6685,2980503
2025-04-30,0.705,0.72,0.695,0.72,0.6828,3873045
2025-05-01,0.715,0.74,0.71,0.725,0.6875,3000206
2025-05-02,0.735,0.735,0.715,0.725,0.6875,2210509
2025-05-05,0.73,0.73,0.695,0.7,0.6638,2434328
2025-05-06,0.695,0.7025,0.68,0.695,0.6591,3922510
2025-05-07,0.7,0.73,0.695,0.725,0.6875,4057829
2025-05-08,0.73,0.74,0.725,0.74,0.7017,2466206
2025-05-09,0.74,0.75,0.73,0.75,0.7112,3032151
2025-05-12,0.75,0.75,0.735,0.74,0.7017,1399779
2025-05-13,0.75,0.785,0.74,0.765,0.7254,5651053
2025-05-14,0.765,0.7975,0.75,0.765,0.7254,5644006
2025-05-15,0.78,0.8,0.765,0.765,0.7254,6905111
2025-05-16,0.775,0.79,0.76,0.785,0.7444,3820166
2025-05-19,0.79,0.79,0.765,0.765,0.7254,2963501
2025-05-20,0.77,0.7775,0.76,0.76,0.7207,1745747
2025-05-21,0.765,0.775,0.75,0.755,0.7159,4825072
2025-05-22,0.755,0.7575,0.725,0.74,0.7017,2646226
2025-05-23,0.785,0.815,0.73,0.78,0.7397,16461874
2025-05-26,0.78,0.78,0.73,0.73,0.6922,5736784
2025-05-27,0.725,0.7375,0.705,0.725,0.6875,5220958
2025-05-28,0.74,0.75,0.715,0.72,0.6828,5528584
2025-05-29,0.73,0.74,0.71,0.715,0.678,5880878
2025-05-30,0.715,0.715,0.69,0.69,0.6543,59750776
2025-06-02,0.695,0.7,0.6725,0.675,0.6401,4842738
2025-06-03,0.68,0.685,0.67,0.68,0.6448,6032770
2025-06-04,0.685,0.69,0.675,0.685,0.6496,3023499
2025-06-05,0.685,0.685,0.67,0.685,0.6496,3549046
2025-06-06,0.69,0.69,0.6775,0.685,0.6496,1927472
2025-06-10,0.695,0.705,0.685,0.69,0.6543,5287458
2025-06-11,0.71,0.71,0.675,0.69,0.6543,6500073
2025-06-12,0.7,0.7,0.675,0.685,0.6496,5958773
2025-06-13,0.68,0.68,0.645,0.65,0.6164,8783929
2025-06-16,0.65,0.6575,0.64,0.645,0.6116,3863608
2025-06-17,0.64,0.645,0.625,0.635,0.6022,4749282
2025-06-18,0.62,0.635,0.6175,0.63,0.5974,5962606
2025-06-19,0.63,0.6325,0.615,0.615,0.5832,6896739
2025-06-20,0.625,0.625,0.6,0.6,0.569,27626473
2025-06-23,0.605,0.61,0.595,0.6,0.569,7808062
2025-06-24,0.605,0.615,0.595,0.605,0.5737,11632853
2025-06-25,0.61,0.615,0.595,0.6,0.569,9346661
2025-06-26,0.6,0.61,0.595,0.605,0.5737,7796758
2025-06-27,0.6,0.625,0.5975,0.615,0.5832,5582036
2025-06-30,0.615,0.6225,0.6,0.605,0.5737,8127360
2025-07-01,0.62,0.64,0.615,0.63,0.5974,6632451
2025-07-02,0.635,0.64,0.625,0.63,0.5974,6809573
2025-07-03,0.63,0.63,0.605,0.62,0.5879,4623854
2025-07-04,0.62,0.64,0.62,0.625,0.5927,4049065
2025-07-07,0.625,0.63,0.615,0.62,0.5879,3833844
2025-07-08,0.615,0.625,0.61,0.62,0.5879,4247343
2025-07-09,0.625,0.64,0.62,0.635,0.6022,4194781
2025-07-10,0.64,0.6425,0.62,0.63,0.5974,4495822
2025-07-11,0.625,0.635,0.6175,0.625,0.5927,2797605
2025-07-14,0.625,0.635,0.62,0.63,0.5974,3286296
2025-07-15,0.63,0.635,0.615,0.615,0.5832,3159938
2025-07-16,0.615,0.635,0.605,0.63,0.5974,3615367
2025-07-17,0.63,0.6425,0.625,0.64,0.6069,2795551
2025-07-18,0.645,0.665,0.64,0.645,0.6116,5251022
2025-07-21,0.645,0.645,0.6225,0.625,0.5927,2527625
2025-07-22,0.625,0.635,0.62,0.625,0.5927,2559851
2025-07-23,0.625,0.65,0.6225,0.64,0.6069,3512165
2025-07-24,0.65,0.65,0.635,0.635,0.6022,2900922
2025-07-25,0.64,0.64,0.61,0.615,0.5832,6859748
2025-07-28,0.625,0.65,0.62,0.65,0.6164,5299386
2025-07-29,0.64,0.65,0.635,0.645,0.6116,2237911
2025-07-30,0.64,0.655,0.64,0.65,0.6164,3030106
2025-07-31,0.645,0.645,0.605,0.605,0.5737,28924369
2025-08-01,0.61,0.615,0.6,0.605,0.5737,5827629
2025-08-04,0.605,0.6125,0.5975,0.605,0.5737,2410032
2025-08-05,0.62,0.62,0.605,0.61,0.5784,2812894
2025-08-06,0.61,0.635,0.61,0.635,0.6022,3330458
2025-08-07,0.63,0.6375,0.6225,0.625,0.5927,5686352
2025-08-08,0.625,0.63,0.615,0.625,0.5927,2728784
2025-08-11,0.62,0.63,0.615,0.62,0.5879,2761738
2025-08-12,0.625,0.635,0.62,0.63,0.5974,2348720
2025-08-13,0.63,0.655,0.6225,0.65,0.6164,5694053
2025-08-14,0.64,0.665,0.64,0.66,0.6259,6234215
2025-08-15,0.655,0.665,0.655,0.665,0.6306,3245436
2025-08-18,0.66,0.6625,0.645,0.65,0.6164,2967902
2025-08-19,0.655,0.665,0.65,0.655,0.6211,2937107
2025-08-20,0.655,0.655,0.6225,0.63,0.5974,4796988
2025-08-21,0.635,0.655,0.63,0.655,0.6211,2449461
2025-08-22,0.655,0.6625,0.645,0.655,0.6211,3535553
2025-08-25,0.655,0.67,0.655,0.67,0.6353,4309575
2025-08-26,0.67,0.6775,0.65,0.67,0.6353,4384276
2025-08-27,0.67,0.695,0.67,0.695,0.6591,6901429
2025-08-28,0.7,0.7,0.67,0.67,0.6353,4481711
2025-08-29,0.67,0.6725,0.66,0.665,0.6306,1400696
2025-09-01,0.67,0.6775,0.66,0.66,0.6259,4342239
2025-09-02,0.66,0.665,0.645,0.645,0.6116,4512954
2025-09-03,0.645,0.65,0.635,0.64,0.6069,4389443
2025-09-04,0.64,0.67,0.64,0.665,0.6306,4222344
2025-09-05,0.66,0.695,0.66,0.69,0.6543,3866108
2025-09-08,0.685,0.695,0.67,0.67,0.6353,9191741
2025-09-09,0.675,0.6775,0.66,0.66,0.6259,3454364
2025-09-10,0.66,0.6625,0.645,0.65,0.6164,3172039
2025-09-11,0.65,0.655,0.635,0.64,0.6069,3029477
2025-09-12,0.645,0.675,0.64,0.67,0.6353,4422257
2025-09-15,0.67,0.67,0.65,0.655,0.6211,2227265
2025-09-16,0.655,0.665,0.655,0.66,0.6259,3308059
2025-09-17,0.66,0.665,0.6525,0.655,0.6211,3016317
2025-09-18,0.66,0.66,0.635,0.64,0.6069,3980752
2025-09-19,0.65,0.66,0.625,0.645,0.6116,13656288
2025-09-22,0.645,0.6525,0.625,0.64,0.6069,7005277
