Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,3.81,3.85,3.81,3.82,3.6323,145026
2025-04-28,3.8,3.885,3.8,3.86,3.6703,195310
2025-04-29,3.85,3.94,3.85,3.9,3.7083,339606
2025-04-30,3.9,3.92,3.87,3.9,3.7083,99102
2025-05-01,3.86,3.97,3.86,3.95,3.7559,176542
2025-05-02,3.99,4.01,3.93,3.93,3.7369,119146
2025-05-05,4,4,3.89,3.91,3.7179,103083
2025-05-06,3.91,3.92,3.85,3.86,3.6703,53904
2025-05-07,3.85,3.93,3.85,3.91,3.7179,87021
2025-05-08,3.91,3.925,3.86,3.92,3.7274,143463
2025-05-09,3.91,3.98,3.9,3.98,3.7844,63228
2025-05-12,3.99,4,3.93,3.94,3.7464,66836
2025-05-13,3.95,3.975,3.94,3.94,3.7464,62976
2025-05-14,3.96,3.985,3.94,3.96,3.7654,81247
2025-05-15,3.96,3.96,3.93,3.94,3.7464,108550
2025-05-16,3.94,3.99,3.94,3.94,3.7464,74212
2025-05-19,3.94,3.94,3.87,3.89,3.6988,110054
2025-05-20,3.9,4.04,3.9,3.99,3.7939,226022
2025-05-21,4,4.15,4,4.14,3.9365,371923
2025-05-22,4.12,4.14,4.08,4.08,3.8795,338713
2025-05-23,4.1,4.19,4.1,4.12,3.9175,289020
2025-05-26,4.12,4.125,4.05,4.05,3.851,300451
2025-05-27,4.1,4.1,4.01,4.03,3.832,134883
2025-05-28,4.05,4.06,4.01,4.02,3.8224,186709
2025-05-29,4.02,4.065,3.99,4,3.8034,303375
2025-05-30,3.97,4.1,3.96,4.1,3.8985,456479
2025-06-02,4.08,4.17,4.06,4.14,3.9365,346633
2025-06-03,4.16,4.2,4.1,4.18,3.9746,286904
2025-06-04,4.19,4.34,4.19,4.33,4.1172,337757
2025-06-05,4.34,4.39,4.3,4.33,4.1172,374286
2025-06-06,4.33,4.39,4.31,4.38,4.1648,226801
2025-06-10,4.38,4.38,4.29,4.3,4.0887,159175
2025-06-11,4.3,4.35,4.28,4.34,4.1267,166912
2025-06-12,4.3,4.35,4.3,4.31,4.0982,139252
2025-06-13,4.32,4.32,4.18,4.2,3.9936,167829
2025-06-16,4.2,4.2,4.13,4.2,3.9936,209089
2025-06-17,4.19,4.23,4.17,4.17,3.9651,134060
2025-06-18,4.17,4.21,4.16,4.18,3.9746,110835
2025-06-19,4.19,4.25,4.19,4.24,4.0316,120807
2025-06-20,4.24,4.24,4.16,4.21,4.0031,244786
2025-06-23,4.2,4.25,4.14,4.23,4.0221,162793
2025-06-24,4.18,4.31,4.18,4.28,4.0697,113727
2025-06-25,4.26,4.375,4.26,4.35,4.1362,258965
