Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,6.97,7.04,6.97,7.03,7.03,1024755
2025-04-28,7.03,7.08,6.99,7,7,864660
2025-04-29,7,7.07,7,7.04,7.04,324941
2025-04-30,7.04,7.08,7.015,7.03,7.03,347206
2025-05-01,7.01,7.03,7,7,7,504072
2025-05-02,7,7.04,7,7,7,344779
2025-05-05,7.03,7.03,6.88,6.96,6.96,551722
2025-05-06,6.94,6.96,6.9,6.94,6.94,299874
2025-05-07,6.97,7.16,6.91,7.1,7.1,802694
2025-05-08,7.1,7.14,7.1,7.12,7.12,344336
2025-05-09,7.1,7.14,7.09,7.12,7.12,212288
2025-05-12,7.12,7.13,6.87,6.9,6.9,792488
2025-05-13,6.94,7.01,6.79,6.79,6.79,676416
2025-05-14,6.51,6.615,5.68,5.73,5.73,2532037
2025-05-15,6.18,6.5,6.01,6.2,6.2,3666838
2025-05-16,6.25,6.56,6.25,6.48,6.48,1310265
2025-05-19,6.48,6.48,6.48,6.48,6.48,0
2025-05-20,6.48,6.48,6.48,6.48,6.48,0
2025-05-21,4.5,4.63,4.31,4.55,4.55,4910347
2025-05-22,4.5,4.5,4.32,4.35,4.35,1906636
2025-05-23,4.45,4.83,4.37,4.82,4.82,2363961
2025-05-26,4.87,4.95,4.65,4.9,4.9,1073873
2025-05-27,4.85,4.89,4.78,4.85,4.85,910924
2025-05-28,4.89,4.98,4.78,4.93,4.93,671909
2025-05-29,4.98,5.09,4.9,5.06,5.06,662888
2025-05-30,5.01,5.09,4.92,4.95,4.95,1177979
2025-06-02,4.92,4.99,4.81,4.93,4.93,299988
2025-06-03,4.83,4.83,4.72,4.73,4.73,508711
2025-06-04,5,5.06,4.14,4.48,4.48,3993383
2025-06-05,4.5,4.98,4.49,4.9,4.9,2068807
2025-06-06,4.99,5.1,4.96,5.02,5.02,619202
2025-06-10,5.05,5.33,5.02,5.29,5.29,978255
2025-06-11,5.28,5.38,5.08,5.11,5.11,800618
2025-06-12,5.13,5.17,5.03,5.05,5.05,544262
2025-06-13,5.05,5.24,5.04,5.2,5.2,567270
2025-06-16,5.19,5.19,4.97,5.08,5.08,181992
2025-06-17,5.15,5.32,5.1,5.22,5.22,346193
2025-06-18,5.29,5.34,5.15,5.34,5.34,134278
2025-06-19,5.33,5.35,5.195,5.2,5.2,232566
2025-06-20,5.2,5.21,5.03,5.03,5.03,555673
2025-06-23,5.03,5.03,4.86,4.92,4.92,352144
2025-06-24,4.93,5.1,4.93,5,5,610274
2025-06-25,5.05,5.09,4.96,5.02,5.02,154072
2025-06-26,5,5.14,4.94,5.07,5.07,141291
2025-06-27,5.13,5.15,5.08,5.08,5.08,87010
2025-06-30,5.08,5.1,4.95,5,5,285122
2025-07-01,4.99,5.07,4.96,5,5,325611
2025-07-02,5.04,5.04,4.92,5,5,244993
2025-07-03,5.03,5.04,4.99,5.01,5.01,154756
2025-07-04,5.01,5.12,4.99,5.07,5.07,179363
2025-07-07,5.1,5.1,5.01,5.07,5.07,109440
2025-07-08,5.07,5.28,5.05,5.21,5.21,319884
2025-07-09,5.2,5.3,5.1,5.2,5.2,260180
2025-07-10,5.29,5.29,5.17,5.2,5.2,294162
2025-07-11,5.21,5.35,5.21,5.34,5.34,181182
2025-07-14,5.28,5.35,5.26,5.28,5.28,72694
2025-07-15,5.2,5.25,5,5.03,5.03,455421
2025-07-16,5.04,5.13,4.98,5.05,5.05,305658
2025-07-17,5.04,5.125,4.96,5.01,5.01,518456
2025-07-18,5.02,5.08,4.97,5.05,5.05,273184
2025-07-21,5,5.16,4.8,5.16,5.16,587432
2025-07-22,5.17,5.25,5.12,5.21,5.21,171151
2025-07-23,5.22,5.25,5.07,5.2,5.2,186728
2025-07-24,5.18,5.41,5.18,5.4,5.4,776201
2025-07-25,5.35,5.41,5.19,5.25,5.25,231748
2025-07-28,5.25,5.3,5.18,5.25,5.25,214533
2025-07-29,5.17,5.18,4.95,5.02,5.02,224127
2025-07-30,5.05,5.17,5.05,5.15,5.15,111959
2025-07-31,5.05,5.09,4.93,4.95,4.95,165373
2025-08-01,4.97,5.07,4.95,5.07,5.07,118787
2025-08-04,5.05,5.05,4.96,5,5,218424
2025-08-05,5.05,5.06,4.935,4.95,4.95,297582
2025-08-06,4.96,5.07,4.96,5.07,5.07,228509
2025-08-07,5.05,5.08,5.02,5.08,5.08,78380
2025-08-08,5.05,5.05,4.99,4.99,4.99,250346
2025-08-11,4.98,5.03,4.98,5,5,118564
2025-08-12,5,5.03,5,5,5,168475
2025-08-13,5.02,5.04,5,5.04,5.04,283119
2025-08-14,5.05,5.08,5,5.03,5.03,236953
2025-08-15,5.02,5.13,5.02,5.12,5.12,230862
2025-08-18,5.06,5.2,5.03,5.15,5.15,141951
2025-08-19,5.14,5.2,5.1,5.18,5.18,92291
2025-08-20,5.11,5.19,5.04,5.07,5.07,126656
2025-08-21,5.08,5.2,5.06,5.13,5.13,116092
2025-08-22,5.08,5.09,4.99,5.05,5.05,398516
2025-08-25,5.03,5.11,5.01,5.04,5.04,180456
2025-08-26,5.06,5.13,5,5.12,5.12,268797
2025-08-27,5.14,5.2,5.12,5.2,5.2,113538
2025-08-28,5.15,5.15,5,5.03,5.03,166521
2025-08-29,5.25,5.57,5.16,5.17,5.17,272194
2025-09-01,5.15,5.26,5.15,5.2,5.2,205514
2025-09-02,5.18,5.22,5.12,5.19,5.19,104238
2025-09-03,5.19,5.35,5.19,5.27,5.27,180892
2025-09-04,5.27,5.31,5.22,5.27,5.27,161816
2025-09-05,5.25,5.41,5.25,5.28,5.28,170367
2025-09-08,4.79,4.79,4.43,4.5,4.5,2190906
2025-09-09,4.47,4.7,4.47,4.6,4.6,908842
2025-09-10,4.6,4.61,4.49,4.5,4.5,314851
2025-09-11,4.5,4.63,4.5,4.53,4.53,219294
2025-09-12,4.55,4.57,4.49,4.53,4.53,218772
2025-09-15,4.51,4.54,4.48,4.48,4.48,234606
2025-09-16,4.5,4.54,4.49,4.5,4.5,163100
2025-09-17,4.53,4.85,4.495,4.83,4.83,430271
2025-09-18,4.84,5.1,4.71,4.98,4.98,255238
2025-09-19,5.05,5.15,4.9,4.9,4.9,588021
2025-09-22,4.88,4.96,4.76,4.77,4.77,119622
2025-09-23,4.78,5.09,4.78,5.09,5.09,435196
2025-09-24,5.09,5.09,4.95,5,5,170890
2025-09-25,5.02,5.13,5,5.13,5.13,653948
2025-09-26,5.1,5.16,5.045,5.16,5.16,184142
2025-09-29,5.12,5.27,5.11,5.12,5.12,291445
2025-09-30,5.12,5.22,5.12,5.15,5.15,66627
2025-10-01,5.16,5.68,5.16,5.67,5.67,297935
2025-10-02,5.67,5.7,5.56,5.7,5.7,194213
2025-10-03,5.65,5.77,5.65,5.77,5.77,81673
2025-10-06,5.75,5.78,5.61,5.64,5.64,75188
2025-10-07,5.68,5.84,5.65,5.84,5.84,285677
2025-10-08,5.78,5.8,5.63,5.71,5.71,284744
2025-10-09,5.76,5.85,5.67,5.81,5.81,273630
2025-10-10,5.77,5.88,5.77,5.85,5.85,494607
2025-10-13,5.84,5.9,5.57,5.6,5.6,277123
2025-10-14,5.61,5.69,5.47,5.53,5.53,118764
2025-10-15,5.6,5.71,5.53,5.66,5.66,104256
2025-10-16,6.42,6.5,6.25,6.3,6.3,3912347
2025-10-17,6.3,6.32,6.01,6.19,6.19,1585986
2025-10-20,6.12,6.24,6,6.01,6.01,1687711
2025-10-21,6.06,6.31,6.03,6.3,6.3,523542
2025-10-22,6.24,6.32,6.16,6.2,6.2,359810
2025-10-23,6.18,6.19,6.11,6.12,6.12,109282
2025-10-24,6.11,6.23,6.11,6.17,6.17,114300
2025-10-27,6.19,6.25,6.11,6.11,6.11,254365
2025-10-28,6.15,6.15,6.08,6.08,6.08,331217
2025-10-29,6.11,6.25,6.11,6.2,6.2,209982
2025-10-30,6.2,6.24,6.14,6.2,6.2,248888
2025-10-31,4.12,4.5,3.81,4.25,4.25,3431536
2025-11-03,4.25,4.61,4.25,4.57,4.57,924576
2025-11-04,4.56,4.68,4.51,4.58,4.58,458657
2025-11-05,4.6,4.85,4.58,4.85,4.85,506185
2025-11-06,4.85,5.05,4.76,5.05,5.05,364009
2025-11-07,4.87,5,4.85,4.9,4.9,307471
2025-11-10,4.92,4.97,4.58,4.61,4.61,282230
2025-11-11,4.66,4.77,4.62,4.62,4.62,75195
2025-11-12,4.79,4.855,4.62,4.7,4.7,252996
2025-11-13,4.85,4.85,4.72,4.85,4.85,239764
2025-11-14,4.85,4.85,4.85,4.85,4.85,0
2025-11-17,4.85,4.85,4.85,4.85,4.85,0
2025-11-18,4.8,5,4.75,4.86,4.86,271861
2025-11-19,4.8,4.86,4.76,4.79,4.79,190994
2025-11-20,5.5,6.04,5.5,5.79,5.79,1269819
2025-11-21,5.75,5.75,4.45,4.45,4.45,432273
2025-11-24,3.96,3.98,3.62,3.65,3.65,3282047
2025-11-25,3.66,3.73,3.65,3.66,3.66,968416
2025-11-26,3.7,3.74,3.65,3.67,3.67,515806
2025-11-27,3.68,3.72,3.65,3.69,3.69,541583
2025-11-28,3.68,3.71,3.66,3.71,3.71,391588
2025-12-01,3.71,3.71,3.63,3.65,3.65,413621
2025-12-02,3.63,3.7,3.41,3.41,3.41,720283
2025-12-03,3.45,3.5,3.27,3.36,3.36,440046
2025-12-04,3.4,3.48,3.27,3.28,3.28,262565
2025-12-05,3.29,3.38,3.2,3.21,3.21,224547
2025-12-08,3.21,3.25,3.13,3.2,3.2,283813
2025-12-09,3.18,3.28,3.18,3.2,3.2,302417
2025-12-10,3.29,3.29,3.19,3.22,3.22,328335
2025-12-11,3.25,3.25,3.14,3.19,3.19,375118
2025-12-12,3.22,3.33,3.16,3.25,3.25,300089
2025-12-15,3.24,3.28,3.18,3.21,3.21,318920
2025-12-16,3.22,3.3,3.17,3.17,3.17,407371
2025-12-17,3.11,3.2,3.04,3.04,3.04,787739
2025-12-18,3.11,3.11,3.02,3.03,3.03,460359
2025-12-19,3.07,3.14,2.99,3.12,3.12,1004189
2025-12-22,3.12,3.12,3.04,3.07,3.07,244698
2025-12-23,3.06,3.06,2.99,3,3,441975
2025-12-24,3,3.15,3,3.13,3.13,222890
2025-12-29,3.12,3.19,3.11,3.16,3.16,158954
2025-12-30,3.16,3.18,3.07,3.1,3.1,167477
2025-12-31,3.11,3.12,3.06,3.11,3.11,150705
2026-01-02,3.12,3.21,3.11,3.19,3.19,206905
