Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,38.28,38.37,37.12,37.22,35.714,5936407
2025-07-23,37.29,37.44,36.91,37.2,35.6948,4958938
2025-07-24,37.49,37.69,37.31,37.66,36.1362,3609815
2025-07-25,37.55,37.65,37.14,37.51,35.9923,2638917
2025-07-28,37.52,37.86,37.52,37.76,36.2322,1476581
2025-07-29,37.75,38.2,37.35,38.2,36.6544,3600326
2025-07-30,38.1,38.67,37.96,38.47,36.9135,4842046
2025-07-31,38.33,38.91,38.28,38.91,37.3357,5000395
2025-08-01,38.47,38.56,38.155,38.44,36.8847,4453119
2025-08-04,38.07,38.35,37.8,38.19,36.6448,2607571
2025-08-05,38.47,38.87,38.37,38.8,37.2301,3317069
2025-08-06,38.8,39.02,38.71,38.99,37.4124,2957697
2025-08-07,38.82,38.94,38.54,38.82,37.2493,3375437
2025-08-08,38.6,38.76,38.33,38.49,36.9327,2889322
2025-08-11,38.6,39,38.45,38.82,37.2493,3163945
2025-08-12,38.9,39.19,38.745,39.19,37.6043,3766227
2025-08-13,39.2,39.2,38.03,38.16,36.616,5058575
2025-08-14,38.5,39.47,38.41,38.88,37.3069,6131679
2025-08-15,38.97,39.35,38.76,39.19,37.6043,5890198
2025-08-18,38.7,40.3,38.65,40.23,38.6023,6429112
2025-08-19,40.35,40.83,40.325,40.54,38.8997,4417906
2025-08-20,40.79,42.08,40.6,42.03,40.3294,7818572
2025-08-21,42.35,42.75,41.98,42.39,40.6749,7218072
2025-08-22,42.1,42.78,42.09,42.47,40.7516,7484052
2025-08-25,42.69,42.88,41.71,41.71,40.0224,5548367
2025-08-26,41.63,42.13,41.53,41.86,40.1663,4327219
2025-08-27,42.04,42.21,41.87,41.95,40.2527,2095137
2025-08-28,42.45,42.94,42.2,42.94,41.2026,3057355
2025-08-29,42.7,42.79,42.32,42.79,41.0587,5539570
2025-09-01,42.56,42.88,42.33,42.54,40.8188,2091737
2025-09-02,42.57,43.41,42.49,42.96,41.2218,4120325
2025-09-03,42.71,42.85,41.68,41.97,40.2718,7328384
2025-09-04,42.32,42.97,42.21,42.81,41.0779,3329425
2025-09-05,43.02,43.5,43,43.17,41.4233,3920964
2025-09-08,42.88,43.08,42.56,42.84,41.1066,3193351
2025-09-09,42.75,42.97,42.34,42.78,41.0491,3414583
2025-09-10,42.95,43.54,42.84,43.41,41.6536,4222115
2025-09-11,43.12,43.18,42.82,43.02,41.2794,2844959
2025-09-12,43.44,43.67,43.3,43.54,41.7783,3437770
2025-09-15,43.39,44,43.28,43.79,42.0182,2883344
2025-09-16,43.89,44.24,43.64,44.09,42.3061,4101746
2025-09-17,43.93,43.99,43.35,43.42,41.6632,4317228
2025-09-18,43.42,43.83,43.31,43.36,41.6056,6888036
2025-09-19,43.43,43.9,43.34,43.79,42.0182,13761540
2025-09-22,43.8,44.2,43.515,43.65,41.8839,3120709
2025-09-23,43.55,44.4,43.46,44.09,42.3061,4136244
2025-09-24,43.86,43.99,42.81,43.1,41.3561,4430308
2025-09-25,42.87,43.365,42.67,43.22,41.4713,6087117
2025-09-26,43.21,43.75,43.04,43.64,41.8743,3362767
2025-09-29,43.88,44.41,43.8,44.29,42.498,3158361
2025-09-30,44.18,44.26,43.9,44.15,42.3636,3374151
2025-10-01,44.12,44.2,43.64,44.01,42.2293,3021464
2025-10-02,44.1,44.685,44.02,44.42,42.6227,2823819
2025-10-03,44.28,44.66,44.11,44.6,42.7954,2101283
2025-10-06,44.6,44.87,44.46,44.67,42.8626,1474566
2025-10-07,44.6,44.875,44.195,44.56,42.7571,5078389
2025-10-08,44.43,44.68,44.265,44.39,42.5939,2647797
2025-10-09,44.31,44.31,43.59,43.77,41.999,5228961
2025-10-10,43.87,44.04,43.66,44.02,42.2389,3275259
2025-10-13,43.92,44.04,42.93,43.21,41.4617,3708117
2025-10-14,43.1,43.14,42.12,42.76,41.0299,4723702
2025-10-15,43.19,43.59,43.01,43.56,41.7975,2753251
2025-10-16,43.84,44.21,43.52,43.67,41.9031,4359183
2025-10-17,43.21,43.79,43.13,43.3,41.548,5790372
2025-10-20,43.6,43.79,43.2,43.75,41.9798,2858077
2025-10-21,43.75,43.86,43.17,43.61,41.8455,3252706
2025-10-22,43.75,43.88,43.52,43.69,41.9223,3443135
2025-10-23,43.46,43.54,43.15,43.38,41.6248,3299763
2025-10-24,43.43,43.47,42.84,43.25,41.5001,4775786
2025-10-27,43.6,43.99,43.32,43.54,41.7783,2953245
2025-10-28,44,44.87,43.95,44.62,42.8146,4773796
2025-10-29,44.5,44.64,43.43,43.44,41.6824,4251061
2025-10-30,43.15,43.98,43.13,43.65,41.8839,3866973
2025-10-31,43.82,44.28,43.51,43.62,41.8551,3981875
2025-11-03,43.38,44.12,43.22,44.01,42.2293,4631935
2025-11-04,44.1,44.28,43.7,43.79,42.0182,3200672
2025-11-05,44.13,44.535,43.98,44.53,42.7283,7009248
2025-11-06,44.89,45.25,42.71,43.06,41.3177,7986149
2025-11-07,43.08,44.2,43.06,43.44,41.6824,9678160
2025-11-10,43.53,43.6,43.01,43.27,41.5193,5088228
2025-11-11,42.5,43.08,42.41,42.7,41.7933,6831861
2025-11-12,42.8,43.27,42.67,42.67,41.7639,3587143
2025-11-13,42.6,42.65,41.835,42.2,41.3039,3474187
2025-11-14,41.65,41.69,41.38,41.48,40.5992,3412662
2025-11-17,41.57,41.79,41.23,41.47,40.5894,2962783
2025-11-18,41.28,41.32,40.495,40.6,39.7379,6663975
2025-11-19,40.38,40.65,40.14,40.32,39.4638,3616623
2025-11-20,40.33,40.88,40.26,40.88,40.012,3972809
2025-11-21,40.35,40.81,40.07,40.56,39.6987,4681732
2025-11-24,40.56,40.95,40.43,40.67,39.8064,6473323
2025-11-25,40.92,40.96,40.18,40.63,39.7673,3756351
2025-11-26,41.02,41.2,40.37,40.38,39.5226,5272481
2025-11-27,40.47,40.7,40.31,40.5,39.64,2798727
2025-11-28,40.31,40.46,40.06,40.1,39.2485,3109797
2025-12-01,40.13,40.17,39.74,39.85,39.0038,2614499
2025-12-02,40.04,40.28,39.83,40.16,39.3072,3518452
2025-12-03,40.01,40.49,39.86,40.42,39.5617,4270979
2025-12-04,40.5,40.55,40.09,40.51,39.6498,3422696
2025-12-05,40.4,40.86,40.28,40.86,39.9924,2669348
2025-12-08,40.49,40.87,40.3,40.6,39.7379,3164554
2025-12-09,41,41.17,40.54,41.01,40.1392,3705997
2025-12-10,41.26,41.28,40.88,40.96,40.0903,3402677
2025-12-11,41.06,41.49,40.99,41.38,40.5013,4211501
2025-12-12,41.7,42.285,41.6,42.13,41.2354,3689150
2025-12-15,41.87,42.24,41.87,42.2,41.3039,2423379
2025-12-16,42.75,43,41.945,42.24,41.3431,3984609
2025-12-17,41.9,42.2,41.785,42.02,41.1277,3616505
2025-12-18,42.08,42.08,41.71,41.79,40.9026,5278845
2025-12-19,41.95,42.5,41.93,42.14,41.2452,10464380
2025-12-22,42.2,42.29,41.82,42.13,41.2354,3201146
2025-12-23,42.1,42.74,41.89,42.52,41.6171,2734926
2025-12-24,42.47,42.47,42.05,42.43,41.529,1384427
2025-12-29,42.4,42.48,42.13,42.16,41.2648,1951621
2025-12-30,42.41,42.63,42.21,42.34,41.4409,1549799
2025-12-31,42.4,42.41,41.98,42.31,41.4116,1920429
2026-01-02,42.27,42.49,42.15,42.4,41.4997,1362262
2026-01-05,42.4,42.62,42.25,42.54,41.6367,2177112
2026-01-06,42.52,42.54,41.19,41.53,40.6481,3448843
2026-01-07,41.33,41.5,40.69,40.69,39.826,3237463
2026-01-08,41.06,41.14,40.72,41.1,40.2273,2960499
2026-01-09,41.1,41.28,40.6,41.02,40.149,2304779
2026-01-12,40.96,41.87,40.89,41.62,40.7362,2353859
2026-01-13,41.37,42.58,41.37,42.39,41.4899,3389269
2026-01-14,42.2,42.85,41.33,41.91,41.0201,3681354
2026-01-15,42.4,42.4,41.75,42.36,41.4605,2584648
2026-01-16,42.11,42.8,42.05,42.67,41.7639,3545737
2026-01-19,42.66,42.75,41.99,42.22,41.3235,2037157
2026-01-20,42.11,42.21,41.525,41.86,40.9711,2408134
2026-01-21,41.35,41.58,41.02,41.18,40.3056,3168279
2026-01-22,41.84,42.5,41.59,42.43,41.529,3146801
2026-01-23,42.16,42.5,42.03,42.35,41.4507,2897195
2026-01-27,42.5,43.15,42.42,42.88,41.9695,4129714
2026-01-28,42.88,43.12,42.655,42.87,41.9597,4639792
2026-01-29,43,43.16,42.77,43.06,42.1457,4944033
2026-01-30,43.48,43.55,43,43.37,42.4491,5168289
2026-02-02,43.55,43.98,42.845,42.96,42.0478,3633186
2026-02-03,43.6,43.65,42.93,43.04,42.1261,2938583
2026-02-04,42.41,43.94,42.26,43.93,42.9972,4437850
2026-02-05,43.93,44.1,43.67,44.05,43.1146,4490432
2026-02-06,43.7,44.05,43.08,43.36,42.4393,4379814
2026-02-09,43.5,44.14,43.36,43.99,43.0559,2504770
2026-02-10,43.88,44.28,43.65,43.98,43.0461,2795218
2026-02-11,44.32,45.49,44.21,45.49,44.5241,5859677
2026-02-12,45.7,47.25,45.52,46.54,45.5518,7568554
2026-02-13,46.55,46.725,45.75,46.01,45.033,4080492
2026-02-16,45.95,46.15,45.35,45.54,44.573,2393347
2026-02-17,45.32,45.81,45.26,45.34,44.3772,3161514
2026-02-18,47.2,47.96,46.9,47.14,46.139,6051685
2026-02-19,48.16,48.68,47.14,48.28,47.2548,7386892
2026-02-20,48.17,48.43,47.85,48.32,47.294,7277804
2026-02-23,48.37,48.73,47.58,47.87,46.8535,3542602
2026-02-24,47.78,48.49,47.58,48.37,47.3429,5641628
2026-02-25,48.4,49.13,48.32,49.1,48.0574,6169756
2026-02-26,49.1,49.345,48.51,49.04,47.9987,3354316
2026-02-27,49.05,49.45,48.83,49.02,47.9791,6896570
2026-03-02,47.96,48.06,47.04,47.62,46.6088,4338579
2026-03-03,47.74,48.25,47.51,47.64,46.6284,3522635
2026-03-04,47.12,47.48,46.61,46.68,45.6888,4391326
2026-03-05,47.49,47.78,47.21,47.33,46.325,4618517
2026-03-06,46.91,47.2,46.48,46.82,45.8258,3798053
2026-03-09,45.28,46.08,44.715,46.08,45.1015,6705296
2026-03-10,46.8,47.21,46.31,46.84,45.8454,5410394
2026-03-11,47.18,47.52,46.94,47.33,46.325,3417332
2026-03-12,47.06,47.13,46,46.4,45.4147,4538503
2026-03-13,46.3,47.36,46.23,47.11,46.1097,3298905
2026-03-16,46.9,47.48,46.71,47.06,46.0607,3424440
2026-03-17,47.49,47.6,47.15,47.46,46.4522,2801951
2026-03-18,47.4,47.64,47.11,47.23,46.2271,3635596
2026-03-19,46.77,47.24,46.6,46.62,45.6301,7993525
2026-03-20,46.94,47.15,45.42,45.57,44.6024,14184910
2026-03-23,44.49,45.24,44.19,44.74,43.79,5166970
2026-03-24,44.95,45.16,42.75,42.75,41.8422,7590598
2026-03-25,43.4,43.615,42.62,42.7,41.7933,5531431
2026-03-26,42.83,42.95,42.16,42.56,41.6563,5307413
2026-03-27,42.27,42.47,41.9,41.99,41.0984,6114524
2026-03-30,41.69,41.74,40.39,41.25,40.3741,5117187
2026-03-31,41.6,41.77,40.61,41.44,40.5601,6512022
2026-04-01,41.94,41.94,41.24,41.92,41.0299,7743718
2026-04-02,41.8,42.51,41.63,41.8,40.9124,6080009
2026-04-07,42.5,43.36,42.23,42.88,41.9695,4673025
2026-04-08,44.3,44.79,44.15,44.53,43.5844,6731301
2026-04-09,44.67,45.5,44.61,45.5,44.5338,6380014
2026-04-10,45.14,45.75,45.08,45.36,44.3968,3799591
2026-04-13,44.79,45.26,44.71,44.95,43.9955,3755383
2026-04-14,45.37,45.49,44.14,44.69,43.741,3805039
2026-04-15,45.45,45.48,44.51,44.52,43.5747,4045449
2026-04-16,44.3,44.52,43.16,43.41,42.4882,5996130
2026-04-17,43,43.17,42.33,42.55,41.6465,7335110
2026-04-20,41.2,41.58,40.73,41.02,40.149,9926346
2026-04-21,41.15,41.38,40.69,41.21,40.3349,6168139
2026-04-22,40.8,41.04,40.18,40.22,39.366,5729441
2026-04-23,40,40.31,39.6,40.16,39.3072,4855097
2026-04-24,40.27,40.38,39.66,40.08,39.2289,5119094
2026-04-27,39.8,40.21,39.6,40.2,39.3464,2135233
2026-04-28,40.11,40.17,39.86,40.17,39.317,3240792
2026-04-29,40.1,40.2,39.62,39.67,38.8276,3961295
2026-04-30,39.8,40.13,39.46,39.88,39.0332,7370119
2026-05-01,40,40.155,39.53,39.83,38.9842,4921316
2026-05-04,39.6,39.78,38.23,39.2,38.3676,6437572
2026-05-05,39.03,39.4,38.59,38.95,38.1229,6397412
2026-05-06,39.39,40.36,39.39,40.03,39.18,7148429
2026-05-07,39.06,39.58,38.98,39.51,39.51,10793200
2026-05-08,38.87,39.1,38.22,38.36,38.36,8656609
