Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,4.6,4.615,4.48,4.59,4.59,845414
2025-04-28,4.64,4.68,4.53,4.55,4.55,1278353
2025-04-29,4.59,4.8,4.56,4.76,4.76,1396844
2025-04-30,4.78,4.8,4.72,4.8,4.8,723499
2025-05-01,4.79,4.94,4.775,4.88,4.88,789391
2025-05-02,4.85,4.94,4.84,4.88,4.88,1026521
2025-05-05,4.88,4.91,4.7,4.73,4.73,589499
2025-05-06,4.73,4.83,4.71,4.77,4.77,733545
2025-05-07,4.74,4.94,4.68,4.86,4.86,644649
2025-05-08,4.86,4.91,4.77,4.82,4.82,1589592
2025-05-09,4.9,4.9,4.79,4.86,4.86,286047
2025-05-12,4.84,4.86,4.71,4.71,4.71,354809
2025-05-13,4.7,4.9,4.68,4.9,4.9,727326
2025-05-14,4.9,5.08,4.69,4.69,4.69,1386868
2025-05-15,4.64,4.755,4.45,4.72,4.72,756714
2025-05-16,4.72,4.8,4.655,4.79,4.79,788256
2025-05-19,4.79,4.87,4.75,4.83,4.83,426916
2025-05-20,4.8,4.83,4.22,4.42,4.42,3140600
2025-05-21,4.46,4.775,4.44,4.46,4.46,1245125
2025-05-22,4.39,4.46,4.35,4.46,4.46,743750
2025-05-23,4.41,4.55,4.36,4.54,4.54,759239
2025-05-26,4.4,4.49,4.38,4.44,4.44,1062157
2025-05-27,4.5,4.58,4.47,4.53,4.53,402138
2025-05-28,4.57,4.57,4.4,4.44,4.44,395048
2025-05-29,4.42,4.49,4.38,4.4,4.4,746159
2025-05-30,4.36,4.45,4.28,4.44,4.44,1587900
2025-06-02,4.42,4.51,4.41,4.46,4.46,417635
2025-06-03,4.35,4.42,4.33,4.36,4.36,581067
2025-06-04,4.33,4.425,4.27,4.4,4.4,743705
2025-06-05,4.4,4.42,4.31,4.35,4.35,739241
2025-06-06,4.4,4.4,4.29,4.3,4.3,620545
2025-06-10,4.29,4.39,4.27,4.37,4.37,514745
2025-06-11,4.42,4.425,4.3,4.35,4.35,650908
2025-06-12,4.35,4.47,4.34,4.43,4.43,541107
2025-06-13,4.42,4.455,4.29,4.42,4.42,440675
2025-06-16,4.42,4.485,4.28,4.28,4.28,475560
2025-06-17,4.3,4.31,4.05,4.18,4.18,1067607
2025-06-18,4.14,4.26,4.13,4.18,4.18,1136079
2025-06-19,4.19,4.19,4.08,4.1,4.1,1837554
2025-06-20,4.06,4.13,4.01,4.12,4.12,1747740
2025-06-23,4.12,4.175,4.09,4.09,4.09,514716
2025-06-24,4.16,4.21,4.11,4.15,4.15,876601
2025-06-25,4.11,4.15,4.025,4.06,4.06,595898
2025-06-26,4.06,4.14,4.06,4.09,4.09,431840
2025-06-27,4.14,4.2,4.1,4.13,4.13,819805
2025-06-30,4.13,4.18,4.04,4.05,4.05,589301
2025-07-01,4.1,4.1,4.02,4.05,4.05,661106
2025-07-02,4.05,4.07,3.89,3.94,3.94,702835
2025-07-03,3.93,3.93,3.82,3.91,3.91,596678
2025-07-04,3.89,3.91,3.84,3.85,3.85,734840
2025-07-07,3.87,4.04,3.84,3.91,3.91,799940
2025-07-08,3.87,4.03,3.81,3.94,3.94,964357
2025-07-09,3.94,4.04,3.89,3.99,3.99,738172
2025-07-10,3.97,4.01,3.94,3.95,3.95,876659
2025-07-11,3.95,3.99,3.91,3.92,3.92,304838
2025-07-14,3.88,3.88,3.73,3.74,3.74,695149
2025-07-15,3.74,3.86,3.7,3.82,3.82,470378
2025-07-16,3.8,3.88,3.7,3.87,3.87,747397
2025-07-17,3.87,3.95,3.83,3.92,3.92,579603
2025-07-18,3.92,3.95,3.79,3.83,3.83,606852
2025-07-21,3.83,3.85,3.79,3.8,3.8,274550
2025-07-22,3.8,3.86,3.79,3.83,3.83,286866
2025-07-23,3.85,3.88,3.76,3.77,3.77,1042570
2025-07-24,3.79,3.89,3.79,3.87,3.87,791856
2025-07-25,3.86,3.86,3.8,3.85,3.85,580150
2025-07-28,3.87,3.98,3.86,3.97,3.97,754548
2025-07-29,3.98,4.15,3.98,4.07,4.07,998845
2025-07-30,4.09,4.12,4.04,4.05,4.05,775706
2025-07-31,4.01,4.09,3.84,4.05,4.05,1302647
2025-08-01,4.03,4.03,3.87,3.87,3.87,1043566
2025-08-04,3.89,3.89,3.8,3.82,3.82,448629
2025-08-05,3.82,3.9,3.82,3.89,3.89,294448
2025-08-06,4.27,4.35,3.92,4.07,4.07,1762605
2025-08-07,4.07,4.09,3.89,4.02,4.02,1325791
2025-08-08,3.92,4.01,3.92,3.96,3.96,543566
2025-08-11,3.95,4.03,3.9,4,4,787053
2025-08-12,3.96,4.01,3.845,3.92,3.92,396680
2025-08-13,3.92,3.945,3.86,3.92,3.92,451644
2025-08-14,3.91,3.99,3.91,3.98,3.98,911531
2025-08-15,3.99,4.06,3.96,4.02,4.02,307505
2025-08-18,4,4.045,3.99,4.03,4.03,464584
2025-08-19,4.03,4.08,3.99,4.06,4.06,514424
2025-08-20,4.05,4.11,4.03,4.05,4.05,396116
2025-08-21,4.08,4.145,4.06,4.1,4.1,367290
2025-08-22,4.09,4.125,4.05,4.05,4.05,594428
2025-08-25,4.05,4.16,4.04,4.11,4.11,343482
2025-08-26,4.32,4.77,4.29,4.73,4.73,2261408
2025-08-27,4.52,4.57,4.4,4.47,4.47,1409076
2025-08-28,4.52,4.55,4.4,4.51,4.51,816238
2025-08-29,4.57,4.57,4.42,4.48,4.48,710735
2025-09-01,4.43,4.48,4.24,4.26,4.26,617529
2025-09-02,4.26,4.31,4.17,4.29,4.29,971058
2025-09-03,4.3,4.35,4.13,4.15,4.15,1019569
2025-09-04,4.14,4.265,4.07,4.08,4.08,926990
2025-09-05,4.08,4.12,4.02,4.02,4.02,643434
2025-09-08,4.01,4.08,3.92,4,4,858816
2025-09-09,3.93,4.03,3.84,3.84,3.84,897878
2025-09-10,3.83,3.89,3.75,3.86,3.86,1020717
2025-09-11,3.84,3.93,3.83,3.87,3.87,766628
2025-09-12,3.85,3.92,3.79,3.89,3.89,841568
2025-09-15,3.89,4.06,3.825,4.05,4.05,947286
2025-09-16,4.05,4.11,4.02,4.09,4.09,747868
2025-09-17,4.06,4.13,4.06,4.07,4.07,588631
2025-09-18,4.06,4.135,4.01,4.11,4.11,882023
2025-09-19,4,4.18,4,4.16,4.16,2127396
2025-09-22,4.16,4.25,4.06,4.16,4.16,821706
2025-09-23,4.16,4.24,4.12,4.22,4.22,900049
2025-09-24,4.24,4.24,4.11,4.13,4.13,350022
2025-09-25,4.2,4.2,4.03,4.12,4.12,723985
2025-09-26,4.13,4.23,4.1,4.23,4.23,428104
2025-09-29,4.23,4.27,4.15,4.18,4.18,594749
2025-09-30,4.15,4.24,4.11,4.22,4.22,622717
2025-10-01,4.23,4.32,4.23,4.31,4.31,582520
2025-10-02,4.33,4.36,4.26,4.35,4.35,568486
2025-10-03,4.38,4.48,4.355,4.44,4.44,456023
2025-10-06,4.5,4.5,4.35,4.35,4.35,256247
2025-10-07,4.44,4.57,4.41,4.55,4.55,979864
2025-10-08,4.57,4.64,4.53,4.64,4.64,552789
2025-10-09,4.6,4.72,4.6,4.69,4.69,591096
2025-10-10,4.67,4.71,4.565,4.65,4.65,1707675
2025-10-13,4.53,4.6,4.5,4.55,4.55,523500
2025-10-14,4.58,4.68,4.53,4.57,4.57,473885
2025-10-15,4.53,4.62,4.53,4.61,4.61,1388574
2025-10-16,4.6,4.64,4.52,4.64,4.64,640434
2025-10-17,4.61,4.69,4.61,4.64,4.64,683877
2025-10-20,4.65,4.745,4.625,4.7,4.7,534185
2025-10-21,4.74,4.76,4.65,4.73,4.73,1629315
2025-10-22,4.6,4.71,4.46,4.49,4.49,1005594
2025-10-23,4.49,4.51,4.41,4.45,4.45,408158
2025-10-24,4.42,4.47,4.37,4.47,4.47,239101
2025-10-27,4.46,4.57,4.415,4.56,4.56,357304
2025-10-28,4.65,4.66,4.49,4.53,4.53,278509
2025-10-29,4.52,4.6,4.5,4.58,4.58,277025
2025-10-30,4.58,4.6,4.52,4.56,4.56,281621
2025-10-31,4.6,4.62,4.535,4.58,4.58,357615
2025-11-03,4.58,4.58,4.48,4.5,4.5,210974
2025-11-04,4.55,4.56,4.4,4.43,4.43,175828
2025-11-05,4.51,4.53,4.25,4.3,4.3,335657
2025-11-06,4.3,4.35,4.2,4.27,4.27,426414
2025-11-07,4.27,4.275,4.15,4.24,4.24,280065
2025-11-10,4.345,4.365,4.265,4.3,4.3,413695
2025-11-11,4.33,4.33,4.19,4.21,4.21,241144
2025-11-12,4.19,4.24,4.16,4.2,4.2,306069
2025-11-13,4.19,4.235,4.025,4.06,4.06,557965
2025-11-14,4,4.1,3.96,4.01,4.01,444870
2025-11-17,4.01,4.03,3.9,3.94,3.94,831989
2025-11-18,3.96,3.97,3.87,3.88,3.88,528175
2025-11-19,3.83,3.895,3.79,3.87,3.87,399757
2025-11-20,4.05,4.065,3.92,3.93,3.93,546172
2025-11-21,3.93,4.02,3.9,3.97,3.97,604335
2025-11-24,3.98,4.08,3.95,4.08,4.08,1162969
2025-11-25,4.08,4.18,4.08,4.14,4.14,429915
2025-11-26,4.16,4.33,4.15,4.31,4.31,642866
2025-11-27,4.3,4.31,4.16,4.22,4.22,394290
2025-11-28,4.18,4.3,4.18,4.28,4.28,284622
2025-12-01,4.25,4.32,4.12,4.23,4.23,426238
2025-12-02,4.4,4.4,4.1,4.18,4.18,521267
2025-12-03,4.3,4.3,4.095,4.24,4.24,819476
2025-12-04,4.3,4.3,4.13,4.14,4.14,335668
2025-12-05,4.14,4.23,4.13,4.17,4.17,224419
2025-12-08,4.14,4.23,4.11,4.19,4.19,222935
2025-12-09,4.17,4.22,4.09,4.22,4.22,810838
2025-12-10,4.23,4.285,4.18,4.23,4.23,351511
2025-12-11,4.3,4.34,4.2,4.34,4.34,1106702
2025-12-12,4.35,4.35,3.96,3.96,3.96,871362
2025-12-15,3.95,4.115,3.94,4.11,4.11,428093
2025-12-16,4.09,4.1,4.03,4.05,4.05,391034
2025-12-17,4.07,4.1,4.05,4.06,4.06,225493
2025-12-18,4.09,4.11,4.01,4.08,4.08,486972
2025-12-19,4.12,4.12,4.02,4.05,4.05,452244
2025-12-22,4.1,4.11,4.04,4.05,4.05,133931
2025-12-23,4.04,4.07,4.01,4.06,4.06,156330
2025-12-24,4.06,4.06,3.97,3.98,3.98,103671
2025-12-29,4,4.03,3.95,3.98,3.98,235989
2025-12-30,4.01,4.02,3.94,3.98,3.98,181692
2025-12-31,3.92,4.02,3.92,3.97,3.97,195929
2026-01-02,3.94,4.02,3.92,3.92,3.92,185469
2026-01-05,3.92,3.95,3.9,3.94,3.94,256469
2026-01-06,3.9,3.96,3.9,3.93,3.93,219411
2026-01-07,3.92,4.08,3.92,4.08,4.08,261074
2026-01-08,4.07,4.18,4.04,4.17,4.17,292928
2026-01-09,4.15,4.23,4.11,4.14,4.14,161473
