Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,19,19.06,18.8,19,18.3399,164873
2025-07-23,19.03,19.1,18.76,18.8,18.1468,137654
2025-07-24,18.83,18.83,18.39,18.5,17.8573,386725
2025-07-25,18.59,18.68,18.31,18.65,18.002,353584
2025-07-28,18.7,19.27,18.65,19.14,18.475,178343
2025-07-29,19.07,19.27,18.9,19.19,18.5233,268810
2025-07-30,19.19,19.32,18.99,19.11,18.4461,252893
2025-07-31,19.02,19.345,18.98,19.23,18.5619,351419
2025-08-01,19.01,19.39,18.91,19.37,18.697,201444
2025-08-04,19.39,19.45,19.065,19.25,18.5812,414124
2025-08-05,19.44,19.44,19.21,19.35,18.6777,535040
2025-08-06,19.42,19.7,19.26,19.39,18.7163,465934
2025-08-07,19.35,19.4,19.05,19.17,18.504,577461
2025-08-08,19.6,21.25,19.5,20.49,19.7781,1330496
2025-08-11,21.01,21.32,20.2,20.51,19.7974,770654
2025-08-12,20.69,21.2,20.685,21.2,20.4635,774542
2025-08-13,21.3,22.29,21.275,22.23,21.4577,1245609
2025-08-14,22.42,22.78,22.23,22.62,21.8341,759353
2025-08-15,22.32,22.58,22.21,22.39,21.6121,556633
2025-08-18,22.21,22.33,21.95,22.12,21.3515,219108
2025-08-19,21.94,22.54,21.92,22.33,21.5542,383733
2025-08-20,22.65,22.99,22.59,22.92,22.1237,509186
2025-08-21,22.98,23.49,22.78,23.49,22.6739,363835
2025-08-22,23.45,23.6,23.21,23.51,22.6932,287995
2025-08-25,23.91,24.1,23.57,23.78,22.9538,339398
2025-08-26,23.84,24.14,23.72,24,23.1662,775429
2025-08-27,23.99,24.16,23.58,24,23.1662,284339
2025-08-28,24.05,24.05,23.64,23.88,23.0503,204048
2025-08-29,23.88,24.415,23.75,24.28,23.4364,297418
2025-09-01,24.2,24.35,23.94,23.98,23.1469,181155
2025-09-02,24.15,24.15,23.605,23.72,22.8959,289549
2025-09-03,23.95,23.98,23.48,23.61,22.7897,204494
2025-09-04,23.78,23.9,23.5,23.73,22.9056,303410
2025-09-05,24.17,24.41,23.83,24.12,23.282,268231
2025-09-08,24.15,24.555,24.115,24.35,23.504,231806
2025-09-09,24.4,24.58,24.25,24.58,23.726,236938
2025-09-10,24.3,24.545,24.22,24.48,23.6295,102595
