Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,1.71,1.72,1.695,1.715,1.1275,2156507
2025-07-23,1.725,1.725,1.685,1.69,1.111,2969938
2025-07-24,1.685,1.69,1.665,1.67,1.0979,3363914
2025-07-25,1.68,1.6825,1.665,1.675,1.1012,4222399
2025-07-28,1.675,1.69,1.665,1.67,1.0979,1815946
2025-07-29,1.67,1.7,1.65,1.69,1.111,2239666
2025-07-30,1.69,1.695,1.675,1.695,1.1143,2803819
2025-07-31,1.69,1.7,1.68,1.7,1.1176,2344200
2025-08-01,1.685,1.7,1.6825,1.695,1.1143,1612522
2025-08-04,1.69,1.73,1.675,1.705,1.1209,2763106
2025-08-05,1.725,1.735,1.7075,1.725,1.134,4623180
2025-08-06,1.72,1.745,1.72,1.735,1.1406,2675184
2025-08-07,1.74,1.745,1.71,1.725,1.134,2765278
2025-08-08,1.72,1.725,1.71,1.725,1.134,1865075
2025-08-11,1.72,1.72,1.7,1.705,1.1209,2713498
2025-08-12,1.705,1.715,1.675,1.68,1.1045,4843696
2025-08-13,1.685,1.69,1.655,1.665,1.0946,2536045
2025-08-14,1.67,1.6725,1.63,1.655,1.088,2791827
2025-08-15,1.66,1.665,1.645,1.655,1.088,3803251
2025-08-18,1.65,1.655,1.625,1.645,1.0815,4109466
2025-08-19,1.645,1.695,1.63,1.685,1.1078,14458396
2025-08-20,1.705,1.76,1.695,1.755,1.1538,3986254
2025-08-21,1.75,1.75,1.715,1.745,1.1472,2150981
2025-08-22,1.75,1.75,1.725,1.735,1.1406,2447196
2025-08-25,1.75,1.755,1.7125,1.74,1.1439,3182703
2025-08-26,1.735,1.745,1.695,1.705,1.1209,14461300
2025-08-27,1.82,1.9,1.8025,1.84,1.2097,19049539
2025-08-28,1.85,1.855,1.615,1.615,1.0617,15548632
2025-08-29,1.645,1.73,1.645,1.67,1.0979,13052996
2025-09-01,1.67,1.765,1.67,1.755,1.1538,12472136
2025-09-02,1.755,1.77,1.7,1.7,1.1176,11872087
2025-09-03,1.7,1.72,1.68,1.685,1.1078,7657249
2025-09-04,1.7,1.725,1.665,1.69,1.111,8816587
2025-09-05,1.705,1.74,1.68,1.705,1.1209,9079746
2025-09-08,1.71,1.72,1.66,1.66,1.0913,10797730
2025-09-09,1.68,1.71,1.675,1.69,1.111,7523956
2025-09-10,1.69,1.705,1.67,1.7,1.1176,13311121
2025-09-11,1.1,1.16,1.085,1.09,1.0412,24531487
2025-09-12,1.105,1.15,1.0825,1.12,1.0699,19485599
2025-09-15,1.12,1.155,1.11,1.15,1.0985,8268870
2025-09-16,1.16,1.19,1.15,1.18,1.1272,8276221
2025-09-17,1.17,1.18,1.155,1.175,1.1224,5523937
2025-09-18,1.18,1.2,1.165,1.185,1.1319,5575142
2025-09-19,1.195,1.205,1.16,1.16,1.1081,19853473
2025-09-22,1.165,1.175,1.155,1.16,1.1081,4120847
2025-09-23,1.17,1.1775,1.155,1.17,1.1176,5128891
2025-09-24,1.175,1.175,1.15,1.165,1.1128,6188092
2025-09-25,1.165,1.18,1.155,1.17,1.1176,5082533
2025-09-26,1.18,1.18,1.155,1.16,1.1081,4575075
2025-09-29,1.175,1.205,1.17,1.2,1.1463,5224776
2025-09-30,1.2,1.225,1.2,1.21,1.1558,8273417
2025-10-01,1.21,1.24,1.195,1.24,1.1845,4498104
2025-10-02,1.255,1.265,1.24,1.255,1.1988,5571093
2025-10-03,1.25,1.28,1.245,1.265,1.2084,5026714
2025-10-06,1.27,1.275,1.24,1.245,1.1893,4359155
2025-10-07,1.25,1.255,1.22,1.235,1.1797,9468363
2025-10-08,1.23,1.235,1.21,1.215,1.1606,3622471
2025-10-09,1.23,1.235,1.215,1.235,1.1797,5062679
2025-10-10,1.225,1.24,1.22,1.235,1.1797,2596970
2025-10-13,1.23,1.235,1.22,1.235,1.1797,11526784
2025-10-14,1.235,1.25,1.21,1.21,1.1558,6457716
2025-10-15,1.225,1.23,1.205,1.215,1.1606,4068685
2025-10-16,1.22,1.23,1.2,1.21,1.1558,4318528
2025-10-17,1.215,1.225,1.205,1.21,1.1558,4523141
2025-10-20,1.205,1.21,1.19,1.205,1.151,3796876
2025-10-21,1.21,1.22,1.2,1.205,1.151,2773729
2025-10-22,1.19,1.2,1.185,1.19,1.1367,7324574
