Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,91.28,92.06,91.28,92,91.0745,558565
2025-07-23,93.89,94.2,93.36,93.7,92.7574,476141
2025-07-24,93.05,93.24,91.6,91.88,90.9557,386136
2025-07-25,97,97.3,94.5,95.38,94.4205,565146
2025-07-28,99.49,100,99.07,99.66,98.6574,750631
2025-07-29,97.66,98.32,97.28,98.32,97.3309,392323
2025-07-30,97.86,98.65,97.61,98.3,97.3111,264821
2025-07-31,96.65,97.07,96.39,96.73,95.7569,566282
2025-08-01,96.05,96.73,95.045,96.29,95.3213,365715
2025-08-04,96.34,97.42,96.34,97.14,96.1628,486864
2025-08-05,100.63,101.45,100.22,101.14,100.1225,473062
2025-08-06,103,103.89,102.82,103.34,102.3004,452304
2025-08-07,103.98,104.9,103.97,104.36,103.3101,333976
2025-08-08,105.5,107.22,105.5,106.68,105.6068,598726
2025-08-11,105.21,105.79,105.14,105.54,104.4782,306832
2025-08-12,105.21,106.425,105.2,106.25,105.1811,163571
2025-08-13,105.92,106.16,105.55,105.92,104.8544,341001
2025-08-14,104.75,105.725,104.61,105.45,104.3892,396375
2025-08-15,105.02,106.4,105.02,106.1,105.0326,283546
2025-08-18,105.53,107,105.37,106.72,105.6464,221973
2025-08-19,105.88,106.35,105.68,106.08,105.0128,191682
2025-08-20,105.44,106.04,104.51,105.28,104.2209,252188
2025-08-21,106.37,107.39,106.13,107.07,105.9929,427334
2025-08-22,108.12,108.39,107.2,107.8,106.7155,621476
2025-08-25,108.8,109.45,108.8,109.2,108.1014,300750
2025-08-26,109.2,110.66,109.03,109.03,107.9331,661976
2025-08-27,111.1,111.42,110.39,110.53,109.418,608311
2025-08-28,110.38,110.98,110.31,110.58,109.4675,849447
2025-08-29,111.41,111.86,110.84,111.86,110.7347,487630
2025-09-01,113.5,115.34,113.49,115.34,114.1797,541913
2025-09-02,115.95,117.25,115.06,116.1,114.932,316954
2025-09-03,116.09,117,114.65,114.66,113.849,670696
2025-09-04,114.25,115.22,113.66,114.47,113.6603,494891
2025-09-05,114.71,115.8,114.34,115.8,114.9809,679272
2025-09-08,115.93,116.2,114.98,115.07,114.2561,792879
2025-09-09,115.25,115.37,114.62,115.14,114.3256,751786
2025-09-10,115.15,115.79,114.65,115.73,114.9114,264046
2025-09-11,118,118.75,117.08,117.25,116.4207,560634
2025-09-12,118.81,119.85,118.62,119.85,119.0023,501676
2025-09-15,119,119.12,117.23,117.64,116.8079,518569
2025-09-16,118.48,119.12,118.18,118.74,117.9001,265770
2025-09-17,117.2,118,117.17,117.42,116.5895,484213
2025-09-18,118.12,118.74,117.845,118.42,117.5824,379394
2025-09-19,118.42,119.89,118.1,119.21,118.3668,1563411
2025-09-22,123.4,125.5,123.4,124.81,123.9272,338950
2025-09-23,126.01,128.17,126.01,126.49,125.5953,558139
2025-09-24,127.1,127.61,126.47,127.34,126.4393,469001
2025-09-25,126.51,127.72,126.22,126.89,125.9925,405345
2025-09-26,126.9,127.6,126.56,127.17,126.2705,551412
2025-09-29,130,132.4,129,132.3,131.3642,500116
2025-09-30,127.93,129.88,127.93,129.22,128.306,616025
2025-10-01,127.58,129.41,127.3,128.52,127.611,745842
2025-10-02,130.03,131.24,129.88,130.72,129.7954,501841
2025-10-03,130.72,131.24,129.845,130.23,129.3089,361154
2025-10-06,131.03,133.59,131.03,133.28,132.3373,222831
2025-10-07,133.5,134.37,133.15,133.82,132.8735,327345
2025-10-08,132.8,133.73,132.13,133.73,132.7841,317805
2025-10-09,133.96,134.14,131.81,133.06,132.1189,640201
2025-10-10,130.4,130.55,128.83,129.25,128.3358,354360
2025-10-13,132.53,134.85,132,132.98,132.0394,463560
2025-10-14,136.75,139.04,136.7,138.99,138.0069,639303
2025-10-15,140,141.2,139.96,141,140.0027,247686
2025-10-16,144.44,146.66,144,145.77,144.739,420141
2025-10-17,150,152.72,148.71,149.96,148.8993,1299723
2025-10-20,139.01,142.46,138,141.45,140.4495,1094644
2025-10-21,145,145.47,144.6,145.27,144.2425,364607
2025-10-22,133,133.08,129.05,131.36,130.4309,1030989
2025-10-23,133.25,134,132.06,133.03,132.0891,667289
2025-10-24,133.06,133.85,126.88,127.15,126.2507,810041
2025-10-27,125.1,125.455,122.1,123.19,122.3187,1167018
2025-10-28,119,119.65,117.585,118.18,117.3441,1995018
2025-10-29,119.01,120.68,118.5,119.5,118.6548,599429
2025-10-30,120.99,121.96,119.95,121.03,120.1739,577747
2025-10-31,125.87,126.72,124.58,124.93,124.0464,444397
2025-11-03,122.66,124,121.9,123.4,122.5272,208181
2025-11-04,123.99,124.2,122.98,123.07,122.1995,282955
2025-11-05,121.64,122.42,120.21,122.32,121.4548,467572
2025-11-06,125,125.9,125,125.78,124.8904,149528
2025-11-07,126.75,129.14,126.25,128,127.0946,250792
2025-11-10,128.6,131,128.14,130.85,129.9245,210606
2025-11-11,135.26,136.73,134.79,136.52,135.5544,529302
2025-11-12,137.89,139.1,137.33,137.73,136.7558,426059
2025-11-13,142.28,143.39,141.88,143,141.9886,298286
2025-11-14,137.03,139.13,136.14,138.1,137.1232,385447
2025-11-17,134.4,135.84,133.25,135,134.0451,189840
2025-11-18,132.06,133.78,130.53,131.38,130.4507,505153
2025-11-19,132.48,133.9,132.275,133.06,132.1189,301216
2025-11-20,136.5,136.51,134.06,134.67,133.7175,198758
2025-11-21,127.8,128.41,126.05,126.43,125.5358,943455
2025-11-24,129.25,129.41,126.97,127,126.1017,458737
2025-11-25,134.57,135,132.36,132.88,132.304,637612
2025-11-26,132.5,134.3,132.09,134.27,133.688,304792
2025-11-27,138.58,139.77,136.57,136.75,136.1572,224721
2025-11-28,138.9,140.11,137.56,139.46,138.8555,253239
2025-12-01,138.3,140.575,138.01,139.25,138.6464,340494
2025-12-02,138.9,140.56,138.44,138.76,138.1585,285423
2025-12-03,138.3,138.51,137.16,137.51,136.9139,165924
2025-12-04,135.01,135.96,134.17,134.34,133.7577,216993
2025-12-05,138.08,138.39,137.04,138.2,137.6009,372370
2025-12-08,135.98,136.14,134.37,134.93,134.3451,258866
2025-12-09,134,135.19,133.52,133.84,133.2598,253140
2025-12-10,140.53,141.14,138.52,139.1,138.497,528554
2025-12-11,141.79,143.65,140.74,142.02,141.4044,625281
2025-12-12,148.5,150.25,148.3,150.06,149.4095,446660
2025-12-15,148.02,149.65,146.52,148.78,148.1351,261886
2025-12-16,148.91,150.075,147.73,147.88,147.239,354644
2025-12-17,148.81,150.26,148.29,149.66,149.0113,333380
2025-12-18,148.75,150,147.93,148.51,147.8662,302724
2025-12-19,149.67,149.97,148.49,148.5,147.8563,1506708
2025-12-22,152.6,156.37,152.6,156.23,155.5528,276831
2025-12-23,157.26,159.36,156.86,158.08,157.3948,396100
2025-12-24,156,157.76,156,156.24,155.5627,72779
2025-12-29,157.45,158.5,154.5,155.5,154.8259,133504
2025-12-30,147.8,150.07,145.5,149.15,148.5035,242857
2025-12-31,151.35,152.36,150.2,150.2,149.5489,214049
2026-01-02,150.11,151.21,149.81,151.11,150.455,108808
2026-01-05,150.88,154.67,150.52,154.15,153.4818,180730
2026-01-06,154.9,155.24,153.13,154.26,153.5913,139660
2026-01-07,161.3,162.45,158.335,158.5,157.8129,349063
2026-01-08,159.82,159.82,157.43,157.43,156.7476,378608
2026-01-09,158.89,159.16,157.06,157.4,156.7177,347823
2026-01-12,161.6,166.8,161.6,166.59,165.8679,570185
2026-01-13,167.29,167.99,166.51,167.29,166.5648,302584
2026-01-14,171.05,172.6,169.9,170.93,170.1891,568036
2026-01-15,169.15,170.8,168.11,168.11,167.3813,332797
2026-01-16,170.9,171.48,169.25,169.25,168.5163,355082
2026-01-19,170,173.12,169.75,171.64,170.896,386207
2026-01-20,171.3,172.43,170.34,172.27,171.5233,343380
2026-01-21,177,180.96,176,180.8,180.0163,473479
2026-01-22,175.31,177.24,171.83,171.92,171.1748,427496
2026-01-23,178.11,180.85,177.595,178.49,177.7163,496783
2026-01-27,179.5,181.91,179.155,180.94,180.1557,430738
2026-01-28,181.3,183.79,180.55,183.79,182.9933,211380
2026-01-29,187.6,190.54,185.84,188.47,187.653,676026
2026-01-30,180.1,183.34,172.18,173.28,172.5289,768793
2026-02-02,160.15,163.04,154.09,155.96,155.284,909987
2026-02-03,160.64,166.88,159.9,164.75,164.0359,549116
2026-02-04,168.22,172.39,166.91,171.88,171.1349,416140
2026-02-05,167.16,169.83,161.61,162.83,162.1242,682498
2026-02-06,155,156.88,151.24,154.8,154.129,686991
2026-02-09,164.4,165.57,161.3,164.92,164.2051,419200
2026-02-10,169.5,170.48,166.53,167.48,166.754,398550
2026-02-11,170.99,172.29,170.36,171.49,170.7466,220328
2026-02-12,174.16,175.53,171.73,172.45,171.7025,295850
2026-02-13,167.03,170.24,165.25,169.12,168.3869,276303
2026-02-16,178.15,178.43,173.29,173.61,172.8574,351106
2026-02-17,174.34,174.72,172.09,172.62,171.8717,196072
2026-02-18,172.7,174.78,171.49,173.85,173.0964,280256
2026-02-19,174.04,176.32,173.85,176.25,175.486,535731
2026-02-20,177.98,177.98,166.38,167.6,166.8735,482624
2026-02-23,169.8,175.84,169.8,175.84,175.0778,654588
2026-02-24,176,177.45,173,173.05,172.2999,642637
2026-02-25,174.2,175.14,173.59,174.96,174.2016,601247
2026-02-26,174.58,175.94,173.8,175.6,174.8388,287723
2026-02-27,177.98,179.68,176.92,177.2,176.4319,353216
2026-03-02,188,190.91,185.83,187.22,186.7914,558298
2026-03-03,180.5,183.44,178.6,183.44,183.02,415872
2026-03-04,168.25,173.47,167.6,171.86,171.4665,478302
2026-03-05,170,170.44,168.3,169.68,169.2915,292854
2026-03-06,166,166.94,164.3,165.14,164.7619,1020888
2026-03-09,165,166,158.65,159.75,159.3843,509751
2026-03-10,164.2,164.99,162.21,163,162.6268,458512
2026-03-11,165.51,167.105,165.01,165.68,165.3007,312222
2026-03-12,160.08,162.705,160.08,160.95,160.5815,250511
2026-03-13,161.2,163.49,160.3,161.7,161.3298,381421
2026-03-16,155.9,156.66,153.465,154.95,154.5952,588746
2026-03-17,154.9,156.59,154.495,156.38,156.022,329620
2026-03-18,156,156.84,154.86,155.22,154.8646,220735
2026-03-19,146.5,148.15,145.85,146.25,145.9152,1529724
2026-03-20,139.25,143.75,138.67,142.46,142.1338,2162907
2026-03-23,136.08,136.79,130.14,131.84,131.5382,863861
2026-03-24,140.25,141.91,136.22,136.99,136.6764,869563
2026-03-25,144.07,149.99,144,149.23,148.8883,1080875
2026-03-26,146.62,146.85,144.83,144.88,144.5483,516932
2026-03-27,144.5,147.28,144.13,146.85,146.5138,532622
2026-03-30,146.5,149,145.11,148.23,147.8906,245610
2026-03-31,149.44,153.89,148.25,151.55,151.203,356831
2026-04-01,157.2,159.55,155.5,158.42,158.0573,427429
2026-04-02,164.3,166.29,159.3,159.33,158.9652,447310
2026-04-07,163.1,164.36,162.32,163.97,163.5946,490612
2026-04-08,169.63,173.68,168.88,171.45,171.0575,472497
2026-04-09,167.2,168.72,165.24,168.72,168.3337,179910
2026-04-10,167.95,168.73,166.63,167.8,167.4158,234485
2026-04-13,165,168.05,164.2,167.46,167.0766,516942
2026-04-14,164.06,165.735,164.05,164.62,164.2431,300218
2026-04-15,167.2,168.09,165.29,165.42,165.0413,273776
2026-04-16,158.93,158.93,156.29,157.05,156.6904,439079
2026-04-17,156.98,157.78,155.88,156.34,155.9821,378788
2026-04-20,157.5,160.11,157.29,159.68,159.3144,396555
2026-04-21,159.63,160.11,158.54,158.6,158.2369,231190
2026-04-22,154.92,156.66,153.67,155.86,155.5032,363095
2026-04-23,155.8,156.54,153.75,154.48,154.1263,296231
2026-04-24,160,160.45,154.3,155.59,155.2338,577725
2026-04-27,165.91,166.99,164.02,166.16,165.7796,498610
2026-04-28,161.45,162.16,158.69,158.69,158.3267,207281
2026-04-29,153,154.36,152.75,153.58,153.2284,246562
2026-04-30,150.05,151.98,149.51,150.32,149.9758,348116
2026-05-01,153.89,154.71,153.3,153.69,153.3381,192182
2026-05-04,151.9,152.24,150.63,151.2,150.8538,145130
2026-05-05,150.3,152.74,149.915,152.59,152.2406,210653
2026-05-06,152.5,155.73,151.71,155.73,155.3735,293276
2026-05-07,159,160.47,158.53,160.06,159.6935,273196
2026-05-08,158.7,160.35,157.925,160.35,159.9829,263108
2026-05-11,160,160.99,158.4,158.85,158.4863,204746
2026-05-12,166.5,167.73,165.51,165.79,165.4104,408361
2026-05-13,165.74,166.775,165.03,166.2,165.8195,392479
2026-05-14,164.46,164.95,163.38,164.18,163.8041,119917
2026-05-15,161.93,161.93,156.95,157.44,157.0795,428071
2026-05-18,152.42,153.26,149.41,150.79,150.4448,417371
2026-05-19,153.8,154.53,152.66,153.43,153.0787,506077
2026-05-20,148.72,149.04,145.79,146.59,146.2544,232887
2026-05-21,150.6,151.08,149.34,149.79,149.4471,350547
2026-05-22,150.81,152.4,150.81,151.02,150.6742,205766
2026-05-25,155.34,158.8,154.74,158.66,158.4,435565
2026-05-26,157.5,157.98,153.85,155.16,155.16,1157353
2026-05-27,155.32,157.11,154.48,157.11,157.11,288354
2026-05-28,151.3,151.3,145.66,145.77,145.77,315753
2026-05-29,151.5,152.23,151,151.27,151.27,295397
2026-06-01,151.73,153.18,150.4,150.5,150.5,215630
2026-06-02,146,152.66,146,152.3,152.3,262333
2026-06-03,151.53,152.63,150.83,151.44,151.44,194252
2026-06-04,150.56,151.36,149.42,150.53,150.53,180056
2026-06-05,150.74,151.13,148.5,148.76,148.76,228957
2026-06-09,140.28,142.12,139.34,141.68,141.68,429967
2026-06-10,139.6,139.6,135.52,137.3,137.3,349301
2026-06-11,130.82,133.1,129.63,132.55,132.55,457394
2026-06-12,138.68,140.17,137.25,137.79,137.79,380698
2026-06-15,144.35,147.71,143.5,147.18,147.18,438413
2026-06-16,149.48,150.71,148.66,150.16,150.16,407034
2026-06-17,152.25,154.33,152,154.25,154.25,184592
2026-06-18,152.46,154.625,150.19,153.71,153.71,352118
2026-06-19,147.91,148.87,143.29,143.47,143.47,1071599
2026-06-22,143.7,146.83,143.63,144.68,144.68,315811
2026-06-23,144.69,145.32,141.52,141.7,141.7,219226
2026-06-24,140.25,140.61,137.61,138.6,138.6,482859
2026-06-25,136.55,136.96,133.25,134.37,134.37,565380
2026-06-26,137,138.33,135.91,136.33,136.33,332889
2026-06-29,138.25,139.78,136.87,137.5,137.5,268507
2026-06-30,137.1,137.25,133.89,134.52,134.52,259575
2026-07-01,134.52,134.73,131.98,131.98,131.98,365271
2026-07-02,134.13,135.68,133.5,135.43,135.43,602137
2026-07-03,140.01,143.5,139.49,142.17,142.17,294800
