Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,15.35,15.92,15.24,15.75,15.75,553645
2025-07-23,15.8,15.8,15.19,15.39,15.39,439855
2025-07-24,15.58,16.87,15.58,16.77,16.77,1188256
2025-07-25,16.58,16.74,16.4,16.48,16.48,549960
2025-07-28,16.48,16.77,16.28,16.48,16.48,188086
2025-07-29,16.65,16.9,16.33,16.7,16.7,335375
2025-07-30,16.68,16.86,16.51,16.63,16.63,240750
2025-07-31,16.8,17.34,16.63,17.29,17.29,529813
2025-08-01,17.08,17.67,16.93,16.93,16.93,401251
2025-08-04,16.75,17.3,16.31,17.28,17.28,448991
2025-08-05,17.46,17.46,16.72,16.94,16.94,525998
2025-08-06,16.9,17.19,16.73,17.01,17.01,457650
2025-08-07,17.48,18.44,17.4,17.55,17.55,962321
2025-08-08,17.83,17.99,17.35,17.78,17.78,913348
2025-08-11,17.67,18.02,17.515,17.62,17.62,476821
2025-08-12,17.68,17.89,17.43,17.88,17.88,363851
2025-08-13,17.93,18.06,17.23,17.41,17.41,792602
2025-08-14,17.63,17.655,16.47,16.54,16.54,773667
2025-08-15,16.37,16.82,16.15,16.35,16.35,534147
2025-08-18,16.34,17.18,16.3,17.06,17.06,333219
2025-08-19,17.15,17.23,16.91,17.19,17.19,233144
2025-08-20,17.17,17.17,16.67,16.93,16.93,311187
2025-08-21,16.9,17.43,16.73,17.33,17.33,294217
2025-08-22,17.32,17.32,16.88,17.17,17.17,294857
2025-08-25,17.42,17.88,17.42,17.66,17.66,385790
2025-08-26,17.66,18.04,17.37,17.8,17.8,638176
2025-08-27,18.07,19,17.83,19,19,867697
2025-08-28,19.2,19.86,19.05,19.51,19.51,1012165
2025-08-29,19.35,19.35,18.41,19.01,19.01,859689
2025-09-01,19.08,19.42,18.81,19.19,19.19,432090
2025-09-02,19.2,19.835,19.18,19.61,19.61,605238
2025-09-03,19.63,19.8,18.9,19,19,728440
2025-09-04,19,20.04,18.97,19.98,19.98,1139389
2025-09-05,20.1,20.53,19.95,20.48,20.48,718139
2025-09-08,20.48,20.825,20.14,20.8,20.8,634076
2025-09-09,20.75,20.79,20.05,20.2,20.2,966234
2025-09-10,20.19,20.42,19.86,20.1,20.1,721329
