Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,1.8566,1.8716,1.8315,1.8465,1.8004,80737
2025-07-23,1.8616,1.8616,1.7963,1.8064,1.7613,103386
2025-07-24,1.8089,1.8515,1.7738,1.8114,1.7662,124376
2025-07-25,1.8164,1.8816,1.8039,1.8214,1.776,257750
2025-07-28,1.8666,1.8666,1.8164,1.8465,1.8004,135976
2025-07-29,1.8265,1.8816,1.8265,1.8666,1.82,210849
2025-07-30,1.8967,1.9067,1.8566,1.8917,1.8444,384565
2025-07-31,1.9017,1.9368,1.8842,1.9218,1.8738,413981
2025-08-01,1.9218,1.9243,1.8591,1.9168,1.8689,462444
2025-08-04,1.8967,1.9519,1.8967,1.9419,1.8934,595844
2025-08-05,1.9569,1.972,1.9419,1.9469,1.8983,557456
2025-08-06,1.9569,2.0372,1.9469,1.972,1.9227,1290181
2025-08-07,1.972,2.0171,1.9469,2.0071,1.957,4987439
2025-08-08,2.0071,2.0071,1.9619,1.9619,1.9129,235136
2025-08-11,1.9895,1.992,1.9619,1.9619,1.9129,112679
2025-08-12,1.982,1.9971,1.9569,1.977,1.9276,184097
2025-08-13,1.982,2.0171,1.9569,1.987,1.9374,586905
2025-08-14,1.987,1.9971,1.967,1.977,1.9276,838672
2025-08-15,1.967,2.0573,1.9368,2.0573,2.0059,6078371
2025-08-18,2.0573,2.0874,2.0272,2.0773,2.0255,3100811
2025-08-19,2.0874,2.2078,2.0372,2.1877,2.1331,1698017
2025-08-20,2.1877,2.1877,2.1074,2.1476,2.094,455897
2025-08-21,2.1476,2.2379,2.1074,2.2279,2.1722,878316
2025-08-22,2.2479,2.2479,2.1777,2.1777,2.1233,908873
2025-08-25,2.2279,2.4286,2.2279,2.3583,2.2994,2643603
2025-08-26,2.3282,2.3383,2.2028,2.2881,2.231,3138237
2025-08-27,2.2881,2.2881,2.1576,2.1777,2.1233,357113
2025-08-28,2.1877,2.1978,2.0874,2.0974,2.045,3320678
2025-08-29,2.0974,2.1877,2.0974,2.1476,2.094,1329481
2025-09-01,2.1677,2.1978,2.1376,2.1677,2.1135,693009
2025-09-02,2.1877,2.258,2.1576,2.2078,2.1527,1282325
2025-09-03,2.1978,2.2078,2.1677,2.1877,2.1331,1503512
2025-09-04,2.1777,2.2379,2.1576,2.2178,2.1625,1236752
2025-09-05,2.2379,2.2479,2.1877,2.2379,2.182,1097446
2025-09-08,2.2379,2.258,2.1376,2.1777,2.1233,451579
2025-09-09,2.1777,2.2178,2.1275,2.1576,2.1037,1147080
2025-09-10,2.1476,2.1476,2.0974,2.0974,2.045,358727
2025-09-11,2.0874,2.1074,2.0171,2.0773,2.07,718059
2025-09-12,2.0874,2.0974,2.0372,2.0472,2.04,277885
2025-09-15,2.0573,2.0673,2.0322,2.0573,2.05,197754
2025-09-16,2.0472,2.0974,2.0372,2.0773,2.07,841928
2025-09-17,2.0773,2.0974,2.0322,2.0573,2.05,770954
2025-09-18,2.0673,2.0773,2.0372,2.0472,2.04,442498
2025-09-19,2.0673,2.1476,2.0573,2.0974,2.09,1732831
2025-09-22,2.0573,2.1175,2.0573,2.0673,2.06,137433
2025-09-23,2.0673,2.1125,2.0573,2.1074,2.1,599448
2025-09-24,2.1576,2.1576,2.0573,2.0773,2.07,322637
2025-09-25,2.0773,2.1275,2.0673,2.1074,2.1,762797
2025-09-26,2.1074,2.1777,2.0974,2.1677,2.16,254478
2025-09-29,2.1777,2.1777,2.0974,2.1074,2.1,375764
2025-09-30,2.1175,2.1275,2.0673,2.1074,2.1,451582
2025-10-01,2.1175,2.1476,2.0874,2.1275,2.12,311761
2025-10-02,2.1476,2.1677,2.1225,2.1576,2.15,319668
2025-10-03,2.1576,2.1877,2.1376,2.1777,2.17,804855
2025-10-06,2.1777,2.1978,2.1576,2.1677,2.16,208571
2025-10-07,2.1677,2.1777,2.1376,2.1777,2.17,446194
2025-10-08,2.1777,2.1777,2.0974,2.1476,2.14,653683
2025-10-09,2.1626,2.1978,2.1476,2.1877,2.18,309824
2025-10-10,2.1777,2.1877,2.1275,2.1476,2.14,188708
2025-10-13,2.0673,2.1576,2.0673,2.1175,2.11,863431
2025-10-14,2.1476,2.1476,2.0874,2.1074,2.1,545391
2025-10-15,2.0773,2.1175,2.0723,2.0874,2.08,103323
2025-10-16,2.0874,2.1677,2.0573,2.1677,2.16,3198657
2025-10-17,2.1476,2.1476,2.0422,2.0573,2.05,311186
2025-10-20,2.0573,2.0874,2.0372,2.0573,2.05,996665
2025-10-21,2.1074,2.1777,2.0573,2.1777,2.17,958778
2025-10-22,2.1576,2.2329,2.1275,2.2078,2.2,1112752
2025-10-23,2.2981,2.3282,2.2178,2.2981,2.29,9200366
2025-10-24,2.3182,2.3784,2.2981,2.3684,2.36,875185
2025-10-27,2.4085,2.4286,2.3182,2.4185,2.41,902456
2025-10-28,2.4185,2.4587,2.3634,2.4185,2.41,571805
2025-10-29,2.4487,2.4988,2.4286,2.4988,2.49,924358
2025-10-30,2.4587,2.5189,2.4386,2.5089,2.5,778459
2025-10-31,2.5089,2.5189,2.4988,2.4988,2.49,392886
2025-11-03,2.559,2.7296,2.5289,2.7196,2.71,1064437
