Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,4.16,4.3,4.11,4.29,4.0687,2893711
2025-07-23,4.34,4.42,4.3,4.38,4.1541,3962047
2025-07-24,4.37,4.38,4.33,4.36,4.1351,1352677
2025-07-25,4.38,4.39,4.3,4.32,4.0972,1643041
2025-07-28,4.3,4.34,4.24,4.26,4.0403,1835756
2025-07-29,4.25,4.29,4.17,4.21,3.9928,2656689
2025-07-30,4.22,4.27,4.215,4.23,4.0118,1803521
2025-07-31,4.22,4.22,4.13,4.18,3.9644,2165654
2025-08-01,4.15,4.19,4.085,4.18,3.9644,1452469
2025-08-04,4.15,4.23,4.13,4.22,4.0023,1393644
2025-08-05,4.27,4.33,4.24,4.28,4.0592,2040125
2025-08-06,4.33,4.41,4.31,4.39,4.1636,2385276
2025-08-07,4.35,4.41,4.33,4.41,4.1825,1512734
2025-08-08,4.42,4.545,4.4,4.52,4.2869,2706130
2025-08-11,4.52,4.59,4.51,4.56,4.3248,2166400
2025-08-12,4.56,4.66,4.56,4.6,4.3627,2483555
2025-08-13,4.65,4.67,4.6,4.61,4.3722,3360697
2025-08-14,4.63,4.64,4.48,4.52,4.2869,2294329
2025-08-15,4.52,4.56,4.48,4.54,4.3058,1483397
2025-08-18,4.43,4.43,4.27,4.35,4.1256,5052597
2025-08-19,4.36,4.43,4.35,4.4,4.173,2996501
2025-08-20,4.41,4.44,4.36,4.39,4.1636,2079205
2025-08-21,4.41,4.48,4.35,4.47,4.2394,2092605
2025-08-22,4.5,4.5,4.33,4.36,4.1351,3444365
2025-08-25,4.39,4.44,4.38,4.42,4.192,2129766
2025-08-26,4.47,4.47,4.4,4.41,4.1825,1308900
2025-08-27,4.41,4.45,4.4,4.45,4.2205,1235770
2025-08-28,4.46,4.46,4.355,4.38,4.1541,1338342
2025-08-29,4.4,4.48,4.36,4.43,4.2015,1670699
2025-09-01,4.47,4.54,4.43,4.52,4.2869,1795422
2025-09-02,4.53,4.53,4.47,4.48,4.2489,1253552
2025-09-03,4.46,4.475,4.36,4.36,4.1351,3589666
2025-09-04,4.36,4.45,4.36,4.44,4.211,4039081
2025-09-05,4.45,4.48,4.37,4.46,4.23,1672627
2025-09-08,4.48,4.5,4.43,4.46,4.23,1736883
2025-09-09,4.45,4.48,4.4,4.45,4.2205,1359345
2025-09-10,4.46,4.5,4.385,4.44,4.211,2829299
2025-09-11,4.42,4.44,4.32,4.34,4.1161,2113910
2025-09-12,4.35,4.38,4.28,4.32,4.0972,1092453
2025-09-15,4.32,4.37,4.25,4.36,4.1351,1630660
2025-09-16,4.49,4.72,4.48,4.58,4.3438,6499973
2025-09-17,4.44,4.49,4.19,4.2,3.9834,11133479
2025-09-18,4.28,4.32,4.19,4.21,3.9928,5742914
2025-09-19,4.27,4.3,4.19,4.19,3.9739,8052595
2025-09-22,3.99,4.03,3.91,3.91,3.846,3076368
2025-09-23,3.95,4.02,3.88,3.94,3.8755,3297894
2025-09-24,3.94,3.99,3.9,3.92,3.8558,2990010
2025-09-25,3.92,4.06,3.89,4.05,3.9837,8200640
2025-09-26,4.07,4.15,4.06,4.12,4.0526,2028981
2025-09-29,4.12,4.15,3.99,4.01,3.9444,2715620
2025-09-30,3.99,4.005,3.92,3.92,3.8558,2624558
2025-10-01,3.91,3.95,3.87,3.93,3.8657,2249653
2025-10-02,3.95,3.98,3.93,3.95,3.8854,1865169
2025-10-03,3.94,4,3.88,3.91,3.846,3038037
2025-10-06,3.92,3.93,3.89,3.89,3.8263,1133998
2025-10-07,3.92,3.93,3.89,3.91,3.846,2662166
2025-10-08,3.93,3.93,3.86,3.88,3.8165,2469390
2025-10-09,3.92,3.95,3.87,3.92,3.8558,2042918
2025-10-10,3.95,3.97,3.88,3.92,3.8558,1399064
2025-10-13,3.9,3.92,3.845,3.9,3.8362,1734585
2025-10-14,3.91,4.03,3.91,3.96,3.8952,2046008
2025-10-15,4,4.02,3.915,3.96,3.8952,1522384
2025-10-16,3.94,4.1,3.94,4.05,3.9837,3145920
2025-10-17,4,4.06,3.935,3.98,3.9149,2136905
2025-10-20,4,4.04,3.93,3.97,3.905,2330554
2025-10-21,3.98,4.07,3.86,3.88,3.8165,3636383
2025-10-22,3.86,3.88,3.77,3.86,3.7968,3803620
2025-10-23,3.87,3.92,3.8,3.91,3.846,1638911
2025-10-24,3.96,4.03,3.93,4,3.9345,4029741
2025-10-27,4.02,4.05,3.92,4.03,3.964,2012214
2025-10-28,4.04,4.04,3.96,3.99,3.9247,1405810
2025-10-29,4.02,4.05,3.99,4.01,3.9444,2559652
2025-10-30,4.02,4.22,4.01,4.19,4.1214,3668779
2025-10-31,4.2,4.2,4.12,4.15,4.0821,1695493
2025-11-03,4.19,4.22,4.125,4.15,4.0821,1829227
2025-11-04,4.13,4.24,4.12,4.2,4.1313,2216561
2025-11-05,4.2,4.235,4.11,4.18,4.1116,1605735
2025-11-06,4.2,4.26,4.19,4.25,4.1804,2516753
2025-11-07,4.25,4.28,4.22,4.27,4.2001,2376206
2025-11-10,4.255,4.37,4.25,4.35,4.2788,2163611
2025-11-11,4.4,4.44,4.3,4.33,4.2591,2803624
2025-11-12,4.35,4.35,4.26,4.33,4.2591,1829748
2025-11-13,4.28,4.37,4.27,4.36,4.2886,2764908
2025-11-14,4.27,4.305,4.255,4.28,4.21,1549750
2025-11-17,4.28,4.34,4.11,4.19,4.1214,3108273
2025-11-18,4.14,4.17,3.97,3.99,3.9247,2559239
2025-11-19,3.99,4.06,3.97,4.04,3.9739,1997404
2025-11-20,3.99,4.07,3.99,4.02,3.9542,1800202
2025-11-21,3.96,3.96,3.81,3.86,3.7968,3812908
2025-11-24,3.86,3.9,3.83,3.83,3.7673,2409817
2025-11-25,3.86,3.88,3.82,3.85,3.787,2152904
2025-11-26,3.86,3.925,3.85,3.87,3.8067,2367817
2025-11-27,3.93,3.93,3.77,3.79,3.728,3024064
2025-11-28,3.8,3.85,3.78,3.82,3.7575,1792663
2025-12-01,3.84,3.85,3.78,3.82,3.7575,2167668
2025-12-02,3.83,3.89,3.81,3.87,3.8067,1977164
2025-12-03,3.89,3.935,3.88,3.89,3.8263,1624392
2025-12-04,3.91,3.94,3.87,3.88,3.8165,1683262
2025-12-05,3.89,4.03,3.89,3.99,3.9247,1948154
2025-12-08,4.02,4.07,3.965,4.01,3.9444,2526990
2025-12-09,3.98,4.05,3.96,4.02,3.9542,1854174
2025-12-10,4.02,4.03,3.89,3.95,3.8854,2322787
2025-12-11,3.95,4.01,3.925,3.98,3.9149,1080556
2025-12-12,4,4.08,3.97,4.04,3.9739,2237574
2025-12-15,4.04,4.04,3.98,4.02,3.9542,1187153
2025-12-16,4,4.01,3.95,3.98,3.9149,1967691
2025-12-17,3.97,3.98,3.88,3.89,3.8263,2493489
2025-12-18,3.86,3.89,3.84,3.89,3.8263,2388634
2025-12-19,3.87,3.96,3.87,3.92,3.8558,2417891
