Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,7.32,7.33,7.24,7.31,7.0035,533842
2025-07-23,7.32,7.37,7.28,7.31,7.0035,640866
2025-07-24,7.35,7.35,7.22,7.31,7.0035,685864
2025-07-25,7.25,7.35,7.25,7.32,7.0131,393476
2025-07-28,7.31,7.35,7.26,7.3,6.9939,498653
2025-07-29,7.24,7.31,7.21,7.31,7.0035,560062
2025-07-30,7.24,7.35,7.24,7.33,7.0226,502587
2025-07-31,7.34,7.45,7.29,7.41,7.0993,810026
2025-08-01,7.42,7.44,7.34,7.39,7.0801,564463
2025-08-04,7.35,7.44,7.34,7.39,7.0801,400121
2025-08-05,7.47,7.54,7.36,7.53,7.2142,739089
2025-08-06,7.5,7.51,7.43,7.51,7.1951,615270
2025-08-07,7.54,7.62,7.52,7.6,7.2813,629708
2025-08-08,7.63,7.645,7.54,7.63,7.3101,632457
2025-08-11,7.55,7.61,7.545,7.57,7.2526,1403593
2025-08-12,7.53,7.62,7.51,7.62,7.3005,598216
2025-08-13,7.69,7.69,7.52,7.59,7.2717,592125
2025-08-14,7.6,7.63,7.53,7.56,7.243,624392
2025-08-15,7.54,7.67,7.54,7.66,7.3388,525891
2025-08-18,7.64,7.68,7.58,7.6,7.2813,566644
2025-08-19,7.58,7.61,7.51,7.52,7.2047,789809
2025-08-20,7.55,7.63,7.53,7.57,7.2526,2194989
2025-08-21,7.63,7.77,7.62,7.7,7.3771,910481
2025-08-22,7.7,7.74,7.65,7.71,7.3867,739140
2025-08-25,7.92,8.26,7.83,7.92,7.5879,1796069
2025-08-26,7.89,7.98,7.54,7.56,7.243,2081304
2025-08-27,7.62,7.88,7.48,7.54,7.2238,837950
2025-08-28,7.55,7.695,7.37,7.46,7.1472,783717
2025-08-29,7.46,7.75,7.4,7.68,7.358,2150708
2025-09-01,7.63,7.73,7.58,7.63,7.3101,892037
2025-09-02,7.58,7.61,7.5,7.54,7.2238,789231
2025-09-03,7.49,7.54,7.42,7.46,7.1472,816293
2025-09-04,7.42,7.44,7.28,7.33,7.1766,1047355
2025-09-05,7.4,7.4,7.31,7.37,7.2157,1160363
2025-09-08,7.3,7.35,7.23,7.31,7.157,738664
2025-09-09,7.31,7.325,7.29,7.31,7.157,571508
2025-09-10,7.31,7.44,7.29,7.44,7.2843,851707
2025-09-11,7.43,7.5,7.36,7.46,7.3038,521835
2025-09-12,7.5,7.57,7.47,7.53,7.3724,557114
2025-09-15,7.53,7.6,7.465,7.59,7.4311,929895
2025-09-16,7.6,7.63,7.5,7.58,7.4213,378701
2025-09-17,7.54,7.6,7.51,7.57,7.4115,804445
2025-09-18,7.59,7.59,7.44,7.48,7.3234,584556
2025-09-19,7.52,7.62,7.5,7.62,7.4605,2696823
2025-09-22,7.47,7.58,7.47,7.51,7.3528,590151
2025-09-23,7.43,7.54,7.36,7.49,7.3332,527306
2025-09-24,7.44,7.47,7.39,7.46,7.3038,453954
2025-09-25,7.4,7.41,7.33,7.35,7.1961,455863
2025-09-26,7.38,7.42,7.33,7.42,7.2647,415537
2025-09-29,7.42,7.53,7.4,7.5,7.343,409136
