Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,0.77,0.78,0.7625,0.77,0.77,10277445
2025-07-23,0.775,0.795,0.775,0.785,0.785,15722179
2025-07-24,0.79,0.815,0.78,0.805,0.805,12220586
2025-07-25,0.795,0.805,0.78,0.785,0.785,5137340
2025-07-28,0.8,0.8,0.76,0.77,0.77,3655758
2025-07-29,0.765,0.775,0.7525,0.77,0.77,4744786
2025-07-30,0.77,0.77,0.745,0.76,0.76,4874868
2025-07-31,0.75,0.7525,0.735,0.74,0.74,7389173
2025-08-01,0.73,0.745,0.725,0.735,0.735,4137061
2025-08-04,0.725,0.73,0.71,0.73,0.73,4088043
2025-08-05,0.725,0.735,0.715,0.715,0.715,5466133
2025-08-06,0.715,0.74,0.715,0.73,0.73,5143266
2025-08-07,0.725,0.74,0.72,0.73,0.73,2779587
2025-08-08,0.735,0.7525,0.7325,0.74,0.74,4393033
2025-08-11,0.74,0.765,0.74,0.76,0.76,5075144
2025-08-12,0.755,0.76,0.745,0.755,0.755,4063612
2025-08-13,0.765,0.77,0.7525,0.76,0.76,6413709
2025-08-14,0.765,0.765,0.735,0.745,0.745,3506495
2025-08-15,0.745,0.7525,0.7425,0.745,0.745,2919018
2025-08-18,0.74,0.75,0.7375,0.745,0.745,3448669
2025-08-19,0.74,0.745,0.73,0.74,0.74,3566717
2025-08-20,0.735,0.745,0.7175,0.725,0.725,4867209
2025-08-21,0.73,0.7425,0.725,0.74,0.74,3734040
2025-08-22,0.74,0.745,0.73,0.73,0.73,2030646
2025-08-25,0.725,0.75,0.725,0.75,0.75,4862049
2025-08-26,0.75,0.75,0.735,0.74,0.74,9692581
2025-08-27,0.745,0.755,0.74,0.75,0.75,9266092
2025-08-28,0.755,0.755,0.6825,0.72,0.72,7531633
2025-08-29,0.69,0.735,0.69,0.7,0.7,9916445
2025-09-01,0.7,0.73,0.6975,0.72,0.72,4101694
2025-09-02,0.72,0.74,0.71,0.71,0.71,6510785
2025-09-03,0.7,0.715,0.69,0.7,0.7,4746724
2025-09-04,0.705,0.72,0.695,0.7,0.7,4026073
2025-09-05,0.71,0.725,0.7,0.725,0.725,5906266
2025-09-08,0.72,0.735,0.715,0.725,0.725,5305279
2025-09-09,0.72,0.725,0.71,0.715,0.715,4512928
2025-09-10,0.705,0.7125,0.695,0.7,0.7,4067985
2025-09-11,0.7,0.702,0.682,0.685,0.685,4344565
