Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-24,2.23,2.26,2.23,2.23,2.1305,3169157
2025-04-28,2.27,2.28,2.23,2.24,2.14,4610724
2025-04-29,2.25,2.28,2.24,2.26,2.1591,2795688
2025-04-30,2.27,2.3,2.26,2.3,2.1974,5779563
2025-05-01,2.3,2.335,2.29,2.32,2.2165,6185526
2025-05-02,2.32,2.355,2.315,2.33,2.226,3223035
2025-05-05,2.35,2.37,2.33,2.33,2.226,2461990
2025-05-06,2.33,2.345,2.31,2.32,2.2165,4724607
2025-05-07,2.33,2.36,2.29,2.35,2.2451,4516048
2025-05-08,2.38,2.39,2.365,2.38,2.2738,6127202
2025-05-09,2.38,2.39,2.345,2.35,2.2451,5523501
2025-05-12,2.39,2.39,2.34,2.34,2.2356,3377423
2025-05-13,2.35,2.365,2.3,2.36,2.2547,4255398
2025-05-14,2.32,2.36,2.32,2.34,2.2356,6092626
2025-05-15,2.35,2.35,2.29,2.32,2.2165,5311746
2025-05-16,2.32,2.345,2.31,2.34,2.2356,4892819
2025-05-19,2.33,2.33,2.3,2.32,2.2165,3473087
2025-05-20,2.32,2.365,2.305,2.34,2.2356,3577850
2025-05-21,2.37,2.37,2.33,2.33,2.226,3076875
2025-05-22,2.32,2.34,2.31,2.33,2.226,2567992
2025-05-23,2.32,2.33,2.29,2.32,2.2165,5100870
2025-05-26,2.31,2.33,2.3,2.31,2.2069,2192166
2025-05-27,2.33,2.33,2.275,2.28,2.1783,3773666
2025-05-28,2.3,2.32,2.29,2.31,2.2069,3147486
2025-05-29,2.32,2.33,2.285,2.3,2.1974,3266640
2025-05-30,2.28,2.32,2.28,2.31,2.2069,6570547
2025-06-02,2.3,2.33,2.29,2.32,2.2165,2502818
2025-06-03,2.32,2.34,2.31,2.33,2.226,3055284
2025-06-04,2.34,2.34,2.31,2.34,2.2356,5066106
2025-06-05,2.33,2.335,2.3,2.32,2.2165,7183962
2025-06-06,2.32,2.35,2.32,2.32,2.2165,2059831
2025-06-10,2.35,2.365,2.335,2.34,2.2356,3102375
2025-06-11,2.36,2.44,2.35,2.42,2.312,6479237
2025-06-12,2.4,2.455,2.4,2.44,2.3311,5255494
2025-06-13,2.43,2.45,2.42,2.43,2.3216,4221329
2025-06-16,2.45,2.45,2.41,2.41,2.3025,2105028
2025-06-17,2.41,2.425,2.4,2.42,2.312,3287661
2025-06-18,2.42,2.43,2.38,2.39,2.2833,5310786
2025-06-19,2.42,2.42,2.37,2.39,2.2833,5313646
2025-06-20,2.39,2.41,2.37,2.41,2.3025,12729356
2025-06-23,2.42,2.42,2.37,2.39,2.2833,2766810
2025-06-24,2.43,2.43,2.36,2.37,2.2642,2346170
2025-06-25,2.38,2.39,2.36,2.38,2.2738,2105276
2025-06-26,2.38,2.39,2.35,2.37,2.2642,4266591
2025-06-27,2.36,2.39,2.3,2.3,2.2505,5025262
2025-06-30,2.35,2.35,2.3,2.3,2.2505,5545140
2025-07-01,2.32,2.35,2.31,2.32,2.2701,3186320
2025-07-02,2.35,2.38,2.34,2.36,2.3092,4386188
2025-07-03,2.37,2.41,2.35,2.39,2.3386,6449316
2025-07-04,2.38,2.4,2.35,2.39,2.3386,3304632
2025-07-07,2.41,2.41,2.375,2.38,2.3288,3261572
2025-07-08,2.39,2.4,2.345,2.36,2.3092,3194471
2025-07-09,2.35,2.37,2.31,2.31,2.2603,4349601
2025-07-10,2.34,2.36,2.32,2.33,2.2799,3065943
2025-07-11,2.35,2.35,2.3,2.33,2.2799,2406490
2025-07-14,2.32,2.37,2.32,2.34,2.2897,2873964
2025-07-15,2.37,2.37,2.33,2.35,2.2995,5159604
2025-07-16,2.34,2.35,2.325,2.34,2.2897,3751870
2025-07-17,2.35,2.37,2.335,2.35,2.2995,1832201
2025-07-18,2.36,2.37,2.33,2.35,2.2995,1909095
2025-07-21,2.34,2.35,2.32,2.35,2.2995,1362377
2025-07-22,2.34,2.355,2.33,2.35,2.2995,3219886
2025-07-23,2.35,2.37,2.35,2.35,2.2995,2672629
2025-07-24,2.35,2.37,2.335,2.34,2.2897,3426077
2025-07-25,2.34,2.36,2.315,2.36,2.3092,3886880
2025-07-28,2.36,2.37,2.34,2.34,2.2897,3510396
2025-07-29,2.34,2.34,2.32,2.33,2.2799,1912139
2025-07-30,2.33,2.39,2.32,2.38,2.3288,3420129
2025-07-31,2.38,2.41,2.375,2.4,2.3484,5733798
2025-08-01,2.38,2.395,2.35,2.38,2.3288,4544728
2025-08-04,2.39,2.4,2.375,2.4,2.3484,3507833
2025-08-05,2.4,2.435,2.4,2.42,2.368,4136528
2025-08-06,2.42,2.445,2.4,2.42,2.368,3170380
2025-08-07,2.43,2.465,2.41,2.45,2.3973,3685990
2025-08-08,2.46,2.47,2.44,2.47,2.4169,3275856
2025-08-11,2.47,2.47,2.44,2.46,2.4071,2643576
2025-08-12,2.46,2.47,2.445,2.46,2.4071,3001015
2025-08-13,2.46,2.47,2.44,2.46,2.4071,3813014
2025-08-14,2.47,2.495,2.455,2.47,2.4169,5906667
2025-08-15,2.46,2.49,2.45,2.47,2.4169,4240912
2025-08-18,2.47,2.49,2.46,2.47,2.4169,3984851
2025-08-19,2.47,2.47,2.44,2.45,2.3973,4996732
2025-08-20,2.48,2.48,2.42,2.44,2.3875,8898772
2025-08-21,2.47,2.53,2.45,2.51,2.456,6075320
2025-08-22,2.49,2.52,2.47,2.5,2.4462,3949650
2025-08-25,2.51,2.53,2.49,2.53,2.4756,3540101
2025-08-26,2.48,2.48,2.39,2.42,2.368,11442923
2025-08-27,2.45,2.47,2.41,2.43,2.3777,18105494
2025-08-28,2.44,2.44,2.42,2.43,2.3777,3356849
2025-08-29,2.43,2.45,2.4,2.41,2.3582,3561083
