Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,16.56,16.75,16.49,16.49,16.1116,4323688
2025-07-23,16.99,17.09,16.67,16.67,16.2875,4849488
2025-07-24,16.29,16.87,16,16.27,15.8967,8602137
2025-07-25,16.03,16.13,15.75,15.81,15.4472,7230484
2025-07-28,16,16.21,15.88,15.92,15.5547,4425204
2025-07-29,15.8,16.04,15.65,15.92,15.5547,4892498
2025-07-30,16,16.15,15.88,15.92,15.5547,3768430
2025-07-31,15.63,15.65,15.44,15.57,15.2128,5818621
2025-08-01,15.57,15.61,15.3,15.3,14.9489,4592333
2025-08-04,15.85,16.29,15.69,16.16,15.7892,8341618
2025-08-05,16.38,16.74,16.27,16.32,15.9455,7824565
2025-08-06,16.61,17.26,16.55,17.13,16.737,12081850
2025-08-07,17.03,17.57,17.03,17.39,16.991,8800485
2025-08-08,17.51,18.29,17.51,18.08,17.6652,10992180
2025-08-11,17.86,17.96,17.66,17.75,17.3427,5689911
2025-08-12,17.5,17.69,17.25,17.58,17.1766,6185447
2025-08-13,17.44,17.89,17.37,17.78,17.372,3862755
2025-08-14,17.95,18.11,17.87,18,17.587,4515826
2025-08-15,17.8,18.33,17.8,18.32,17.8997,4208125
2025-08-18,18.35,18.44,18.03,18.28,17.8606,4307794
2025-08-19,18.12,18.4,18.07,18.24,17.8215,4276304
2025-08-20,17.88,18.26,17.59,18.22,17.802,4885589
2025-08-21,18.79,18.9,18.13,18.31,17.8899,6996302
2025-08-22,18.38,18.45,18.005,18.06,17.6456,9344368
2025-08-25,18.36,18.74,18.32,18.57,18.1439,5642659
2025-08-26,18.34,18.77,18.34,18.6,18.1732,10315410
2025-08-27,19.2,19.46,18.795,18.93,18.4957,5766383
2025-08-28,19.05,19.1,18.73,18.87,18.437,4769783
2025-08-29,18.91,18.99,18.71,18.89,18.4566,7890809
2025-09-01,19.5,20.19,19.42,20.1,19.6388,6843694
2025-09-02,19.88,20.17,19.83,19.86,19.6983,6912722
2025-09-03,20.5,20.585,19.96,19.96,19.7975,8486655
2025-09-04,20.2,20.28,19.515,19.7,19.5396,7955271
2025-09-05,19.55,20.02,19.44,19.94,19.7777,5071291
2025-09-08,20.38,20.41,19.95,20.1,19.9364,5122415
2025-09-09,20.21,20.4,20.11,20.22,20.0554,6603764
2025-09-10,20.01,20.16,19.78,20.16,19.9959,5238899
2025-09-11,20.36,20.92,20.3,20.87,20.7001,6731855
2025-09-12,21,21.2,20.91,21.2,21.0274,5089772
2025-09-15,21,21.1,20.445,20.8,20.6307,5488504
2025-09-16,21.24,21.44,20.83,20.91,20.7398,4456646
2025-09-17,20.88,20.98,20.4,20.48,20.3133,5188637
2025-09-18,20.59,20.65,20.28,20.46,20.2934,5455265
2025-09-19,20.7,20.945,20.55,20.71,20.5414,43871820
2025-09-22,21.44,22.47,20.85,22.41,22.2276,8894927
2025-09-23,22.67,23.12,22.63,23.12,22.9318,10386940
2025-09-24,22.72,23.17,22.56,23.11,22.9219,12433870
2025-09-25,22.79,23.09,22.51,22.66,22.4755,11912080
2025-09-26,22.66,22.81,22.385,22.74,22.5549,57363648
2025-09-29,23.01,23.555,22.63,23.45,23.2591,8711258
2025-09-30,23.79,24.09,23.57,23.73,23.5368,8964023
2025-10-01,23.76,24.07,23.56,23.91,23.7154,7902971
2025-10-02,24.49,24.96,24.245,24.83,24.6279,8309054
2025-10-03,24.32,24.6,24.25,24.41,24.2113,7055299
2025-10-06,24.55,24.935,24.48,24.77,24.5684,3428564
2025-10-07,24.77,24.9,24.49,24.79,24.5882,3793957
2025-10-08,24.76,24.85,24.14,24.73,24.5287,6270778
