Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,2.5,2.54,2.48,2.54,2.54,1422301
2025-07-23,2.55,2.63,2.55,2.61,2.61,2082770
2025-07-24,2.62,2.75,2.61,2.73,2.73,2929285
2025-07-25,2.7,2.71,2.635,2.66,2.66,1391278
2025-07-28,2.67,2.72,2.67,2.68,2.68,910973
2025-07-29,2.68,2.68,2.62,2.65,2.65,819253
2025-07-30,2.65,2.65,2.61,2.64,2.64,941073
2025-07-31,2.62,2.635,2.57,2.59,2.59,1714589
2025-08-01,2.58,2.6,2.525,2.54,2.54,1052852
2025-08-04,2.53,2.545,2.5,2.53,2.53,621010
2025-08-05,2.56,2.6,2.56,2.59,2.59,879394
2025-08-06,2.59,2.61,2.57,2.6,2.6,894654
2025-08-07,2.6,2.61,2.55,2.56,2.56,807674
2025-08-08,2.56,2.58,2.52,2.56,2.56,1065733
2025-08-11,2.57,2.59,2.555,2.57,2.57,583843
2025-08-12,2.55,2.56,2.51,2.53,2.53,799360
2025-08-13,2.54,2.605,2.54,2.54,2.54,1039144
2025-08-14,2.55,2.58,2.52,2.54,2.54,1078574
2025-08-15,2.57,2.6,2.54,2.59,2.59,1107961
2025-08-18,2.59,2.66,2.58,2.62,2.62,1387932
2025-08-19,2.62,2.63,2.58,2.61,2.61,617858
2025-08-20,2.61,2.64,2.48,2.51,2.51,1405576
2025-08-21,2.51,2.545,2.49,2.53,2.53,931203
2025-08-22,2.52,2.54,2.49,2.51,2.51,1000856
2025-08-25,2.54,2.63,2.53,2.58,2.58,1561515
2025-08-26,2.58,2.58,2.46,2.58,2.58,2908984
2025-08-27,2.6,2.615,2.49,2.51,2.51,1593739
2025-08-28,2.52,2.52,2.42,2.44,2.44,1739457
2025-08-29,2.42,2.45,2.395,2.43,2.43,1897689
2025-09-01,2.4,2.45,2.36,2.44,2.44,1125258
2025-09-02,2.45,2.47,2.4,2.4,2.4,739513
2025-09-03,2.4,2.41,2.33,2.35,2.35,1666911
2025-09-04,2.35,2.36,2.29,2.33,2.33,1418976
2025-09-05,2.35,2.37,2.34,2.34,2.34,1031998
2025-09-08,2.36,2.37,2.3,2.33,2.33,1603989
2025-09-09,2.31,2.32,2.285,2.3,2.3,941965
2025-09-10,2.3,2.305,2.25,2.28,2.28,1329450
2025-09-11,2.27,2.3,2.24,2.28,2.28,1216210
2025-09-12,2.3,2.33,2.285,2.3,2.3,559643
2025-09-15,2.28,2.33,2.265,2.33,2.33,1003105
2025-09-16,2.34,2.4,2.34,2.37,2.37,960843
2025-09-17,2.36,2.4,2.345,2.39,2.39,838454
2025-09-18,2.36,2.42,2.36,2.38,2.38,895299
2025-09-19,2.39,2.41,2.34,2.34,2.34,15018814
2025-09-22,2.37,2.39,2.22,2.22,2.22,2235235
2025-09-23,2.21,2.25,2.16,2.2,2.2,2111252
2025-09-24,2.17,2.23,2.16,2.2,2.2,1003678
2025-09-25,2.24,2.34,2.18,2.27,2.27,1887610
2025-09-26,2.26,2.295,2.18,2.28,2.28,6037010
2025-09-29,2.3,2.3,2.23,2.26,2.26,872118
2025-09-30,2.3,2.31,2.27,2.29,2.29,1431078
2025-10-01,2.3,2.32,2.27,2.28,2.28,730715
