Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,3.15,3.19,3.125,3.19,3.075,1068071
2025-07-23,3.19,3.24,3.19,3.22,3.1039,923326
2025-07-24,3.25,3.35,3.22,3.23,3.1135,1115389
2025-07-25,3.2,3.25,3.2,3.23,3.1135,525061
2025-07-28,3.22,3.27,3.2,3.21,3.0942,698453
2025-07-29,3.19,3.2,3.13,3.19,3.075,1124033
2025-07-30,3.17,3.26,3.17,3.24,3.1232,641766
2025-07-31,3.23,3.25,3.195,3.24,3.1232,1093157
2025-08-01,3.22,3.24,3.19,3.24,3.1232,413198
2025-08-04,3.22,3.24,3.19,3.23,3.1135,526687
2025-08-05,3.21,3.255,3.21,3.24,3.1232,649141
2025-08-06,3.23,3.31,3.23,3.31,3.1906,929977
2025-08-07,3.32,3.38,3.3,3.36,3.2388,1301025
2025-08-08,3.34,3.36,3.32,3.36,3.2388,595328
2025-08-11,3.37,3.43,3.36,3.42,3.2967,827564
2025-08-12,3.41,3.44,3.4,3.43,3.3063,595596
2025-08-13,3.45,3.47,3.37,3.42,3.2967,800783
2025-08-14,3.46,3.46,3.36,3.43,3.3063,725465
2025-08-15,3.44,3.475,3.405,3.47,3.3449,573812
2025-08-18,3.45,3.5,3.45,3.49,3.3642,602079
2025-08-19,3.48,3.56,3.48,3.53,3.4027,863031
2025-08-20,3.56,3.615,3.46,3.53,3.4027,2034730
2025-08-21,3.55,3.66,3.4,3.62,3.4895,1674480
2025-08-22,3.72,3.98,3.72,3.81,3.6726,3222211
2025-08-25,3.84,3.93,3.8,3.83,3.6919,1395053
2025-08-26,3.83,3.88,3.78,3.85,3.7112,1396274
2025-08-27,3.85,3.92,3.81,3.91,3.769,1087381
2025-08-28,3.9,3.92,3.82,3.87,3.7304,900014
2025-08-29,3.86,3.9,3.81,3.84,3.7015,1872404
2025-09-01,3.84,3.84,3.77,3.8,3.663,945820
2025-09-02,4,4.18,3.8,4.04,3.8943,3562621
2025-09-03,4.11,4.14,3.995,4.02,3.875,2650993
2025-09-04,4.07,4.18,4.03,4.14,3.9907,2736052
2025-09-05,4.2,4.35,4.16,4.33,4.1739,3738757
2025-09-08,4.33,4.47,4.305,4.4,4.2413,2472739
2025-09-09,4.4,4.45,4.35,4.44,4.2799,1897237
2025-09-10,4.43,4.43,4.345,4.41,4.251,1659271
2025-09-11,4.52,4.56,4.45,4.52,4.357,1820778
2025-09-12,4.53,4.63,4.53,4.56,4.3956,1585141
2025-09-15,4.56,4.585,4.5,4.56,4.3956,1214036
