Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,36.42,36.62,36.105,36.53,35.9809,336105
2025-07-23,36.72,36.97,36.33,36.74,36.1877,323832
2025-07-24,36.92,37.165,36.31,36.37,35.8233,900899
2025-07-25,36.39,36.64,36.1,36.64,36.0892,447230
2025-07-28,37.3,37.98,37.085,37.5,36.9363,470189
2025-07-29,37.6,37.64,36.87,37.15,36.5916,379847
2025-07-30,37.1,37.375,36.76,37.1,36.5423,314476
2025-07-31,36.93,37.9,36.91,37.53,36.9659,263685
2025-08-01,37.24,37.88,36.96,37.22,36.6605,309809
2025-08-04,37,37.31,36.835,37.27,36.7098,225207
2025-08-05,37.97,37.97,36.915,37,36.4438,429294
2025-08-06,36.95,37.68,36.6,37.68,37.1136,872981
2025-08-07,37.3,38.07,36.905,37.73,37.1629,199178
2025-08-08,37.78,37.87,36.9,36.99,36.434,199266
2025-08-11,36.99,37.51,36.885,37.09,36.5325,222500
2025-08-12,36.9,37.45,36.8,37.09,36.5325,230587
2025-08-13,37.7,38.04,37.21,37.25,36.6901,294807
2025-08-14,37.08,37.63,36.55,37.53,36.9659,223389
2025-08-15,37.5,37.5,36.85,37.14,36.5817,280680
2025-08-18,36.9,37.48,36.9,37.16,36.6014,259376
2025-08-19,37.46,37.46,36.4,37.23,36.6704,502258
2025-08-20,37.81,38.3,36,36,35.4589,393706
2025-08-21,33.48,35.815,31.435,35.79,35.252,749122
2025-08-22,35.5,36.375,35.48,36.22,35.6755,441693
2025-08-25,36.19,36.84,35.925,36.31,35.7642,444422
2025-08-26,36.32,36.655,35.09,35.16,34.6315,914041
2025-08-27,35.44,35.44,34.61,35.29,34.7595,517241
2025-08-28,35.45,35.51,34.6,34.63,34.1094,276234
2025-08-29,34.55,34.85,33.925,34.47,33.9519,479081
2025-09-01,34.25,34.5,32.6,32.81,32.3168,421119
2025-09-02,32.43,32.76,31.9,32.21,31.7258,527010
2025-09-03,31.4,31.84,30.88,30.88,30.6154,686501
2025-09-04,31.09,31.405,30.53,30.53,30.2684,730475
2025-09-05,30.83,31.49,30.58,31.49,31.2202,558315
2025-09-08,31.48,31.75,31.07,31.75,31.478,949449
2025-09-09,31.84,32.59,31.27,31.38,31.1111,702309
2025-09-10,31.23,31.97,31.23,31.89,31.6168,437358
2025-09-11,31.62,31.79,31.3,31.79,31.5176,455514
2025-09-12,31.68,32.345,31.29,31.47,31.2004,433717
2025-09-15,31.2,31.46,30.43,30.51,30.2486,665931
2025-09-16,30.55,31.09,30.33,30.98,30.7146,1708096
2025-09-17,30.87,30.89,30.3,30.66,30.3973,914759
2025-09-18,30.88,31.33,30.65,31.21,30.9426,580724
2025-09-19,31.59,32.11,30.6,30.6,30.3378,3363989
2025-09-22,30.63,30.94,30.23,30.82,30.5559,515486
2025-09-23,30.8,30.935,30.345,30.58,30.318,1122936
2025-09-24,30.53,30.99,30.1,30.57,30.3081,509305
2025-09-25,30.16,30.38,29.39,29.66,29.4059,923237
2025-09-26,29.44,30.1,28.79,28.81,28.5632,964108
2025-09-29,28.66,29.45,28.37,29.4,29.1481,980978
2025-09-30,29.16,29.52,28.91,29.39,29.1382,586951
2025-10-01,29.2,29.75,29,29.68,29.4257,559074
2025-10-02,29.8,30.19,29.62,30.08,29.8223,640445
2025-10-03,30.12,30.54,29.84,30.39,30.1296,597339
2025-10-06,30.46,30.65,29.92,30.24,29.9809,264068
2025-10-07,30.08,30.43,30.08,30.16,29.9016,568312
2025-10-08,29.95,30.67,29.83,30.64,30.3775,405979
2025-10-09,31,31.58,30.41,30.87,30.6055,764050
2025-10-10,31.71,32.75,31.65,32.51,32.2315,815385
2025-10-13,31.86,32.08,31.1,31.21,30.9426,661962
2025-10-14,31.16,31.69,30.81,31.27,31.0021,733468
2025-10-15,31.45,31.9,31.41,31.55,31.2797,833201
2025-10-16,31.7,33.32,31.7,32.9,32.6181,1065102
2025-10-17,32.5,32.72,32.075,32.09,31.8151,880271
2025-10-20,32.09,32.49,31.95,32.34,32.0629,309161
2025-10-21,32.32,33.62,32.32,33,32.7173,317404
2025-10-22,33.01,33.51,32.43,32.63,32.3504,333335
2025-10-23,32.62,32.86,32.26,32.56,32.281,355049
2025-10-24,32.45,32.58,31.7,31.83,31.5573,434620
2025-10-27,32,32.35,31.42,31.72,31.4482,300519
2025-10-28,31.74,31.76,30.95,31.3,31.0318,1123804
2025-10-29,31.39,31.84,31.34,31.47,31.2004,356630
2025-10-30,29.9,31.07,29.64,31.07,30.8038,623551
2025-10-31,30.99,31.25,30.72,30.83,30.5659,347109
2025-11-03,31.45,31.45,30.05,30.82,30.5559,351256
2025-11-04,30.71,31.195,30.71,30.83,30.5659,300501
2025-11-05,31.1,31.24,30.41,30.99,30.7245,622786
2025-11-06,30.99,31.22,30.32,30.32,30.0602,533747
2025-11-07,30.23,30.27,29.2,29.52,29.2671,629314
2025-11-10,30.095,30.385,29.99,30.24,29.9809,262120
2025-11-11,30.69,30.86,30.13,30.21,29.9512,282543
2025-11-12,30.37,30.83,29.48,30.1,29.8421,367173
2025-11-13,29.48,30,29.35,29.61,29.3563,296774
2025-11-14,29.25,29.43,27.935,28.1,27.8592,813554
2025-11-17,28.4,28.86,27.97,28.78,28.5334,344115
2025-11-18,28.44,28.44,26.92,27,26.7687,660383
2025-11-19,26.76,26.92,26.09,26.72,26.4911,668409
2025-11-20,27.66,28.61,27.605,28.43,28.1864,703682
2025-11-21,27.2,27.72,26.81,27.15,26.9174,457000
2025-11-24,27.9,28.065,27.36,27.58,27.3437,849678
2025-11-25,27.58,28.69,27.545,27.86,27.6213,570836
2025-11-26,28.7,28.98,28.135,28.21,27.9683,490620
2025-11-27,28.21,28.87,28,28.39,28.1468,266637
2025-11-28,28.5,29,28.03,28.58,28.3351,259047
2025-12-01,28.04,28.65,27.42,27.44,27.2049,228168
2025-12-02,26.93,27.59,26.93,27.35,27.1157,316562
2025-12-03,27.04,27.84,27.04,27.39,27.1553,298629
2025-12-04,27.11,27.46,26.89,27.07,26.8381,380121
2025-12-05,27.07,27.18,26.38,26.44,26.2135,530292
2025-12-08,25.82,27.21,25.58,26.71,26.4812,691902
2025-12-09,26.33,27.01,26.285,26.95,26.7191,808836
