Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,10.6,10.67,10.52,10.67,10.67,129527
2025-07-23,10.56,10.56,10.345,10.46,10.46,258026
2025-07-24,10.66,10.69,10.61,10.65,10.65,169151
2025-07-25,11.06,11.21,11.06,11.14,11.14,170013
2025-07-28,11.18,11.3,10.97,11.06,11.06,440939
2025-07-29,10.94,11,10.745,10.75,10.75,256874
2025-07-30,10.74,10.76,10.63,10.65,10.65,283356
2025-07-31,10.66,10.74,10.59,10.6,10.6,357374
2025-08-01,10.6,10.95,10.415,10.45,10.45,172197
2025-08-04,10.21,10.24,10.05,10.23,10.23,276672
2025-08-05,10.38,10.49,10.33,10.33,10.33,282425
2025-08-06,10.58,10.78,10.58,10.66,10.66,220158
2025-08-07,10.88,10.92,10.77,10.9,10.9,294755
2025-08-08,10.78,10.78,10.65,10.7,10.7,105283
2025-08-11,10.63,10.65,10.56,10.59,10.59,147887
2025-08-12,10.55,10.55,10.35,10.42,10.42,207094
2025-08-13,10.65,10.65,10.43,10.5,10.5,243878
2025-08-14,10.4,10.41,10.24,10.27,10.27,512711
2025-08-15,10.34,10.54,10.34,10.54,10.54,200553
2025-08-18,10.55,10.64,10.5,10.58,10.58,184803
2025-08-19,10.75,10.86,10.75,10.83,10.83,375728
2025-08-20,10.21,10.21,9.98,10.08,10.08,581064
2025-08-21,10.1,10.18,9.99,9.99,9.99,1215676
2025-08-22,10.21,10.22,10.11,10.22,10.22,595671
2025-08-25,10.84,11,10.75,10.76,10.76,352062
2025-08-26,10.9,11,10.86,11,11,908830
2025-08-27,11.15,11.28,11.07,11.28,11.28,587506
2025-08-28,11.15,11.17,10.99,11.17,11.17,196627
2025-08-29,11.51,12.09,11.51,11.75,11.75,861071
2025-09-01,11.88,12.045,11.87,11.96,11.96,278790
2025-09-02,11.91,12.03,11.87,11.93,11.93,475573
2025-09-03,11.87,11.87,11.57,11.57,11.57,237877
2025-09-04,11.79,12.01,11.79,11.99,11.99,431289
2025-09-05,11.7,11.72,11.58,11.69,11.69,485765
2025-09-08,11.87,11.98,11.87,11.94,11.94,278054
2025-09-09,12.04,12.12,11.92,11.99,11.99,401214
2025-09-10,11.98,12.03,11.8,11.81,11.81,296588
2025-09-11,11.96,12.13,11.96,12.1,12.1,170287
2025-09-12,11.9,11.92,11.82,11.82,11.82,792274
2025-09-15,11.56,11.57,11.4,11.55,11.55,385975
2025-09-16,12.43,12.59,12.43,12.56,12.56,1097032
2025-09-17,12.3,12.3,12.1,12.1,12.1,558013
2025-09-18,12.37,12.44,12.34,12.34,12.34,342510
2025-09-19,12.63,12.76,12.55,12.55,12.55,1226459
2025-09-22,13.25,13.41,13.25,13.27,13.27,974495
2025-09-23,13.39,13.51,13.36,13.47,13.47,529355
2025-09-24,13.73,13.78,13.6,13.68,13.68,480017
2025-09-25,13.2,13.36,13.07,13.32,13.32,1128217
2025-09-26,13.58,13.8,13.54,13.73,13.73,234278
2025-09-29,13.8,14,13.78,13.92,13.92,398110
2025-09-30,13.79,13.835,13.67,13.79,13.79,660786
2025-10-01,13.59,13.68,13.44,13.68,13.68,262249
2025-10-02,13.68,13.68,13.68,13.68,13.68,0
2025-10-03,13.3,13.59,13.3,13.45,13.45,1149182
2025-10-06,13.36,13.36,13.11,13.25,13.25,1265310
2025-10-07,13.7,13.75,13.55,13.59,13.59,428628
2025-10-08,13.45,13.58,13.4,13.55,13.55,287651
2025-10-09,13.4,13.46,13.32,13.4,13.4,663394
2025-10-10,13.4,13.53,13.36,13.46,13.46,165951
2025-10-13,13.29,13.58,13.24,13.41,13.41,1026940
