Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,14.28,14.33,14.11,14.22,14.22,1095163
2025-07-23,14.33,14.49,14.22,14.25,14.25,1765849
2025-07-24,14.4,14.615,14.29,14.3,14.3,1831040
2025-07-25,14.25,14.44,14.15,14.38,14.38,2758281
2025-07-28,14.47,14.6,14.43,14.43,14.43,754799
2025-07-29,14.4,14.4,14.2,14.32,14.32,1034258
2025-07-30,14.3,14.36,14.12,14.29,14.29,1266823
2025-07-31,14.25,14.62,14.19,14.51,14.51,1942756
2025-08-01,14.46,14.55,14.27,14.33,14.33,1535373
2025-08-04,14.13,14.28,13.9,14.27,14.27,1427300
2025-08-05,14.5,14.8,14.39,14.67,14.67,2314239
2025-08-06,14.65,14.88,14.65,14.74,14.74,1709731
2025-08-07,14.68,14.71,14.53,14.69,14.69,1379436
2025-08-08,14.67,14.68,14.51,14.51,14.51,1151287
2025-08-11,14.52,14.63,14.48,14.59,14.59,676753
2025-08-12,14.59,14.62,14.43,14.57,14.57,2138484
2025-08-13,14.71,14.82,14.48,14.53,14.53,1180842
2025-08-14,14.65,14.78,14.31,14.56,14.56,1715273
2025-08-15,14.57,14.59,14.32,14.4,14.4,1044051
2025-08-18,14.5,14.56,14.32,14.47,14.47,912276
2025-08-19,14.53,14.58,14.33,14.49,14.49,2225991
2025-08-20,14.68,14.68,13.95,14.2,14.2,2365533
2025-08-21,14.24,14.4,14,14.35,14.35,2177904
2025-08-22,14.4,14.46,14.215,14.36,14.36,1190724
2025-08-25,14.53,14.655,14.44,14.5,14.5,1217340
2025-08-26,14.48,14.52,13.93,13.99,13.99,2945672
2025-08-27,13.89,14.15,13.65,14.04,14.04,1540859
2025-08-28,14.1,14.14,13.75,14.05,14.05,1268591
2025-08-29,16.15,17.39,16.01,16.5,16.5,12000822
2025-09-01,16.45,16.825,16.17,16.73,16.73,4059215
2025-09-02,16.72,16.75,16.46,16.55,16.55,3918562
2025-09-03,16.54,16.57,16.37,16.48,16.48,4864838
2025-09-04,16.49,16.52,16.07,16.07,16.07,3418965
2025-09-05,16.18,16.79,16.14,16.52,16.52,3514854
2025-09-08,16.52,16.58,16.3,16.58,16.58,1260905
2025-09-09,16.72,16.91,16.61,16.84,16.84,2906501
2025-09-10,16.91,17.24,16.9,17.1,17.1,2567531
2025-09-11,17.09,17.45,16.945,17.33,17.33,2023986
2025-09-12,17.3,17.5,17.25,17.32,17.32,980750
2025-09-15,17.4,17.42,17.23,17.26,17.26,2942940
2025-09-16,17.27,17.54,17.16,17.54,17.54,1520140
2025-09-17,17.55,17.82,17.44,17.75,17.75,2252161
2025-09-18,17.75,18.11,17.66,17.99,17.99,5572049
2025-09-19,18,18.22,17.67,17.81,17.81,9777690
2025-09-22,17.77,17.84,17.51,17.51,17.51,1314225
2025-09-23,17.57,17.63,17.38,17.46,17.46,1653515
2025-09-24,17.46,17.525,17.17,17.35,17.35,1512583
2025-09-25,17.21,17.56,17.16,17.43,17.43,1650023
2025-09-26,17.25,17.5,17.24,17.49,17.49,2208716
2025-09-29,17.55,17.6,17.03,17.09,17.09,1740453
2025-09-30,17.04,17.11,16.85,16.92,16.92,2079654
2025-10-01,16.86,16.9,16.58,16.89,16.89,2707380
2025-10-02,17.01,17.1,16.74,16.79,16.79,2755865
2025-10-03,16.85,17,16.685,16.94,16.94,4606030
2025-10-06,16.95,17.09,16.9,17.01,17.01,1085166
2025-10-07,17.22,17.24,16.82,16.86,16.86,2166477
2025-10-08,16.85,16.86,16.42,16.51,16.51,1768564
2025-10-09,16.65,16.7,15.97,16.14,16.14,2927675
2025-10-10,16.14,16.5,16.1,16.23,16.23,1156407
2025-10-13,15.95,15.95,15.7,15.87,15.87,1483111
2025-10-14,15.92,16.01,15.835,15.96,15.96,1314520
2025-10-15,15.98,16.13,15.69,15.95,15.95,3050107
2025-10-16,16.1,16.39,15.95,16.29,16.29,1687623
2025-10-17,16.25,16.38,16.04,16.14,16.14,1740143
2025-10-20,16.36,16.57,16.27,16.27,16.27,1403817
2025-10-21,16.42,16.65,16.37,16.43,16.43,1074936
2025-10-22,16.4,16.41,16.04,16.29,16.29,1781929
2025-10-23,16.21,16.23,16,16.19,16.19,1047038
2025-10-24,16.22,16.32,16.16,16.21,16.21,630474
2025-10-27,16.41,16.45,16.22,16.22,16.22,940865
2025-10-28,16.19,16.23,16.04,16.2,16.2,1015506
2025-10-29,16.22,16.32,15.89,15.89,15.89,995291
2025-10-30,15.66,15.94,15.58,15.9,15.9,942731
2025-10-31,16,16.13,15.76,15.76,15.76,1374506
2025-11-03,15.8,15.85,15.65,15.82,15.82,887143
2025-11-04,15.82,16.63,15.72,16.49,16.49,2264111
2025-11-05,16.08,16.18,15.485,15.69,15.69,2737995
2025-11-06,15.7,15.82,15.1,15.12,15.12,1719579
2025-11-07,14.89,15.29,14.84,15.13,15.13,1416369
2025-11-10,15.17,15.18,14.96,15.05,15.05,1200642
2025-11-11,15.14,15.605,15.04,15.52,15.52,1484459
2025-11-12,15.33,15.45,14.97,15.14,15.14,1325270
2025-11-13,15.07,15.1,14.29,14.53,14.53,1834689
2025-11-14,14.14,14.15,13.74,13.82,13.82,2481332
2025-11-17,13.87,14.35,13.8,14.26,14.26,1370603
2025-11-18,14.07,14.17,13.52,13.55,13.55,1854724
2025-11-19,13.5,13.84,13.33,13.51,13.51,1803606
2025-11-20,14.29,14.6,13.81,13.81,13.81,4383520
2025-11-21,13.4,13.64,13.29,13.51,13.51,1624992
2025-11-24,13.55,13.74,13.5,13.6,13.6,4801384
2025-11-25,13.75,13.9,13.63,13.63,13.63,1624659
2025-11-26,13.88,13.9,13.74,13.85,13.85,1333206
2025-11-27,13.79,14.04,13.72,13.73,13.73,1103363
2025-11-28,13.76,13.805,13.56,13.57,13.57,1436986
2025-12-01,13.82,14.38,13.72,13.72,13.72,4267073
2025-12-02,13.98,14.09,13.47,13.54,13.54,2106974
2025-12-03,13.61,13.64,13.41,13.57,13.57,1710396
2025-12-04,13.74,13.81,13.4,13.44,13.44,1304404
2025-12-05,14.58,14.9,13.86,13.86,13.86,3215844
2025-12-08,14.1,14.23,13.745,14.15,14.15,2615390
2025-12-09,14,14.09,13.67,13.78,13.78,1569621
2025-12-10,13.8,13.85,13.435,13.61,13.61,1124356
2025-12-11,13.92,13.92,13.56,13.56,13.56,1170308
2025-12-12,13.51,13.62,13.42,13.51,13.51,1045041
2025-12-15,13.38,13.4,13.085,13.37,13.37,1696531
2025-12-16,13.18,13.4,12.93,12.96,12.96,2379584
2025-12-17,12.72,12.94,12.62,12.7,12.7,2481800
2025-12-18,12.38,12.42,12.055,12.14,12.14,3935326
2025-12-19,12.29,12.34,11.93,11.94,11.94,5348917
2025-12-22,12.64,13.05,12.355,12.73,12.73,3471882
2025-12-23,12.9,13.16,12.82,12.88,12.88,2679020
2025-12-24,12.9,13.06,12.8,12.97,12.97,1106301
2025-12-29,13.06,13.1,12.61,12.7,12.7,1204080
2025-12-30,12.74,12.81,12.355,12.48,12.48,1547801
2025-12-31,12.45,12.58,12.3,12.53,12.53,1403143
2026-01-02,12.57,12.64,12.36,12.54,12.54,673287
2026-01-05,12.54,12.55,12.21,12.3,12.3,1228704
2026-01-06,12.3,12.75,12.18,12.54,12.54,1792024
2026-01-07,12.55,12.91,12.55,12.69,12.69,1358174
2026-01-08,12.56,12.85,12.55,12.8,12.8,1659476
2026-01-09,12.83,12.96,12.54,12.54,12.54,1674856
2026-01-12,12.78,12.88,12.67,12.78,12.78,1020355
2026-01-13,12.79,12.94,12.48,12.48,12.48,1477713
2026-01-14,12.54,12.67,12.45,12.58,12.58,1377190
2026-01-15,12.53,12.68,12.45,12.56,12.56,1495359
2026-01-16,12.6,13.04,12.6,13,13,3052754
2026-01-19,13.02,13.42,13,13.15,13.15,1544654
2026-01-20,13,13.27,12.94,13.18,13.18,4098538
2026-01-21,13.08,13.09,12.86,12.94,12.94,3635567
2026-01-22,13,13.05,12.76,12.97,12.97,1609200
2026-01-23,13.03,13.525,13.03,13.32,13.32,2463164
2026-01-27,13.36,13.76,13.32,13.71,13.71,2084350
2026-01-28,13.78,13.83,13.19,13.34,13.34,1864591
2026-01-29,13.3,13.42,13.12,13.2,13.2,1103386
2026-01-30,13.24,13.5,13.17,13.32,13.32,2679438
2026-02-02,13.33,13.35,12.75,13.01,13.01,3377722
2026-02-03,13.11,13.5,13.02,13.26,13.26,1365262
2026-02-04,12.82,13.16,12.79,12.85,12.85,1991193
2026-02-05,12.91,13.22,12.9,13.22,13.22,1913530
2026-02-06,13,13,12.34,12.71,12.71,2434216
2026-02-09,13.05,13.62,13.05,13.33,13.33,1851498
2026-02-10,13.52,13.83,13.42,13.78,13.78,1780103
2026-02-11,13.66,13.98,13.43,13.9,13.9,2311283
2026-02-12,13.58,13.84,13.47,13.52,13.52,1700383
2026-02-13,13.63,14.64,13.59,14.02,14.02,4308669
2026-02-16,14,14.05,13.62,13.96,13.96,1697803
2026-02-17,13.8,13.94,13.67,13.9,13.9,1024478
2026-02-18,13.9,14.2,13.87,13.92,13.92,1234628
2026-02-19,14.1,14.18,13.595,14.01,14.01,2871312
2026-02-20,13.76,13.98,13.53,13.92,13.92,3026599
2026-02-23,13.96,13.96,13.15,13.35,13.35,2436926
2026-02-24,13.37,13.46,13.13,13.28,13.28,2208866
2026-02-25,13.47,14.24,13.37,14,14,2455084
2026-02-26,14.45,14.71,14.03,14.34,14.34,4083381
2026-02-27,14.26,14.3,13.6,13.88,13.88,3791939
2026-03-02,13.89,14,13.29,13.35,13.35,1996101
2026-03-03,13.55,13.73,13.36,13.5,13.5,2229172
2026-03-04,13.5,13.5,13,13,13,1700352
2026-03-05,13.26,13.74,13.26,13.44,13.44,2202020
2026-03-06,13.3,13.81,13.24,13.69,13.69,1813578
2026-03-09,12.93,13.21,12.705,12.81,12.81,3130185
2026-03-10,13.3,13.35,12.6,12.75,12.75,3646720
2026-03-11,13,13.05,12.81,13,13,2690385
2026-03-12,12.8,12.87,12.61,12.7,12.7,2023371
2026-03-13,12.69,13.26,12.67,13.19,13.19,1447190
2026-03-16,13.19,13.35,13,13.27,13.27,1469925
2026-03-17,13.3,13.45,13.04,13.24,13.24,1804601
2026-03-18,13.3,13.74,13.23,13.71,13.71,1351299
2026-03-19,13.6,13.75,13.29,13.38,13.38,3037127
2026-03-20,13.3,13.38,12.8,12.86,12.86,4352833
2026-03-23,12.35,12.64,12.17,12.47,12.47,2638137
2026-03-24,12.59,12.75,12.23,12.23,12.23,1903759
2026-03-25,12.38,12.68,12.28,12.54,12.54,2222013
2026-03-26,12.6,12.7,12.2,12.42,12.42,1549616
2026-03-27,12.26,12.37,11.44,11.44,11.44,3925046
2026-03-30,11.23,11.32,10.91,11.28,11.28,2858681
2026-03-31,11.3,11.47,11.13,11.32,11.32,3138933
2026-04-01,11.75,12.01,11.66,11.71,11.71,3505841
2026-04-02,11.75,11.81,11.13,11.26,11.26,1728292
2026-04-07,11.7,12.93,11.7,12.6,12.6,4827564
2026-04-08,13.02,13.42,12.66,13.2,13.2,3350365
2026-04-09,13.09,13.19,12.73,12.9,12.9,1691842
2026-04-10,12.72,12.91,12.53,12.82,12.82,1693297
2026-04-13,12.59,12.72,12.41,12.56,12.56,1239194
2026-04-14,13.13,13.28,12.905,13.1,13.1,1595808
2026-04-15,13.19,13.42,13.17,13.39,13.39,1726033
2026-04-16,13.6028,13.8489,13.5044,13.6816,13.6816,1931187
2026-04-17,13.7899,13.9572,13.7308,13.8981,13.8981,1539118
2026-04-20,13.8981,13.8981,13.8981,13.8981,13.8981,0
2026-04-21,13.8981,13.8981,13.8981,13.8981,13.8981,0
2026-04-22,14.92,15.47,13.74,14.3,14.3,10476132
2026-04-23,14.3,14.79,14.07,14.75,14.75,5318458
2026-04-24,14.61,15.07,14.59,14.95,14.95,5497724
2026-04-27,14.88,15.09,14.61,14.67,14.67,1866696
2026-04-28,14.5,14.8,14.28,14.42,14.42,5779319
2026-04-29,14.13,14.37,13.93,14,14,3566518
2026-04-30,14.14,14.37,14.02,14.24,14.24,2435486
2026-05-01,14.67,14.72,14.125,14.25,14.25,2184851
2026-05-04,14.3,14.5,13.99,14.08,14.08,1697649
2026-05-05,13.98,14.225,13.94,13.99,13.99,2015787
2026-05-06,14.15,14.4,13.895,14.31,14.31,2769118
2026-05-07,14.31,14.95,14.2,14.87,14.87,3883301
2026-05-08,14.76,15.1,14.66,14.79,14.79,2547943
2026-05-11,14.6,14.97,14.44,14.84,14.84,1477554
2026-05-12,14.96,14.96,14.43,14.5,14.5,2607161
2026-05-13,14.4,14.73,14.31,14.66,14.66,1574577
2026-05-14,14.6,14.92,14.46,14.8,14.8,2674774
2026-05-15,15,15.15,14.79,14.87,14.87,1621231
2026-05-18,14.6,14.68,14.33,14.58,14.58,1906505
2026-05-19,14.7,14.84,14.19,14.55,14.55,2518485
2026-05-20,14.57,14.84,14.09,14.22,14.22,1670116
2026-05-21,14.53,14.81,14.28,14.59,14.59,2342229
2026-05-22,14.78,14.99,14.73,14.95,14.95,1973208
2026-05-25,14.99,15.05,14.73,14.84,14.84,1199924
2026-05-26,14.95,15.025,14.505,14.65,14.65,1702478
2026-05-27,14.68,15.34,14.64,15.2,15.2,3567110
2026-05-28,15.05,15.205,14.76,14.98,14.98,1509857
2026-05-29,15.06,15.44,14.92,15.24,15.24,3451851
2026-06-01,15.42,15.76,15.36,15.52,15.52,1708390
2026-06-02,15.63,15.75,15.34,15.73,15.73,4752783
2026-06-03,15.85,16.78,15.715,16.37,16.37,4336907
2026-06-04,16.15,16.42,16.1,16.37,16.37,2327964
2026-06-05,16.4,16.53,15.77,15.86,15.86,2341145
2026-06-09,15.75,15.83,14.81,15.79,15.79,2643853
2026-06-10,15.3,15.53,15.055,15.14,15.14,2464739
2026-06-11,14.9,14.98,14.34,14.5,14.5,3028963
2026-06-12,14.83,14.99,14.53,14.56,14.56,2138545
2026-06-15,14.9,15.2,14.62,14.81,14.81,2464940
2026-06-16,14.81,14.92,14.49,14.87,14.87,2050974
2026-06-17,14.77,15.04,14.65,14.99,14.99,1364508
2026-06-18,14.99,15.17,14.75,14.94,14.94,1835111
2026-06-19,15.04,15.445,14.975,15.18,15.18,11424310
2026-06-22,15.2,15.2,14.73,14.78,14.78,1447731
2026-06-23,15,15.15,14.42,14.53,14.53,2759934
2026-06-24,14.53,15.17,14.49,14.9,14.9,3913740
2026-06-25,15,15.13,14.69,14.72,14.72,1649931
2026-06-26,14.63,14.69,13.83,14.06,14.06,4113445
2026-06-29,14.33,14.58,14.14,14.58,14.58,1734589
2026-06-30,14.62,14.76,14.315,14.58,14.58,2184138
2026-07-01,14.62,14.83,14.47,14.64,14.64,1663744
2026-07-02,14.68,14.78,13.76,13.78,13.78,3548433
2026-07-03,13.61,13.62,13.04,13.41,13.41,2553287
2026-07-06,13.54,13.775,13.32,13.32,13.32,3109251
2026-07-07,13.35,13.86,13.31,13.8,13.8,3241479
