Date,Open,High,Low,Close,Adjusted_close,Volume
2025-07-22,0.685,0.7175,0.685,0.7,0.7,17985504
2025-07-23,0.74,0.745,0.71,0.71,0.71,20972951
2025-07-24,0.7,0.71,0.685,0.7,0.7,5412472
2025-07-25,0.71,0.71,0.68,0.69,0.69,7389980
2025-07-28,0.685,0.695,0.67,0.67,0.67,4798855
2025-07-29,0.67,0.69,0.65,0.685,0.685,5494513
2025-07-30,0.67,0.745,0.67,0.735,0.735,10267653
2025-07-31,0.705,0.705,0.65,0.65,0.65,21397072
2025-08-01,0.66,0.6725,0.64,0.64,0.64,9224912
2025-08-04,0.655,0.665,0.6425,0.645,0.645,7854731
2025-08-05,0.66,0.665,0.6325,0.645,0.645,13526957
2025-08-06,0.65,0.685,0.65,0.68,0.68,11959775
2025-08-07,0.69,0.69,0.67,0.685,0.685,4647830
2025-08-08,0.69,0.71,0.69,0.7,0.7,5587477
2025-08-11,0.7,0.705,0.675,0.675,0.675,4671178
2025-08-12,0.675,0.695,0.665,0.675,0.675,5013359
2025-08-13,0.675,0.69,0.665,0.69,0.69,3968641
2025-08-14,0.68,0.69,0.665,0.68,0.68,5526465
2025-08-15,0.675,0.71,0.665,0.705,0.705,8735378
2025-08-18,0.7,0.72,0.695,0.71,0.71,4026863
2025-08-19,0.715,0.76,0.71,0.75,0.75,6015546
2025-08-20,0.74,0.74,0.7,0.72,0.72,5823210
2025-08-21,0.73,0.755,0.715,0.72,0.72,12256811
2025-08-22,0.72,0.7275,0.69,0.695,0.695,10064503
2025-08-25,0.71,0.73,0.7,0.73,0.73,6932106
2025-08-26,0.74,0.79,0.735,0.79,0.79,17200280
2025-08-27,0.82,0.865,0.805,0.86,0.86,15796993
2025-08-28,0.87,0.8825,0.85,0.86,0.86,7708699
2025-08-29,0.875,0.875,0.835,0.845,0.845,4122721
2025-09-01,0.88,0.915,0.87,0.9,0.9,8212179
2025-09-02,0.92,0.95,0.91,0.91,0.91,8086361
2025-09-03,0.925,0.98,0.925,0.94,0.94,15489875
2025-09-04,0.985,0.99,0.935,0.985,0.985,17730232
2025-09-05,0.99,1.09,0.99,1.08,1.08,13388416
2025-09-08,1.095,1.11,1.045,1.05,1.05,8887472
2025-09-09,1.085,1.18,1.085,1.14,1.14,14572082
2025-09-10,1.1,1.1,1.06,1.07,1.07,8475755
2025-09-11,1.085,1.1125,1.075,1.105,1.105,8397916
2025-09-12,1.11,1.1675,1.09,1.155,1.155,11889672
2025-09-15,1.105,1.13,1.005,1.04,1.04,12005204
2025-09-16,1.025,1.03,0.97,0.985,0.985,14239024
2025-09-17,0.975,1,0.96,0.96,0.96,7836192
2025-09-18,0.945,0.99,0.935,0.98,0.98,12262225
2025-09-19,0.985,1.03,0.98,1.01,1.01,79761893
2025-09-22,1.05,1.065,1.035,1.045,1.045,5936076
2025-09-23,1.085,1.12,1.0675,1.105,1.105,9300593
2025-09-24,1.1,1.105,1.07,1.105,1.105,8219651
2025-09-25,1.085,1.105,1.05,1.085,1.085,9336500
2025-09-26,1.09,1.14,1.075,1.14,1.14,7787626
2025-09-29,1.155,1.175,1.1225,1.15,1.15,10144025
2025-09-30,1.155,1.195,1.145,1.18,1.18,10968808
2025-10-01,1.18,1.2,1.155,1.18,1.18,9723728
2025-10-02,1.195,1.295,1.19,1.285,1.285,16904476
2025-10-03,1.27,1.27,1.225,1.255,1.255,7625125
2025-10-06,1.255,1.275,1.215,1.26,1.26,6427269
2025-10-07,1.265,1.295,1.25,1.29,1.29,6461456
2025-10-08,1.255,1.27,1.22,1.265,1.265,6727569
2025-10-09,1.26,1.28,1.23,1.28,1.28,5247429
2025-10-10,1.2,1.27,1.155,1.25,1.25,9225995
2025-10-13,1.26,1.3175,1.255,1.26,1.26,7487105
2025-10-14,1.305,1.36,1.28,1.31,1.31,7614076
2025-10-15,1.31,1.32,1.265,1.28,1.28,6123890
2025-10-16,1.295,1.34,1.28,1.33,1.33,6264954
2025-10-17,1.395,1.41,1.3225,1.345,1.345,19074521
2025-10-20,1.3,1.355,1.275,1.345,1.345,9198894
2025-10-21,1.385,1.46,1.35,1.365,1.365,8895012
2025-10-22,1.3,1.3,1.195,1.28,1.28,10759240
2025-10-23,1.335,1.335,1.275,1.28,1.28,8851096
2025-10-24,1.3,1.3,1.25,1.26,1.26,4414205
2025-10-27,1.25,1.28,1.235,1.26,1.26,5566783
2025-10-28,1.2,1.2,1.14,1.165,1.165,10114711
2025-10-29,1.175,1.185,1.145,1.185,1.185,7025610
2025-10-30,1.155,1.18,1.125,1.165,1.165,7489460
2025-10-31,1.185,1.23,1.1825,1.21,1.21,5211613
2025-11-03,1.22,1.22,1.195,1.2,1.2,2553798
2025-11-04,1.16,1.205,1.16,1.185,1.185,6500185
2025-11-05,1.13,1.16,1.08,1.15,1.15,12115781
2025-11-06,1.175,1.2,1.14,1.195,1.195,7672947
2025-11-07,1.19,1.19,1.135,1.135,1.135,7181123
2025-11-10,1.1675,1.205,1.16,1.205,1.205,4933741
2025-11-11,1.245,1.26,1.205,1.225,1.225,9742368
2025-11-12,1.24,1.24,1.175,1.18,1.18,9294606
2025-11-13,1.215,1.2225,1.185,1.19,1.19,8134307
2025-11-14,1.16,1.195,1.14,1.195,1.195,104641373
2025-11-17,1.17,1.205,1.145,1.205,1.205,12792214
2025-11-18,1.195,1.2025,1.145,1.15,1.15,7678946
2025-11-19,1.18,1.195,1.1425,1.155,1.155,3719068
2025-11-20,1.185,1.2225,1.17,1.205,1.205,4247192
2025-11-21,1.165,1.17,1.1225,1.17,1.17,8079504
2025-11-24,1.175,1.2,1.14,1.17,1.17,10472136
2025-11-25,1.235,1.285,1.22,1.285,1.285,6093487
2025-11-26,1.285,1.29,1.235,1.28,1.28,4063281
2025-11-27,1.285,1.31,1.27,1.29,1.29,21128052
2025-11-28,1.285,1.34,1.275,1.33,1.33,2836165
2025-12-01,1.33,1.335,1.23,1.27,1.27,7250774
2025-12-02,1.26,1.29,1.25,1.255,1.255,5060075
2025-12-03,1.255,1.285,1.215,1.28,1.28,4932525
2025-12-04,1.28,1.3,1.24,1.255,1.255,3926990
2025-12-05,1.285,1.29,1.25,1.26,1.26,6249016
2025-12-08,1.265,1.29,1.21,1.21,1.21,8424550
2025-12-09,1.195,1.22,1.18,1.205,1.205,7599242
2025-12-10,1.225,1.275,1.22,1.27,1.27,7231396
2025-12-11,1.29,1.3125,1.245,1.255,1.255,7215648
2025-12-12,1.315,1.3375,1.2825,1.315,1.315,10504121
2025-12-15,1.31,1.375,1.28,1.345,1.345,6625855
2025-12-16,1.33,1.3525,1.2725,1.29,1.29,6508387
2025-12-17,1.29,1.4,1.275,1.4,1.4,5451658
2025-12-18,1.4,1.49,1.39,1.485,1.485,14751144
2025-12-19,1.49,1.515,1.455,1.48,1.48,51822700
2025-12-22,1.495,1.55,1.46,1.545,1.545,8586754
2025-12-23,1.54,1.565,1.52,1.555,1.555,4680792
2025-12-24,1.565,1.57,1.535,1.56,1.56,3155821
2025-12-29,1.56,1.575,1.4975,1.545,1.545,5746771
2025-12-30,1.44,1.5,1.395,1.495,1.495,4715842
2025-12-31,1.51,1.535,1.48,1.53,1.53,2469252
2026-01-02,1.53,1.565,1.52,1.54,1.54,2950369
2026-01-05,1.54,1.555,1.51,1.55,1.55,3647323
2026-01-06,1.58,1.58,1.54,1.565,1.565,3982917
2026-01-07,1.59,1.59,1.52,1.54,1.54,5872205
2026-01-08,1.535,1.5425,1.505,1.51,1.51,3979306
2026-01-09,1.535,1.58,1.52,1.52,1.52,4659907
2026-01-12,1.55,1.585,1.52,1.53,1.53,4036229
2026-01-13,1.575,1.62,1.55,1.61,1.61,5583250
2026-01-14,1.61,1.62,1.575,1.605,1.605,4947789
2026-01-15,1.64,1.65,1.585,1.595,1.595,3281141
2026-01-16,1.625,1.665,1.6,1.62,1.62,3809314
2026-01-19,1.64,1.7,1.6225,1.67,1.67,3005854
2026-01-20,1.68,1.69,1.63,1.665,1.665,7542171
2026-01-21,1.715,1.72,1.635,1.66,1.66,8076783
2026-01-22,1.62,1.66,1.515,1.54,1.54,7634384
2026-01-23,1.62,1.655,1.57,1.58,1.58,7866491
2026-01-27,1.59,1.62,1.555,1.605,1.605,11204980
2026-01-28,1.63,1.69,1.615,1.675,1.675,6145873
2026-01-29,1.69,1.7,1.35,1.45,1.45,21506935
2026-01-30,1.45,1.45,1.27,1.28,1.28,13393451
2026-02-02,1.225,1.245,1.13,1.165,1.165,17588640
2026-02-03,1.2,1.24,1.165,1.18,1.18,14515791
2026-02-04,1.22,1.225,1.165,1.18,1.18,10062671
2026-02-05,1.155,1.165,1.09,1.11,1.11,11655297
2026-02-06,1.09,1.105,1.055,1.065,1.065,8801611
2026-02-09,1.12,1.21,1.105,1.195,1.195,10796096
2026-02-10,1.23,1.27,1.205,1.255,1.255,15577073
2026-02-11,1.255,1.28,1.245,1.275,1.275,6907471
2026-02-12,1.29,1.3,1.265,1.28,1.28,8876890
2026-02-13,1.19,1.25,1.1675,1.245,1.245,8918173
2026-02-16,1.27,1.325,1.27,1.31,1.31,12201966
2026-02-17,1.31,1.3125,1.265,1.28,1.28,5595254
2026-02-18,1.265,1.285,1.22,1.27,1.27,8646652
2026-02-19,1.29,1.29,1.21,1.235,1.235,4306637
2026-02-20,1.235,1.24,1.195,1.23,1.23,4451604
2026-02-23,1.245,1.27,1.23,1.265,1.265,3876671
2026-02-24,1.29,1.3,1.2,1.225,1.225,6281203
2026-02-25,1.245,1.25,1.215,1.235,1.235,3354479
2026-02-26,1.23,1.25,1.215,1.235,1.235,4182220
2026-02-27,1.255,1.3075,1.25,1.29,1.29,6870984
2026-03-02,1.35,1.42,1.335,1.39,1.39,6866387
2026-03-03,1.35,1.3825,1.33,1.375,1.375,4607751
2026-03-04,1.295,1.36,1.285,1.355,1.355,4926881
2026-03-05,1.35,1.4325,1.345,1.42,1.42,13619075
2026-03-06,1.375,1.3775,1.305,1.32,1.32,6994144
2026-03-09,1.3,1.31,1.185,1.215,1.215,10817550
2026-03-10,1.265,1.2675,1.1425,1.165,1.165,5814787
2026-03-11,1.3,1.415,1.28,1.415,1.415,11622794
2026-03-12,1.475,1.505,1.415,1.435,1.435,15142242
2026-03-13,1.4,1.4025,1.335,1.35,1.35,11187983
2026-03-16,1.325,1.385,1.295,1.375,1.375,7118633
2026-03-17,1.4,1.52,1.395,1.5,1.5,10443399
2026-03-18,1.5,1.5175,1.455,1.49,1.49,5242366
2026-03-19,1.4,1.415,1.28,1.28,1.28,13069009
2026-03-20,1.23,1.2475,1.155,1.18,1.18,45053950
2026-03-23,1.14,1.15,1.03,1.05,1.05,11281722
2026-03-24,1.13,1.155,1.015,1.05,1.05,18953798
2026-03-25,1.09,1.15,1.07,1.14,1.14,12897340
2026-03-26,1.135,1.16,1.11,1.13,1.13,6238232
2026-03-27,1.11,1.12,1.075,1.115,1.115,4725186
2026-03-30,1.11,1.135,1.0775,1.105,1.105,4655439
2026-03-31,1.1,1.18,1.075,1.165,1.165,4905162
2026-04-01,1.24,1.285,1.215,1.245,1.245,8081947
2026-04-02,1.25,1.285,1.12,1.12,1.12,9105895
2026-04-07,1.145,1.17,1.135,1.155,1.155,2873049
